B' U F' B2 U
B' U B2 F' U
B' L U F' B2 U
B' L U B2 F' U
B' L' U F' B2 U
B' L' U B2 F' U
B' L2 U F' B2 U
B' L2 U B2 F' U
F' L2 B U F B2
F' L2 B U B2 F
L2 U F' B U F2
L2 U B F' U F2
B' U D' F' U R2
B' U F' U D' R2
B' U F' D' U R2
B' U F' B2 U D
B' U F' B2 U D'
B' U F' B2 U D2
B' U F' B2 D U
B' U F' B2 D' U
B' U F' B2 D2 U
B' U B2 D F' U
B' U B2 D' F' U
B' U B2 D2 F' U
B' U B2 F' U D
B' U B2 F' U D'
B' U B2 F' U D2
B' U B2 F' D U
B' U B2 F' D' U
B' U B2 F' D2 U
B' D L2 U F' U
B' D' U F' U R2
U F' B U D2 F2
U F' B U' B2 U2
U F' B D' R2 U
U F' B D2 U F2
U B D' F' R2 U
U B D2 F' U F'
F' B U' F B2 U2
F' B U' B2 F U2
U B F' U D2 F2
U B F' U' B2 U2
U B F' D' R2 U
U B F' D2 U F2
D2 B' U F' B2 U
D' B' U F' B2 U
D2 B' U B2 F' U
D' B' U B2 F' U
R2 B' U' F' B2 U'
R2 B' U' B2 F' U'
D B' U F' B2 U
D B' U B2 F' U
B F' U' F B2 U2
B F' U' F B2 U2
B F' U' B2 F U2
F' U' B' D L2 U2 B'
F' U' B' D F L2 U2
F' U' B' D' F U2 R2
F' U' B' F U B2 U
F' U' B' F U2 D' R2
F' U' B' F D L2 U2
F' U' B' F D' U2 R2
L2 D2 U F' B U F2
L2 D2 U B F' U F2
B' U2 L U' F' B2 U
B' U2 L U' B2 F' U
B' U2 L' U' F' B2 U
B' U2 L' U' B2 F' U
B' U2 L2 U' F' B2 U
B' U2 L2 U' B2 F' U
U D2 F' B U D2 F2
U D2 F' B U' B2 U2
U D2 F' B D' R2 U
U D2 F' B D2 U F2
U D2 B D' F' R2 U
U D2 B D2 F' U F'
R2 D2 B' U' F' B2 U'
R2 D2 B' U' B2 F' U'
U D2 B F' U D2 F2
U D2 B F' U' B2 U2
U D2 B F' D' R2 U
U D2 B F' D2 U F2
B' U2 D' R2 U B U'
B' U2 F D' L2 F' R2
B' U2 F D' F' L2 R2
B' U2 F D' F' R2 L2
B' U2 F' B2 U F B2
B' U2 F' B2 U B2 F
B' U2 B2 F' U F B2
B' U2 B2 F' U B2 F
B' D L2 R2 U' B U'
B' D L2 U D F' U
B' D L2 U D' F' U
B' D L2 U D2 F' U
B' D L2 U F' U D
B' D L2 U F' U D'
B' D L2 U F' U D2
B' D L2 U F' D U
B' D L2 U F' D' U
B' D L2 U F' D2 U
B' D L2 D U F' U
B' D L2 D' U F' U
B' D L2 D2 U F' U
F' D L2 B U F B2
F' D L2 B U B2 F
B' D R2 L2 U' B U'
B' D U F' U D2 R2
B' D U F' U' L2 U2
B' D U F' D' B2 U
B' D U F' D2 U R2
L2 F B' D' L2 R2 B
L2 F B' D' R2 L2 B
L2 F B' D' R2 B L2
U F B D' R2 U L2
D2 F' L2 B U F B2
D2 F' L2 B U B2 F
D' F' L2 B U F B2
D' F' L2 B U B2 F
L2 F' L2 B U F2 B2
U2 F' L2 B U F B'
L2 F' L2 B U B2 F2
U2 F' L2 B U B' F
R2 F' L2 B U' F B2
R2 F' L2 B U' B2 F
D F' L2 B U F B2
D F' L2 B U B2 F
B D F' U2 L2 U' B'
F' D B U' F B2 U2
F' D B U' B2 F U2
B2 D B U F' B2 U
B2 D B U B2 F' U
U F' R' U' B' U2 R'
B' D' L U F' U R2
B' D' L' U F' U R2
B' D' L2 U F' U R2
U F' U' B' U B2 U
U F' U' B' U2 D' R2
U F' U' B' D L2 U2
U F' U' B' D' U2 R2
F' D' L2 B U F B2
F' D' L2 B U B2 F
U F' D B U D2 F2
U F' D B U' B2 U2
U F' D B D' R2 U
U F' D B D2 U F2
U' F' B U' B2 U2 B2
D2 F' B U' F B2 U2
D2 F' B U' B2 F U2
D' F' B U' F B2 U2
D' F' B U' B2 F U2
U F' D' B U D2 F2
U F' D' B U' B2 U2
U F' D' B D' R2 U
U F' D' B D2 U F2
L2 F' B L2 U F2 B'
L2 F' B L2 U B' F2
U2 F' B U D2 F2 B'
U2 F' B U D2 B' F2
L2 F' B U' F U2 F
U2 F' B U' B2 U2 B
U2 F' B D' R2 U B'
U2 F' B D2 U F2 B'
U2 F' B D2 U B' F2
R2 F' B U F B2 U2
R2 F' B U B2 F U2
U F' D2 B U D2 F2
U F' D2 B U' B2 U2
U F' D2 B D' R2 U
U F' D2 B D2 U F2
R2 F' B D L2 U' B'
D F' B U' F B2 U2
D F' B U' B2 F U2
B' D' U F' U R2 D
B' D' U F' U R2 D'
B' D' U F' U R2 D2
B' D' U F' D B2 U
B' D' U F' B U R2
B' D' U F' B' U R2
B' D' U F' B2 U R2
U F' B R U D2 F2
U F' B R U' B2 U2
U F' B R D' R2 U
U F' B R D2 U F2
B' D' U B F' U R2
U F' B R' U D2 F2
U F' B R' U' B2 U2
B' D' U B' F' U R2
U F' B R' D' R2 U
U F' B R' D2 U F2
B D' R2 U2 B U' B'
U F' B R2 U D2 F2
U F' B R2 U' B2 U2
B' D' U B2 F' U R2
U F' B R2 D' R2 U
U F' B R2 D2 U F2
U F' B U D2 F2 D
U F' B U D2 F2 D'
U F' B U D2 F2 D2
U F' B U F D2 F2
U F' B U F' D2 F2
U F' B U F2 D2 F2
U F' B U' B2 U2 D
U F' B U' B2 U2 D'
U F' B U' B2 U2 D2
U F' B U' B2 D U2
U F' B U' B2 D' U2
U F' B U' B2 D2 U2
U F' B U2 D L2 U'
U F' B D U2 L2 U'
U F' B D' R2 U D
U F' B D' R2 U D'
U F' B D' R2 U D2
U F' B D' R2 D U
U F' B D' R2 D' U
U F' B D' R2 D2 U
U F' B D2 R U F2
U F' B D2 R' U F2
U F' B D2 R2 U F2
U F' B D2 U F2 D
U F' B D2 U F2 D'
U F' B D2 U F2 D2
B D' U F' R2 U R2
B' D' U2 R2 U B U'
U F' B2 R2 B' U F'
F2 D' F L2 B U F
B D' F R2 F2 U B
B D' F' L2 R2 U B'
B D' F' R2 L2 U B'
B D' F' R2 U' F U2
F' D' B U' F B2 U2
F' D' B U' B2 F U2
B2 D' B U F' B2 U
B2 D' B U B2 F' U
F' D2 L2 B U F B2
F' D2 L2 B U B2 F
B' D2 R2 U' F2 B U'
B' D2 R2 U' B F2 U'
B' D2 U F' U2 F' U'
U F2 B D' R2 F U
U F2 B D' F R2 U
B' D2 U' F2 U2 F U
U F2 B D2 F U F
B D2 F' L2 U F' B'
B D2 F' L2 U B' F'
B D2 F' U F' D2 B2
B D2 F' U' F U2 F2
F' D2 B U' F B2 U2
F' D2 B U' B2 F U2
B2 D2 B U F' B2 U
B2 D2 B U B2 F' U
U B R2 D' R2 F' U
F' B L2 U D2 F2 B'
F' B L2 U D2 B' F2
F' B L2 U' B2 U2 B
U B U' B2 U F' U
F' B L2 D' R2 U B'
F' B L2 D2 U F2 B'
F' B L2 D2 U B' F2
R2 B D F' L2 U' B'
F' B R U' F B2 U2
F' B R U' B2 F U2
U2 B D' F' R2 U B'
U B D F' U D F2
U B D F' U2 L2 U'
U B D F' D U F2
U B D F' D2 R2 U
F' B R' U' F B2 U2
F' B R' U' B2 F U2
U B D' R2 U2 B U'
U2 B D2 F' U F' B'
U2 B D2 F' U B' F'
U B D' F R2 F2 U
U B D' F' R2 U D
U B D' F' R2 U D'
U B D' F' R2 U D2
U B D' F' R2 D U
U B D' F' R2 D' U
U B D' F' R2 D2 U
U B D' F' U D' F2
U B D' F' D' U F2
U B D' F2 R2 F U
F' B R2 U' F B2 U2
F' B R2 U' B2 F U2
U' B F' U' B2 U2 B2
D2 B F' U' F B2 U2
D2 B F' U' B2 F U2
D' B F' U' F B2 U2
D' B F' U' B2 F U2
U B D2 F' U D F'
U B D2 F' U D' F'
U B D2 F' U D2 F'
U B D2 F' U F' D
U B D2 F' U F' D'
U B D2 F' U F' D2
L2 B F' L2 U F2 B'
L2 B F' L2 U B' F2
U B D2 F' D U F'
U B D2 F' D' U F'
U B D2 F' D2 U F'
F' B U L2 B' L2 F
U2 B F' U D2 F2 B'
U2 B F' U D2 B' F2
L2 B F' U' F U2 F
U2 B F' U' B2 U2 B
U2 B F' D' R2 U B'
F' B U F' D2 F2 B2
F' B U F' D2 B2 F2
U2 B F' D2 U F2 B'
U2 B F' D2 U B' F2
R2 B F' U F B2 U2
R2 B F' U B2 F U2
D2 B' L U F' B2 U
D2 B' L U B2 F' U
D' B' L U F' B2 U
D' B' L U B2 F' U
R2 B F' D L2 U' B'
D B F' U' F B2 U2
U B F D' R2 U L2
D B F' U' B2 F U2
U B F' R U D2 F2
U B F' R U' B2 U2
U B F' R D' R2 U
U B F' R D2 U F2
U B F' R' U D2 F2
U B F' R' U' B2 U2
U B F' R' D' R2 U
U B F' R' D2 U F2
F' B U' D2 F U2 F
U B F' R2 U D2 F2
U B F' R2 U' B2 U2
U B F' R2 D' R2 U
F' B U' F U2 D2 F2
U B F' R2 D2 U F2
F' B U' F D2 U2 F2
F' B U' F B2 U2 D
F' B U' F B2 U2 D'
F' B U' F B2 U2 D2
F' B U' F B2 D U2
F' B U' F B2 D' U2
F' B U' F B2 D2 U2
U B F' U D2 F2 D
U B F' U D2 F2 D'
U B F' U D2 F2 D2
U B F' U F D2 F2
U B F' U F' D2 F2
U B F' U F2 D2 F2
U B F' U' B2 U2 D
U B F' U' B2 U2 D'
U B F' U' B2 U2 D2
U B F' U' B2 D U2
U B F' U' B2 D' U2
U B F' U' B2 D2 U2
U B F' U2 D L2 U'
U B F' D U2 L2 U'
D2 B' L' U F' B2 U
D2 B' L' U B2 F' U
U B F' D' R2 U D
U B F' D' R2 U D'
U B F' D' R2 U D2
U B F' D' R2 D U
U B F' D' R2 D' U
U B F' D' R2 D2 U
F' B U' B2 D F U2
F' B U' B2 D' F U2
F' B U' B2 D2 F U2
F' B U' B2 F U2 D
F' B U' B2 F U2 D'
F' B U' B2 F U2 D2
F' B U' B2 F D U2
F' B U' B2 F D' U2
F' B U' B2 F D2 U2
D' B' L' U F' B2 U
U B F' D2 R U F2
U B F' D2 R' U F2
U B F' D2 R2 U F2
D' B' L' U B2 F' U
U B F' D2 U F2 D
U B F' D2 U F2 D'
U B F' D2 U F2 D2
B' F U2 D' L2 R2 B
B' F U2 D' R2 L2 B
B' F U2 D' R2 B L2
R2 B' L U' F' B2 U'
R2 B' L U' B2 F' U'
F' B U2 D L2 U' B'
D B' L U F' B2 U
D B' L U B2 F' U
B' F D L2 R2 U2 B
B' F D L2 F' R2 U2
U B F2 D' R2 F U
U B F2 D' F R2 U
U B F2 D2 F U F
D2 B' L2 U F' B2 U
D2 B' L2 U B2 F' U
B' F D R2 L2 U2 B
D' B' L2 U F' B2 U
D' B' L2 U B2 F' U
B' F D F' L2 R2 U2
B' F D F' R2 L2 U2
R2 B' L' U' F' B2 U'
R2 B' L' U' B2 F' U'
D B' L' U F' B2 U
D B' L' U B2 F' U
F' B D U2 L2 U' B'
R' B' R U F' B U
R' B' R U B F' U
B' F D' R2 B L2 F
F' B D' L2 R2 U B'
B' F D' U2 L2 R2 B
B' F D' U2 R2 L2 B
B' F D' U2 R2 B L2
B' F D' F' U2 L2 R2
B' F D' F' U2 R2 L2
F' B D' R2 L2 U B'
F' B D' R2 U' F U2
R2 B' L2 U' F' B2 U'
R2 B' L2 U' B2 F' U'
D B' L2 U F' B2 U
D B' L2 U B2 F' U
F2 B D' R2 F L2 U
F2 B D' F L2 R2 U
F2 B D' F R2 L2 U
R' B' R' U' F' B U'
R' B' R' U' B F' U'
F' B D2 L2 U F2 B'
F' B D2 L2 U B' F2
F' B D2 U' F U2 F
B F D' R2 U L2 B
B F D' R2 U B L2
F2 B D2 F U F B2
F2 B D2 F U B2 F
F B D' R2 U L2 B
F B D' R2 U B L2
R B' R U' F' B U'
R B' R U' B F' U'
D2 B' U D' F' U R2
D' B' U D' F' U R2
D2 B' U F' U D' R2
D2 B' U F' D' U R2
D2 B' U F' B2 U D
D2 B' U F' B2 U D'
D2 B' U F' B2 U D2
D2 B' U F' B2 D U
D2 B' U F' B2 D' U
D2 B' U F' B2 D2 U
D' B' U F' U D' R2
D' B' U F' D' U R2
D' B' U F' B2 U D
D' B' U F' B2 U D'
D' B' U F' B2 U D2
D' B' U F' B2 D U
D' B' U F' B2 D' U
D' B' U F' B2 D2 U
D2 B' U B2 D F' U
D2 B' U B2 D' F' U
D2 B' U B2 D2 F' U
D2 B' U B2 F' U D
D2 B' U B2 F' U D'
D2 B' U B2 F' U D2
D2 B' U B2 F' D U
D2 B' U B2 F' D' U
D2 B' U B2 F' D2 U
R B' R' U F' B U
R B' R' U B F' U
D' B' U B2 D F' U
D' B' U B2 D' F' U
D' B' U B2 D2 F' U
D' B' U B2 F' U D
D' B' U B2 F' U D'
D' B' U B2 F' U D2
D' B' U B2 F' D U
D' B' U B2 F' D' U
D' B' U B2 F' D2 U
L2 B' U F' B2 U F2
U2 B' U F' B2 U B'
L2 B' U B2 F' U F2
U2 B' U B2 F' U B'
D B' U D' F' U R2
D B' U F' U D' R2
D B' U F' D' U R2
D B' U F' B2 U D
D B' U F' B2 U D'
D B' U F' B2 U D2
D B' U F' B2 D U
D B' U F' B2 D' U
D B' U F' B2 D2 U
U' B' U2 F' B2 U F
D B' U B2 D F' U
D B' U B2 D' F' U
D B' U B2 D2 F' U
D B' U B2 F' U D
D B' U B2 F' U D'
D B' U B2 F' U D2
D B' U B2 F' D U
D B' U B2 F' D' U
D B' U B2 F' D2 U
U' B' U2 B2 F' U F
B F' L2 U D2 F2 B'
B F' L2 U D2 B' F2
B F' L2 U' B2 U2 B
R2 B' U' D F' U' L2
B F' L2 D' R2 U B'
U B' U F' B2 U B2
B F' L2 D2 U F2 B'
B F' L2 D2 U B' F2
R2 B' U' F' U' D L2
R2 B' U' F' D U' L2
D2 B' D L2 U F' U
R2 B' U' F' B2 U' D
R2 B' U' F' B2 U' D'
R2 B' U' F' B2 U' D2
R2 B' U' F' B2 D U'
R2 B' U' F' B2 D' U'
R2 B' U' F' B2 D2 U'
D' B' D L2 U F' U
U B' U B2 F' U B2
R2 B' U' B2 D F' U'
R2 B' U' B2 D' F' U'
R2 B' U' B2 D2 F' U'
R2 B' U' B2 F' U' D
R2 B' U' B2 F' U' D'
R2 B' U' B2 F' U' D2
R2 B' U' B2 F' D U'
R2 B' U' B2 F' D' U'
R2 B' U' B2 F' D2 U'
L2 B' U2 F D' L2 R2
L2 B' U2 F D' R2 L2
B F' R U' F B2 U2
B F' R U' B2 F U2
D2 B' D' U F' U R2
D' B' D' U F' U R2
D B' D L2 U F' U
B F' R' U' F B2 U2
B F' R' U' B2 F U2
R2 B' D U' F' U' L2
R2 B' D' R2 U B U
B F' R2 U' F B2 U2
B F' R2 U' B2 F U2
D B' D' U F' U R2
B F' U L2 B' L2 F
B F' U F' D2 F2 B2
B F' U F' D2 B2 F2
L2 B' F D' L2 R2 B
L2 B' F D' R2 L2 B
L2 B' F D' R2 B L2
B F' U' D2 F U2 F
B F' U' F U2 D2 F2
B F' U' F D2 U2 F2
B F' U' F B2 U2 D
B F' U' F B2 U2 D'
B F' U' F B2 U2 D2
B F' U' F B2 D U2
B F' U' F B2 D' U2
B F' U' F B2 D2 U2
B F' U' B2 D F U2
B F' U' B2 D' F U2
B F' U' B2 D2 F U2
B F' U' B2 F U2 D
B F' U' B2 F U2 D'
