U2 L D F' B' L2
U2 L D B' L2 F'
U2 L D B' F' L2
U2 L F' D B' L2
U' L B2 U' F' B
U' L B2 U' B F'
U2 L' D L2 F' B'
U2 L' D L2 B' F'
D' R2 B U' R' U'
U2 F' L D B' L2
U2 F' L' D L2 B'
U' B2 L U' F' B'
U' B2 L U' B' F'
U2 L' D L2 D2 B' F'
U2 L' D L2 F' D B'
U2 L' D L2 F' D' B'
U2 L' D L2 F' D2 B'
U2 L' D L2 F' B' D
U2 L' D L2 F' B' D'
U2 L' D L2 F' B' D2
U2 L' D L2 B' D F'
U2 L' D L2 B' D' F'
U2 L' D L2 B' D2 F'
U2 L' D L2 B' F' D
U2 L' D L2 B' F' D'
U2 L' D L2 B' F' D2
U' L' D U' L2 F' B'
U' L' D U' L2 B' F'
U2 L' D F' L2 D2 B2
F' L' D B' L2 B' R'
U L' D U L2 F' B'
U L' D U L2 B' F'
F' L' D B2 L2 R' B'
U2 L' D B L2 F' B'
U2 L' D B L2 B' F'
F' L' D B2 R' L2 B'
U2 L' D B' L2 F' B'
U2 L' D B' L2 B' F'
U2 L' D B2 L2 F' B'
U2 L' D B2 L2 B' F'
U2 L' D' F' D2 L2 B2
U2 L' D' F' D2 B2 L2
U2 L' F' D L2 D B2
U2 L' F' D2 B2 D' L2
U' L' B2 L2 U' F' B'
U' L' B2 L2 U' B' F'
U' L' B2 U F U2 F2
U' L' B2 U' F' D2 B2
U2 L2 D L' B' L' F'
U2 L2 D F' L' B' L'
U2 L2 F' L D L2 B'
U2 L2 F' L' D B' L2
U2 L2 F' D L' B' L'
U' L2 B2 L' U' F' B'
U' L2 B2 L' U' B' F'
D' R D' R F' B U2
D' R D' R B F' U2
R U' B L B U' B2
R U2 L D F B' L2
R U2 L D B' F L2
R U2 L F D B' L2
R U2 L' D L2 F B'
R U2 L' D L2 B' F
L' D L U2 L F' B'
L' D L U2 L B' F'
L' D L U2 F' L B'
D' R2 F B U' R' U'
L' D L2 F2 R F B'
L' D L2 F2 R B' F
L' D L2 F2 B' R F
L' D L2 B' F2 R F
D' R2 F' B U' R' U'
L D L2 F' D2 B2 R'
D' R2 F2 B U' R' U'
D' R2 B U' R' U' D
D' R2 B U' R' U' D'
D' R2 B U' R' U' D2
D' R2 B U' R' D U'
D' R2 B U' R' D' U'
D' R2 B U' R' D2 U'
D' R2 B U' D R' U'
D' R2 B U' D' R' U'
D' R2 B U' D2 R' U'
D' R2 B D U' R' U'
D' R2 B D' U' R' U'
D' R2 B D2 U' R' U'
D' R2 B F U' R' U'
D' R2 B F' U' R' U'
D' R2 B F2 U' R' U'
U2 D L D' L F' B'
U2 D L D' L B' F'
U2 D L D' F' L B'
L' D F L U2 L F2
L' D F L U2 F2 L
L' D F U2 L2 F2 R
U2 D L2 F' U R U'
L D F2 R F B' L2
L D F2 R B' F L2
L D F2 B' R F L2
L' D B' L2 F' B' R'
L' D B' L2 B' F' R'
L D B L2 F' B2 R'
L D B L2 B2 F' R'
L' D B2 L2 F' R' B'
D U F L' U L' F2
L D B' F2 R F L2
U D F L' U L' F2
U2 D F' L2 U R U'
U2 D F' U R U' L2
D2 U F2 R' U F B
D2 U F2 R' U B F
L' D' R2 F L B U2
L D' R2 B L' U2 B2
B' U' L U' F' B' L'
B' U' L U' B' F' L'
B2 U' L U' B' L' F'
L' D' F L R2 U2 F2
L' D' F R2 L U2 F2
B U' L B U' F' B2
B U' L B U' B2 F'
F U' L B2 U' F2 B
F U' L B2 U' B F2
L' D' F' D2 B2 L2 R'
L' D' F' D2 B2 R' L2
F' U' R B2 L U' B'
R2 D' B R2 U' R U'
D U2 L D' L F' B'
D U2 L D' L B' F'
D U2 L D' F' L B'
B' U' B' L U' F' B'
B' U' B' L U' B' F'
B U' B L U' F' B'
B U' B L U' B' F'
D U2 L2 F' U R U'
F U' B2 L U' F2 B'
F U' B2 L U' B' F2
B U2 L F' B' D L2
B U2 L B' D L2 F'
B U2 L B' D F' L2
B U2 L B' F' D L2
F U2 L F2 D B' L2
D U2 F' L2 U R U'
D U2 F' U R U' L2
U D2 F2 R' U F B
U D2 F2 R' U B F
L D2 F2 U R F B'
L D2 F2 U R B' F
L D2 F2 U B' R F
L' F L U' B2 U' F2
L' F L U2 F2 D L2
U2 F L F2 D B' L2
F2 U2 F L D B' L2
F2 U2 F L' D L2 B'
B2 U2 F' L D' B' L
B U2 F' L B' D L2
F U2 F2 L D B' L2
F U2 F2 L' D L2 B'
D F U L' U L' F2
L' F U' B2 U' R' F2
L' F U' B2 U' F2 R'
U2 F' L U B2 U' B
U2 F' L D B L2 B2
U2 F' L D B' L2 D
U2 F' L D B' L2 D'
U2 F' L D B' L2 D2
U2 F' L D B2 L2 B
U2 F' L D' B' D2 L2
U2 F' L D2 B' D' L2
U2 F' L B' U B' U'
U2 F' L' D L2 D B'
U2 F' L' D L2 D' B'
U2 F' L' D L2 D2 B'
U2 F' L' D L2 B' D
U2 F' L' D L2 B' D'
U2 F' L' D L2 B' D2
U2 F' L' D B L2 B'
U2 F' L' D B' L2 B'
U2 F' L' D B2 L2 B'
U2 F' L2 D L' B' L'
U2 F' D L D' L B'
L' F' D2 B2 R' D' L2
L' F' D2 B2 D' L2 R'
L' F' D2 B2 D' R' L2
U2 F' B L B' D L2
L F2 R D F B' L2
L F2 R D B' F L2
L F2 R F D B' L2
L F2 D R F B' L2
L F2 D R B' F L2
L F2 D B' R F L2
U' B L B U' F' B2
U' B L B U' B2 F'
U2 B L F' B' D L2
U2 B L B' D L2 F'
U2 B L B' D F' L2
U2 B L B' F' D L2
L F2 B2 U' B R F
D' B R2 B U' R U'
B2 F L U' F2 R B'
B2 F L U' F2 B' R
B2 F L U' B' F2 R
R2 B U' D' B R' U'
R2 B U2 L B' D L2
R B U' B L U' B'
R2 B D' U' B R' U'
U2 B F' L B' D L2
U' B' L U' F' B' L'
U' B' L U' B' F' L'
U' B2 L U' D F' B'
U' B2 L U' D B' F'
U' B2 L U' D' F' B'
U' B2 L U' D' B' F'
U' B2 L U' D2 F' B'
U' B2 L U' D2 B' F'
U' B2 L U' F' D B'
U' B2 L U' F' D' B'
U' B2 L U' F' D2 B'
U' B2 L U' F' B' D
U' B2 L U' F' B' D'
U' B2 L U' F' B' D2
U' B2 L U' B' D F'
U' B2 L U' B' D' F'
U' B2 L U' B' D2 F'
U' B2 L U' B' F' D
U' B2 L U' B' F' D'
U' B2 L U' B' F' D2
U' B2 L D U' F' B'
U' B2 L D U' B' F'
U' B2 L D' U' F' B'
U' B2 L D' U' B' F'
U' B2 L D2 U' F' B'
U' B2 L D2 U' B' F'
U' B2 L' U F U2 F2
U' B2 L' U' F' D2 B2
L' B2 L2 U' F' R' B'
F B2 L U' F2 R B'
F B2 L U' F2 B' R
F B2 L U' B' F2 R
D' B2 R2 B U L U
U' B2 U' L B' L' F'
L' B2 U F U2 R' F2
L' B2 U F U2 F2 R'
U' B2 U' F' L B' L'
U' B2 U2 L U F' B'
U' B2 U2 L U B' F'
L' B2 U' F' R' D2 B2
L' B2 U' F' D2 R' B2
L B2 U L' U2 F' B
L B2 U L' U2 B F'
L B2 U' F' D2 B R'
L B2 U' F2 B R F
L B2 U' B F2 R F
L B2 F2 U' B R F
