L' R U L2 U2
L' R U' D2 R2
L' R D F2 U'
L' R D2 U' R2
R L' U L2 U2
R L' U' D2 R2
R L' D F2 U'
R L' D2 U' R2
L' D R F2 U'
L' D2 R U' R
D' L' D2 R U' R
D2 L' D2 R U' R
D L' D2 R U' R
L' R2 D R' F2 U'
L' R2 D F2 R' U'
L' R2 D2 R' U' R'
R L2 F2 L U' R
R U L U' L2 U'
R U L U2 D F2
R U L D U2 F2
L' U L2 U' R U'
R U L D' B2 U2
D' R L' U L2 U2
D' R L' U' D2 R2
D2 R L' U L2 U2
D' R L' D F2 U'
D2 R L' U' D2 R2
D' R L' D2 U' R2
D2 R L' D F2 U'
D R L' U L2 U2
D2 R L' D2 U' R2
D R L' U' D2 R2
D R L' D F2 U'
D R L' D2 U' R2
B2 R L' B2 U' R2
L U' L2 R U' L2
L U' R L2 U' L2
B2 R B2 L' U' R2
L' D R U' D R2
L' D R D U' R2
L' D R F2 U' D
L' D R F2 U' D'
L' D R F2 U' D2
L' D R F2 D U'
L' D R F2 D' U'
L' D R F2 D2 U'
L' D R' F2 R2 U'
R D L' U L2 U2
R D L' U' D2 R2
R D L' D F2 U'
R D L' D2 U' R2
L' D R2 F2 R' U'
L' D F2 U2 L' U
L' D' R U' D' R2
L' D' R U2 B2 U
L' D' R D' U' R2
L' D' R D2 F2 U'
R D' L' U L2 U2
R D' L' U' D2 R2
R D' L' D F2 U'
R D' L' D2 U' R2
L' D2 R U' R D
L' D2 R U' R D'
L' D2 R U' R D2
L' D2 R U' D R
L' D2 R U' D' R
L' D2 R U' D2 R
L' D2 R D U' R
L' D2 R D' U' R
L' D2 R D2 U' R
R D2 L' U L2 U2
R D2 L' U' D2 R2
R D2 L' D F2 U'
R D2 L' D2 U' R2
R F U L U2 F
L' F2 D F2 R U'
L' R U L D L U2
L' R U L D' L U2
L' R U L D2 L U2
L' R U L' D L' U2
L' R U L' D' L' U2
L' R U L' D2 L' U2
L2 R U L' U' L2 U'
L2 R U L' U2 D F2
L2 R U L' D U2 F2
L2 R U L' D' B2 U2
L' R U D2 L U2 R2
L' R U D2 L' U2 R2
L' R U D2 L2 U2 R2
L' R U F L2 F' U2
L' R U F' L2 U2 B'
L' R U F2 L2 F2 U2
L' R U B L2 U2 F
L' R U B' L2 B U2
L' R U B2 L2 B2 U2
B2 L R B2 L2 U' R2
L' R U' R U2 L2 U2
L' R U' R D2 R2 D
L' R U' R D2 R2 D'
L' R U' R D2 R2 D2
R' L U' L2 R2 U' L2
B2 L R' D L2 F2 B2
B2 L R' D L2 B2 F2
L' R U' R' U2 L2 U2
B2 L R' D F2 L2 B2
B2 L R' D F2 B2 L2
L' R U' R' D2 R2 D
L' R U' R' D2 R2 D'
L' R U' R' D2 R2 D2
B2 L R' D B2 L2 F2
B2 L R' D B2 F2 L2
R2 L U' L2 R' U' L2
L' R U' R2 U2 L2 U2
L' R U' R2 D2 R2 D
L' R U' R2 D2 R2 D'
L' R U' R2 D2 R2 D2
L' R U' D R D R2
L' R U' D R' D R2
L' R U' D R2 D R2
R' L U' R2 L2 U' L2
L' R U' D' R D' R2
L' R U' D' R' D' R2
L' R U' D' R2 D' R2
R2 L U' R' L2 U' L2
L' R U' D2 R D R
L' R U' D2 R D' R
L' R U' D2 R D2 R
L' R U' D2 R' D R'
L' R U' D2 R' D' R'
L' R U' D2 R' D2 R'
L' R U' D2 F' R2 F
L' R U' D2 F2 R2 F2
L' R U' D2 B R2 B'
L' R U' D2 B2 R2 B2
L' R U' F D2 F' R2
L R U' D F2 D R2
L' R U' F' D2 R2 F
L' R U' F' D2 F R2
L' R U' B D2 R2 B'
L' R U' B D2 B' R2
R L U' D F2 D R2
L' R U' B' D2 B R2
L R U' F2 D R2 F2
L R U' F2 D F2 R2
R L U' F2 D R2 F2
R L U' F2 D F2 R2
L' R U2 D' B2 U D
L' R U2 D' B2 U D'
L' R U2 D' B2 U D2
L' R U2 D' B2 D U
L' R U2 D' B2 D' U
L' R U2 D' B2 D2 U
L' R U2 D2 B U R2
L' R U2 D2 B' U R2
L' R U2 D2 B2 U R2
L R U2 D2 R2 U R2
L' R U2 B U D2 R2
L' R U2 B U' L2 U2
L' R U2 B D' B2 U
L' R U2 B D2 U R2
L' R U2 B' U D2 R2
L' R U2 B' U' L2 U2
L' R U2 B' D' B2 U
L' R U2 B' D2 U R2
L' R U2 B2 U D2 R2
L' R U2 B2 U' L2 U2
L' R U2 B2 D' B2 U
L' R U2 B2 D2 U R2
R L U2 D2 R2 U R2
L' R D L' F2 L U'
L' R D L2 F2 L2 U'
L2 R D L U L2 U2
L' R D R F2 R' U'
L2 R D L U' D2 R2
L2 R D L D F2 U'
L2 R D L D2 U' R2
L R D L U' F2 R
L' R D R2 F2 R2 U'
R L D L U' F2 R
L' R D U' R D R2
L' R D U' R' D R2
L' R D U' R2 D R2
L' R D F D F U'
L' R D F D' F U'
L' R D F D2 F U'
L' R D F' D F' U'
L' R D F' D' F' U'
L' R D F' D2 F' U'
L R D U' F2 D R2
D2 L U' L2 R U' L2
D' L U' L2 R U' L2
U' L U' L2 R U' L
D2 L U' R L2 U' L2
D' L U' R L2 U' L2
U' L U' R L2 U' L
D L U' L2 R U' L2
R L D U' F2 D R2
L2 R D F2 L U' R
D L U' R L2 U' L2
U L U' L2 R U' D
U L U' L2 R U' D'
U L U' L2 R U' D2
U L U' L2 R D U'
U L U' L2 R D' U'
U L U' L2 R D2 U'
U L U' L2 D R U'
U L U' L2 D' R U'
U L U' L2 D2 R U'
U L U' R L2 U' D
U L U' R L2 U' D'
U L U' R L2 U' D2
U L U' R L2 D U'
U L U' R L2 D' U'
U L U' R L2 D2 U'
U L U' R U' D F2
U L U' R D U' F2
L2 R D' L U L2 U2
L2 R D' L U' D2 R2
L2 R D' L D F2 U'
L2 R D' L D2 U' R2
U L U' D R U' F2
L' R D' U' R D' R2
L' R D' U' R' D' R2
L' R D' U' R2 D' R2
L' R D' U2 B2 U D
L' R D' U2 B2 U D'
L' R D' U2 B2 U D2
L' R D' U2 B2 D U
L' R D' U2 B2 D' U
L' R D' U2 B2 D2 U
L' R D' F U' D' R2
L' R D' F U2 B2 U
L' R D' F D' U' R2
L' R D' F D2 F2 U'
L' R D' F' U' D' R2
L' R D' F' U2 B2 U
L' R D' F' D' U' R2
L' R D' F' D2 F2 U'
L' R D' F2 U' D' R2
L' R D' F2 U2 B2 U
L' R D' F2 D' U' R2
L' R D' F2 D2 F2 U'
U2 L U2 L2 R U' R'
F2 L U2 L2 R U R'
U2 L U2 R L2 U' R'
F2 L U2 R L2 U R'
L2 R D' F2 L U' R
L2 R D2 L U L2 U2
L2 R D2 L U' D2 R2
L2 R D2 L D F2 U'
L2 R D2 L D2 U' R2
L' R D2 U L U2 R2
L' R D2 U L' U2 R2
L' R D2 U L2 U2 R2
L' R D2 U' R D R
L' R D2 U' R D' R
L' R D2 U' R D2 R
L' R D2 U' R' D R'
L' R D2 U' R' D' R'
L' R D2 U' R' D2 R'
L' R D2 U' F' R2 F
L' R D2 U' F2 R2 F2
L' R D2 U' B R2 B'
L' R D2 U' B2 R2 B2
L' R D2 U2 B U R2
L' R D2 U2 B' U R2
L' R D2 U2 B2 U R2
L' R D2 F U' R2 D
L' R D2 F U' R2 D'
L' R D2 F U' R2 D2
L' R D2 F D' F2 U'
L' R D2 F' U' R2 D
L' R D2 F' U' R2 D'
L' R D2 F' U' R2 D2
L' R D2 F' D' F2 U'
L' R D2 F2 U' R2 D
L' R D2 F2 U' R2 D'
L' R D2 F2 U' R2 D2
L R D2 U2 R2 U R2
L' R D2 F2 D' F2 U'
R L D2 U2 R2 U R2
L2 R D2 F2 L U' R
L2 R F L F U' R
L R F L2 U L2 U2
L R F L2 U' D2 R2
L R F L2 D F2 U'
U L D U' R U' F2
L R F L2 D2 U' R2
L' R F U L2 U2 D
L' R F U L2 U2 D'
L' R F U L2 U2 D2
L' R F U L2 D U2
L' R F U L2 D' U2
L' R F U L2 D2 U2
R L F L2 U L2 U2
L' R F U' R D2 R2
R L F L2 U' D2 R2
L' R F U' R' D2 R2
R L F L2 D F2 U'
L' R F U' R2 D2 R2
R L F L2 D2 U' R2
L' R F U' D2 R2 D
L' R F U' D2 R2 D'
L' R F U' D2 R2 D2
L' R F U2 D' B2 U
L' R F D F2 U' D
L' R F D F2 U' D'
L' R F D F2 U' D2
L' R F D F2 D U'
L' R F D F2 D' U'
L' R F D F2 D2 U'
L' R F D' U2 B2 U
L' R F D2 U' R2 D
L' R F D2 U' R2 D'
L' R F D2 U' R2 D2
L' R F D2 F U' R2
L' R F D2 F' U' R2
L' R F D2 F2 U' R2
L2 R F' L F' U' R
L R F' L2 U L2 U2
L R F' L2 U' D2 R2
L R F' L2 D F2 U'
L R F' L2 D2 U' R2
L' R F' U L2 U2 D
L' R F' U L2 U2 D'
L' R F' U L2 U2 D2
L' R F' U L2 D U2
L' R F' U L2 D' U2
L' R F' U L2 D2 U2
R L F' L2 U L2 U2
R L F' L2 U' D2 R2
R L F' L2 D F2 U'
R L F' L2 D2 U' R2
L' R F' U' R D2 R2
L' R F' U' R' D2 R2
L' R F' U' R2 D2 R2
L' R F' U' D2 R2 D
L' R F' U' D2 R2 D'
L' R F' U' D2 R2 D2
L' R F' U2 D' B2 U
L' R F' D F2 U' D
L' R F' D F2 U' D'
L' R F' D F2 U' D2
L' R F' D F2 D U'
L' R F' D F2 D' U'
L' R F' D F2 D2 U'
L' R F' D' U2 B2 U
L' R F' D2 U' R2 D
L' R F' D2 U' R2 D'
L' R F' D2 U' R2 D2
L' R F' D2 F U' R2
L' R F' D2 F' U' R2
L' R F' D2 F2 U' R2
U L D' B2 U' R U'
L2 R F2 L U' R D
L2 R F2 L U' R D'
L2 R F2 L U' R D2
L2 R F2 L U' D R
L2 R F2 L U' D' R
L2 R F2 L U' D2 R
L2 R F2 L D U' R
L2 R F2 L D' U' R
L2 R F2 L D2 U' R
L R F2 L2 U L2 U2
L R F2 L2 U' D2 R2
L R F2 L2 D F2 U'
L R F2 L2 D2 U' R2
L' R F2 U L2 U2 D
L' R F2 U L2 U2 D'
L' R F2 U L2 U2 D2
L' R F2 U L2 D U2
L' R F2 U L2 D' U2
L' R F2 U L2 D2 U2
R L F2 L2 U L2 U2
R L F2 L2 U' D2 R2
R L F2 L2 D F2 U'
R L F2 L2 D2 U' R2
L' R F2 U' R D2 R2
L' R F2 U' R' D2 R2
L' R F2 U' R2 D2 R2
L' R F2 U' D2 R2 D
L' R F2 U' D2 R2 D'
L' R F2 U' D2 R2 D2
L' R F2 U2 D' B2 U
L' R F2 D F2 U' D
L' R F2 D F2 U' D'
L' R F2 D F2 U' D2
L' R F2 D F2 D U'
L' R F2 D F2 D' U'
L' R F2 D F2 D2 U'
L' R F2 D' U2 B2 U
L' R F2 D2 U' R2 D
L' R F2 D2 U' R2 D'
L' R F2 D2 U' R2 D2
L' R F2 D2 F U' R2
L' R F2 D2 F' U' R2
L' R F2 D2 F2 U' R2
L2 R F2 D L U' R
L2 R F2 D' L U' R
L2 R F2 D2 L U' R
L' R B D F2 B' U'
L' R B D B' F2 U'
L' R B D2 B' U' R2
L' R B' D F2 B U'
L' R B' D B F2 U'
L' R B' D2 B U' R2
L' R B2 D F2 U' L2
L' R' U L2 U' R2 U'
R' L' U L2 U' R2 U'
R' L' U L2 U2 D B2
L' R' U L2 U2 D B2
R' L' U L2 D U2 B2
L' R' U L2 D U2 B2
R' L' U L2 D' F2 U2
L' R' U L2 D' F2 U2
R L' U L D L U2
R L' U L D' L U2
R L' U L D2 L U2
R2 L' U L2 U' R' U'
R L' U L' D L' U2
R L' U L' D' L' U2
R L' U L' D2 L' U2
U L B U' L2 R U'
U L B U' R L2 U'
R L' U D2 L U2 R2
R L' U D2 L' U2 R2
R L' U D2 L2 U2 R2
R L' U F L2 F' U2
R L' U F' L2 U2 B'
R L' U F2 L2 F2 U2
R L' U B L2 U2 F
R L' U B' L2 B U2
R L' U B2 L2 B2 U2
L R' U' L2 R2 U' L2
R' L' U' D B2 D R2
L' R' U' D B2 D R2
U L B' U' L2 R U'
U L B' U' R L2 U'
R L' U' R U2 L2 U2
R' L' U' D2 R2 D' B2
R L' U' R D2 R2 D
R L' U' R D2 R2 D'
R L' U' R D2 R2 D2
L' R' U' D2 R2 D' B2
L R' U' R2 L2 U' L2
R L' U' R' U2 L2 U2
R L' U' R' D2 R2 D
R L' U' R' D2 R2 D'
R L' U' R' D2 R2 D2
R L' U' R2 U2 L2 U2
R L' U' R2 D2 R2 D
R L' U' R2 D2 R2 D'
R L' U' R2 D2 R2 D2
R L' U' D R D R2
R L' U' D R' D R2
R L' U' D R2 D R2
R L' U' D' R D' R2
R L' U' D' R' D' R2
R L' U' D' R2 D' R2
R L' U' D2 R D R
R L' U' D2 R D' R
R L' U' D2 R D2 R
R L' U' D2 R' D R'
R L' U' D2 R' D' R'
R L' U' D2 R' D2 R'
R L' U' D2 F' R2 F
R L' U' D2 F2 R2 F2
R L' U' D2 B R2 B'
R L' U' D2 B2 R2 B2
R L' U' F D2 F' R2
R L' U' F' D2 R2 F
R L' U' F' D2 F R2
R L' U' B D2 R2 B'
R L' U' B D2 B' R2
R L' U' B' D2 B R2
U L B2 U' L2 R U'
U L B2 U' R L2 U'
R' L' U2 D2 L2 U R2
L' R' U2 D2 L2 U R2
D2 L' R U L2 U2 D
D2 L' R U L2 U2 D'
D2 L' R U L2 U2 D2
D2 L' R U L2 D U2
D2 L' R U L2 D' U2
D2 L' R U L2 D2 U2
D' L' R U L2 U2 D
D' L' R U L2 U2 D'
D' L' R U L2 U2 D2
D' L' R U L2 D U2
D' L' R U L2 D' U2
D' L' R U L2 D2 U2
D2 L' R U' R D2 R2
D2 L' R U' R' D2 R2
D2 L' R U' R2 D2 R2
D2 L' R U' D2 R2 D
D2 L' R U' D2 R2 D'
D2 L' R U' D2 R2 D2
D' L' R U' R D2 R2
D' L' R U' R' D2 R2
D' L' R U' R2 D2 R2
D' L' R U' D2 R2 D
D' L' R U' D2 R2 D'
D' L' R U' D2 R2 D2
R2 L' U2 D' B2 L U
U' L' R U L2 U2 L'
D2 L' R U2 D' B2 U
D' L' R U2 D' B2 U
U2 L' R U L2 U2 L2
D L' R U L2 U2 D
D L' R U L2 U2 D'
D L' R U L2 U2 D2
D L' R U L2 D U2
D L' R U L2 D' U2
D L' R U L2 D2 U2
F2 L' R U' L2 U2 L2
D2 L' R D F2 U' D
D2 L' R D F2 U' D'
D2 L' R D F2 U' D2
D2 L' R D F2 D U'
D2 L' R D F2 D' U'
D2 L' R D F2 D2 U'
U' L' R U' D2 L R2
U' L' R U' D2 R2 L
R L' U2 D' B2 U D
R L' U2 D' B2 U D'
R L' U2 D' B2 U D2
R L' U2 D' B2 D U
R L' U2 D' B2 D' U
R L' U2 D' B2 D2 U
D' L' R D F2 U' D
D' L' R D F2 U' D'
D' L' R D F2 U' D2
D' L' R D F2 D U'
D' L' R D F2 D' U'
D' L' R D F2 D2 U'
D L' R U' R D2 R2
R L' U2 D2 B U R2
D2 L' R D' U2 B2 U
D L' R U' R' D2 R2
R L' U2 D2 B' U R2
D L' R U' R2 D2 R2
R L' U2 D2 B2 U R2
D L' R U' D2 R2 D
D L' R U' D2 R2 D'
D L' R U' D2 R2 D2
B2 L' R U' R2 D L2
D' L' R D' U2 B2 U
D2 L' R D2 U' R2 D
D2 L' R D2 U' R2 D'
D2 L' R D2 U' R2 D2
D2 L' R D2 F U' R2
D2 L' R D2 F' U' R2
D2 L' R D2 F2 U' R2
D L' R U2 D' B2 U
U' L' R D F2 U' L
D' L' R D2 U' R2 D
D' L' R D2 U' R2 D'
D' L' R D2 U' R2 D2
U L' R U L2 R' U2
D' L' R D2 F U' R2
D' L' R D2 F' U' R2
U L' R U R' L2 U2
D' L' R D2 F2 U' R2
D2 L' R F U L2 U2
D2 L' R F U' D2 R2
D2 L' R F D F2 U'
D2 L' R F D2 U' R2
D' L' R F U L2 U2
D L' R D F2 U' D
D L' R D F2 U' D'
D L' R D F2 U' D2
D L' R D F2 D U'
D L' R D F2 D' U'
D L' R D F2 D2 U'
D' L' R F U' D2 R2
D' L' R F D F2 U'
D2 L' R F' U L2 U2
D' L' R F D2 U' R2
D2 L' R F' U' D2 R2
D2 L' R F' D F2 U'
U' L' R D2 U' L R2
U' L' R D2 U' R2 L
D2 L' R F' D2 U' R2
D L' R D' U2 B2 U
D' L' R F' U L2 U2
D' L' R F' U' D2 R2
R L' U2 B U D2 R2
R L' U2 B U' L2 U2
D' L' R F' D F2 U'
D2 L' R F2 U L2 U2
D' L' R F' D2 U' R2
D2 L' R F2 U' D2 R2
R L' U2 B D' B2 U
R L' U2 B D2 U R2
D2 L' R F2 D F2 U'
D2 L' R F2 D2 U' R2
D L' R D2 U' R2 D
D L' R D2 U' R2 D'
D L' R D2 U' R2 D2
D L' R D2 F U' R2
D L' R D2 F' U' R2
D L' R D2 F2 U' R2
D' L' R F2 U L2 U2
D' L' R F2 U' D2 R2
R L' U2 B' U D2 R2
D' L' R F2 D F2 U'
R L' U2 B' U' L2 U2
D' L' R F2 D2 U' R2
R L' U2 B' D' B2 U
R L' U2 B' D2 U R2
R' L' D R F2 U' B2
D L' R F U L2 U2
D L' R F U' D2 R2
L' R' D R F2 U' B2
D L' R F D F2 U'
D L' R F D2 U' R2
R L' U2 B2 U D2 R2
R L' U2 B2 U' L2 U2
B2 L' R F B2 U' R2
R L' U2 B2 D' B2 U
R L' U2 B2 D2 U R2
R' L' D R' F2 U' B2
D L' R F' U L2 U2
D L' R F' U' D2 R2
L' R' D R' F2 U' B2
D L' R F' D F2 U'
D L' R F' D2 U' R2
B2 L' R F' B2 U' R2
R' L' D R2 F2 U' B2
D L' R F2 U L2 U2
D L' R F2 U' D2 R2
L' R' D R2 F2 U' B2
D L' R F2 D F2 U'
D L' R F2 D2 U' R2
R L' D L' F2 L U'
B2 L' R F2 B2 U' R2
R2 L' D R F2 R2 U'
R' L' D U' B2 D R2
R L' D L2 F2 L2 U'
R2 L' D R' U' D R2
R2 L' D R' D U' R2
L' R' D U' B2 D R2
R2 L' D R' F2 U' D
R2 L' D R' F2 U' D'
R2 L' D R' F2 U' D2
R2 L' D R' F2 D U'
R2 L' D R' F2 D' U'
R2 L' D R' F2 D2 U'
R L' D R F2 R' U'
B2 L' R B2 U' R2 D
B2 L' R B2 U' R2 D'
B2 L' R B2 U' R2 D2
B2 L' R B2 D' F2 U'
B2 L' R B2 F U' R2
B2 L' R B2 F' U' R2
B2 L' R B2 F2 U' R2
D2 L' R' D F2 U' B2
D' L' R' D F2 U' B2
R' L' D F2 R U' B2
R' L' D F2 R' U' B2
R L' D R2 F2 R2 U'
R' L' D F2 R2 U' B2
R' L' D F2 U' B2 D
R' L' D F2 U' B2 D'
R' L' D F2 U' B2 D2
L' R' D F2 R U' B2
R' L' D F2 D' R2 U'
L' R' D F2 R' U' B2
L' R' D F2 R2 U' B2
L' R' D F2 U' B2 D
L' R' D F2 U' B2 D'
L' R' D F2 U' B2 D2
L' R' D F2 D' R2 U'
R L' D U' R D R2
R L' D U' R' D R2
R L' D U' R2 D R2
R2 L' D F R' F U'
D L' R' D F2 U' B2
R L' D F D F U'
R L' D F D' F U'
R L' D F D2 F U'
R2 L' D F2 R' U' D
R2 L' D F2 R' U' D'
R2 L' D F2 R' U' D2
R2 L' D F2 R' D U'
R2 L' D F2 R' D' U'
R2 L' D F2 R' D2 U'
R2 L' D F2 D R' U'
R2 L' D F2 D' R' U'
R2 L' D F2 D2 R' U'
R L' D F' D F' U'
R L' D F' D' F' U'
R L' D F' D2 F' U'
B2 L' R' B2 R2 U' R2
D2 L' R2 D R' F2 U'
D2 L' R2 D F2 R' U'
D' L' R2 D R' F2 U'
D' L' R2 D F2 R' U'
R2 L' D' R' U' D' R2
R2 L' D' R' U2 B2 U
R2 L' D' R' D' U' R2
R2 L' D' R' D2 F2 U'
D2 L' R2 D2 R' U' R'
D' L' R2 D2 R' U' R'
D L' R2 D R' F2 U'
D L' R2 D F2 R' U'
R2 L' D' U2 B2 L U
R L' D' U' R D' R2
R L' D' U' R' D' R2
D L' R2 D2 R' U' R'
R L' D' U' R2 D' R2
R L' D' U2 B2 U D
R L' D' U2 B2 U D'
R L' D' U2 B2 U D2
R L' D' U2 B2 D U
R L' D' U2 B2 D' U
R L' D' U2 B2 D2 U
R L' D' F U' D' R2
R L' D' F U2 B2 U
R L' D' F D' U' R2
R L' D' F D2 F2 U'
R L' D' F' U' D' R2
R L' D' F' U2 B2 U
R L' D' F' D' U' R2
R L' D' F' D2 F2 U'
R L' D' F2 U' D' R2
R L' D' F2 U2 B2 U
R L' D' F2 D' U' R2
R L' D' F2 D2 F2 U'
D2 L' U L2 U' R U'
D' L' U L2 U' R U'
R' L' D2 U' R2 D' B2
D L' U L2 U' R U'
R' L' D2 U2 L2 U R2
L' R' D2 U' R2 D' B2
R2 L' D2 R' U' R' D
R2 L' D2 R' U' R' D'
R2 L' D2 R' U' R' D2
R2 L' D2 R' U' D R'
R2 L' D2 R' U' D' R'
R2 L' D2 R' U' D2 R'
L' R' D2 U2 L2 U R2
R2 L' D2 R' D U' R'
R2 L' D2 R' D' U' R'
R2 L' D2 R' D2 U' R'
R2 L' D2 R' F U' R'
R2 L' D2 R' F' U' R'
R2 L' D2 R' F2 U' R'
R L' D2 U L U2 R2
R L' D2 U L' U2 R2
R L' D2 U L2 U2 R2
R L' D2 U' R D R
R L' D2 U' R D' R
R L' D2 U' R D2 R
R2 L' D2 F R' U' R'
R L' D2 U' R' D R'
R L' D2 U' R' D' R'
R L' D2 U' R' D2 R'
R L' D2 U' F' R2 F
R L' D2 U' F2 R2 F2
R L' D2 U' B R2 B'
R L' D2 U' B2 R2 B2
R2 L' D2 F' R' U' R'
R L' D2 U2 B U R2
R L' D2 U2 B' U R2
R L' D2 U2 B2 U R2
R L' D2 F U' R2 D
R L' D2 F U' R2 D'
R L' D2 F U' R2 D2
R2 L' D2 F2 R' U' R'
R L' D2 F D' F2 U'
R L' D2 F' U' R2 D
R L' D2 F' U' R2 D'
R L' D2 F' U' R2 D2
R L' D2 F' D' F2 U'
R L' D2 F2 U' R2 D
R L' D2 F2 U' R2 D'
R L' D2 F2 U' R2 D2
R L' D2 F2 D' F2 U'
R' L' F R2 U L2 U2
R' L' F R2 U' D2 R2
R' L' F R2 D F2 U'
R' L' F R2 D2 U' R2
L' R' F R2 U L2 U2
L' R' F R2 U' D2 R2
L' R' F R2 D F2 U'
L' R' F R2 D2 U' R2
R2 L' F R' U L2 U2
R2 L' F R' U' D2 R2
R2 L' F R' D F2 U'
R2 L' F R' D2 U' R2
B2 L' U' R' D L2 B2
R' L' F D F2 U' B2
B2 L' U' R' D B2 L2
L' R' F D F2 U' B2
R L' F U L2 U2 D
R L' F U L2 U2 D'
R L' F U L2 U2 D2
R L' F U L2 D U2
R L' F U L2 D' U2
R L' F U L2 D2 U2
R L' F U' R D2 R2
R L' F U' R' D2 R2
R L' F U' R2 D2 R2
R L' F U' D2 R2 D
R L' F U' D2 R2 D'
R L' F U' D2 R2 D2
R2 L' F D R' F2 U'
R2 L' F D F2 R' U'
R L' F U2 D' B2 U
R2 L' F D2 R' U' R'
R L' F D F2 U' D
R L' F D F2 U' D'
R L' F D F2 U' D2
R L' F D F2 D U'
R L' F D F2 D' U'
R L' F D F2 D2 U'
R L' F D' U2 B2 U
R L' F D2 U' R2 D
R L' F D2 U' R2 D'
R L' F D2 U' R2 D2
R L' F D2 F U' R2
R L' F D2 F' U' R2
R L' F D2 F2 U' R2
R' L' F' R2 U L2 U2
R' L' F' R2 U' D2 R2
R' L' F' R2 D F2 U'
R' L' F' R2 D2 U' R2
L' R' F' R2 U L2 U2
L' R' F' R2 U' D2 R2
L' R' F' R2 D F2 U'
L' R' F' R2 D2 U' R2
R2 L' F' R' U L2 U2
R2 L' F' R' U' D2 R2
R2 L' F' R' D F2 U'
R2 L' F' R' D2 U' R2
R' L' F' D F2 U' B2
L' R' F' D F2 U' B2
R L' F' U L2 U2 D
R L' F' U L2 U2 D'
R L' F' U L2 U2 D2
R L' F' U L2 D U2
R L' F' U L2 D' U2
R L' F' U L2 D2 U2
R L' F' U' R D2 R2
R L' F' U' R' D2 R2
R L' F' U' R2 D2 R2
R L' F' U' D2 R2 D
R L' F' U' D2 R2 D'
R L' F' U' D2 R2 D2
R2 L' F' D R' F2 U'
R2 L' F' D F2 R' U'
R L' F' U2 D' B2 U
R2 L' F' D2 R' U' R'
R L' F' D F2 U' D
R L' F' D F2 U' D'
R L' F' D F2 U' D2
R L' F' D F2 D U'
R L' F' D F2 D' U'
R L' F' D F2 D2 U'
R L' F' D' U2 B2 U
R L' F' D2 U' R2 D
R L' F' D2 U' R2 D'
R L' F' D2 U' R2 D2
R L' F' D2 F U' R2
R L' F' D2 F' U' R2
R L' F' D2 F2 U' R2
L2 R' F2 L R2 U' R'
D2 L' D R U' D R2
R' L' F2 R2 U L2 U2
