U2 R U' F U'
F2 L' U F' U' F'
F2 L' F D R2 F
F2 L' F D F R2
F2 L' F2 U F U'
U2 L2 R U B' U
R' U D F B2 U'
R' U D B2 F U'
R' U D2 F U' L2
R' U F U R2 U2
R' U F U' D2 L2
R' U F D B2 U'
R' U F D2 U' L2
R2 U F U R' U2
U2 R L2 U B' U
R2 U F B2 U' L
R U F U2 F' U
U2 R U' D F U'
U2 R U' D' F U'
U2 R U' D2 F U'
U2 R U' F U' D
U2 R U' F U' D'
U2 R U' F U' D2
U2 R U' F D U'
U2 R U' F D' U'
U2 R U' F D2 U'
U2 R D U' F U'
R2 U B2 F U' L
U2 R D' U' F U'
U2 R D2 U' F U'
L2 U' F2 B' U L'
L2 U' B' U' R U2
L2 U' B' F2 U L'
L' U2 R U B U
L2 U2 R U B' U
R' U2 R2 U' F U'
R2 U2 R' U' F U'
R' D U F B2 U'
R' D U B2 F U'
U2 D R U' F U'
F' U F2 U' F' L'
U2 D' R U' F U'
R' D2 L2 U' B' U
R' D2 U F U' L2
D2 U2 R U' F U'
U2 D2 R U' F U'
D' U2 R U' F U'
D U2 R U' F U'
U F U' F L' F'
U F U2 F U L'
F' D R2 F' L' F2
U F D2 B' U' L
F' D F' L' R2 F2
F' D F' L' F2 R2
F' D F' R2 L' F2
F' D' F' L' F2 R
R' U D B2 D2 F U'
R' U D B2 F U' D
R' U D B2 F U' D'
R' U D B2 F U' D2
R' U D B2 F D U'
R' U D B2 F D' U'
R' U D B2 F D2 U'
R2 U D F U R' U2
R2 U D F B2 U' L
R U D F U2 F' U
R' U D' F U2 F U
R2 U D B2 F U' L
R2 U D' F U R' U2
R2 U D' F B2 U' L
R' U D2 F U' L2 D
R' U D2 F U' L2 D'
R' U D2 F U' L2 D2
R U D' F U2 F' U
R' U D2 F D' B2 U'
R' U D2 F B U' L2
R' U D2 F B' U' L2
R' U D2 F B2 U' L2
R2 U D' B2 F U' L
R' U D2 B F U' L2
R' U D2 B' F U' L2
R' U D2 B2 F U' L2
R2 U D2 F U R' U2
R2 U D2 F B2 U' L
U2 R L' U B' U R'
U2 R L' U' F U' R
R' U F U R2 U2 D
R' U F U R2 U2 D'
R' U F U R2 U2 D2
R' U F U R2 D U2
R' U F U R2 D' U2
R' U F U R2 D2 U2
R U D2 F U2 F' U
R' U F U' L D2 L2
R' U F U' L' D2 L2
R' U F U' L2 D2 L2
R' U F U' D2 L2 D
R' U F U' D2 L2 D'
R' U F U' D2 L2 D2
R2 U D2 B2 F U' L
R' U F U2 D' F2 U
R' U F D B2 U' D
R' U F D B2 U' D'
R' U F D B2 U' D2
R' U F D B2 D U'
R' U F D B2 D' U'
R' U F D B2 D2 U'
R' U F D' U2 F2 U
R' U F D2 U' L2 D
R' U F D2 U' L2 D'
R' U F D2 U' L2 D2
R' U F D2 B U' L2
R' U F D2 B' U' L2
R' U F D2 B2 U' L2
R' U F B U R2 U2
R' U F B U' D2 L2
R' U F B D B2 U'
R' U F B D2 U' L2
R' U F B' U R2 U2
R' U F B' U' D2 L2
R' U F B' D B2 U'
R' U F B' D2 U' L2
R' U F B2 U R2 U2
R' U F B2 U' D2 L2
R' U F B2 D B2 U'
R' U F B2 D2 U' L2
R2 U F U R' U2 D
R2 U F U R' U2 D'
R2 U F U R' U2 D2
R2 U F U R' D U2
R2 U F U R' D' U2
R2 U F U R' D2 U2
R2 U F U D R' U2
R2 U F U D' R' U2
R2 U F U D2 R' U2
U2 R L2 U D B' U
U2 R L2 U D' B' U
U2 R L2 U D2 B' U
U2 R L2 U B' U D
U2 R L2 U B' U D'
U2 R L2 U B' U D2
U2 R L2 U B' D U
U2 R L2 U B' D' U
U2 R L2 U B' D2 U
R2 U F U' B2 L B2
R2 U F D U R' U2
R2 U F D B2 U' L
R U F R2 B R2 U'
U2 R L2 D U B' U
R2 U F D' U R' U2
R2 U F D' B2 U' L
U2 R L2 D' U B' U
R2 U F D2 U R' U2
R2 U F D2 B2 U' L
U2 R L2 D2 U B' U
R U F U2 D F' U
R U F U2 D' F' U
R U F U2 D2 F' U
R U F U2 F' U D
R U F U2 F' U D'
R U F U2 F' U D2
R U F U2 F' D U
R U F U2 F' D' U
R U F U2 F' D2 U
R U F D U2 F' U
R2 U F B2 U' L D
R2 U F B2 U' L D'
R2 U F B2 U' L D2
R2 U F B2 U' D L
R2 U F B2 U' D' L
R2 U F B2 U' D2 L
R2 U F B2 D U' L
R2 U F B2 D' U' L
R2 U F B2 D2 U' L
R U F D' U2 F' U
R U F D2 U2 F' U
R' U F' D B2 U' R2
R U F B U2 F' U
R U F B' U2 F' U
R U F B2 U2 F' U
U2 R U L2 B' L2 U
D2 R U F U2 F' U
D' R U F U2 F' U
F' R U F2 U' F' L'
D R U F U2 F' U
R' U F2 D F' B2 U'
R' U F2 D B2 F' U'
U2 R U B U2 F U'
U2 R U B' U2 F U'
R' U F2 D2 F' U' L2
U2 R U B2 U2 F U'
L' U F2 B' U' L' R'
L' U F2 B' U' R' L'
L2 U F2 U2 B' U L'
U2 R U' R F R' U'
U2 R U' R2 F R2 U'
U2 R U' D F U' D
U2 R U' D F U' D'
U2 R U' D F U' D2
U2 R U' D F D U'
U2 R U' D F D' U'
U2 R U' D F D2 U'
U2 R U' D' F U' D
U2 R U' D' F U' D'
U2 R U' D' F U' D2
U2 R U' D' F D U'
U2 R U' D' F D' U'
U2 R U' D' F D2 U'
U2 R U' D2 F U' D
U2 R U' D2 F U' D'
U2 R U' D2 F U' D2
U2 R U' D2 F D U'
U2 R U' D2 F D' U'
U2 R U' D2 F D2 U'
L' U B U L R U2
L' U B U R L U2
U2 R U' F' U' D R2
U2 R U' F' D U' R2
R U F2 D' F' U' L2
U2 R U' F2 D F' U'
U2 R U' F2 D' F' U'
U2 R U' F2 D2 F' U'
R' U B D F B2 U'
R U F2 D2 F' B2 U'
U R U' R' F U' F'
R' U B D B2 F U'
R U F2 D2 B2 F' U'
R' U B D2 F U' L2
R' U B F U R2 U2
R' U B F U' D2 L2
R' U B F D B2 U'
R' U B F D2 U' L2
U2 R U2 R U F U'
U2 R U2 R' U F U'
U2 R U2 R2 U F U'
L2 U B D2 F2 U' L'
L' U B' U R U2 R2
U2 R U2 F' D R2 F
U2 R U2 F' D F R2
L' U B' U' R' D2 L2
R' U B' D F B2 U'
R' U B' D B2 F U'
R U B F U2 F' U
R' U B' D2 F U' L2
R' U B' F U R2 U2
R' U B' F U' D2 L2
R' U B' F D B2 U'
R' U B' F D2 U' L2
L2 U B' U R U2 R'
F' R D R2 F' L' F2
U2 R D L2 U B' U
L' U B' F2 U' L' R'
L' U B' F2 U' R' L'
F' R D F' L' R2 F2
F' R D F' L' F2 R2
F' R D F' R2 L' F2
U2 R D U' F U' D
U2 R D U' F U' D'
U2 R D U' F U' D2
U2 R D U' F D U'
U2 R D U' F D' U'
U2 R D U' F D2 U'
R2 U B' D2 F U' L'
R' U B2 D F B2 U'
R' U B2 D B2 F U'
R U B' F U2 F' U
R' U B2 D2 F U' L2
R' U B2 F U R2 U2
R' U B2 F U' D2 L2
R' U B2 F D B2 U'
R' U B2 F D2 U' L2
U2 R D' L2 U B' U
R2 U B2 D F U' L
F' R D' F' L' F2 R
R2 U B2 D' F U' L
U2 R D' U' F U' D
U2 R D' U' F U' D'
U2 R D' U' F U' D2
U2 R D' U' F D U'
U2 R D' U' F D' U'
U2 R D' U' F D2 U'
R2 U B2 D2 F U' L
R2 U B2 F U' L D
R2 U B2 F U' L D'
R2 U B2 F U' L D2
R2 U B2 F U' D L
R2 U B2 F U' D' L
R2 U B2 F U' D2 L
R2 U B2 F D U' L
R2 U B2 F D' U' L
R2 U B2 F D2 U' L
R U B2 F U2 F' U
U2 R D2 L2 U B' U
U2 R D2 U' F U' D
U2 R D2 U' F U' D'
U2 R D2 U' F U' D2
U2 R D2 U' F D U'
U2 R D2 U' F D' U'
U2 R D2 U' F D2 U'
U R F R' U R U2
U2 R F' D F U2 R2
U2 R F' D' L2 U2 B'
U2 R F' D' F L2 U2
U R F' R' F2 U' L'
L2 U' D F2 B' U L'
L2 U' D B' U' R U2
L2 U' D B' F2 U L'
R' U' D' F2 U2 F' U'
L2 U' D' F2 B' U L'
L2 U' D' B' U' R U2
L2 U' D' B' F2 U L'
L2 U' D2 F2 B' U L'
L2 U' D2 B' U' R U2
L2 U' D2 B' F2 U L'
R' U' F U' R2 U2 R2
F2 R' L' F' D' F' R
R2 U' F U' R' U2 R
L2 U' F D2 B' U L
R' U' F' D2 B2 U L2
D2 R' U D F B2 U'
D' R' U D F B2 U'
D2 R' U D B2 F U'
D' R' U D B2 F U'
D2 R' U D2 F U' L2
D' R' U D2 F U' L2
D2 R' U F U R2 U2
D2 R' U F U' D2 L2
D2 R' U F D B2 U'
D' R' U F U R2 U2
D2 R' U F D2 U' L2
D' R' U F U' D2 L2
D' R' U F D B2 U'
D' R' U F D2 U' L2
F' R' U F2 U' F' L'
R2 U' F' D2 B2 U L
D R' U D F B2 U'
D R' U D B2 F U'
D R' U D2 F U' L2
D R' U F U R2 U2
D R' U F U' D2 L2
D R' U F D B2 U'
D R' U F D2 U' L2
L2 U' F2 D B' U L'
L2 U' F2 D' B' U L'
L2 U' F2 D2 B' U L'
L2 U' F2 B' U L' D
L2 U' F2 B' U L' D'
L2 U' F2 B' U L' D2
L2 U' F2 B' U D L'
L2 U' F2 B' U D' L'
L2 U' F2 B' U D2 L'
L2 U' F2 B' D U L'
L2 U' F2 B' D' U L'
L2 U' F2 B' D2 U L'
U2 R' U' D F B2 U'
U2 R' U' D B2 F U'
U2 R' U' D2 F U' L2
U2 R' U' F U R2 U2
U2 R' U' F U' D2 L2
U2 R' U' F D B2 U'
U2 R' U' F D2 U' L2
D2 R' U2 R2 U' F U'
D' R' U2 R2 U' F U'
D R' U2 R2 U' F U'
R U' B U2 F B' U'
R U' B U2 B' F U'
L2 U' B' U F2 L' F2
L2 U' B' U' R U2 D
L2 U' B' U' R U2 D'
L2 U' B' U' R U2 D2
L2 U' B' U' R D U2
L2 U' B' U' R D' U2
L2 U' B' U' R D2 U2
L2 U' B' U' D R U2
L2 U' B' U' D' R U2
L2 U' B' U' D2 R U2
D2 R' D U F B2 U'
D' R' D U F B2 U'
D2 R' D U B2 F U'
D' R' D U B2 F U'
F' R' D R2 F' L' F2
L2 U' B' D U' R U2
L2 U' B' D F2 U L'
L2 U' B' D' U' R U2
L2 U' B' D' F2 U L'
L2 U' B' D2 U' R U2
L2 U' B' D2 F2 U L'
F' R' D F' L' R2 F2
F' R' D F' L' F2 R2
F' R' D F' R2 L' F2
L2 U' B' F2 U L' D
L2 U' B' F2 U L' D'
L2 U' B' F2 U L' D2
L2 U' B' F2 U D L'
L2 U' B' F2 U D' L'
L2 U' B' F2 U D2 L'
L2 U' B' F2 D U L'
L2 U' B' F2 D' U L'
L2 U' B' F2 D2 U L'
U2 R' D U' F B2 U'
U2 R' D U' B2 F U'
D R' D U F B2 U'
R U' B' U2 F B U'
R U' B' U2 B F U'
D R' D U B2 F U'
U R' D R F B2 U'
U R' D R B2 F U'
L' U2 L R U B U
R2 U' B2 U2 F U' L
F' R' D' F' L' F2 R
U R' D B2 R F U'
R U' B2 U2 F B2 U'
R U' B2 U2 B2 F U'
D2 R' D2 L2 U' B' U
D' R' D2 L2 U' B' U
L U2 L R U B' U
D2 R' D2 U F U' L2
D' R' D2 U F U' L2
L' U2 L' R U B U
D R' D2 L2 U' B' U
U2 R' D2 U' F U' L2
D R' D2 U F U' L2
U R' D2 R F U' L2
L U2 L' R U' F U'
R' U2 L2 R2 U B' U
L' U2 L2 R U B U
L2 U2 L2 R U' F U'
R2 U2 L2 R' U B' U
L' U2 R L U B U
L' U2 R L' U B U
L' U2 R L2 U B U
L' U2 R U D B U
L' U2 R U D' B U
R U2 L2 U B' U L2
L' U2 R U D2 B U
L' U2 R U B U D
L' U2 R U B U D'
L' U2 R U B U D2
L' U2 R U B D U
L' U2 R U B D' U
L' U2 R U B D2 U
L' U2 R D U B U
L' U2 R D' U B U
L2 U2 R L2 U' F U'
L' U2 R D2 U B U
L2 U2 R U D B' U
L2 U2 R U D' B' U
L2 U2 R U D2 B' U
L2 U2 R U B' U D
L2 U2 R U B' U D'
L2 U2 R U B' U D2
L2 U2 R U B' D U
L2 U2 R U B' D' U
L2 U2 R U B' D2 U
L2 U2 R D U B' U
L2 U2 R D' U B' U
L U2 R L U B' U
L2 U2 R D2 U B' U
L U2 R L' U' F U'
R2 U2 R' L2 U B' U
R2 U2 R' U' D F U'
R2 U2 R' U' D' F U'
R2 U2 R' U' D2 F U'
R2 U2 R' U' F U' D
R2 U2 R' U' F U' D'
R2 U2 R' U' F U' D2
R2 U2 R' U' F D U'
R2 U2 R' U' F D' U'
R2 U2 R' U' F D2 U'
R' U2 R2 L2 U B' U
R2 U2 R' D U' F U'
R' U2 R2 U' D F U'
R' U2 R2 U' D' F U'
R' U2 R2 U' D2 F U'
R' U2 R2 U' F U' D
R' U2 R2 U' F U' D'
R' U2 R2 U' F U' D2
R' U2 R2 U' F D U'
R' U2 R2 U' F D' U'
R' U2 R2 U' F D2 U'
R2 U2 R' D' U' F U'
R2 U2 R' D2 U' F U'
R' U2 R2 D U' F U'
R' U2 R2 D' U' F U'
R' U2 R2 D2 U' F U'
L' U2 D R U B U
L2 U2 D R U B' U
R2 U2 D R' U' F U'
L' U2 D' R U B U
L2 U2 D' R U B' U
R2 U2 D' R' U' F U'
L' U2 D2 R U B U
L2 U2 D2 R U B' U
R2 U2 D2 R' U' F U'
F2 R2 L' U' B U F2
L U2 D2 R U' F' U'
F2 R2 L' F2 U' B U
D2 R2 U F U R' U2
D' R2 U F U R' U2
D2 R2 U F B2 U' L
D' R2 U F B2 U' L
F' R2 U F2 U' F' L'
B2 R2 U F U' B2 L
D2 R2 U B2 F U' L
D' R2 U B2 F U' L
D R2 U F U R' U2
D R2 U F B2 U' L
D R2 U B2 F U' L
U2 R2 U' F U R' U2
U2 R2 U' F B2 U' L
F2 R2 U' B U L' F2
D2 R2 U2 R' U' F U'
D' R2 U2 R' U' F U'
U2 R2 U' B2 F U' L
D R2 U2 R' U' F U'
F' R2 D R2 F' L' F2
U2 R2 D R' U' F U'
F' R2 D F' L' R2 F2
F' R2 D F' L' F2 R2
F' R2 D F' R2 L' F2
U2 R2 D' R' U' F U'
F' R2 D' F' L' F2 R
U R2 D F U' B2 L
U2 R2 D2 R' U' F U'
B2 R2 F U' F' B2 L
B2 R2 F U' B2 L F'
B2 R2 F U' B2 F' L
R' D R U F B2 U'
R' D R U B2 F U'
U R2 F R2 U R U2
U R2 F U' D B2 L
U R2 F D U' B2 L
U R2 F B2 R2 U' L
R' D R' U F B2 U'
R' D R' U B2 F U'
U R2 F' R2 F2 U' L'
R' D R2 U F B2 U'
R' D R2 U B2 F U'
F R2 F2 D R2 F' L'
F2 R2 B U B' L' F2
R' D U F U' D L2
R' D U F D U' L2
R' D U F B2 U' D
R' D U F B2 U' D'
R' D U F B2 U' D2
R' D U F B2 D U'
R' D U F B2 D' U'
R' D U F B2 D2 U'
R' D U B2 D F U'
R' D U B2 D' F U'
R' D U B2 D2 F U'
R' D U B2 F U' D
R' D U B2 F U' D'
R' D U B2 F U' D2
R' D U B2 F D U'
R' D U B2 F D' U'
R' D U B2 F D2 U'
R2 D U F U R' U2
R2 D U F B2 U' L
B2 R2 B2 U F U' L
B R2 B2 L D' B R'
R2 D U B2 F U' L
R D U F U2 F' U
L' D U2 R U B U
L2 D U' F2 B' U L'
L2 D U' B' U' R U2
U R2 B2 R2 F U' L
L2 D U' B' F2 U L'
L2 D U2 R U B' U
F2 U L F' U' L2 F'
F2 U L F' U' F' L2
U R2 B2 F R2 U' L
R2 D U2 R' U' F U'
R' D F B2 U' F' B2
R' D F B2 U' B2 F'
R' D F' D R2 F L2
R' D F' D F L2 R2
R' D F' D F R2 L2
U2 D L2 R U B' U
F2 U L2 F' U' L F'
F2 U L2 F' U' F' L
U2 D R L2 U B' U
L D F' R F' L' F2
U2 D R U' D F U'
U2 D R U' D' F U'
U2 D R U' D2 F U'
U2 D R U' F U' D
U2 D R U' F U' D'
U2 D R U' F U' D2
U2 D R U' F D U'
U2 D R U' F D' U'
U2 D R U' F D2 U'
U2 D R D U' F U'
U2 D R D' U' F U'
U2 D R D2 U' F U'
L D F2 L' F R F
B2 U R2 F U' B2 L
D' U F U' F L' F'
D' U F U2 F U L'
D2 U F U' F L' F'
D2 U F U2 F U L'
R' D B2 F U' F' B2
R' D B2 F U' B2 F'
D' U F D2 B' U' L
D2 U F D2 B' U' L
F2 U D' L2 F' U' L
D U F U' F L' F'
D U F U2 F U L'
D U F D2 B' U' L
U D F U' F L' F'
U D F U2 F U L'
U D F D2 B' U' L
R' D' L2 U' F2 B' U
R' D' L2 U' B' F2 U
B U F U' D2 B' L
B U F D2 U' B' L
F2 U F' U' F L' F2
F' U F2 L' B' U' F'
F' U F2 U' L F' L'
F' U F2 U' L' F' L'
F' U F2 U' L2 F' L'
F' U F2 U' D F' L'
F' U F2 U' D' F' L'
F' U F2 U' D2 F' L'
F' U F2 U' F' L' D
F' U F2 U' F' L' D'
F' U F2 U' F' L' D2
F' U F2 U' F' D L'
F' U F2 U' F' D' L'
F' U F2 U' F' D2 L'
F' U F2 D U' F' L'
F' U F2 D' U' F' L'
F' U F2 D2 U' F' L'
F' U F2 B U' F' L'
F' U F2 B' U' F' L'
F' U F2 B2 U' F' L'
F' U B F2 U' F' L'
R' D' U F U2 F U
F' U B' F2 U' F' L'
R' D' U' F2 U2 F' U'
R2 D' U F U R' U2
R2 D' U F B2 U' L
U2 D' L2 R U B' U
F' U B2 F2 U' F' L'
R2 D' U B2 F U' L
L' D' U2 R U B U
L2 D' U' F2 B' U L'
R D' U F U2 F' U
L2 D' U' B' U' R U2
L2 D' U' B' F2 U L'
L2 D' U2 R U B' U
U2 D' R L2 U B' U
R2 D' U2 R' U' F U'
U2 D' R U' D F U'
U2 D' R U' D' F U'
U2 D' R U' D2 F U'
U2 D' R U' F U' D
U2 D' R U' F U' D'
U2 D' R U' F U' D2
U2 D' R U' F D U'
U2 D' R U' F D' U'
U2 D' R U' F D2 U'
U2 D' R D U' F U'
U2 D' R D' U' F U'
U2 D' R D2 U' F U'
U D' F U' F L' F'
U D' F U2 F U L'
U D' F D2 B' U' L
L D' B R' D2 B' L2
L D' B R' B' D2 L2
F2 U' R2 B U L' F2
F2 U' D R2 B U L'
R' D2 L2 R U' B' U
R' D2 L2 R' U' B' U
R' D2 L2 R2 U' B' U
R' D2 L2 U' D B' U
R' D2 L2 U' D' B' U
R' D2 L2 U' D2 B' U
R' D2 L2 U' B' U D
R' D2 L2 U' B' U D'
R' D2 L2 U' B' U D2
R' D2 L2 U' B' D U
R' D2 L2 U' B' D' U
R' D2 L2 U' B' D2 U
R' D2 L2 D U' B' U
R' D2 L2 D' U' B' U
R' D2 L2 D2 U' B' U
R' D2 L2 B D' R2 B'
R' D2 L2 B D' B' R2
R' D2 R L2 U' B' U
R' D2 R U F U' L2
R' D2 R' L2 U' B' U
R' D2 R' U F U' L2
D' U2 L2 R U B' U
D2 U2 L2 R U B' U
R' D2 R2 L2 U' B' U
R' D2 R2 U F U' L2
U2 D2 L2 R U B' U
D' U2 R L2 U B' U
D' U2 R U' D F U'
D' U2 R U' D' F U'
D' U2 R U' D2 F U'
D' U2 R U' F U' D
D' U2 R U' F U' D'
D' U2 R U' F U' D2
D' U2 R U' F D U'
D' U2 R U' F D' U'
D' U2 R U' F D2 U'
D2 U2 R L2 U B' U
D U2 L2 R U B' U
D' U2 R D U' F U'
D' U2 R D' U' F U'
D2 U2 R U' D F U'
D2 U2 R U' D' F U'
D2 U2 R U' D2 F U'
D2 U2 R U' F U' D
D2 U2 R U' F U' D'
D2 U2 R U' F U' D2
D2 U2 R U' F D U'
D2 U2 R U' F D' U'
D2 U2 R U' F D2 U'
D' U2 R D2 U' F U'
D2 U2 R D U' F U'
D2 U2 R D' U' F U'
D2 U2 R D2 U' F U'
U2 D2 R L2 U B' U
R' D2 U F U' L2 D
R' D2 U F U' L2 D'
R' D2 U F U' L2 D2
R' D2 U F D' B2 U'
R' D2 U F B U' L2
R' D2 U F B' U' L2
R' D2 U F B2 U' L2
U2 D2 R U' D F U'
U2 D2 R U' D' F U'
U2 D2 R U' D2 F U'
U2 D2 R U' F U' D
U2 D2 R U' F U' D'
U2 D2 R U' F U' D2
U2 D2 R U' F D U'
U2 D2 R U' F D' U'
U2 D2 R U' F D2 U'
U2 D2 R D U' F U'
R' D2 U B F U' L2
U2 D2 R D' U' F U'
R' D2 U B' F U' L2
U2 D2 R D2 U' F U'
R' D2 U B2 F U' L2
D U2 R L2 U B' U
D U2 R U' D F U'
D U2 R U' D' F U'
D U2 R U' D2 F U'
D U2 R U' F U' D
D U2 R U' F U' D'
D U2 R U' F U' D2
D U2 R U' F D U'
D U2 R U' F D' U'
D U2 R U' F D2 U'
D U2 R D U' F U'
D U2 R D' U' F U'
D U2 R D2 U' F U'
R2 D2 U F U R' U2
R2 D2 U F B2 U' L
R2 D2 U B2 F U' L
L' D2 U2 R U B U
L2 D2 U' F2 B' U L'
L2 D2 U' B' U' R U2
L2 D2 U' B' F2 U L'
R D2 U F U2 F' U
L2 D2 U2 R U B' U
R2 D2 U2 R' U' F U'
L D2 U2 R U' F' U'
U D2 F U' F L' F'
U D2 F U2 F U L'
U D2 F D2 B' U' L
B2 U2 R U' F U' B2
B U2 R U' F U' B'
R' D2 B' L2 B D' R2
F' U2 D F R2 B L
F' U2 D' L2 B' R' U2
U F L' D' L B' U'
U F R D R' B U'
F' D L R2 F' L' F
F' D L F' L' R2 F
F' D L F' L' F R2
F' D L F' R2 L' F
U F U F' R F U2
U F U' L F L' F'
U F U' L' F L' F'
