F' R' B U F2
D' F' U R F2
F' R U2 F' U' F'
F' R D R2 B U
F' R' D B R2 U
F' R' B R U F2
F' R' B R' U F2
F' R' B R2 U F2
F' R' B U F2 D
F' R' B U F2 D'
F' R' B U F2 D2
F' R' B D R2 U
F R' F2 B U F2
F R' B F2 U F2
F' R2 U F R F
R2 U2 B U' F R
F' U F' D' F' R
R' D' B U F L'
F' D R2 B U R'
D' F' R' U R2 F2
D' F' R' U F2 R2
F' D B R2 U R
D' F' R2 U R' F2
D' F' R2 U F2 R'
D' F' U R F2 D
D' F' U R F2 D'
D' F' U R F2 D2
D' F' U R' F2 R2
D' F' U R2 F2 R'
D' F' D R2 U R'
D' F' B U R F2
D' F' B' U R F2
D F' B U R' F2
D F' B U F2 R'
D' F' B2 U R F2
F2 D' F U F2 R
B' D' F' U R F2
B2 D' F' U R F2
B D' F' U R F2
R' B R F' U F2
R' B U D' F L'
R' B D' U F L'
F' B R' B U F2
D' B F' U R F2
D B F' U R' F2
D B F' U F2 R'
F' B' R' B U F2
B' F' R' B U F2
B2 F' R' B U F2
B F' R' B U F2
D' B' F' U R F2
F' B2 R' B U F2
D' B2 F' U R F2
B' F R' B F2 U F2
F' B R' B R U F2
F' B R' B R' U F2
F' B R' B R2 U F2
F' B R' B U F2 D
F' B R' B U F2 D'
F' B R' B U F2 D2
F' B R' B D R2 U
B2 F R' F2 B U F2
B2 F R' B F2 U F2
F' B R2 U F R F
R' B F' R F' U F'
D' B F' R' U R2 F2
D' B F' R' U F2 R2
D B D2 F' U R' F2
D B D2 F' U F2 R'
D' B F' R2 U R' F2
D' B F' R2 U F2 R'
D' B F' U R F2 D
D' B F' U R F2 D'
D' B F' U R F2 D2
D' B F' U R' F2 R2
D' B F' U R2 F2 R'
D' B F' D R2 U R'
B F R' F2 B U F2
B F R' B F2 U F2
F B R' F2 B U F2
F B R' B F2 U F2
F' B U F' D' F' R
D B F' R U R2 F2
D B F' R U F2 R2
D B F' R2 U R F2
D B F' U R F2 R2
D B F' U R' F2 D
D B F' U R' F2 D'
D B F' U R' F2 D2
D B F' U F R' F
D B F' U F2 R' D
D B F' U F2 R' D'
D B F' U F2 R' D2
D B F' U F2 D R'
D B F' U F2 D' R'
D B F' U F2 D2 R'
D B F' D R2 U R
F' B D R2 B U R'
F' B D B R2 U R
R' B' R F' B2 U F2
R' B' R B2 F' U F2
F2 B D' F U F2 R
R' B' U D' R2 F L'
R' B' U D' F L' R2
R' B' U D' F R2 L'
R2 B' U D F L2 R
R2 B' U D F R L2
R2 B' U F R D L2
R2 B' U F D L2 R
R2 B' U F D R L2
B' F' R U2 F' U' F'
B' F' R D R2 B U
F' B' R U2 F' U' F'
F' B' R D R2 B U
B2 F' R U2 F' U' F'
B2 F' R D R2 B U
B' F' R' D B R2 U
D2 B' D F' U R F2
B' F' R' B R U F2
B' F' R' B R' U F2
B' F' R' B R2 U F2
B' F' R' B U F2 D
B' F' R' B U F2 D'
B' F' R' B U F2 D2
B' F' R' B D R2 U
F' B' R' D B R2 U
B F' R U2 F' U' F'
B F' R D R2 B U
B2 F' R' D B R2 U
B' F' R2 U F R F
F' B' R' B R U F2
F' B' R' B R' U F2
F' B' R' B R2 U F2
F' B' R' B U F2 D
F' B' R' B U F2 D'
F' B' R' B U F2 D2
F' B' R' B D R2 U
B2 F' R' B R U F2
B2 F' R' B R' U F2
B2 F' R' B R2 U F2
B2 F' R' B U F2 D
B2 F' R' B U F2 D'
B2 F' R' B U F2 D2
B2 F' R' B D R2 U
R2 B' U2 B2 U' F R
R' B' D' U R2 F L'
R' B' D' U F L' R2
R' B' D' U F R2 L'
F' B' R2 U F R F
B2 F' R2 U F R F
R2 B' D U F L2 R
R2 B' D U F R L2
B F' R' D B R2 U
B F' R' B R U F2
B F' R' B R' U F2
B F' R' B R2 U F2
B F' R' B U F2 D
B F' R' B U F2 D'
B F' R' B U F2 D2
B F' R' B D R2 U
B' F' U F' D' F' R
B F' R2 U F R F
F B' R' F2 B U F2
F B' R' B F2 U F2
F' B' U F' D' F' R
B2 F' U F' D' F' R
B F' U F' D' F' R
D' B' F' R' U R2 F2
D' B' F' R' U F2 R2
D' B' F' R2 U R' F2
D' B' F' R2 U F2 R'
D' B' F' U R F2 D
D' B' F' U R F2 D'
D' B' F' U R F2 D2
D' B' F' U R' F2 R2
D' B' F' U R2 F2 R'
D' B' F' D R2 U R'
B' F' D R2 B U R'
B' F' D B R2 U R
F' B' D R2 B U R'
D B' F' U' L U2 F2
B2 F' D R2 B U R'
F' B' D B R2 U R
B2 F' D B R2 U R
B F' D R2 B U R'
F2 B' D' F U F2 R
B F' D B R2 U R
R' B2 R F' B' U F2
R' B2 R B' F' U F2
F' B2 R U2 F' U' F'
F' B2 R D R2 B U
F' B2 R' D B R2 U
F' B2 R' B R U F2
F' B2 R' B R' U F2
F' B2 R' B R2 U F2
F' B2 R' B U F2 D
F' B2 R' B U F2 D'
F' B2 R' B U F2 D2
F' B2 R' B D R2 U
F' B2 R2 U F R F
F B2 R' F2 B U F2
F B2 R' B F2 U F2
F' B2 U F' D' F' R
D2 B2 D F' U R F2
R' B2 D B' U F L
R2 B2 U2 B' U' F R
R' B2 D' B' U F L'
F' B2 D R2 B U R'
F' B2 D B R2 U R
B' F2 D' F U F2 R
D' B2 F' R' U R2 F2
D' B2 F' R' U F2 R2
D' B2 F' R2 U R' F2
D' B2 F' R2 U F2 R'
D' B2 F' U R F2 D
D' B2 F' U R F2 D'
D' B2 F' U R F2 D2
D' B2 F' U R' F2 R2
D' B2 F' U R2 F2 R'
D' B2 F' D R2 U R'
B2 F2 D' F U F2 R
F2 B2 D' F U F2 R
B F2 D' F U F2 R
