F R D2 F2 D' L2
D2 U' F U F R
U' D2 F U F R
D' F' D' F2 L2 R
D' F' D' F2 R L2
D2 F2 U' F' U R
F D2 R F2 D' L2
F D2 R F2 D' L2
F' D2 F2 R D L2
F' D2 F2 D L2 R
F' D2 F2 D R L2
D' F' D' F2 R L2 D2
D F' D F2 D2 L2 R
D F' D F2 D2 R L2
R' F' D2 F2 R D L2
R' F' D2 F2 D L2 R
R' F' D2 F2 D R L2
R2 F' D2 F2 R D L2
R2 F' D2 F2 D L2 R
R2 F' D2 F2 D R L2
R F' D2 F2 R D L2
R F' D2 F2 D L2 R
R F' D2 F2 D R L2
D2 F2 L U' F' U R
F D' R2 B' U B R'
F D' R2 B2 U B2 R'
D2 F2 L' U' F' U R
D2 F2 L2 U' F' U R
F' D' F2 L2 D' R F2
F D' F2 D' F2 L2 R
F D' F2 D' F2 R L2
F D' B R2 U R' B'
D2 F2 U' F' U R D
D2 F2 U' F' U R D'
D2 F2 U' F' U R D2
D2 F2 U' F' U D R
D2 F2 U' F' U D' R
D2 F2 U' F' U D2 R
D2 F2 U' F' D U R
D2 F2 U' F' D' U R
D' F2 U' F' R2 U R'
D2 F2 U' F' D2 U R
D2 F2 U' F' B U R
D2 F2 U' F' B' U R
D2 F2 U' F' B2 U R
D2 F2 U' B F' U R
D2 F2 U' B' F' U R
D2 F2 U' B2 F' U R
F D' B2 R2 U R' B2
F D2 L R F2 D' L2
F D2 L' R F2 D' L2
F D2 L2 R F2 D' L2
F' D2 R F2 R D L2
F' D2 R F2 D L2 R
F' D2 R F2 D R L2
F D2 R L F2 D' L2
F' D2 R' F2 R D L2
F D2 R L' F2 D' L2
F' D2 R' F2 D L2 R
F' D2 R' F2 D R L2
F D2 R L2 F2 D' L2
F D2 R F2 L D' L2
F D2 R F2 L' D' L2
F D2 R F2 L2 D' L2
F D2 R F2 U' F2 U
F D2 R F2 D' L2 D
F D2 R F2 D' L2 D'
F D2 R F2 D' L2 D2
F' D2 R2 F2 R D L2
F' D2 R2 F2 D L2 R
F' D2 R2 F2 D R L2
F D2 R' F2 R2 D' L2
F' D2 U B2 U' F2 R
F D2 R2 F2 R' D' L2
F D2 R2 F2 D' L2 R'
F D2 R2 F2 D' R' L2
U2 B L D' B R' U2
F' D2 F D F L2 R
F' D2 F D F R L2
F' D2 F2 L R D L2
F' D2 F2 L D L2 R
F' D2 F2 L D R L2
F' D2 F2 L' R D L2
F' D2 F2 L' D L2 R
F' D2 F2 L' D R L2
F' D2 F2 L2 R D L2
F' D2 F2 L2 D L2 R
F' D2 F2 L2 D R L2
F' D2 F2 R L D L2
F' D2 F2 R L' D L2
F' D2 F2 R L2 D L2
F' D2 F2 R U B2 U'
F' D2 F2 R D L2 D
F' D2 F2 R D L2 D'
F' D2 F2 R D L2 D2
F' D2 F2 R2 D L2 R'
F' D2 F2 R2 D R' L2
F' D2 F2 U B2 U' R
F' D2 F2 D L2 R D
F' D2 F2 D L2 R D'
F' D2 F2 D L2 R D2
F' D2 F2 D L2 D R
F' D2 F2 D L2 D' R
F' D2 F2 D L2 D2 R
F' D2 F2 D R L2 D
F' D2 F2 D R L2 D'
F' D2 F2 D R L2 D2
B2 D2 F2 U F' U R
F' D2 F2 D2 R D' L2
D' B R2 F U R B'
D' B R2 F U B' R
F D2 F2 U' F2 U R
F D2 B U R F2 B'
F D2 B U R B' F2
F D2 B U B' R F2
F' D2 B2 U' F2 R B2
F' D2 B2 U' F2 B2 R
F' D2 B2 U' B2 F2 R
F D2 B' U B R F2
F D2 B2 U R F2 B2
F D2 B2 U R B2 F2
F D2 B2 U B2 R F2
B' F L2 U B R F
U' B F U' B L U2
D2 B F U R F B'
D2 B F U R B' F
D' B F R2 U R' B'
D2 B F U B' R F
B F R2 U F' R' B'
B' F U B R D2 F2
B' F U B D2 R F2
F B R2 U F' R' B'
B' F U' B' U2 R B2
B' F U' B' U2 B2 R
B F U R2 F' R' B'
B F U B' R D2 F2
F B U R2 F' R' B'
B F U B' D2 R F2
B2 F U2 R B2 D L2
F B U B' R D2 F2
F B U B' D2 R F2
B F U' B U2 R B2
B F U' B U2 B2 R
B2 F U2 B2 R D L2
B2 F U2 B2 D L2 R
B2 F U2 B2 D R L2
F B U' B U2 R B2
F B U' B U2 B2 R
B2 F' L' U F2 U B2
B2 F' L' U2 B2 D' L2
F B' L2 U B R F
U' B' F U' B' U2 R'
B2 F' U F2 U R B2
B2 F' U F2 U B2 R
D2 B' F U B R F
F B' U B R D2 F2
F B' U B D2 R F2
F B' U' B' U2 R B2
F B' U' B' U2 B2 R
F' B2 L' U F2 U B2
F' B2 L' U2 B2 D' L2
D' B2 R2 F U R B2
D' B2 R2 F U B2 R
U2 B2 U F B U R'
U2 B2 U B F U R'
F' B2 U F2 U R B2
F' B2 U F2 U B2 R
B2 F2 U F' U R B2
B2 F2 U F' U B2 R
F2 B2 U F' U R B2
F2 B2 U F' U B2 R
D2 B2 F U R F B2
D2 B2 F U R B2 F
D2 B2 F U B2 R F
D' B2 F R2 U R' B2
F B2 U2 R B2 D L2
F B2 U2 B2 R D L2
F B2 U2 B2 D L2 R
F B2 U2 B2 D R L2
