B' U' F' B2 U
B' U' B2 F' U
U' F' B U B2
F' B U F B2
F' B U B2 F
U' B F' U B2
B F' U F B2
B F' U B2 F
D2 B F' U B2 F
F' B U B2 D F
F' B U B2 D' F
F' B U B2 D2 F
F' B U B2 F D
F' B U B2 F D'
F' B U B2 F D2
R2 B F' U' F B2
R2 B F' U' B2 F
D' B F' U F B2
D' B F' U B2 F
D B F' U F B2
D B F' U B2 F
B' F D' L2 F' R2
B' F D' F' L2 R2
B' F D' F' R2 L2
R2 B' U F' B2 U'
R2 B' U B2 F' U'
D2 B' U' F' B2 U
D' B' U' F' B2 U
D2 B' U' B2 F' U
D' B' U' B2 F' U
D B' U' F' B2 U
D B' U' B2 F' U
B F' R U F B2
B F' R U B2 F
B F' R' U F B2
B F' R' U B2 F
B F' R2 U F B2
B F' R2 U B2 F
B F' U F B2 D
B F' U F B2 D'
B F' U F B2 D2
B F' U B2 D F
B F' U B2 D' F
B F' U B2 D2 F
B F' U B2 F D
B F' U B2 F D'
B F' U B2 F D2
F B' D' L2 F' R2
F B' D' F' L2 R2
F B' D' F' R2 L2
U2 L U F' B L U
U2 L U B L F' U
U2 L U B F' L U
B' L U' D' F' U R2
B' L U' F' U D' R2
D' L U' F' L' B U
D2 L U' F' L' B U
B' L U' F' D' U R2
B' L U' F' B2 U D
B' L U' F' B2 U D'
B' L U' F' B2 U D2
B' L U' F' B2 D U
B' L U' F' B2 D' U
B' L U' F' B2 D2 U
D' L U' F' B L' U
D2 L U' F' B L' U
D L U' F' L' B U
D L U' F' B L' U
D' L U' B F' L' U
D2 L U' B F' L' U
B' L U' B2 D F' U
B' L U' B2 D' F' U
B' L U' B2 D2 F' U
B' L U' B2 F' U D
B' L U' B2 F' U D'
B' L U' B2 F' U D2
B' L U' B2 F' D U
B' L U' B2 F' D' U
B' L U' B2 F' D2 U
D L U' B F' L' U
B L D L2 F' U F
B' L D' R2 U B U'
B' L D' U' F' U R2
B' L F D' L2 F' R2
B' L F D' F' L2 R2
B' L F D' F' R2 L2
U' L F' L' B U B2
B L F' R U F B2
B L F' R U B2 F
B L F' R' U F B2
B L F' R' U B2 F
B L F' R2 U F B2
B L F' R2 U B2 F
B L F' U F B2 D
B L F' U F B2 D'
B L F' U F B2 D2
B L F' U B2 D F
B L F' U B2 D' F
B L F' U B2 D2 F
B L F' U B2 F D
B L F' U B2 F D'
B L F' U B2 F D2
U' L F' B L' U B'
B' L F' B2 U F B2
B' L F' B2 U B2 F
F' L B L' U F B'
F' L B L' U B' F
U' L B L' F' U B'
U' L B F' L' U B'
B L B2 U' F' B2 U
B L B2 U' B2 F' U
B' L B2 F' U F B2
B' L B2 F' U B2 F
B' L' U' D' F' U R2
B' L' U' F' U D' R2
B' L' U' F' D' U R2
B' L' U' F' B2 U D
B' L' U' F' B2 U D'
B' L' U' F' B2 U D2
B' L' U' F' B2 D U
B' L' U' F' B2 D' U
B' L' U' F' B2 D2 U
B' L' U' B2 D F' U
B' L' U' B2 D' F' U
B' L' U' B2 D2 F' U
B' L' U' B2 F' U D
B' L' U' B2 F' U D'
B' L' U' B2 F' U D2
B' L' U' B2 F' D U
B' L' U' B2 F' D' U
B' L' U' B2 F' D2 U
B L' D L2 F' U F
B' L' D' R2 U B U'
B' L' D' U' F' U R2
B' L' F D' L2 F' R2
B' L' F D' F' L2 R2
B' L' F D' F' R2 L2
U' L' F' L B U B2
B L' F' R U F B2
B L' F' R U B2 F
B L' F' R' U F B2
B L' F' R' U B2 F
B L' F' R2 U F B2
B L' F' R2 U B2 F
B L' F' U F B2 D
B L' F' U F B2 D'
B L' F' U F B2 D2
B L' F' U B2 D F
B L' F' U B2 D' F
B L' F' U B2 D2 F
B L' F' U B2 F D
B L' F' U B2 F D'
B L' F' U B2 F D2
U' L' F' B L U B'
B' L' F' B2 U F B2
B' L' F' B2 U B2 F
F' L' B L U F B'
F' L' B L U B' F
U' L' B L F' U B'
U' L' B F' L U B'
B L' B2 U' F' B2 U
B L' B2 U' B2 F' U
B' L' B2 F' U F B2
B' L' B2 F' U B2 F
B' L2 U' D' F' U R2
B' L2 U' F' U D' R2
B' L2 U' F' D' U R2
B' L2 U' F' B2 U D
B' L2 U' F' B2 U D'
B' L2 U' F' B2 U D2
B' L2 U' F' B2 D U
B' L2 U' F' B2 D' U
B' L2 U' F' B2 D2 U
B' L2 U' B2 D F' U
B' L2 U' B2 D' F' U
B' L2 U' B2 D2 F' U
B' L2 U' B2 F' U D
B' L2 U' B2 F' U D'
B' L2 U' B2 F' U D2
B' L2 U' B2 F' D U
B' L2 U' B2 F' D' U
B' L2 U' B2 F' D2 U
B L2 D L2 F' U F
B' L2 D' R2 U B U'
B' L2 D' U' F' U R2
U2 L2 F U F2 B U
U2 L2 F U B F2 U
B' L2 F D' L2 F' R2
B' L2 F D' F' L2 R2
B' L2 F D' F' R2 L2
B L2 F' R U F B2
B L2 F' R U B2 F
B L2 F' R' U F B2
B L2 F' R' U B2 F
U' L2 F' D' L2 B U
B L2 F' R2 U F B2
B L2 F' R2 U B2 F
U' L2 F' D' B L2 U
U' L2 F' D2 B U B
B L2 F' U F B2 D
B L2 F' U F B2 D'
B L2 F' U F B2 D2
B L2 F' U B2 D F
B L2 F' U B2 D' F
B L2 F' U B2 D2 F
B L2 F' U B2 F D
B L2 F' U B2 F D'
B L2 F' U B2 F D2
U' L2 F' B U D2 B2
U' L2 F' B U' F2 U2
U' L2 F' B D' L2 U
U' L2 F' B D2 U B2
B' L2 F' B2 U F B2
B' L2 F' B2 U B2 F
R U R F' U' B' L'
U' L2 B L2 F' U B'
F' L2 B U' F B2 U2
F' L2 B U' B2 F U2
U' L2 B F' U D2 B2
U' L2 B F' U' F2 U2
U' L2 B F' D' L2 U
U' L2 B F' D2 U B2
R2 U D F' B U' B2
R2 U D B F' U' B2
B' L2 B2 F' U F B2
B' L2 B2 F' U B2 F
B L2 B2 U' F' B2 U
B L2 B2 U' B2 F' U
R2 U D' F' B U' B2
R2 U D' B F' U' B2
R2 U D2 F' B U' B2
R2 U D2 B F' U' B2
R2 U F' U' B' D L2
R2 U F' D B U' B2
R2 U F' D' B U' B2
R2 U F' D2 B U' B2
R2 U F' B R U' B2
R2 U F' B R' U' B2
R2 U F' B R2 U' B2
R2 U F' B U' B2 D
R2 U F' B U' B2 D'
R2 U F' B U' B2 D2
R2 U F' B D' R2 U'
R2 U B D' F' R2 U'
R2 U B F' R U' B2
R2 U B F' R' U' B2
R2 U B F' R2 U' B2
R2 U B F' U' B2 D
R2 U B F' U' B2 D'
R2 U B F' U' B2 D2
R2 U B F' D' R2 U'
L' U' L F' B U B2
L' U' L B F' U B2
L U' L F' L' B U
L U' L F' B L' U
L U' L B F' L' U
L U' L' F' L' B U
L U' L' F' B L' U
B R F U F' L' B2
B R F U F' B2 L'
B R F U B2 F' L'
L U' L' B F' L' U
L2 U' L2 F' B U B2
L2 U' L2 B F' U B2
L U' L2 F' L' B U
L U' L2 F' B L' U
L U' L2 B F' L' U
L U' D F' L' B U
L U' D F' B L' U
L U' D B F' L' U
L U' D' F' L' B U
L U' D' F' B L' U
L U' D' B F' L' U
L U' D2 F' L' B U
L U' D2 F' B L' U
L U' D2 B F' L' U
L' U' F' L B U B2
L' U' F' B L U B'
L U' F' L B L2 U
F' R' U R F R B'
F' R' U R F B' R
F' R' U R B' F R
L U' F' L' D B U
L U' F' L' D' B U
L U' F' L' D2 B U
L U' F' L' B U D
L U' F' L' B U D'
L U' F' L' B U D2
L U' F' L' B D U
L U' F' L' B D' U
L U' F' L' B D2 U
F' R' U R' F R B'
F' R' U R' F B' R
F' R' U R' B' F R
F' R' U R2 F R B'
F' R' U R2 F B' R
F' R' U R2 B' F R
L2 U' F' D' L2 B U
F' R' U D F R B'
F' R' U D F B' R
F' R' U D B' F R
L2 U' F' D' B L2 U
F' R' U D' F R B'
F' R' U D' F B' R
F' R' U D' B' F R
L2 U' F' D2 B U B
F' R' U D2 F R B'
F' R' U D2 F B' R
F' R' U D2 B' F R
L2 U' F' B U D2 B2
L2 U' F' B U' F2 U2
L2 U' F' B D' L2 U
F' R' U F R D B'
F' R' U F R D' B'
F' R' U F R D2 B'
F' R' U F R B' D
F' R' U F R B' D'
F' R' U F R B' D2
L2 U' F' B D2 U B2
F' R' U F R' B' R2
F' R' U F D R B'
F' R' U F D B' R
F' R' U F D' R B'
F' R' U F D' B' R
F' R' U F D2 R B'
F' R' U F D2 B' R
F' R' U F B R B2
F' R' U F B' R D
F' R' U F B' R D'
F' R' U F B' R D2
F' R' U F B' D R
F' R' U F B' D' R
F' R' U F B' D2 R
L U' F' D L' B U
F' R' U B F R B2
L U' F' D B L' U
F' R' U B' R F R
F' R' U B' R' F R
F' R' U B' R2 F R
L U' F' D' L' B U
F' R' U B' D F R
F' R' U B' D' F R
F' R' U B' D2 F R
F' R' U B' F R D
F' R' U B' F R D'
F' R' U B' F R D2
F' R' U B' F D R
F' R' U B' F D' R
F' R' U B' F D2 R
L U' F' D' B L' U
L U' F' D2 L' B U
L U' F' D2 B L' U
L U' F' B L' U D
L U' F' B L' U D'
L U' F' B L' U D2
L U' F' B L' D U
L U' F' B L' D' U
L U' F' B L' D2 U
L U' F' B D L' U
L U' F' B D' L' U
L U' F' B D2 L' U
L U' F' B' L' B2 U
L' U' B L F' U B'
L2 U' B L2 F' U B'
L U' B L F' L' U
L' U' B F' L U B'
U R' U' D B' L R'
U R' U' D B' R' L
L U' B L' F' L' U
L U' B L2 F' L' U
L2 U' B F' U D2 B2
L2 U' B F' U' F2 U2
L2 U' B F' D' L2 U
L2 U' B F' D2 U B2
L U' B D F' L' U
L U' B D' F' L' U
L U' B D2 F' L' U
L U' B F' L' U D
L U' B F' L' U D'
L U' B F' L' U D2
L U' B F' L' D U
L U' B F' L' D' U
L U' B F' L' D2 U
L U' B F' D L' U
L U' B F' D' L' U
L U' B F' D2 L' U
F' R' D U F R B'
F' R' D U F B' R
F' R' D U B' F R
L U' B' F' L' B2 U
B' R' D' R2 F L' F'
U R' D U' B' L R'
U R' D U' B' R' L
F' R' D' U F R B'
F' R' D' U F B' R
F' R' D' U B' F R
B' R' D' F L' F' R2
F' R' D2 U F R B'
F' R' D2 U F B' R
F' R' D2 U B' F R
F2 R' F U F R B'
F2 R' F U F B' R
F2 R' F U B' F R
B' R' F' D' R2 F L'
B' R' F' D' F L' R2
B' R' F' D' F R2 L'
F' R' B U F R B2
F' R' B U F B2 R
F' R' B U B2 F R
F' R' B2 U F B R
F' R' B2 U B F R
L2 U2 F U F2 B U
L2 U2 F U B F2 U
B' R2 U D' B U' R2
B' R2 U D2 F2 B U'
B' R2 U D2 B F2 U'
D2 R2 U F' B U' B2
F' R2 U F D R2 B'
D' R2 U F' B U' B2
F' R2 U F D B' R2
F' R2 U F B' D R2
D2 R2 U B F' U' B2
D' R2 U B F' U' B2
B' R2 U B U2 B U
F' R2 U B' F D R2
D R2 U F' B U' B2
D R2 U B F' U' B2
B' R2 U' B2 U2 B' U'
U2 R2 U' F' B U' B2
U2 R2 U' B F' U' B2
F' R2 U2 F' U' F2 B'
F' R2 U2 F' U' B' F2
B' R2 D' R2 U' F' U
B' R2 D' U B U' R2
U R2 D F' B U' B2
U R2 D B F' U' B2
B' R2 D2 U F2 B U'
B' R2 D2 U B F2 U'
U R2 D' F' B U' B2
U R2 D' B F' U' B2
U R2 D2 F' B U' B2
U R2 D2 B F' U' B2
D' R2 F' B U' F B2
D' R2 F' B U' B2 F
D2 R2 F' B U' F B2
D2 R2 F' B U' B2 F
R' D R B' L D' R2
R' D R B' D' L R2
R' D R B' D' R2 L
D R2 F' B U' F B2
D R2 F' B U' B2 F
U R2 F' U' B' D L2
U R2 F' D B U' B2
U R2 F' D' B U' B2
U R2 F' D2 B U' B2
U R2 F' B R U' B2
U R2 F' B R' U' B2
U R2 F' B R2 U' B2
U R2 F' B U' B2 D
U R2 F' B U' B2 D'
U R2 F' B U' B2 D2
U R2 F' B D' R2 U'
D' R2 B F' U' F B2
D' R2 B F' U' B2 F
D2 R2 B F' U' F B2
D2 R2 B F' U' B2 F
D' R2 B' U F' B2 U'
D2 R2 B' U F' B2 U'
D' R2 B' U B2 F' U'
D2 R2 B' U B2 F' U'
D R2 B F' U' F B2
D R2 B F' U' B2 F
U R2 B D' F' R2 U'
U R2 B F' R U' B2
U R2 B F' R' U' B2
U R2 B F' R2 U' B2
U R2 B F' U' B2 D
U R2 B F' U' B2 D'
U R2 B F' U' B2 D2
U R2 B F' D' R2 U'
D R2 B' U F' B2 U'
D R2 B' U B2 F' U'
R2 D U F' B U' B2
R2 D U B F' U' B2
L D U' F' L' B U
L D U' F' B L' U
L D U' B F' L' U
R2 D F' B U' F B2
R2 D F' B U' B2 F
D' U R2 F' B U' B2
F' U R2 F D R2 B'
F' U R2 F D B' R2
D2 U R2 F' B U' B2
F' U R2 F B' D R2
R2 D B F' U' F B2
R2 D B F' U' B2 F
D' U R2 B F' U' B2
D2 U R2 B F' U' B2
B' U R2 B R2 F' U'
F' U R2 B' F D R2
R2 D B' U F' B2 U'
R2 D B' U B2 F' U'
F' U D F B' D' R2
D U R2 F' B U' B2
B U R2 B U' B R2
D U R2 B F' U' B2
F' U D B' D' R2 F
F' U D B' D' F R2
F' U D B' F D' R2
U D R2 F' B U' B2
U D R2 B F' U' B2
F' U D' F B' D' R2
U' D F' U B' D' R2
F' U D' B' D' R2 F
F' U D' B' D' F R2
U' D F' D B U B2
F' U D' B' F D' R2
U' D F' D' B U B2
U' D F' D2 B U B2
U' D F' B L U B2
U' D F' B L' U B2
U' D F' B L2 U B2
U' D F' B U B2 D
U' D F' B U B2 D'
U' D F' B U B2 D2
U' D F' B D L2 U
B U D' R2 B U' R2
F' U D2 F B' D' R2
B' U D2 F2 U2 F U
F' U D2 B' D' R2 F
F' U D2 B' D' F R2
F' U D2 B' F D' R2
U' D B L F' U B2
B' U F U' D' L2 R2
B' U F U' D' R2 L2
U' D B L' F' U B2
F' U F U' B U B2
U' D B L2 F' U B2
B' U F U2 F2 B2 U
B' U F U2 B2 F2 U
F' U F D B' D' R2
B' U F D' U' L2 R2
B' U F D' U' R2 L2
F' U F D' B' D' R2
B' U F D2 F2 B2 U'
B' U F D2 B2 F2 U'
F' U F D2 B' D' R2
F' U F B' R D' R2
F' U F B' R' D' R2
F' U F B' R2 D' R2
F' U F B' U' B2 U
F' U F B' D' R2 D
F' U F B' D' R2 D'
F' U F B' D' R2 D2
U' D B D L2 F' U
U' D B D F' L2 U
F2 U F B U F B2
F2 U F B U B2 F
U' D B F' L U B2
U' D B F' L' U B2
U' D B F' L2 U B2
U' D B F' U B2 D
U' D B F' U B2 D'
U' D B F' U B2 D2
U' D B F' D L2 U
B' U F2 U2 F B2 U
B' U F2 U2 B2 F U
F' U F2 B' D' F' R2
B' U B U2 F' B U
B' U B U2 B F' U
F U F2 B U F B2
F U F2 B U B2 F
F2 U B F U F B2
F2 U B F U B2 F
F' U B' R D' R2 F
F' U B' R D' F R2
F' U B' R F D' R2
F' U B' R' D' R2 F
F' U B' R' D' F R2
F' U B' R' F D' R2
F' U B' R2 D' R2 F
F' U B' R2 D' F R2
F' U B' R2 F D' R2
B' U B' U2 F' B' U
B' U B' U2 B' F' U
F' U B' U' B2 U F
F' U B' D F D2 R2
F' U B' D' R' F R'
F' U B' D' R2 D F
F' U B' D' R2 D' F
F' U B' D' R2 D2 F
F' U B' D' R2 F D
F' U B' D' R2 F D'
F' U B' D' R2 F D2
F' U B' D' F R2 D
F' U B' D' F R2 D'
F' U B' D' F R2 D2
F' U B' D' F' R2 F2
F' U B' F R D' R2
F' U B' F R' D' R2
F' U B' F R2 D' R2
F' U B' F U' B2 U
F' U B' F D' R2 D
F' U B' F D' R2 D'
F' U B' F D' R2 D2
F' U B' F2 D' F' R2
F U B F2 U F B2
F U B F2 U B2 F
R2 D' U F' B U' B2
R2 D' U B F' U' B2
F U B' D' L2 F' R2
F U B' D' F' L2 R2
F U B' D' F' R2 L2
B U B2 U' F' U F
B' U' L B2 L' F' U
L D' U' F' L' B U
L D' U' F' B L' U
L D' U' B F' L' U
B' U' L' F' L B2 U
B' U' L2 F' L2 B2 U
B' U' L2 F' B2 L2 U
B U' L' F' U B2 R'
B' U' L2 B2 L2 F' U
B' U' L2 B2 F' L2 U
R2 D' F' B U' F B2
R2 D' F' B U' B2 F
U D' R2 F' B U' B2
U D' R2 B F' U' B2
D' U' F' U B' D' R2
U' D' F' U B' D' R2
D2 U' F' U B' D' R2
D' U' F' D B U B2
U' D' F' D B U B2
B' U' R' B2 R F' U
U' D' F' D' B U B2
D' U' F' D' B U B2
U' D' F' D2 B U B2
D' U' F' D2 B U B2
U' D' F' B L U B2
D' U' F' B L U B2
D2 U' F' D B U B2
U' D' F' B L' U B2
D' U' F' B L' U B2
U' D' F' B L2 U B2
D' U' F' B L2 U B2
U' D' F' B U B2 D
U' D' F' B U B2 D'
U' D' F' B U B2 D2
D' U' F' B U B2 D
D' U' F' B U B2 D'
D' U' F' B U B2 D2
U' D' F' B D L2 U
D' U' F' B D L2 U
D2 U' F' D' B U B2
D2 U' F' D2 B U B2
D2 U' F' B L U B2
D2 U' F' B L' U B2
D2 U' F' B L2 U B2
D2 U' F' B U B2 D
D2 U' F' B U B2 D'
D2 U' F' B U B2 D2
D2 U' F' B D L2 U
R2 D' B F' U' F B2
R2 D' B F' U' B2 F
D U' F' U B' D' R2
D U' F' D B U B2
R2 D' B' U F' B2 U'
D U' F' D' B U B2
U' D' B L F' U B2
D' U' B L F' U B2
R2 D' B' U B2 F' U'
D U' F' D2 B U B2
D' U' B L' F' U B2
U' D' B L' F' U B2
D U' F' B L U B2
D U' F' B L' U B2
D U' F' B L2 U B2
D U' F' B U B2 D
D U' F' B U B2 D'
D U' F' B U B2 D2
D U' F' B D L2 U
D' U' B L2 F' U B2
U' D' B L2 F' U B2
D2 U' B L F' U B2
B' U' D F' U D2 R2
B' U' D F' U' L2 U2
D2 U' B L' F' U B2
B' U' D F' D' B2 U
B' U' D F' D2 U R2
D2 U' B L2 F' U B2
B2 U' D F' B' U B2
U' D' B D L2 F' U
D' U' B D L2 F' U
U' D' B D F' L2 U
D' U' B D F' L2 U
B2 U' D B' F' U B2
D2 U' B D L2 F' U
D2 U' B D F' L2 U
U' D' B F' L U B2
U' D' B F' L' U B2
U' D' B F' L2 U B2
D' U' B F' L U B2
D' U' B F' L' U B2
D' U' B F' L2 U B2
U' D' B F' U B2 D
U' D' B F' U B2 D'
U' D' B F' U B2 D2
U' D' B F' D L2 U
D' U' B F' U B2 D
D' U' B F' U B2 D'
D' U' B F' U B2 D2
D' U' B F' D L2 U
D2 U' B F' L U B2
D2 U' B F' L' U B2
D2 U' B F' L2 U B2
D2 U' B F' U B2 D
D2 U' B F' U B2 D'
D2 U' B F' U B2 D2
D2 U' B F' D L2 U
B' U' D' F' U R2 D
B' U' D' F' U R2 D'
B' U' D' F' U R2 D2
B' U' D' F' D B2 U
B' U' D' F' B U R2
B' U' D' F' B' U R2
B' U' D' F' B2 U R2
B' U' D' B F' U R2
D U' B L F' U B2
B' U' D' B' F' U R2
B2 U' D' F' B' U B2
D U' B L' F' U B2
B' U' D' B2 F' U R2
D U' B L2 F' U B2
B2 U' D' B' F' U B2
D U' B D L2 F' U
B' U' D2 F' U2 F' U'
D U' B D F' L2 U
B2 U' D2 F' B' U B2
D U' B F' L U B2
D U' B F' L' U B2
D U' B F' L2 U B2
D U' B F' U B2 D
D U' B F' U B2 D'
D U' B F' U B2 D2
D U' B F' D L2 U
B2 U' D2 B' F' U B2
B' U' F U D' L2 R2
B' U' F U D' R2 L2
B' U' F D' U L2 R2
B' U' F D' U R2 L2
B' U' F B2 U D' L2
B' U' F B2 D' U L2
B' U' F' L B2 L' U
B' U' F' L2 B2 L2 U
F2 U' F B U F B2
F2 U' F B U B2 F
B' U' F' R' B2 R U
B' U' F' R2 B2 R2 U
B' U' F' U R D' R2
B' U' F' U R' D' R2
B' U' F' U R2 D' R2
B' U' F' U D' R2 D
B' U' F' U D' R2 D'
B' U' F' U D' R2 D2
B' U' F' U' D L2 U2
B' U' F' U2 D2 F2 U'
B' U' F' D U' L2 U2
B2 U' F' U B D' R2
B' U' F' D' U R2 D
B' U' F' D' U R2 D'
B' U' F' D' U R2 D2
B' U' F' D' B U R2
B' U' F' D' B' U R2
B' U' F' D' B2 U R2
B' U' F' D2 U2 F2 U'
B' U' F' B D B U
B' U' F' B D' B U
B' U' F' B D2 B U
B2 U' F' D B' U B2
B' U' F' B' D B' U
B' U' F' B' D' B' U
B' U' F' B' D2 B' U
B2 U' F' D' B' U B2
B2 U' F' D2 B' U B2
B2 U' F' B' L U B2
B2 U' F' B' L' U B2
B2 U' F' B' L2 U B2
B2 U' F' B' U B2 D
B2 U' F' B' U B2 D'
B2 U' F' B' U B2 D2
B2 U' F' B' D L2 U
B U' F' L' U B2 R'
B U' F' U B2 D' R2
B' U' F2 D' F U R2
B' U' F2 B2 D F U
B' U' F2 B2 D' F U
B' U' F2 B2 D2 F U
B' U' B D F' B U
B' U' B D B F' U
B' U' B D' F' B U
B' U' B D' B F' U
B' U' B D2 F' B U
B' U' B D2 B F' U
B' U' B F' D B U
B' U' B F' D' B U
B' U' B F' D2 B U
F2 U' B F U F B2
F2 U' B F U B2 F
B2 U' B' L F' U B2
B2 U' B' L' F' U B2
F U' F2 B U F B2
F U' F2 B U B2 F
B2 U' B' L2 F' U B2
B' U' B' D F' B' U
B' U' B' D B' F' U
B' U' B' D' F' B' U
B' U' B' D' B' F' U
B' U' B' D2 F' B' U
B' U' B' D2 B' F' U
B2 U' B' D L2 F' U
B2 U' B' D F' L2 U
B' U' B' F' D B' U
B' U' B' F' D' B' U
B' U' B' F' D2 B' U
B' U' B2 L' F' L U
B2 U' B' F' L U B2
B2 U' B' F' L' U B2
B2 U' B' F' L2 U B2
B2 U' B' F' U B2 D
B2 U' B' F' U B2 D'
B2 U' B' F' U B2 D2
B2 U' B' F' D L2 U
B' U' B2 L2 F' L2 U
F U' B F2 U F B2
F U' B F2 U B2 F
B' U' B2 D F' U D
B' U' B2 D F' U D'
B' U' B2 D F' U D2
B' U' B2 D F' D U
B' U' B2 D F' D' U
B' U' B2 D F' D2 U
B' U' B2 D' F' U D
B' U' B2 D' F' U D'
B' U' B2 D' F' U D2
B' U' B2 D' F' D U
B' U' B2 D' F' D' U
B' U' B2 D' F' D2 U
B' U' B2 D2 F' U D
B' U' B2 D2 F' U D'
B' U' B2 D2 F' U D2
B' U' B2 D2 F' D U
B' U' B2 D2 F' D' U
B' U' B2 D2 F' D2 U
B' U' B2 F U D' L2
B' U' B2 F D' U L2
R2 D2 U F' B U' B2
B' U' B2 F2 D F U
B' U' B2 F2 D' F U
B' U' B2 F2 D2 F U
R2 D2 U B F' U' B2
B' U2 L U F' B2 U
F U' B' D' L2 F' R2
B' U2 L U B2 F' U
F U' B' D' F' L2 R2
F U' B' D' F' R2 L2
B' U2 L' U F' B2 U
B' U2 L' U B2 F' U
L D2 U' F' L' B U
L D2 U' F' B L' U
L D2 U' B F' L' U
B' U2 L2 U F' B2 U
U' D2 F' U B' D' R2
B' U2 L2 U B2 F' U
U D2 R2 F' B U' B2
U D2 R2 B F' U' B2
U' D2 F' D B U B2
U' D2 F' D' B U B2
U' D2 F' D2 B U B2
U' D2 F' B L U B2
U' D2 F' B L' U B2
U' D2 F' B L2 U B2
U' D2 F' B U B2 D
U' D2 F' B U B2 D'
U' D2 F' B U B2 D2
U' D2 F' B D L2 U
R2 D2 F' B U' F B2
R2 D2 F' B U' B2 F
U' D2 B L F' U B2
U' D2 B L' F' U B2
U' D2 B L2 F' U B2
U' D2 B D L2 F' U
U' D2 B D F' L2 U
F' U2 R' U' F B' R'
F' U2 R' U' B' R' F
F' U2 R' U' B' F R'
U' D2 B F' L U B2
U' D2 B F' L' U B2
U' D2 B F' L2 U B2
U' D2 B F' U B2 D
U' D2 B F' U B2 D'
U' D2 B F' U B2 D2
U' D2 B F' D L2 U
F' U2 R2 F' U' F2 B'
F' U2 R2 F' U' B' F2
R2 D2 B F' U' F B2
R2 D2 B F' U' B2 F
B' U2 D L2 U F' U
R2 D2 B' U F' B2 U'
R2 D2 B' U B2 F' U'
F2 U2 F B U F B2
F2 U2 F B U B2 F
F2 U2 B F U F B2
F2 U2 B F U B2 F
F U2 F2 B U F B2
F U2 F2 B U B2 F
U' F U B' D' L2 R2
U' F U B' D' R2 L2
F U2 B F2 U F B2
F U2 B F2 U B2 F
U2 F U F2 B U B2
L2 F U F2 B U F
U2 F U B F2 U B2
L2 F U B F2 U F
F U2 B' D' L2 F' R2
F U2 B' D' L2 F' R2
F U2 B' D' F' L2 R2
F U2 B' D' F' R2 L2
U2 F U2 B' D' L2 R2
U2 F U2 B' D' R2 L2
U F U' B' D' L2 R2
U F U' B' D' R2 L2
U F U2 F2 B U B2
U' F D' B U L2 B2
U' F D' B U B2 L2
U F U2 B F2 U B2
B D L2 D F' U F
B D L2 D' F' U F
B D L2 D2 F' U F
B D L2 F' R U F
B D L2 F' R' U F
B D L2 F' R2 U F
