U L U' F L2 B
U L U' F B L2
U L U' B F L2
B L' U L U' F
B L' U' R' U F'
B L' F U' R U
B L' F' U L' U'
L' U L U' F B
L' U L U' B F
B L2 F' L D F2
R U' L' R' F' B
R U' L' R' B F'
R U' R' L' F' B
R U' R' L' B F'
R U' R' B L' F'
B U L U' F L2
B U' R' U L' F'
L' F B U' R U
L2 F' L D F2 B
L2 F' L D B F2
L2 F' L B D F2
L' F' U L' U' B
L' F' B U L' U'
F2 D' F2 L' F B
F2 D' F2 L' B F
F2 D' F2 B L' F
F2 D' B F2 L' F
L' B U L U' F
L' B U' R' U F'
L' B F U' R U
L' B F' U L' U'
F2 B D' F2 L' F
B F2 D' F2 L' F
B' R U' L' R' F' B2
B' R U' L' R' B2 F'
D2 R U' R' L' F' B
D2 R U' R' L' B F'
D2 R U' R' B L' F'
D' R U' R' L' F' B
D' R U' R' L' B F'
D' R U' R' B L' F'
B' R U' R' L' F' B2
B' R U' R' L' B2 F'
B' R U' R' B2 L' F'
D R U' L' R' F' B
D R U' L' R' B F'
B2 R U' R' B' L' F'
D R U' R' L' F' B
D R U' R' L' B F'
D R U' R' B L' F'
R U' L R' F' L2 B
R U' L R' F' B L2
R U' L R' B L2 F'
R U' L R' B F' L2
R2 U' L' R' F' R' B
R U' L' R' D F' B
R U' L' R' D B F'
R U' L' R' D' F' B
R U' L' R' D' B F'
R U' L' R' D2 F' B
R U' L' R' D2 B F'
R U' L' R' F' D B
R U' L' R' F' D' B
R U' L' R' F' D2 B
R U' L' R' F' B D
R U' L' R' F' B D'
R U' L' R' F' B D2
R U' L' R' B D F'
R U' L' R' B D' F'
R U' L' R' B D2 F'
R U' L' R' B F' D
R U' L' R' B F' D'
R U' L' R' B F' D2
R U' L' F R' F' B
R U' L' F R' B F'
R U' L' F' R' F' B
R U' L' F' R' B F'
R U' L' F2 R' F' B
R U' L' F2 R' B F'
R U' L2 R' F' L B
F R F' U L' R' B
F R F' U R' L' B
F R F' U R' B L'
R2 U' R' L' F' R' B
R U' R' L F' L2 B
R U' R' L F' B L2
R U' R' L B L2 F'
R U' R' L B F' L2
R U' R' L' D F' B
R U' R' L' D B F'
R U' R' L' D' F' B
R U' R' L' D' B F'
R U' R' L' D2 F' B
R U' R' L' D2 B F'
R U' R' L' F' D B
R U' R' L' F' D' B
R U' R' L' F' D2 B
R U' R' L' F' B D
R U' R' L' F' B D'
R U' R' L' F' B D2
R U' R' L' B D F'
R U' R' L' B D' F'
R U' R' L' B D2 F'
R U' R' L' B F' D
R U' R' L' B F' D'
R U' R' L' B F' D2
R U' R' L2 F' L B
R U' R' D L' F' B
R U' R' D L' B F'
R U' R' D B L' F'
R U' R' D' L' F' B
R U' R' D' L' B F'
R U' R' D' B L' F'
R U' R' D2 L' F' B
R U' R' D2 L' B F'
R U' R' D2 B L' F'
R U' R' B L F' L2
R U' R' B L' D F'
R U' R' B L' D' F'
R U' R' B L' D2 F'
R U' R' B L' F' D
R U' R' B L' F' D'
R U' R' B L' F' D2
R U' R' B L2 F' L
R U' R' B D L' F'
R U' R' B D' L' F'
R U' R' B D2 L' F'
R U' R' B' L' F' B2
R U' R' B' L' B2 F'
R2 U' R2 D2 L' F B
R2 U' R2 D2 L' B F
R2 U' R2 D2 B L' F
R2 U' R2 B D2 L' F
R U' F R' F' L' B
R U' F R' F' B L'
R U' F R' B F' L'
R' U2 L' B' R D' F2
R U2 R' B L' D F2
R2 U2 R2 B L' D F2
B' R2 U L' B2 R2 F'
L' U2 B' U R' U B2
L' D U L U' F B
L' D U L U' B F
D' U L U' F L2 B
D' U L U' F B L2
D' U L U' B F L2
D2 U L U' F L2 B
D2 U L U' F B L2
D2 U L U' B F L2
B' U L U' F L2 B2
B' U L U' F B2 L2
B' U L U' B2 F L2
B U L U' F L2 D
B U L U' F L2 D'
B U L U' F L2 D2
B U L U' F' L2 F2
B U L U' F2 L2 F'
D U L U' F L2 B
D U L U' F B L2
D U L U' B F L2
B U L D' B2 U' F
U D L U' F L2 B
U D L U' F B L2
U D L U' B F L2
B U L B U' F L2
B U L B' U' F L2
B U L B2 U' F L2
L' D F B U' R U
L' D F' U L' U' B
L2 D F' L D F2 B
L2 D F' L D B F2
L2 D F' L B D F2
L' D F' B U L' U'
B U L2 U' L' F L2
L' D B U L U' F
L' D B U' R' U F'
L' D B F U' R U
L' D B F' U L' U'
B U D L U' F L2
B U D' L U' F L2
B U D2 L U' F L2
B U B L U' F L2
L' D' U L U' F B
L' D' U L U' B F
B U B' L U' F L2
U D' L U' F L2 B
U D' L U' F B L2
U D' L U' B F L2
B U B2 L U' F L2
L' D' F B U' R U
L' D' F' U L' U' B
L2 D' F' L D F2 B
L2 D' F' L D B F2
L2 D' F' L B D F2
L' D' F' B U L' U'
B' U' R' U L' F' B2
B' U' R' U L' B2 F'
B' U' R' U B2 L' F'
B U' R U' B U2 L'
L' D' B U L U' F
B2 U' R' U B' L' F'
L' D' B U' R' U F'
L' D' B F U' R U
L' D' B F' U L' U'
B U' R' U L F' L2
B U' R' U L' D F'
B U' R' U L' D' F'
B U' R' U L' D2 F'
B U' R' U L' F' D
B U' R' U L' F' D'
B U' R' U L' F' D2
B U' R' U L2 F' L
B U' R' U D L' F'
B U' R' U D' L' F'
B U' R' U D2 L' F'
B U' R' D U L' F'
B U' R' D' U L' F'
B U' R' D2 U L' F'
B U' R2 U D2 L' F
B U' R2 D2 U L' F
B U' D R' U L' F'
B U' D' R' U L' F'
B U' D2 R' U L' F'
U D2 L U' F L2 B
U D2 L U' F B L2
U D2 L U' B F L2
L' D2 U L U' F B
L' D2 U L U' B F
L' D2 F B U' R U
L' D2 F' U L' U' B
L2 D2 F' L D F2 B
L2 D2 F' L D B F2
L2 D2 F' L B D F2
L' D2 F' B U L' U'
L' D2 B U L U' F
L' D2 B U' R' U F'
L' D2 B F U' R U
L' D2 B F' U L' U'
L2 F L B U' R U
L2 F R U L R' B
L2 F R U R' L B
L F L2 B U' R U
L' F R' D' R F2 B
L' F R' D' R B F2
L F R U L2 R' B
L F R U R' L2 B
L F R U R' B L2
B U2 B U' L U' L2
B U2 B U2 L' D F2
B U2 B' U R' U L'
B U2 B2 U2 D L' F
B U2 B2 D U2 L' F
B D L' U L U' F
L' F D B U' R U
B D L' U' R' U F'
B D L' F U' R U
B D L' F' U L' U'
L' F D' B U' R U
F2 D R U2 F' R' B
B D L2 F' L D F2
L' F D2 B U' R U
L' F B R' D' R F2
L' F B U' R U D
L' F B U' R U D'
L' F B U' R U D2
L' F B U' R D U
L' F B U' R D' U
L' F B U' R D2 U
L' F B U' D R U
L' F B U' D' R U
L' F B U' D2 R U
L' F B D U' R U
L' F B D' U' R U
L' F B D2 U' R U
L' F B' U' R U B2
L F B L2 U' R U
L' F B2 U' R U B'
L F B U' R U L2
B D U L U' F L2
L' F' L D L' F2 B
L' F' L D L' B F2
L' F' L D B L' F2
L2 F' L U L2 U' B
L' F' L B D L' F2
L2 F' L D F2 D B
L2 F' L D F2 D' B
L2 F' L D F2 D2 B
L2 F' L D F2 B D
L2 F' L D F2 B D'
L2 F' L D F2 B D2
L2 F' L D B F2 D
L2 F' L D B F2 D'
L2 F' L D B F2 D2
L2 F' L D2 B D' F2
L2 F' L F D F2 B
L2 F' L F D B F2
L2 F' L F B D F2
B D U' R' U L' F'
L2 F' L F' D F2 B
L2 F' L F' D B F2
L2 F' L F' B D F2
L2 F' L F2 D F2 B
L2 F' L F2 D B F2
L2 F' L F2 B D F2
L2 F' L B U L2 U'
L2 F' L B D F2 D
L2 F' L B D F2 D'
L2 F' L B D F2 D2
L2 F' L B F D F2
L2 F' L B F' D F2
L2 F' L B F2 D F2
L2 F' L B2 D F2 B'
L2 F' L B2 D B' F2
L F' L D L F2 B
L F' L D L B F2
L F' L D F2 L B
L2 F' L' B L2 D F2
L2 F' L2 B D L' F
L F' L2 U L U' B
F2 D F2 D2 L' F B
F2 D F2 D2 L' B F
F2 D F2 D2 B L' F
F2 D F2 B D2 L' F
B D F2 D' F2 L' F
F2 D B U2 R U2 F'
F2 D B D2 F2 L' F
F2 D B F2 D2 L' F
L' F' U L' U' D B
L' F' U L' U' D' B
L' F' U L' U' D2 B
L' F' U L' U' B D
L' F' U L' U' B D'
L' F' U L' U' B D2
L' F' U L' D U' B
L' F' U L' D' U' B
L' F' U L' D2 U' B
L' F' U D L' U' B
L' F' U D' L' U' B
L' F' U D2 L' U' B
L2 F' U L' U' L2 B
L2 F' U L' U' B L2
L F' U L' U' L' B
L F' U L' U' B L'
F' D' L B D L2 F2
F' D' L B D F2 L2
F2 D' L B D2 F2 L'
L' F' D U L' U' B
L2 F' D L D F2 B
L2 F' D L D B F2
F2 D' L' F2 L' F' B
F2 D' L' F2 L' B F'
L2 F' D L B D F2
F2 D' L' F2 B L' F'
F2 D' L' B F2 L' F'
L' F' D B U L' U'
B D' L' U L U' F
B D' L' U' R' U F'
B D' L' F U' R U
B D' L' F' U L' U'
L' F' D' U L' U' B
L2 F' D' L D F2 B
L2 F' D' L D B F2
L2 F' D' L B D F2
L' F' D' B U L' U'
B D' L2 F' L D F2
L' F' D2 U L' U' B
L2 F' D2 L D F2 B
L2 F' D2 L D B F2
L2 F' D2 L B D F2
L' F' D2 B U L' U'
L' F' B L D L' F2
L' F' B U L' U' D
L' F' B U L' U' D'
L' F' B U L' U' D2
L' F' B U L' D U'
L' F' B U L' D' U'
L' F' B U L' D2 U'
L' F' B U D L' U'
L' F' B U D' L' U'
L' F' B U D2 L' U'
L' F' B D U L' U'
L' F' B D' U L' U'
L' F' B D2 U L' U'
L' F' B' U L' U' B2
L F' B L D L F2
L F' B L D F2 L
L F' B L2 U L U'
L F' B U L' U' L'
B D' U L U' F L2
L' F2 L D' L' F B
L' F2 L D' L' B F
L' F2 L D' B L' F
L' F2 L B D' L' F
B D' U' R' U L' F'
F2 D' F L' F L' B
F2 D' F L' F B L'
F2 D' F L' B F L'
F2 D' F B L' F L'
L2 F2 L2 D' L' F B
L2 F2 L2 D' L' B F
L2 F2 L2 D' B L' F
L F2 L' D' L' F B
L F2 L' D' L' B F
L F2 L' D' B L' F
L2 F2 L2 B D' L' F
L F2 L' B D' L' F
F2 D' F2 L' D F B
F2 D' F2 L' D B F
F2 D' F2 L' D' F B
F2 D' F2 L' D' B F
F2 D' F2 L' D2 F B
F2 D' F2 L' D2 B F
F2 D' F2 L' F D B
F2 D' F2 L' F D' B
F2 D' F2 L' F D2 B
F2 D' F2 L' F B D
F2 D' F2 L' F B D'
F2 D' F2 L' F B D2
F2 D' F2 L' B D F
F2 D' F2 L' B D' F
F2 D' F2 L' B D2 F
F2 D' F2 L' B F D
F2 D' F2 L' B F D'
F2 D' F2 L' B F D2
L' F2 R' D R F' B
L' F2 R' D R B F'
F2 D' F2 B L' D F
F2 D' F2 B L' D' F
F2 D' F2 B L' D2 F
F2 D' F2 B L' F D
F2 D' F2 B L' F D'
F2 D' F2 B L' F D2
F2 D' F2 B' L' F B2
F2 D' F2 B' L' B2 F
F2 D' B L' F2 L' F'
B D' F2 D' F2 L' F
F2 D' B F L' F L'
F2 D' B F2 L' D F
F2 D' B F2 L' D' F
F2 D' B F2 L' D2 F
F2 D' B F2 L' F D
F2 D' B F2 L' F D'
F2 D' B F2 L' F D2
F2 D' B' F2 L' F B2
F2 D' B' F2 L' B2 F
L' F2 D R F' R' B
L' F2 D B R F' R'
B D2 L' U L U' F
B D2 L' U' R' U F'
L' F2 D' L' F L B
B D2 L' F U' R U
B D2 L' F' U L' U'
D2 F2 D' F2 L' F B
D2 F2 D' F2 L' B F
D' F2 D' F2 L' F B
D' F2 D' F2 L' B F
D2 F2 D' F2 B L' F
D' F2 D' F2 B L' F
D2 F2 D' B F2 L' F
L2 F2 D' L B D2 F2
D' F2 D' B F2 L' F
L2 F2 D' L' F L2 B
L2 F2 D' L' F B L2
L2 F2 D' L' B F L2
L' F2 D' B L' F L
B D2 L2 F' L D F2
L' F2 D2 B U' R' U
L' F2 B L D' L' F
D F2 D' F2 L' F B
D F2 D' F2 L' B F
D F2 D' F2 B L' F
D F2 D' B F2 L' F
L' F2 B R' D R F'
D2 F2 B D' F2 L' F
D' F2 B D' F2 L' F
L' F2 B D R F' R'
L' F2 B D' L' F L
L F2 B L' D' L' F
D F2 B D' F2 L' F
B D2 U L U' F L2
U' B L' R' D F' R
U' B L' D R' F' R
D2 B L' U L U' F
D' B L' U L U' F
D2 B L' U' R' U F'
D' B L' U' R' U F'
B D2 U' R' U L' F'
D2 B L' F U' R U
D' B L' F U' R U
D2 B L' F' U L' U'
D' B L' F' U L' U'
L' B L' F' L D F2
D2 B L2 F' L D F2
D B L' U L U' F
D' B L2 F' L D F2
L B L F' L D F2
D B L' U' R' U F'
D B L' F U' R U
D B L' F' U L' U'
U' B R' L' D F' R
L' B R F R' D' F2
D B L2 F' L D F2
L B L2 U L U' F
L B L2 U' R' U F'
L B L2 F U' R U
F2 D2 F2 D L' F B
F2 D2 F2 D L' B F
L B L2 F' U L' U'
F2 D2 F2 D B L' F
B D2 F2 D' F2 L' F
F' D2 B' L B2 D F2
D2 B U L U' F L2
D' B U L U' F L2
L' B U L U' D F
L' B U L U' D' F
L' B U L U' D2 F
L' B U L U' F D
L' B U L U' F D'
L' B U L U' F D2
L' B U L D U' F
L' B U L D' U' F
L' B U L D2 U' F
L' B U L' U B' U2
L' B U D L U' F
L' B U D' L U' F
L' B U D2 L U' F
D2 B U' R' U L' F'
D' B U' R' U L' F'
L' B U' R U' B U2
L' B U' R' U D F'
L' B U' R' U D' F'
L' B U' R' U D2 F'
L' B U' R' U F' D
L' B U' R' U F' D'
L' B U' R' U F' D2
L' B U' R' D U F'
L' B U' R' D' U F'
L' B U' R' D2 U F'
D B U L U' F L2
U' B U' B' R' U L'
L' B U' D R' U F'
L' B U' D' R' U F'
L' B U' D2 R' U F'
L B U L U' F L
F' B L F D L' F2
F' B L F' D F2 L'
F2 B L D' F2 L' F
D B U' R' U L' F'
L' B U2 B U' L U'
L' B U2 B' U R' U
L B U' R' U L2 F'
L B U' R' U F' L2
F2 B L' D' F2 L' F
L' B D U L U' F
L' B D U' R' U F'
L' B D F U' R U
L' B D F' U L' U'
F' B L2 F L' D F2
F2 B L2 D' F2 L' F
L' B D' U L U' F
L' B D' U' R' U F'
L' B D' F U' R U
L' B D' F' U L' U'
L' B D2 U L U' F
L' B D2 U' R' U F'
L' B D2 F U' R U
L' B D2 F' U L' U'
L' B F R' D' R F2
L' B F U' R U D
L' B F U' R U D'
L' B F U' R U D2
L' B F U' R D U
L' B F U' R D' U
L' B F U' R D2 U
L' B F U' D R U
L' B F U' D' R U
L' B F U' D2 R U
L' B F D U' R U
L' B F D' U' R U
L' B F D2 U' R U
L' B F' L D L' F2
L' B F' U L' U' D
L' B F' U L' U' D'
L' B F' U L' U' D2
L' B F' U L' D U'
L' B F' U L' D' U'
L' B F' U L' D2 U'
L' B F' U D L' U'
L' B F' U D' L' U'
L' B F' U D2 L' U'
L' B F' D U L' U'
L' B F' D' U L' U'
L' B F' D2 U L' U'
L' B F2 L D' L' F
L' B F2 R' D R F'
L B F L2 U' R U
D2 B F2 D' F2 L' F
D' B F2 D' F2 L' F
L' B F2 D R F' R'
L' B F2 D' L' F L
L B F U' R U L2
L B F' L D L F2
L B F' L D F2 L
L B F' L2 U L U'
L B F' U L' U' L'
D B F2 D' F2 L' F
L B F2 L' D' L' F
B F U' R U2 B U'
B F U' R' F' R2 U
F2 B U2 D R U2 F'
F B U' R U2 B U'
F B U' R' F' R2 U
U B' L U' F L2 B2
U B' L U' F B2 L2
U B' L U' B2 F L2
F2 B D U2 R U2 F'
F2 B D F2 D2 L' F
F2 B D' L' F2 L' F'
F2 B D' F L' F L'
F2 B D' F2 L' D F
F2 B D' F2 L' D' F
F2 B D' F2 L' D2 F
F2 B D' F2 L' F D
F2 B D' F2 L' F D'
F2 B D' F2 L' F D2
F2 B D2 F2 D L' F
L' B' U L U' F B2
L' B' U L U' B2 F
B F' L F D L' F2
U2 B' U R' U L' B2
U2 B' U R' U B2 L'
B F' L F' D F2 L'
L' B' U' R' U F' B2
L' B' U' R' U B2 F'
B F' L2 F L' D F2
U2 B' U2 B2 L' D F2
L' B' F U' R U B2
L' B' F' U L' U' B2
B2 F' D2 B' L D F2
B F2 L D' F2 L' F
B F2 L' D' F2 L' F
B F2 L2 D' F2 L' F
L' B2 U' R' U F' B'
L' B2 U' R' U B' F'
U2 B2 U2 D B' L' F
U2 B2 U2 B' L' D F2
U2 B2 D U2 B' L' F
B F2 U2 D R U2 F'
L' B2 F U' R U B'
B F2 D U2 R U2 F'
B F2 D F2 D2 L' F
B2 F2 D' F2 B' L' F
B2 F2 D' B' F2 L' F
F2 B2 D' F2 B' L' F
F2 B2 D' B' F2 L' F
B F2 D' L' F2 L' F'
B F2 D' F L' F L'
F' B2 D2 B' L D F2
B F2 D' F2 L' D F
B F2 D' F2 L' D' F
B F2 D' F2 L' D2 F
B F2 D' F2 L' F D
B F2 D' F2 L' F D'
B F2 D' F2 L' F D2
B F2 D2 F2 D L' F
