D' L R F' B' L
D' L R B' L F'
D' L R B' F' L
D' L B' L R F'
D' L B' R L F'
D' L B' R F' L
D' R L F' B' L
D' R L B' L F'
D' R L B' F' L
D' R F' L B' L
D' R F' B' L B'
D' R B' L F' B'
D' R B' L B' F'
D' R B' F' L B'
D' B' L R F' B'
D' B' L R B' F'
D' B' L B' R F'
D' B' R L F' B'
D' B' R L B' F'
D' B' R F' L B'
R2 D F R' L' B F
R2 D F R' B L' F
D' U R L F' B' L
D' U R L B' L F'
D' U R L B' F' L
D' U R F' L B' L
D' U R F' B' L B'
D' U R B' L F' B'
D' U R B' L B' F'
D' U R B' F' L B'
D' U B' L R F' B'
D' U B' L R B' F'
D' U B' L B' R F'
D' U B' R L F' B'
D' U B' R L B' F'
D' U B' R F' L B'
D' U' L R F' B' L
D' U' L R B' L F'
D' U' L R B' F' L
U' D' L R F' B' L
U' D' L R B' L F'
U' D' L R B' F' L
U2 D' L R F' B' L
U2 D' L R B' L F'
U2 D' L R B' F' L
D' U' L B' L R F'
U' D' L B' L R F'
D' U' L B' R L F'
D' U' L B' R F' L
U' D' L B' R L F'
U' D' L B' R F' L
U D' L R F' B' L
U D' L R B' L F'
U D' L R B' F' L
U2 D' L B' L R F'
U2 D' L B' R L F'
U2 D' L B' R F' L
U D' L B' L R F'
U D' L B' R L F'
U D' L B' R F' L
U' D' R L F' B' L
D' U' R L F' B' L
U' D' R L B' L F'
D' U' R L B' L F'
U' D' R L B' F' L
D' U' R L B' F' L
D' U' R F' L B' L
U' D' R F' L B' L
U' D' R F' B' L B'
D' U' R F' B' L B'
U2 D' R L F' B' L
U2 D' R L B' L F'
U2 D' R L B' F' L
U' D' R B' L F' B'
U' D' R B' L B' F'
D' U' R B' L F' B'
D' U' R B' L B' F'
U' D' R B' F' L B'
D' U' R B' F' L B'
U2 D' R F' L B' L
U2 D' R F' B' L B'
U D' R L F' B' L
U D' R L B' L F'
U D' R L B' F' L
U2 D' R B' L F' B'
U2 D' R B' L B' F'
U2 D' R B' F' L B'
U D' R F' L B' L
U D' R F' B' L B'
U D' R B' L F' B'
U D' R B' L B' F'
U D' R B' F' L B'
U' D' B' L R F' B'
U' D' B' L R B' F'
D' U' B' L R F' B'
D' U' B' L R B' F'
U' D' B' L B' R F'
D' U' B' L B' R F'
U' D' B' R L F' B'
U' D' B' R L B' F'
D' U' B' R L F' B'
D' U' B' R L B' F'
U' D' B' R F' L B'
D' U' B' R F' L B'
U2 D' B' L R F' B'
U2 D' B' L R B' F'
U2 D' B' L B' R F'
U2 D' B' R L F' B'
U2 D' B' R L B' F'
U2 D' B' R F' L B'
U D' B' L R F' B'
U D' B' L R B' F'
U D' B' L B' R F'
U D' B' R L F' B'
U D' B' R L B' F'
U D' B' R F' L B'
D' U2 L R F' B' L
D' U2 L R B' L F'
D' U2 L R B' F' L
D' U2 L B' L R F'
D' U2 L B' R L F'
D' U2 L B' R F' L
D' U2 R L F' B' L
D' U2 R L B' L F'
D' U2 R L B' F' L
D' U2 R F' L B' L
D' U2 R F' B' L B'
D' U2 R B' L F' B'
D' U2 R B' L B' F'
D' U2 R B' F' L B'
D' U2 B' L R F' B'
D' U2 B' L R B' F'
D' U2 B' L B' R F'
D' U2 B' R L F' B'
D' U2 B' R L B' F'
D' U2 B' R F' L B'
D F' R F' L' U2 F
B' D' L U' R B' L
B' D' L U' B' L R
B' D' L U' B' R L
L' B R' F L' U R2
D' B' L R D F' B'
D' B' L R D B' F'
D' B' L R D' F' B'
D' B' L R D' B' F'
D' B' L R D2 F' B'
D' B' L R D2 B' F'
D' B' L R F' D B'
D' B' L R F' D' B'
D' B' L R F' D2 B'
D' B' L R F' B' D
D' B' L R F' B' D'
D' B' L R F' B' D2
D' B' L R B' D F'
D' B' L R B' D' F'
D' B' L R B' D2 F'
D' B' L R B' F' D
D' B' L R B' F' D'
D' B' L R B' F' D2
D' B' L B R F' B2
D' B' L B R B2 F'
D' B' L B' R D F'
D' B' L B' R D' F'
D' B' L B' R D2 F'
D' B' L B' R F' D
D' B' L B' R F' D'
D' B' L B' R F' D2
D' B' R L D F' B'
D' B' R L D B' F'
D' B' R L D' F' B'
D' B' R L D' B' F'
D' B' R L D2 F' B'
D' B' R L D2 B' F'
D' B' R L F' D B'
D' B' R L F' D' B'
D' B' R L F' D2 B'
D' B' R L F' B' D
D' B' R L F' B' D'
D' B' R L F' B' D2
D' B' R L B' D F'
D' B' R L B' D' F'
D' B' R L B' D2 F'
D' B' R L B' F' D
D' B' R L B' F' D'
D' B' R L B' F' D2
D' B' R F L F2 B'
D' B' R F L B' F2
D' B' R F' L D B'
D' B' R F' L D' B'
D' B' R F' L D2 B'
D' B' R F' L B' D
D' B' R F' L B' D'
D' B' R F' L B' D2
D' B' U L R F' B'
D' B' U L R B' F'
D' B' U L B' R F'
D' B' U R L F' B'
D' B' U R L B' F'
D' B' U R F' L B'
D' B' U' L R F' B'
D' B' U' L R B' F'
D' B' U' L B' R F'
D' B' U' R L F' B'
D' B' U' R L B' F'
D' B' U' R F' L B'
D' B' U2 L R F' B'
D' B' U2 L R B' F'
D' B' U2 L B' R F'
D' B' U2 R L F' B'
D' B' U2 R L B' F'
D' B' U2 R F' L B'
L B' D' L U' R B'
L B' D' L U' B' R
D' B2 R F' B L B'
D' B2 R B L F' B'
D' B2 R B L B' F'
D' B2 R B F' L B'
