F' B' L B2 D F2
B' F' L B2 D F2
B' F' L B2 F D F2
B' F' L B2 F' D F2
B' F' L B2 F2 D F2
F' B' L F B2 D F2
F' B' L F' B2 D F2
F' B' L F2 B2 D F2
F' B' L B D F2 B
F' B' L B D B F2
F' B' L B' D F2 B'
F' B' L B' D B' F2
F' B' L B2 U L2 U'
F' B' L B2 D F2 D
F' B' L B2 D F2 D'
F' B' L B2 D F2 D2
F' B' L B2 F D F2
F' B' L B2 F' D F2
F' B' L B2 F2 D F2
B' F' L' B2 L2 D F2
U2 B' U R' U L B2
F' B' L' B2 L2 D F2
F B' L U' R U B2
R2 B' U L R2 F B
R2 B' U L R2 B F
R2 B' U R2 L F B
R2 B' U R2 L B F
F B' L B2 U' R U
F2 B' L2 B2 D' L' F
F B' R U L R' B2
F B' R U R' L B2
B' F' U L' U' L2 B2
B' F' U L' U' B2 L2
F' B' U L' U' L2 B2
F' B' U L' U' B2 L2
B F' U L' U R' U2
B F' U L' B2 U' L
L' B' F' L B2 D F2
B F' U B2 L' U' L2
L2 B' F' L B2 D F2
F B' U' R U L B2
B F' U2 R' U' L' U'
B' F' D' L D F2 B2
B' F' D' L D B2 F2
L B' F' L B2 D F2
F' B' D' L D F2 B2
F' B' D' L D B2 F2
B' F2 L2 B2 D' L' F
B F2 U2 D R' B U2
B F2 D U2 R' B U2
