F2 L' U F U2 L
F2 L' U' L2 B' L'
U L2 F2 L' U' B'
D2 R' D' F2 B R2
D2 R' D' B R2 F2
D2 R' D' B F2 R2
L2 F2 L' U' B' L'
U F2 L' U F U2
B2 L2 F2 L' U' B' L'
B L2 F2 L' U' B' L'
U L2 F2 L' R U' B'
U L2 F2 L' R' U' B'
U L2 F2 L' R2 U' B'
U L2 F2 L' U' D B'
U L2 F2 L' U' D' B'
U L2 F2 L' U' D2 B'
U L2 F2 L' U' B' D
U L2 F2 L' U' B' D'
U L2 F2 L' U' B' D2
U L2 F2 L' D U' B'
U L2 F2 L' D' U' B'
U L2 F2 L' D2 U' B'
U L2 F2 R L' U' B'
U L2 F2 R' L' U' B'
U L2 F2 R2 L' U' B'
U L2 F2 D L' U' B'
U L2 F2 D' L' U' B'
U L2 F2 D2 L' U' B'
U' R L U D R2 B'
U' R L U D B' R2
U' R L U B' D R2
U' R L U2 F2 U' B'
U' R L D U R2 B'
U' R L D U B' R2
U' R L D2 B2 U B
F2 R L' U F U2 L
F2 R L' U' L2 B' L'
L2 U F2 L' U' L' B'
R U F2 L U' F2 B'
R U F2 L U' B' F2
D2 R D' R2 D' F2 B
D2 R D' R2 D' B F2
D2 R D' R2 B D' F2
R2 U' D2 R' B2 U B'
F2 R' L' U F U2 L
F2 R' L' U' L2 B' L'
D2 R' U' B2 R2 U B'
D2 R' D B D2 R2 F'
D R' D R' D2 F2 B
D R' D R' D2 B F2
D2 R' D' F B R2 F
D2 R' D' F2 B R2 D
D2 R' D' F2 B R2 D'
D2 R' D' F2 B R2 D2
D2 R' D' F2 B' R2 B2
D2 R' D' F2 B2 R2 B'
D2 R' D' B R' F2 R'
D2 R' D' B R2 F2 D
D2 R' D' B R2 F2 D'
D2 R' D' B R2 F2 D2
D2 R' D' B F R2 F
D2 R' D' B F2 R2 D
D2 R' D' B F2 R2 D'
D2 R' D' B F2 R2 D2
D2 R' D' B' R2 F2 B2
D2 R' D' B' R2 B2 F2
D2 R' D' B' F2 R2 B2
D2 R' D' B2 R2 F2 B'
D2 R' D' B2 R2 B' F2
D2 R' D' B2 F2 R2 B'
D R' D' F2 D2 R' B
D2 R' D2 B D R2 F2
D2 R' D2 B D F2 R2
D2 R' F D' F2 B R2
D2 R' F D' B R2 F2
D2 R' F D' B F2 R2
D2 R' F' D' F2 B R2
D2 R' F' D' B R2 F2
D2 R' F' D' B F2 R2
D2 R' F2 D' F2 B R2
D2 R' F2 D' B R2 F2
D2 R' F2 D' B F2 R2
D2 R' B U' B R2 U
F2 R2 L' U F U2 L
F2 R2 L' U' L2 B' L'
D R2 U' D R' U B
D R2 D U' R' U B
U' R2 D2 R' B2 U B'
D R2 F U' L' R' U
D R2 F U' R' L' U
L D R U R B' L'
L D R U B' L' R
L D R U B' R L'
L D R2 B' D L' F
F' U L F' U' F2 B'
F' U L F' U' B' F2
F2 U L' U F L U2
R D F L' U L R2
R D F L' U R2 L
B' U L2 F2 L' U' B'
B2 U L2 F2 L' U' B'
B U L2 F2 L' U' B'
F' U F' L U' F B'
F' U F' L U' B' F
F U F L' U F U2
B' U F2 L' U F U2
B2 U F2 L' U F U2
B U F2 L' U F U2
D2 U' R U D' R2 B
D2 U' R D' U R2 B
D2 U' R B2 U' F' U2
D2 U' R' B2 R2 U B'
D2 U' B2 R U' F' U2
R' D2 R' D' B R2 F'
R2 D2 R D' R2 F2 B
R2 D2 R D' R2 B F2
U' D2 R U D' R2 B
L D2 R B2 U L' B
L D2 R B2 U B L'
U' D2 R D' U R2 B
U' D2 R B2 U' F' U2
U' D2 R' B2 R2 U B'
R2 D2 U' R' B2 U B'
U' D2 B2 R U' F' U2
L' F U' F L' U' L2
F2 D L' U' D' L B'
F2 D L' D' U' L B'
F' D F' L' R U' L
F' D F' R L' U' L
U F' L2 F' L' U' B'
F2 D' L' U' D L B'
F2 D' L' D U' L B'
U F' D F' L' R U'
U F' D F' R L' U'
U' F2 L' U' D' L2 B'
U' F2 L' D' U' L2 B'
L' F2 L' R2 U' L2 B
L' F2 L' R2 U' B L2
L' F2 L' U F' U2 L2
L2 F2 L' R U' B' L'
L2 F2 L' R' U' B' L'
L2 F2 L' R2 U' B' L'
L2 F2 L' U' D B' L'
L2 F2 L' U' D' B' L'
L2 F2 L' U' D2 B' L'
L2 F2 L' U' B L' B2
L2 F2 L' U' B' L' D
L2 F2 L' U' B' L' D'
L2 F2 L' U' B' L' D2
L2 F2 L' U' B' D L'
L2 F2 L' U' B' D' L'
L2 F2 L' U' B' D2 L'
L2 F2 L' U' B2 L' B
L2 F2 L' D U' B' L'
U F2 L U' D F2 B'
U F2 L U' D B' F2
U F2 L U' B' D F2
L2 F2 L' D' U' B' L'
L2 F2 L' D2 U' B' L'
U F2 L D U' F2 B'
U F2 L D U' B' F2
L2 F2 L' B U' L' B2
L2 F2 L' B U' B2 L'
L2 F2 L' B2 U' L' B
L2 F2 L' B2 U' B L'
U F2 L' R U F U2
U F2 L' R' U F U2
U F2 L' R2 U F U2
U F2 L' U D F U2
U F2 L' U D' F U2
U F2 L' U D2 F U2
U F2 L' U F U2 D
U F2 L' U F U2 D'
U F2 L' U F U2 D2
U F2 L' U F D U2
U F2 L' U F D' U2
U F2 L' U F D2 U2
U F2 L' U' L2 B' L2
U F2 L' U2 L2 U B'
U F2 L' D U F U2
U F2 L' D' U F U2
U F2 L' D2 U F U2
L2 F2 R L' U' B' L'
L2 F2 R' L' U' B' L'
U F2 R L' U F U2
F2 D' B L' R' U' L
L' F2 R2 L' U' L2 B
L' F2 R2 L' U' B L2
F2 D' B R' L' U' L
L2 F2 R2 L' U' B' L'
U F2 R' L' U F U2
D F2 R2 U L' U' B'
U F2 R2 L' U F U2
D F2 U L' U' R2 B'
D F2 U L' U' B' R2
F2 D2 L' R' U' L B
F2 D2 L' U' D2 L B'
F2 D2 L' D2 U' L B'
L2 F2 D' L' B2 U' B
L2 F2 D' B2 L' U' B'
B' D2 R' D' F2 B R2
B' D2 R' D' B R2 F2
B' D2 R' D' B F2 R2
F2 D2 R' L' U' L B
B2 D2 R' D' F2 B R2
B2 D2 R' D' B R2 F2
B2 D2 R' D' B F2 R2
L2 F2 B L' U' B' L'
U F2 D2 L' R' U' B
U F2 D2 R' L' U' B
B D2 R' D' F2 B R2
B D2 R' D' B R2 F2
B D2 R' D' B F2 R2
L2 F2 B' L' U' B' L'
L2 F2 B2 L' U' B' L'
R2 F2 B2 L U' B' L'
F2 B L' U F U2 L
F2 B L' U' L2 B' L'
L2 B F2 L' U' B' L'
L B' L' U F2 L' U'
D2 B' R' B D' R2 F2
D2 B' R' B D' F2 R2
L B' R' D' L' F2 R
F2 B' L' U F U2 L
F2 B' L' U' L2 B' L'
L2 B' F2 L' U' B' L'
B' F2 L' U F U2 L
B' F2 L' U' L2 B' L'
B2 F2 L' U F U2 L
B2 F2 L' U' L2 B' L'
F2 B2 L' U F U2 L
F2 B2 L' U' L2 B' L'
B F2 L' U F U2 L
B F2 L' U' L2 B' L'
R2 B2 U L F2 U' B'
R2 B2 U F2 L U' B'
L2 B2 F2 L' U' B' L'
R2 B2 F2 L U' B' L'
