L2 R U F L R
L2 R U F R L
R L2 U F L R
R L2 U F R L
L2 U F L D R2
L2 U F D L R2
L2 U F D R2 L
L2 U2 F' U' L F2
L2 U2 F' U' F2 L
F' U2 L2 U F L'
L2 F' U L F2 R
U' L2 R U F R L
U2 L2 R U F L R
U2 L2 R U F R L
U L2 R U F L R
U L2 R U F R L
R L2 D2 U F L R
R L2 D2 U F R L
U' L2 U F L D R2
U' L2 U F D L R2
U' L2 U F D R2 L
U2 L2 U F L D R2
U2 L2 U F D L R2
U2 L2 U F D R2 L
U L2 U F L D R2
U L2 U F D L R2
U L2 U F D R2 L
L' R2 B L' U F L
L2 R2 B U D2 F L'
R2 L2 B U D2 F L'
L2 R2 B D2 U F L'
R2 L2 B D2 U F L'
B' L2 U2 F' U' F L
U' L2 U2 F' U' L F2
U' L2 U2 F' U' F2 L
U2 L2 U2 F' U' L F2
U2 L2 U2 F' U' F2 L
U L2 U2 F' U' L F2
U L2 U2 F' U' F2 L
D2 L2 F L D R2 B2
D2 L2 F L D B2 R2
D' L2 F L B2 D R2
D2 L2 F D L R2 B2
D2 L2 F D L B2 R2
D2 L2 F D R2 L B2
D2 L2 F' R2 U' L F2
D2 L2 F' R2 U' F2 L
U' L2 F' U L F2 R
D' L2 F' U' L F2 B2
D' L2 F' U' L B2 F2
D' L2 F' U' F2 L B2
U2 L2 F' U L F2 R
U L2 F' U L F2 R
F2 L2 F2 B' U L' F'
F2 L2 B' U F2 L' F'
F2 L2 B' U' R U2 F
F2 L2 B' F2 U L' F'
L2 U D F L D R2
L2 U D F D L R2
L2 U D F D R2 L
L2 U D' F L D R2
L2 U D' F D L R2
L2 U D' F D R2 L
L2 U D2 F L D R2
L2 U D2 F D L R2
L2 U D2 F D R2 L
L2 U F L R D R2
L2 U F L R' D R2
L2 U F L R2 D R2
L2 U F L U F2 U'
L2 U F L D R2 D
L2 U F L D R2 D'
L2 U F L D R2 D2
L2 U F L2 D L' R2
L2 U F L2 D R2 L'
L2 U F R L D R2
L2 U F R D L R2
L2 U F R D R2 L
L2 U F R' L D R2
L2 U F R' D L R2
L2 U F R' D R2 L
L2 U F R2 L D R2
L2 U F R2 D L R2
L2 U F R2 D R2 L
U' R L2 U F L R
U' R L2 U F R L
L2 U F U F2 U' L
L2 U F D L R2 D
L2 U F D L R2 D'
L2 U F D L R2 D2
U2 R L2 U F L R
U2 R L2 U F R L
L2 U F D R2 L D
L2 U F D R2 L D'
L2 U F D R2 L D2
L2 U F D R2 D L
L2 U F D R2 D' L
L2 U F D R2 D2 L
L2 U F D2 L D' R2
L2 U F' L F2 D R2
U R L2 U F L R
U R L2 U F R L
F2 R U L2 B' U F
L2 U F2 L D F' R
F' R U2 L2 U F L'
L' U' L' R U F R
L' U' L' R2 B U F
L' U' L' U F D R2
L' U' L' U2 F' U' F2
L' U' R L' U F R
L' U' R2 L' B U F
L' U' R2 B L' U F
F2 R B' U L2 B' U
L2 U' F L D R2 B
L2 U' F D L R2 B
L2 U' F D R2 L B
F' R' U2 L2 U F L'
L2 U2 D F' U' L F2
L2 U2 D F' U' F2 L
L2 U2 D' F' U' L F2
L2 U2 D' F' U' F2 L
L2 U2 D2 F' U' L F2
L2 U2 D2 F' U' F2 L
L2 U2 F' L' U' L2 F2
L2 U2 F' L' U' F2 L2
L2 U2 F' L2 U' L' F2
L2 U2 F' U' L F2 D
L2 U2 F' U' L F2 D'
L2 U2 F' U' L F2 D2
L2 U2 F' U' L' F2 L2
L2 U2 F' U' F' L F'
L2 U2 F' U' F2 L D
L2 U2 F' U' F2 L D'
L2 U2 F' U' F2 L D2
L2 U2 F' U' F2 D L
L2 U2 F' U' F2 D' L
L2 U2 F' U' F2 D2 L
L2 U2 F' D' L2 U' L'
B' R2 U B L2 U L
F' R2 U2 L2 U F L'
L2 D R U F L R
L2 D R U F R L
B' R2 B L2 U F L
B2 R2 B L2 U L F'
B2 R2 B L2 U F' L
L2 D U F L D R2
L2 D U F D L R2
L2 D U F D R2 L
L2 D U2 F' U' L F2
L2 D U2 F' U' F2 L
B' U L2 U2 F' U' L
L2 D F' U L F2 R
R' D F2 R B' L U2
R' D F2 B' L R U2
R' D F2 B' R L U2
R' D B' L F2 U2 L2
R' D B' F2 L R U2
R' D B' F2 R L U2
L2 D' R U F L R
L2 D' R U F R L
L2 D' U F L D R2
L2 D' U F D L R2
L2 D' U F D R2 L
L2 D' U2 F' U' L F2
L2 D' U2 F' U' F2 L
L2 D' F' U L F2 R
R' D' B2 L' R2 F' R
R' D' B2 R2 L' F' R
L2 D2 R U F L R
L2 D2 R U F R L
L2 D2 U F L D R2
L2 D2 U F D L R2
L2 D2 U F D R2 L
L2 D2 U2 F' U' L F2
L2 D2 U2 F' U' F2 L
F' U2 L2 R U F L'
F' U2 L2 R' U F L'
F' U2 L2 R2 U F L'
F' U2 L2 U F L' D
F' U2 L2 U F L' D'
F' U2 L2 U F L' D2
F' U2 L2 U F D L'
F' U2 L2 U F D' L'
F' U2 L2 U F D2 L'
F' U2 L2 F' U F2 L'
L2 D2 F' U L F2 R
F' U2 R L2 U F L'
F' U2 R' L2 U F L'
F' U2 R2 L2 U F L'
L2 F L U F2 R U'
F' U2 F L2 U F L
D2 F D B2 R2 F' L'
D' F B2 D R2 F' L'
D2 F' L2 R2 U' F L'
D' F' L2 U' F L' B2
D' F' L2 U' F B2 L'
D' F' L2 U' B2 F L'
B' D F2 R U' F U'
L2 F' R U L F2 R
R2 F' L2 B U F L'
R F' L2 U F L' R
R F' L2 U F R L'
L2 F' R' U L F2 R
D2 F' R2 L2 U' F L'
D2 F' R2 U' L2 F L'
L2 F' R2 U L F2 R
L2 F' U L R F2 R
L2 F' U L R' F2 R
L2 F' U L R2 F2 R
L2 F' U L F2 R D
L2 F' U L F2 R D'
L2 F' U L F2 R D2
L2 F' U L F2 D R
L2 F' U L F2 D' R
L2 F' U L F2 D2 R
L2 F' U R L F2 R
L2 F' U R' L F2 R
L2 F' U R2 L F2 R
D' F' U' L2 F L' B2
D' F' U' L2 F B2 L'
D' F' U' L2 B2 F L'
L2 F' U' L F2 D2 B2
U' F' U2 L2 U F L'
D F' U F' R B' U2
D F' U F' B' R U2
D F' U B' F' R U2
L2 F' U' F2 L D2 B2
L2 F' U' F2 D2 L B2
U2 F' U2 L2 U F L'
U F' U2 L2 U F L'
B D' R2 B U L' B
B D' R2 B U B L'
D F2 R B' U' F U'
L2 F2 U L D F' R
L2 F2 U F' L D R2
L2 F2 U F' D L R2
L2 F2 U F' D R2 L
F D' B' L2 F R U2
F D' B2 D2 R2 F' L'
L2 F2 U2 F U' L F2
L2 F2 U2 F U' F2 L
F' D2 R2 U B' U2 L
D F2 B' R U' F U'
R2 B L2 U L D2 F2
R2 B L2 U D2 L F2
R2 B L2 U D2 F2 L
R2 B L2 U' B2 R' U2
R2 B L2 D' R2 U L
R2 B L2 D2 U L F2
R2 B L2 D2 U F2 L
R2 B D' R2 U L' B2
R2 B D' R2 U B2 L'
L2 B' R2 B U F L
R2 B' U B2 L2 U L
F2 B' R U L2 B' U
L2 B' U2 F' U' L' F2
R2 B' U2 D' L' R2 B2
R2 B' U2 D' L' B2 R2
R2 B' U2 D' R2 L' B2
R2 B' U2 D' R2 B2 L'
R2 B' U2 D' B2 L' R2
R2 B' U2 D' B2 R2 L'
R2 B' D L2 F2 U2 L
R2 B' D F2 L2 R U2
R2 B' D F2 R L2 U2
R2 B' D' U2 L' R2 B2
R2 B' D' U2 L' B2 R2
R2 B' D' U2 R2 L' B2
R2 B' D' U2 R2 B2 L'
R2 B' D' U2 B2 L' R2
R2 B' D' U2 B2 R2 L'
D B' F2 R U' F U'
D' B2 L' F D R2 F'
B' F2 R U L2 B' U
D' B2 F D R2 F' L'
