F2 L2 U F' L' R
F2 L2 U F' R L'
R2 D' F L' R B2
R2 D' F L' B2 R
R2 D' F R L' B2
R2 D' F R B2 L'
R2 D' F B2 L' R
R2 D' F B2 R L'
R2 D' B2 F L' R
R2 D' B2 F R L'
R' F R D' L2 B2
R' F R D' B2 L2
R' F D' L2 R B2
R' F D' L2 B2 R
R' F D' R L2 B2
R' F D' R B2 L2
R' F D' B2 L2 R
R' F D' B2 R L2
R2 D' B2 F R L' D
R2 D' B2 F R L' D'
R2 D' B2 F R L' D2
R2 D' B2 F R D L'
R2 D' B2 F R D' L'
R2 D' B2 F R D2 L'
R2 D' B2 F D L' R
R2 D' B2 F D R L'
R2 D' B2 F D' L' R
R2 D' B2 F D' R L'
R2 D' B2 F D2 L' R
R2 D' B2 F D2 R L'
F U' B L2 U L' R
F U' B L2 U R L'
R' F L2 F2 U F2 R
R' F R U' L2 F2 U
D' F R U B U' B
R' F R U' F2 L2 U
D2 F R U B R U'
D F L2 R B' D L2
R' F R D' L' B2 L'
R' F R D' L2 B2 D
R' F R D' L2 B2 D'
R' F R D' L2 B2 D2
R' F R D' B L2 B
R' F R D' B2 L2 D
R' F R D' B2 L2 D'
R' F R D' B2 L2 D2
R' F R B D' L2 B2
R' F R B D' B2 L2
R' F R B' D' L2 B2
R' F R B' D' B2 L2
D' F R B' D B' L2
R' F R B2 D' L2 B2
R' F R B2 D' B2 L2
D' F R B2 U B' U'
R2 F R U' L2 F' U
R2 F R U' F' L2 U
D F R L2 B' D L2
D F R B' D L2 B'
R' F R2 D' L2 R' B2
R' F R2 D' R' L2 B2
R' F R2 D' R' B2 L2
L2 F U' B' R' U2 R2
R' F D' L' R B2 L'
R' F D' L' B2 L' R
R' F D' L' B2 R L'
R' F D' L2 R B2 D
R' F D' L2 R B2 D'
R' F D' L2 R B2 D2
R' F D' L2 R' B2 R2
R' F D' L2 B' R B'
R' F D' L2 B2 R D
R' F D' L2 B2 R D'
R' F D' L2 B2 R D2
R' F D' L2 B2 D R
R' F D' L2 B2 D' R
R' F D' L2 B2 D2 R
R' F D' R L' B2 L'
R' F D' R L2 B2 D
R' F D' R L2 B2 D'
R' F D' R L2 B2 D2
R' F D' R B L2 B
R' F D' R B2 L2 D
R' F D' R B2 L2 D'
R' F D' R B2 L2 D2
R' F D' R' L2 B2 R2
R' F D' R' B2 L2 R2
R' F D' R' B2 R2 L2
R' F D' B L2 B R
R' F D' B' R B' L2
R' F D' B2 L2 R D
R' F D' B2 L2 R D'
R' F D' B2 L2 R D2
R' F D' B2 L2 D R
R' F D' B2 L2 D' R
R' F D' B2 L2 D2 R
R' F D' B2 R L2 D
R' F D' B2 R L2 D'
R' F D' B2 R L2 D2
R' F B R D' L2 B2
R' F B R D' B2 L2
R' F B D' L2 R B2
R' F B D' L2 B2 R
R' F B D' R L2 B2
R' F B D' R B2 L2
R' F B D' B2 L2 R
R' F B D' B2 R L2
R' F B' R D' L2 B2
R' F B' R D' B2 L2
D' F B' R B' D L2
R' F B' D' L2 R B2
R' F B' D' L2 B2 R
R' F B' D' R L2 B2
R' F B' D' R B2 L2
R' F B' D' B2 L2 R
R' F B' D' B2 R L2
R' F B2 R D' L2 B2
R' F B2 R D' B2 L2
D' F B2 R U B U'
R' F B2 D' L2 R B2
R' F B2 D' L2 B2 R
R' F B2 D' R L2 B2
R' F B2 D' R B2 L2
R' F B2 D' B2 L2 R
R' F B2 D' B2 R L2
R' F' L2 U' L U2 F2
R' F' L2 B2 U R' F2
R' F' L2 B2 U F2 R'
R' F' U F2 R D' B2
R' F' U F2 D' R B2
R' F' U F2 D' B2 R
L2 F' U' B' L' R' U2
L2 F' U' B' R' L' U2
F D' R U B U' B
F D' R B' D B' L2
F D' R B2 U B' U'
D' F2 U F' L' R B2
D' F2 U F' L' B2 R
D' F2 U F' R L' B2
D' F2 U F' R B2 L'
D' F2 U F' B2 L' R
D' F2 U F' B2 R L'
D' F2 U B2 F' L' R
D' F2 U B2 F' R L'
F D' B' R B' D L2
F D' B2 R U B U'
F D2 R U B R U'
F2 B L2 U F' L' R
F2 B L2 U F' R L'
R2 B D' F L' R B2
R2 B D' F L' B2 R
R2 B D' F R L' B2
R2 B D' F R B2 L'
R2 B D' F B2 L' R
R2 B D' F B2 R L'
R' B F R D' L2 B2
R' B F R D' B2 L2
R2 B D' B2 F L' R
R2 B D' B2 F R L'
R' B F D' L2 R B2
R' B F D' L2 B2 R
R' B F D' R L2 B2
R' B F D' R B2 L2
R' B F D' B2 L2 R
R' B F D' B2 R L2
F2 B' L2 U F' L' R
F2 B' L2 U F' R L'
R2 B' D' F L' R B2
R2 B' D' F L' B2 R
R2 B' D' F R L' B2
R2 B' D' F R B2 L'
R2 B' D' F B2 L' R
R2 B' D' F B2 R L'
R' B' F R D' L2 B2
R' B' F R D' B2 L2
D' B' F R B' D L2
R B' D F L2 R B'
R B' D F L2 B' R
R B' D F R L2 B'
R2 B' D' B2 F L' R
R2 B' D' B2 F R L'
R' B' F D' L2 R B2
R' B' F D' L2 B2 R
R' B' F D' R L2 B2
R' B' F D' R B2 L2
R' B' F D' B2 L2 R
R' B' F D' B2 R L2
B' F2 L2 U F' L' R
B' F2 L2 U F' R L'
D' B2 R' F R D' L2
D' B2 R' F D' L2 R
D' B2 R' F D' R L2
B2 F2 L2 U F' L' R
B2 F2 L2 U F' R L'
F2 B2 L2 U F' L' R
F2 B2 L2 U F' R L'
D' B2 R2 D' F L' R
D' B2 R2 D' F R L'
B F2 L2 U F' L' R
B F2 L2 U F' R L'
R2 B2 D' F L' R B2
R2 B2 D' F L' B2 R
R2 B2 D' F R L' B2
R2 B2 D' F R B2 L'
R2 B2 D' F B2 L' R
R2 B2 D' F B2 R L'
R' B2 F R D' L2 B2
R' B2 F R D' B2 L2
D' B2 F R U B U'
R2 B2 D' B2 F L' R
R2 B2 D' B2 F R L'
R' B2 F D' L2 R B2
R' B2 F D' L2 B2 R
R' B2 F D' R L2 B2
R' B2 F D' R B2 L2
R' B2 F D' B2 L2 R
R' B2 F D' B2 R L2
