U' L U' R U' L2
F2 L' U' L2 R U2
F2 L' U' R L2 U2
U2 R U L U2 L2
U2 R U' L' D2 R2
U2 R B2 U' L' R'
U2 R B2 U' R' L'
U R' D B2 L' R'
U R' D B2 R' L'
L U2 R U' L2 R'
L U2 R U' R' L2
B2 U L' R' D B2
B2 U R' L' D B2
B2 U R' D L' B2
B2 U R' D B2 L'
B2 U2 R U' L' R2
B2 U2 R U' R2 L'
L2 F2 L' U L2 R
L2 F2 L' U R L2
U2 B2 R U' L' R2
U2 B2 R U' R2 L'
U B2 L' R' D B2
R B2 L U' L2 R'
R B2 L U' R' L2
U B2 R' L' D B2
U B2 R' D L' B2
U B2 R' D B2 L'
L U F2 L' U L' F2
U2 R U' L' R D2 R2
U2 R U' L' R' D2 R2
U2 R U' L' R2 D2 R2
U2 R U' L' U2 L2 U2
U2 R U' L' D2 R2 D
U2 R U' L' D2 R2 D'
U2 R U' L' D2 R2 D2
U2 R U' R L' D2 R2
U2 R U' R' L' D2 R2
U2 R U' R2 L' D2 R2
U2 R U' D L' D2 R2
U2 R U' D' L' D2 R2
U2 R U' D2 L' D2 R2
U2 R U' B2 L' R' B2
U2 R U' B2 R' L' B2
U2 R U' B2 R' B2 L'
B2 R U2 R' U L' R'
B2 R U2 R' U R' L'
U2 R U2 B2 U L' R'
U2 R U2 B2 U R' L'
U2 R D U L U2 L2
U2 R D U' L' D2 R2
U2 R D B2 U' L' R'
U2 R D B2 U' R' L'
U2 R D' U L U2 L2
U2 R D' U' L' D2 R2
U2 R D' B2 U' L' R'
U2 R D' B2 U' R' L'
U2 R D2 U L U2 L2
U2 R D2 U' L' D2 R2
L2 U' L' U' R U' L2
U2 R D2 B2 U' L' R'
U2 R D2 B2 U' R' L'
L U' R U' L2 D F2
U2 R F2 U L R U2
U2 R F2 U R L U2
L U' R B U' L2 F
D2 R B2 L U' L2 R'
D2 R B2 L U' R' L2
D' R B2 L U' L2 R'
D' R B2 L U' R' L2
B2 R B2 L U' L2 R2
B2 R B2 L U' R2 L2
D R B2 L U' L2 R'
D R B2 L U' R' L2
U2 R B2 U' L' R' D
U2 R B2 U' L' R' D'
U2 R B2 U' L' R' D2
U2 R B2 U' L' D R'
U2 R B2 U' L' D' R'
U2 R B2 U' L' D2 R'
U2 R B2 U' R' L' D
U2 R B2 U' R' L' D'
U2 R B2 U' R' L' D2
U2 R B2 U' R' D L'
U2 R B2 U' R' D' L'
U2 R B2 U' R' D2 L'
U2 R B2 U' D L' R'
U2 R B2 U' D R' L'
U2 R B2 U' D' L' R'
U2 R B2 U' D' R' L'
U2 R B2 U' D2 L' R'
U2 R B2 U' D2 R' L'
U2 R B2 D U' L' R'
U2 R B2 D U' R' L'
U2 R B2 D' U' L' R'
U2 R B2 D' U' R' L'
U2 R B2 D2 U' L' R'
U2 R B2 D2 U' R' L'
U' R' L U' R2 U' L2
U' R' L U2 L2 D B2
U R' L' D B2 D R2
U R' L' D2 R2 D' B2
U2 R' U' D B2 L' R'
U2 R' U' D B2 R' L'
U' R' U2 D B2 L' R'
U' R' U2 D B2 R' L'
L U' B R U' L2 F
U' R' D L U2 L2 B2
U' R' D L U2 B2 L2
U' R' D U2 B2 L' R'
U' R' D U2 B2 R' L'
U2 R' D U' B2 L' R'
U2 R' D U' B2 R' L'
U R' D L' B2 D2 R2
U' R' D' L F2 U2 L2
U R' D R B2 L' R'
U R' D R B2 R' L'
U R' D R' B2 L' R'
U R' D R' B2 R' L'
U R' D R2 B2 L' R'
U R' D R2 B2 R' L'
U' R' D' F2 L R U2
U R' D B L' B R'
U' R' D' F2 R L U2
U R' D B2 L' R' D
U R' D B2 L' R' D'
U R' D B2 L' R' D2
U R' D B2 L' D R'
U R' D B2 L' D' R'
U R' D B2 L' D2 R'
U R' D B2 R' L' D
U R' D B2 R' L' D'
U R' D B2 R' L' D2
U R' D B2 R' D L'
U R' D B2 R' D' L'
U R' D B2 R' D2 L'
U R' D B2 D L' R'
U R' D B2 D R' L'
U R' D B2 D' L' R'
U R' D B2 D' R' L'
U R' D B2 D2 L' R'
U R' D B2 D2 R' L'
U R' D' L' D2 R2 B2
U R' D' L' D2 B2 R2
L' U2 L2 U' L2 R U'
L' U2 L2 U' R L2 U'
L U2 L2 U L2 R U'
L U2 L2 U R L2 U'
L' U2 R U L2 R' U2
L' U2 R U R' L2 U2
L2 U2 R U L' U2 L2
L2 U2 R U' L D2 R2
L U2 R U' L2 R' D
L U2 R U' L2 R' D'
L U2 R U' L2 R' D2
L U2 R U' L2 D R'
L U2 R U' L2 D' R'
L U2 R U' L2 D2 R'
L2 U2 R F2 U' L R
L2 U2 R F2 U' R L
L U2 R U' R' L2 D
L U2 R U' R' L2 D'
L U2 R U' R' L2 D2
L U2 R F U' L2 R'
L U2 R F U' R' L2
L U2 R F' U' L2 R'
L U2 R F' U' R' L2
L U2 R F2 U' L2 R'
L U2 R F2 U' R' L2
R U2 R' U L' D2 R2
R U2 R' U' L U2 L2
R U2 R' B2 U L' R'
R U2 R' B2 U R' L'
U2 R' B2 R2 U' L' R
U2 R' B2 R2 U' R L'
U' R2 L U' R' U' L2
U R' B2 L' D R' B2
U R' B2 D L' R' B2
U R' B2 D R' L' B2
U R' B2 D R' B2 L'
L U2 D' B2 R U' R'
L U2 B R U' L2 R'
L U2 B R U' R' L2
L U2 B' R U' L2 R'
L U2 B' R U' R' L2
L U2 B2 R U' L2 R'
L U2 B2 R U' R' L2
L D L F2 L' U R
R' D R U B2 L' R'
R' D R U B2 R' L'
L' D U R F2 U' F2
U' D L U' R U' L2
L D U F2 L' U F2
U R2 B2 L' R' D' B2
U R2 B2 L' D' R' B2
U R2 B2 R' L' D' B2
F' U L F U2 L' F'
B2 U L' R' U R2 U'
B2 U L' R' D B2 D
B2 U L' R' D B2 D'
B2 U L' R' D B2 D2
B2 U L' R' B D B2
B2 U L' R' B' D B2
B2 U L' R' B2 D B2
B2 U L' U R U' R2
F' U L' D2 R2 B' L
F' U L' D2 B' L R2
F' U L' D2 B' R2 L
B2 U L' D R' D B2
B2 U L' D' R' D B2
B2 U L' D2 R' D B2
B2 U L2 R' D L B2
B U L' B R' D B2
U2 D R U L U2 L2
L2 D F2 L' U L2 R
L2 D F2 L' U R L2
U2 D R U' L' D2 R2
B2 U R' L' U R2 U'
B2 U R' L' D B2 D
B2 U R' L' D B2 D'
B2 U R' L' D B2 D2
D' U R' D B2 L' R'
D' U R' D B2 R' L'
B2 U R' L' B D B2
B2 U R' L' B' D B2
B2 U R' L' B2 D B2
B2 U R' L2 D L B2
D2 U R' D B2 L' R'
D2 U R' D B2 R' L'
L D F2 L' U' L U2
U2 D R B2 U' L' R'
U2 D R B2 U' R' L'
B2 U R' U R2 U' L'
L D F2 L' B2 U R'
B2 U R' D L B2 L2
B2 U R' D L' B2 D
B2 U R' D L' B2 D'
B2 U R' D L' B2 D2
B2 U R' D B L' B
B2 U R' D B2 L' D
B2 U R' D B2 L' D'
B2 U R' D B2 L' D2
B2 U R' D B2 D L'
B2 U R' D B2 D' L'
B2 U R' D B2 D2 L'
B2 U R' D' L' D2 B2
B2 U R' B L' D B2
B2 U R' B D L' B2
B2 U R' B D B2 L'
B2 U R' B' L' D B2
B2 U R' B' D L' B2
B2 U R' B' D B2 L'
B2 U R' B2 L' D B2
B2 U R' B2 D L' B2
B2 U R' B2 D B2 L'
D U R' D B2 L' R'
D U R' D B2 R' L'
U D R' D B2 L' R'
U D R' D B2 R' L'
R' D B2 L' R' D' F2
R' D B2 R' L' D' F2
R' D B2 R' D' L' F2
B2 U D L' R' D B2
B2 U D R' L' D B2
B2 U D R' D L' B2
B2 U D R' D B2 L'
B2 U D' L' R' D B2
B2 U D' R' L' D B2
B2 U D' R' D L' B2
B2 U D' R' D B2 L'
R D B2 L U' L2 R'
R D B2 L U' R' L2
B2 U D2 L' R' D B2
B2 U D2 R' L' D B2
B2 U D2 R' D L' B2
B2 U D2 R' D B2 L'
D' U B2 L' R' D B2
D2 U B2 L' R' D B2
D' U B2 R' L' D B2
D' U B2 R' D L' B2
D' U B2 R' D B2 L'
D2 U B2 R' L' D B2
D2 U B2 R' D L' B2
D2 U B2 R' D B2 L'
U2 D B2 R U' L' R2
U2 D B2 R U' R2 L'
D U B2 L' R' D B2
D' U' L U' R U' L2
U' D' L U' R U' L2
D2 U' L U' R U' L2
D U B2 R' L' D B2
D U B2 R' D L' B2
D U B2 R' D B2 L'
U D B2 L' R' D B2
B U B L' R' D B2
U D B2 R' L' D B2
U D B2 R' D L' B2
U D B2 R' D B2 L'
B U B R' L' D B2
B U B R' D L' B2
B U B R' D B2 L'
D U' L U' R U' L2
F' U' L R' F' R U2
F2 U' L R U L2 U
F2 U' L R U2 D' B2
F2 U' L R D F2 U2
F2 U' L R D' U2 B2
F' U' L F U2 L' B'
F' U' L F' R U2 B
F2 U' L D R F2 U2
F2 U' L D F2 U2 L'
F2 U' L D' R U2 B2
U2 D' R U L U2 L2
U2 D' R U' L' D2 R2
U2 D' R B2 U' L' R'
U2 D' R B2 U' R' L'
L D' U2 B2 R U' R'
U D' R' D B2 L' R'
U D' R' D B2 R' L'
F2 U' R L U L2 U
F2 U' R L U2 D' B2
F2 U' R L D F2 U2
F2 U' R L D' U2 B2
L2 D' F2 L' U L2 R
L2 D' F2 L' U R L2
L' D' F2 B2 L' U L
F' U' R' L F' R U2
F' U' R' F' L R U2
F' U' R' F' R L U2
L' D' B2 F2 L' U L
R D' B2 L U' L2 R'
R D' B2 L U' R' L2
U2 D' B2 R U' L' R2
U2 D' B2 R U' R2 L'
U' D2 L U' R U' L2
F' U' F' L R U2 B
F' U' F' R L U2 B
U D' B2 L' R' D B2
U D' B2 R' L' D B2
U D' B2 R' D L' B2
U D' B2 R' D B2 L'
D' U2 R U L U2 L2
D' U2 R U' L' D2 R2
D2 U2 R U L U2 L2
D2 U2 R U' L' D2 R2
D' U2 R B2 U' L' R'
D' U2 R B2 U' R' L'
U2 D2 R U L U2 L2
U2 D2 R U' L' D2 R2
D2 U2 R B2 U' L' R'
D2 U2 R B2 U' R' L'
D U2 R U L U2 L2
D U2 R U' L' D2 R2
U2 D2 R B2 U' L' R'
U2 D2 R B2 U' R' L'
D U2 R B2 U' L' R'
D U2 R B2 U' R' L'
U D2 R' D B2 L' R'
U D2 R' D B2 R' L'
L' D2 F2 L' U L R2
L' D2 F2 L' U R2 L
B2 U2 R U' L' R2 D
B2 U2 R U' L' R2 D'
B2 U2 R U' L' R2 D2
B2 U2 R U' R2 L' D
B2 U2 R U' R2 L' D'
B2 U2 R U' R2 L' D2
B2 U2 R U' R2 D L'
B2 U2 R U' R2 D' L'
B2 U2 R U' R2 D2 L'
L2 D2 F2 L' U L2 R
L2 D2 F2 L' U R L2
B2 U2 R B U' L' R2
B2 U2 R B U' R2 L'
B2 U2 R B' U' L' R2
B2 U2 R B' U' R2 L'
B2 U2 R B2 U' L' R2
B2 U2 R B2 U' R2 L'
B U2 R B U' L' R'
B U2 R B U' R' L'
D' U2 B2 R U' L' R2
D' U2 B2 R U' R2 L'
D2 U2 B2 R U' L' R2
D2 U2 B2 R U' R2 L'
B2 U2 D R U' L' R2
B2 U2 D R U' R2 L'
U2 D2 B2 R U' L' R2
U2 D2 B2 R U' R2 L'
B2 U2 D' R U' L' R2
B2 U2 D' R U' R2 L'
D U2 B2 R U' L' R2
D U2 B2 R U' R2 L'
U D2 B2 L' R' D B2
R D2 B2 L U' L2 R'
R D2 B2 L U' R' L2
U D2 B2 R' L' D B2
U D2 B2 R' D L' B2
U D2 B2 R' D B2 L'
B2 U2 D2 R U' L' R2
B2 U2 D2 R U' R2 L'
B U2 B R U' L' R2
B U2 B R U' R2 L'
F2 D L' U' L2 R U2
F2 D L' U' R L2 U2
B2 D U L' R' D B2
B2 D U R' L' D B2
B2 D U R' D L' B2
B2 D U R' D B2 L'
B2 D U2 R U' L' R2
B2 D U2 R U' R2 L'
U2 F' U L F U2 L'
F2 D' L' U' L2 R U2
F2 D' L' U' R L2 U2
B2 D' U L' R' D B2
U' F2 L R U L2 U
U' F2 L R U2 D' B2
U' F2 L R D F2 U2
U' F2 L R D' U2 B2
B2 D' U R' L' D B2
B2 D' U R' D L' B2
B2 D' U R' D B2 L'
U' F2 L D R F2 U2
U' F2 L D F2 U2 L'
U' F2 L D' R U2 B2
D2 F2 L' U' L2 R U2
D2 F2 L' U' R L2 U2
D' F2 L' U' L2 R U2
D' F2 L' U' R L2 U2
L' F2 L' U L D2 R2
B2 D' U2 R U' L' R2
B2 D' U2 R U' R2 L'
L' F2 L' U' L' U2 L2
L' F2 L' F2 U L R
L' F2 L' F2 U R L
L2 F2 L' U L2 R D
L2 F2 L' U L2 R D'
L2 F2 L' U L2 R D2
L2 F2 L' U L2 D R
L2 F2 L' U L2 D' R
L2 F2 L' U L2 D2 R
L2 F2 L' U R L2 D
L2 F2 L' U R L2 D'
L2 F2 L' U R L2 D2
L2 F2 L' B U L2 R
L2 F2 L' B U R L2
D F2 L' U' L2 R U2
D F2 L' U' R L2 U2
L2 F2 L' B' U L2 R
L2 F2 L' B' U R L2
U' F2 R L U L2 U
U' F2 R L U2 D' B2
L2 F2 L' B2 U L2 R
L2 F2 L' B2 U R L2
U' F2 R L D F2 U2
U' F2 R L D' U2 B2
L F2 L' U L' D2 R2
L F2 L' U' L U2 L2
L F2 L' B2 U L' R'
L F2 L' B2 U R' L'
L2 F2 U L R D' B2
L2 F2 U L D' R B2
L2 F2 U L D' B2 R
L2 F2 U R L D' B2
F2 D2 L' U' L2 R U2
F2 D2 L' U' R L2 U2
L2 F2 D L' U L2 R
L2 F2 D L' U R L2
L2 F2 D' L' U L2 R
L2 F2 D' L' U R L2
L' F2 D' B2 L' U L
L' F2 D2 L' U L R2
L' F2 D2 L' U R2 L
L2 F2 D2 L' U L2 R
L2 F2 D2 L' U R L2
B2 D2 U L' R' D B2
B2 D2 U R' L' D B2
B2 D2 U R' D L' B2
B2 D2 U R' D B2 L'
B2 D2 U2 R U' L' R2
B2 D2 U2 R U' R2 L'
U B L' B R' D B2
U2 B R B U' L' R'
U2 B R B U' R' L'
L B U2 R U' L2 R'
L B U2 R U' R' L2
U B' L' B' R' D B2
U2 B' R B' U' L' R'
U2 B' R B' U' R' L'
L B' U2 R U' L2 R'
L B' U2 R U' R' L2
R2 B2 L R2 U L2 R
R2 B2 L R2 U R L2
R2 B2 L' D' R' F2 B2
R2 B2 L' D' R' B2 F2
R2 B2 L' D' F2 R' B2
R B2 L U' L2 R' D
R B2 L U' L2 R' D'
R B2 L U' L2 R' D2
R B2 L U' L2 D R'
R B2 L U' L2 D' R'
R B2 L U' L2 D2 R'
R B2 L U' R' L2 D
R B2 L U' R' L2 D'
R B2 L U' R' L2 D2
U B2 L' R' U R2 U'
U B2 L' R' D B2 D
U B2 L' R' D B2 D'
U B2 L' R' D B2 D2
U B2 L' R' B D B2
U B2 L' R' B' D B2
U B2 L' R' B2 D B2
R B2 L F U' L2 R'
R B2 L F U' R' L2
R B2 L F' U' L2 R'
R B2 L F' U' R' L2
U B2 L' U R U' R2
R B2 L F2 U' L2 R'
R B2 L F2 U' R' L2
U B2 L' D R' D B2
U B2 L' D' R' D B2
U B2 L' D2 R' D B2
U2 B2 R U' L' R2 D
U2 B2 R U' L' R2 D'
U2 B2 R U' L' R2 D2
U2 B2 R U' R2 L' D
U2 B2 R U' R2 L' D'
U2 B2 R U' R2 L' D2
U2 B2 R U' R2 D L'
U2 B2 R U' R2 D' L'
U2 B2 R U' R2 D2 L'
B2 F2 L' U R' D2 L2
B2 F2 L' U' R U2 R2
F2 B2 L' U R' D2 L2
U B2 L2 R' D L B2
F2 B2 L' U' R U2 R2
U2 B2 R B U' L' R2
U2 B2 R B U' R2 L'
B2 F2 L' F2 U L' R'
B2 F2 L' F2 U R' L'
U2 B2 R B' U' L' R2
U2 B2 R B' U' R2 L'
U2 B2 R B2 U' L' R2
U2 B2 R B2 U' R2 L'
F2 B2 L' F2 U L' R'
F2 B2 L' F2 U R' L'
D2 B2 U L' R' D B2
D' B2 U L' R' D B2
D2 B2 U R' L' D B2
D2 B2 U R' D L' B2
D2 B2 U R' D B2 L'
U B2 R' L' U R2 U'
D' B2 U R' L' D B2
U B2 R' L' D B2 D
U B2 R' L' D B2 D'
U B2 R' L' D B2 D2
D' B2 U R' D L' B2
D' B2 U R' D B2 L'
U B2 R' L' B D B2
U B2 R' L' B' D B2
R2 B2 R2 L U L2 R
R2 B2 R2 L U R L2
U B2 R' L' B2 D B2
U B2 R' L2 D L B2
U B2 R' U R2 U' L'
U B2 R' D L B2 L2
U B2 R' D L' B2 D
U B2 R' D L' B2 D'
U B2 R' D L' B2 D2
U B2 R' D B L' B
U B2 R' D B2 L' D
U B2 R' D B2 L' D'
U B2 R' D B2 L' D2
U B2 R' D B2 D L'
U B2 R' D B2 D' L'
U B2 R' D B2 D2 L'
U B2 R' D' L' D2 B2
U B2 R' B L' D B2
U B2 R' B D L' B2
U B2 R' B D B2 L'
U B2 R' B' L' D B2
U B2 R' B' D L' B2
U B2 R' B' D B2 L'
U B2 R' B2 L' D B2
U B2 R' B2 D L' B2
U B2 R' B2 D B2 L'
D B2 U L' R' D B2
D B2 U R' L' D B2
D B2 U R' D L' B2
D B2 U R' D B2 L'
U2 B2 U' L' R' D B2
D2 B2 U2 R U' L' R2
D2 B2 U2 R U' R2 L'
U2 B2 U' R' L' D B2
U2 B2 U' R' D L' B2
U2 B2 U' R' D B2 L'
D' B2 U2 R U' L' R2
D' B2 U2 R U' R2 L'
U B2 U R U' L' R2
U B2 U R U' R2 L'
D B2 U2 R U' L' R2
D B2 U2 R U' R2 L'
R B2 U' L' R' D F2
R B2 U' L' D R' F2
R B2 U' L' D F2 R'
U2 B2 D R U' L' R2
U2 B2 D R U' R2 L'
R B2 U' R' L' D F2
L B2 U2 R U' L2 R'
L B2 U2 R U' R' L2
U2 B2 D' R U' L' R2
U2 B2 D' R U' R2 L'
U B2 D L' R' D B2
U B2 D R' L' D B2
U B2 D R' D L' B2
U B2 D R' D B2 L'
R B2 D L U' L2 R'
R B2 D L U' R' L2
U2 B2 D2 R U' L' R2
U2 B2 D2 R U' R2 L'
U B2 D' L' R' D B2
U B2 D' R' L' D B2
U B2 D' R' D L' B2
U B2 D' R' D B2 L'
R B2 D' L U' L2 R'
R B2 D' L U' R' L2
U B2 D2 L' R' D B2
U B2 D2 R' L' D B2
U B2 D2 R' D L' B2
U B2 D2 R' D B2 L'
R B2 D2 L U' L2 R'
R B2 D2 L U' R' L2
