F' R U D2 B2 L
F' R U' R' F2 U2
F' R U' F2 R' U2
F' R D2 U B2 L
F U' L' U L U2
U' F U' L' U' L
F' D2 R U B2 L
R U' D R' F B U2
R U' D R' B F U2
R U' D F R' B U2
R2 U' F R2 U' L' U'
R U' F R' U' L' U'
F2 R' U' R F' B U2
F2 R' U' R B F' U2
D R' U' B R F U2
F' R' D' L2 U F2 L'
U' R' F U' L' U' L
F' R2 D' L2 R' F2 U
F' R2 D' L2 F2 R' U
F' R2 D' R' L2 F2 U
F' R2 D' R' F2 L2 U
F' R2 D' F2 L2 R' U
F' R2 D' F2 R' L2 U
F' R2 D2 R' U L2 B2
F' R2 D2 R' U B2 L2
U' R2 F U' L' U' L
R' D U' R F U2 F2
R D U' R' F B U2
R D U' R' B F U2
R D U' F R' B U2
F' U R U R' D2 B2
F' U R U D2 R' B2
F' U R U' F2 U2 R'
F' U R D' L2 U R'
F' U R D2 U R' B2
F U R U2 L' U' R'
F U R' U2 L' U' R
F U R2 U2 L' U' R2
F' U D' L2 R U R'
F' U D' R L2 U R'
F' U D2 R U R' B2
F U F2 R F2 U R'
F U' L U' D F2 R
F U' L D U' F2 R
F U' L F2 L2 U' R
F U' L' U L U2 D
F U' L' U L U2 D'
F U' L' U L U2 D2
F U' L' U L D U2
F U' L' U L D' U2
F U' L' U L D2 U2
F U' L' U D L U2
F U' L' U D' L U2
F U' L' U D2 L U2
F U' L' U' B2 R' B2
F U' L' U2 B2 U R'
F U' L' D U L U2
F U' L' D' U L U2
F U' L' D2 U L U2
F U' L' F U L U2
F U' L' F' U L U2
F U' L' F2 U L U2
F U' L2 D L F2 U'
F U' L2 D F2 L U'
F U' L2 D2 L U' R2
F U' D L' U L U2
F U' D' L' U L U2
F U' D2 L' U L U2
F' U' F2 U' L' U' L
F U' F2 U2 R U R'
F U' B2 L' B2 U' R'
F U2 L' B U' B' L
F U2 L' B2 U' B2 L
D' F L B' U B U
U' F R U' L' U' L
U' F R' U' L' U' L
F U2 F' U F L' U'
U' F R2 U' L' U' L
F U2 F2 U F2 L' U'
F U2 B L' U' L B'
D2 F U B R' U R
U' F U' L' U' L D
U' F U' L' U' L D'
U' F U' L' U' L D2
U' F U' L' U' D L
U' F U' L' U' D' L
U' F U' L' U' D2 L
U' F U' L' D U' L
U' F U' L' D' U' L
U' F U' L' D2 U' L
U' F U' D L' U' L
F U2 B' L' U' L B
U' F U' D' L' U' L
U' F U' D2 L' U' L
D F U R U F' R'
U' F U' B L' U' L
U' F U' B' L' U' L
U' F U' B2 L' U' L
F U2 B2 L' U' L B2
L2 F U2 L' U' L B'
U' F D U' L' U' L
U' F D' U' L' U' L
U' F D2 U' L' U' L
U' F B U' B' L' U'
D2 F B U R' B' U
U' F B' U' L' B U'
U' F B' U' B L' U'
U' F B2 U' L' B2 U'
U' F B2 U' B2 L' U'
F D U' L' U L U2
L2 F' R U B2 L B
L2 F' R U' R' U2 B'
R2 F' R U' R F2 U2
R2 F' R U' F2 U2 L'
L F' R U B2 L B'
R F' R U D2 L2 B2
R F' R U D2 B2 L2
R F' R U' R2 F2 U2
R F' R U' F2 R2 U2
R F' R D' L2 F2 U
R F' R D' F2 L2 U
R F' R D2 U L2 B2
R F' R D2 U B2 L2
L2 F' U R U R' B'
F' D' L2 R U' R' U2
F' D' R L2 U' R' U2
F' D' R U D' B2 L
F' D' R D' U B2 L
R2 F' D' L2 R F2 U
R2 F' D' R L2 F2 U
R2 F' D' R F2 L2 U
R2 F' D2 R U L2 B2
R2 F' D2 R U B2 L2
F' D' U L2 R U R'
F' D' U R L2 U R'
F D' U' L' U L U2
B2 D' F L B' U2 R2
B2 D' F L' U2 R2 F
B2 D' F L' U2 F R2
F' D2 L R U B2 L
F' D2 L' R U B2 L
F' D2 L2 R U B2 L
R F2 U' F' R' U2 F'
F' D2 R L U B2 L
F' D2 R L' U B2 L
F' D2 R L2 U B2 L
F' D2 R U L B2 L
F' D2 R U L' B2 L
F' D2 R U L2 B2 L
F' D2 R U B2 L D
F' D2 R U B2 L D'
F' D2 R U B2 L D2
F' D2 R U B2 D L
F' D2 R U B2 D' L
F' D2 R U B2 D2 L
F' D2 R U' R' U2 B2
F' D2 R F U B2 L
F' D2 R F' U B2 L
F' D2 R F2 U B2 L
F' D2 U R U R' B2
F D2 U' L' U L U2
B' D2 F U B R' U
B2 F L D L2 U2 F2
B2 F L D' B2 U2 R2
B2 F L2 U B2 R' U
B F L2 U' F L U'
F B L2 U' F L U'
U' B F U' B' L' U'
D2 B F U R' B' U
B' F U B U2 L' U'
B' F U' L' U2 B U
B2 F U B2 U2 L' U'
B2 F U' L' U' D' R2
B2 F U' L' U2 B2 U
B2 F U' L' D' U' R2
B2 F U' L' D2 F2 U'
B2 F U' D' L' U' R2
B2 F U' D2 L' F2 U'
B F U B' U2 L' U'
B F U' L2 F L U'
F B U B' U2 L' U'
F B U' L2 F L U'
B2 F D L2 U' L U'
B2 F D' U' L' U' R2
B2 F D2 U' L' F2 U'
U' B' F U' L' B U'
U' B' F U' B L' U'
F B' U B U2 L' U'
F B' U' L' U2 B U
F B2 L D L2 U2 F2
F B2 L D' B2 U2 R2
F B2 L2 U B2 R' U
F B2 U B2 U2 L' U'
F B2 U' L' U' D' R2
F B2 U' L' U2 B2 U
F B2 U' L' D' U' R2
F B2 U' L' D2 F2 U'
U' B2 F U' L' B2 U'
F B2 U' D' L' U' R2
U' B2 F U' B2 L' U'
F B2 U' D2 L' F2 U'
F B2 D L2 U' L U'
F B2 D' U' L' U' R2
F B2 D2 U' L' F2 U'
