D' R U' B R F
D2 R F2 U' F' B
D2 R F2 U' B F'
R' U' D' R2 F B
R' U' D' R2 B F
R U' D' F B R2
R U' D' B R2 F
R U' D' B F R2
R U' F D' B R2
R U2 B2 U F B'
R U2 B2 U B' F
R' D' U' R2 F B
R' D' U' R2 B F
R D' U' F B R2
R D' U' B R2 F
R D' U' B F R2
R D2 F2 U' F' B
R D2 F2 U' B F'
R' U' R2 F D' B R2
R' U' D F D2 R2 B2
R' U' D F D2 B2 R2
R U' R2 D' R2 F B
R U' R2 D' R2 B F
R' U' D' R' F R' B
R' U' D' R2 D F B
R' U' D' R2 D B F
R' U' D' R2 D' F B
R' U' D' R2 D' B F
R' U' D' R2 D2 F B
R' U' D' R2 D2 B F
R' U' D' R2 F D B
R' U' D' R2 F D' B
R' U' D' R2 F D2 B
R' U' D' R2 F B D
R' U' D' R2 F B D'
R' U' D' R2 F B D2
R' U' D' R2 B D F
R' U' D' R2 B D' F
R' U' D' R2 B D2 F
R' U' D' R2 B F D
R' U' D' R2 B F D'
R' U' D' R2 B F D2
R' U' D' F R2 D2 B2
R' U' D' B R2 F B
R' U' D' B R2 B F
R U' D F D2 B R2
R U' D F B D2 R2
R' U' D' B' R2 F B
R' U' D' B' R2 B F
R' U' D' B2 R2 F B
R' U' D' B2 R2 B F
R U' D B D2 R2 F
R U' D B D2 F R2
R U' D B F D2 R2
R U' D' R2 F D2 B2
R U' D' F B R2 D
R U' D' F B R2 D'
R U' D' F B R2 D2
R U' D' F B' R2 B2
R U' D' F B2 R2 B'
R U' D' F' B R2 F2
R U' D' B R' F R'
R U' D' B R2 D F
R U' D' B R2 D' F
R U' D' B R2 D2 F
R U' D' B R2 F D
R U' D' B R2 F D'
R U' D' B R2 F D2
R U' D' B F R2 D
R U' D' B F R2 D'
R U' D' B F R2 D2
R U' D' B F' R2 F2
R U' D' B' R2 F B2
R U' D' B' R2 B2 F
R U' D' B' F R2 B2
R U' D' B2 R2 F B'
R U' D' B2 R2 B' F
R U' D' B2 F R2 B'
R' U' F D' R2 D' B2
R' U' F D2 B2 D R2
R U' D2 B D R2 F
R U' D2 B D F R2
R2 U' F R D' R2 B
R2 U' F R' D' B R2
R U' F R2 D' R2 B
R U' F U' B2 U B'
R U' F D B D2 R2
R U' F D' B R2 D
R U' F D' B R2 D'
R U' F D' B R2 D2
R U' F D' B' R2 B2
R U' F D' B2 R2 B'
R U' F D2 B D R2
R U' F B U' B U
D' R' U F' U2 R' F2
D' R' U F' U2 F2 R'
D R' U L2 F' B' U2
D R' U L2 B' F' U2
D R' U F' L2 U2 F2
D' R' U' R2 B R F
D2 R' U' D R2 F B
D2 R' U' D R2 B F
D' R' U' F R' D2 B2
D' R' U' F D2 R' B2
D R' U' D2 R2 F B
D R' U' D2 R2 B F
R U' F2 D' F' B R2
R U' F2 D' B F' R2
D R' U' F D2 R2 B2
D R' U' F D2 B2 R2
R U' B R2 F D R2
R U' B U' B U F
R U' B F U' B U
D2 R' D U' R2 F B
D2 R' D U' R2 B F
F' R' D' L2 U' R2 B
D R' D2 U' R2 F B
D R' D2 U' R2 B F
L U2 L' B2 U F B
L U2 L' B2 U B F
D2 R' F2 L2 U' F' B'
D2 R' F2 L2 U' B' F'
D2 R' F2 U F U2 F2
D2 R' F2 U' F' D2 B2
R2 U2 R' B2 U F B'
R2 U2 R' B2 U B' F
R' U2 R2 B2 U F B'
R' U2 R2 B2 U B' F
R' U2 B2 R2 U F B
R' U2 B2 R2 U B F
R' U2 B2 U F D2 B2
R' U2 B2 U' F' U2 F2
R2 U2 B2 R' U F B
R2 U2 B2 R' U B F
L U2 B2 L' U F B'
L U2 B2 L' U B' F
R U2 B2 R U F B'
R U2 B2 R U B' F
R U2 B2 R' U F B'
R U2 B2 R' U B' F
R U2 B2 R2 U F B'
R U2 B2 R2 U B' F
R U2 B2 U D F B'
R U2 B2 U D B' F
R U2 B2 U D' F B'
R U2 B2 U D' B' F
R U2 B2 U D2 F B'
R U2 B2 U D2 B' F
R U2 B2 U F D B'
R U2 B2 U F D' B'
R U2 B2 U F D2 B'
R U2 B2 U F B' D
R U2 B2 U F B' D'
R U2 B2 U F B' D2
R U2 B2 U B' D F
R U2 B2 U B' D' F
R U2 B2 U B' D2 F
R U2 B2 U B' F D
R U2 B2 U B' F D'
R U2 B2 U B' F D2
R U2 B2 D U F B'
R U2 B2 D U B' F
R U2 B2 D' U F B'
R U2 B2 D' U B' F
R U2 B2 D2 U F B'
R U2 B2 D2 U B' F
R' D U L2 F' B' U2
R' D U L2 B' F' U2
R' D U F' L2 U2 F2
R' D U' F D2 R2 B2
R' D U' F D2 B2 R2
R D U L2 B' U2 B2
R D U' F D2 B R2
R D U' F B D2 R2
R D U' B D2 R2 F
R D U' B D2 F R2
R D U' B F D2 R2
B2 U F U R B2 U'
B2 U F U B2 R U'
R' D' R' U' R' F B
R' D' R' U' R' B F
R' D' R' U' F R' B
R' D' U F' U2 R2 F2
R' D' U F' U2 F2 R2
R' D' U' R' F R' B
R' D' U' R2 D F B
R' D' U' R2 D B F
R' D' U' R2 D' F B
R' D' U' R2 D' B F
R' D' U' R2 D2 F B
R' D' U' R2 D2 B F
R' D' U' R2 F D B
R' D' U' R2 F D' B
R' D' U' R2 F D2 B
R' D' U' R2 F B D
R' D' U' R2 F B D'
R' D' U' R2 F B D2
R' D' U' R2 B D F
R' D' U' R2 B D' F
R' D' U' R2 B D2 F
R' D' U' R2 B F D
R' D' U' R2 B F D'
R' D' U' R2 B F D2
R' D' U' F R2 D2 B2
R' D' U' B R2 F B
R' D' U' B R2 B F
R' D' U' B' R2 F B
R' D' U' B' R2 B F
R' D' U' B2 R2 F B
R' D' U' B2 R2 B F
R D' U' R2 F D2 B2
R D' U' F B R2 D
R D' U' F B R2 D'
R D' U' F B R2 D2
R D' U' F B' R2 B2
R D' U' F B2 R2 B'
R D' U' F' B R2 F2
R D' U' B R' F R'
R D' U' B R2 D F
R D' U' B R2 D' F
R D' U' B R2 D2 F
R D' U' B R2 F D
R D' U' B R2 F D'
R D' U' B R2 F D2
R D' U' B F R2 D
R D' U' B F R2 D'
R D' U' B F R2 D2
R D' U' B F' R2 F2
R D' U' B' R2 F B2
R D' U' B' R2 B2 F
R D' U' B' F R2 B2
R D' U' B2 R2 F B'
R D' U' B2 R2 B' F
R D' U' B2 F R2 B'
R2 D' F' R U' R F2
R D' F' U' F2 B R2
R D' F' U' B R2 F2
R D' F' U' B F2 R2
R D' F2 U' F' B R2
R D' F2 U' B F' R2
L D2 R F2 U' F B
L D2 R F2 U' B F
R' D2 R2 F2 U' F' B
R' D2 R2 F2 U' B F'
F U' B L B U L'
R D2 U' B D R2 F
R D2 U' B D F R2
F' U2 L' B2 U F2 B
F' U2 L' B2 U B F2
F2 U2 L' B2 U F' B
F2 U2 L' B2 U B F'
R' D2 F2 L2 U' F' B'
R' D2 F2 L2 U' B' F'
R' D2 F2 U F U2 F2
R' D2 F2 U' F' D2 B2
R2 D2 F2 L U' F' B'
R2 D2 F2 L U' B' F'
R D2 F2 L U' F' B
R D2 F2 L U' B F'
R D2 F2 L' U' F' B
R D2 F2 L' U' B F'
L D2 F2 R U' F' B
L D2 F2 R U' B F'
R D2 F2 L2 U' F' B
R D2 F2 L2 U' B F'
R D2 F2 U' D F' B
R D2 F2 U' D B F'
R D2 F2 U' D' F' B
R D2 F2 U' D' B F'
R D2 F2 U' D2 F' B
R D2 F2 U' D2 B F'
R D2 F2 U' F' D B
R D2 F2 U' F' D' B
R D2 F2 U' F' D2 B
R D2 F2 U' F' B D
R D2 F2 U' F' B D'
R D2 F2 U' F' B D2
R D2 F2 U' B D F'
R D2 F2 U' B D' F'
R D2 F2 U' B D2 F'
R D2 F2 U' B F' D
R D2 F2 U' B F' D'
R D2 F2 U' B F' D2
R D2 F2 D U' F' B
R D2 F2 D U' B F'
R D2 F2 D' U' F' B
R D2 F2 D' U' B F'
R D2 F2 D2 U' F' B
R D2 F2 D2 U' B F'
D2 F R F U' F' B
D2 F R F U' B F'
F' U2 B2 L' U F2 B'
F' U2 B2 L' U B' F2
U' F U' L' B2 U B
F2 U2 B2 L' U F' B'
F2 U2 B2 L' U B' F'
U' F U' B2 L' U B'
U2 F U' F' L' B2 U
U2 F U' F' B2 L' U
U2 F U' B2 F' L' U
B2 D R U F L2 B
B2 D R U F B L2
B2 D R U B F L2
R' F D2 F2 U' F2 B2
R' F D2 F2 U' B2 F2
R' F D2 B2 D L2 R2
R' F D2 B2 D R2 L2
U' F B U' L B U
R F D2 F2 U' F2 B
R F D2 F2 U' B F2
D' F' R U' B R F2
U F' U L' B2 U F2
R' F' U2 F2 D' L2 R2
R' F' U2 F2 D' R2 L2
U F' U B2 L' U F2
R' F' U2 B2 U F2 B2
R' F' U2 B2 U B2 F2
F' D' L2 R U' B R
R F' U' F2 D' B R2
F' D' R L2 U' B R
R F' U2 B2 U F2 B'
R F' U2 B2 U B' F2
R F' D' L2 U' B R2
D2 F2 U2 L' U F' B'
D2 F2 U2 L' U B' F'
R F2 U' D' F' B R2
R F2 U' D' B F' R2
R F2 U' F' D' B R2
R F2 U2 B2 U F' B'
R F2 U2 B2 U B' F'
B2 D2 R F2 U F' B
B2 D2 R F2 U B F'
R F2 D' U' F' B R2
R F2 D' U' B F' R2
F D2 R F2 U' F2 B
F D2 R F2 U' B F2
R F2 D2 F2 U' F B
R F2 D2 F2 U' B F
U' B L B U L' F
F2 D2 F2 R U' F B
F2 D2 F2 R U' B F
F D2 F2 R U' F2 B
F D2 F2 R U' B F2
U' B F U' L B U
U2 B2 U2 R U' F B
U2 B2 U2 R U' B F
R B2 U D F B' L2
R B2 U D B' F L2
R B2 U F D B' L2
R B2 U2 B2 U' F B
R B2 U2 B2 U' B F
R B2 D U F B' L2
R B2 D U B' F L2
R B2 D2 F2 U F' B'
R B2 D2 F2 U B' F'
