F2 L U R U B
U' L' U L2 F U2
U' L' U' D2 R2 B'
U' L' U' D2 B' R2
U' L' U' B' D2 R2
U' L' D F2 U' B'
U' L' D2 U' R2 B'
U' L' D2 U' B' R2
L B' U' L2 R' U'
L B' U' R' L2 U'
B2 U' D' L' U' R' B
U' D2 L' U L2 F U2
U' D2 L' U' D2 R2 B'
U' D2 L' U' D2 B' R2
U' D2 L' U' B' D2 R2
U' D2 L' D F2 U' B'
U' D2 L' D2 U' R2 B'
U' D2 L' D2 U' B' R2
L D2 B U L R2 U
L D2 B U R2 L U
F2 D L U R U B
L F B' U' L2 R' U'
L F B' U' R' L2 U'
F2 D' L U R U B
F' D' L B' U' R' U'
D2 F2 L U R U B
D' F2 L U R U B
B2 D' U' L' U' R' B
L F' B' U' L2 R' U'
L F' B' U' R' L2 U'
D F2 L U R U B
F2 D2 L U R U B
L F2 B' U' L2 R' U'
L F2 B' U' R' L2 U'
L B U L U2 L U'
L B U D L U F2
L B U D2 L R2 U
L B U D2 R2 L U
L B U' L2 U2 L' U
L B D U L U F2
L B D' B2 U' R' U'
L B D2 U L R2 U
L B D2 U R2 L U
U' B' L' B U' B2 R'
L' B' L2 U' L2 R' U'
L' B' L2 U' R' L2 U'
L' B' R' U L2 R U2
L' B' R' U R L2 U2
L' B' R' D F2 U' L'
U2 B' U L' U' B' R'
L B' U' L2 R' U' D
L B' U' L2 R' U' D'
L B' U' L2 R' U' D2
L B' U' L2 R' D U'
L B' U' L2 R' D' U'
L B' U' L2 R' D2 U'
L B' U' L2 D R' U'
L B' U' L2 D' R' U'
L B' U' L2 D2 R' U'
L B' U' R' L2 U' D
L B' U' R' L2 U' D'
L B' U' R' L2 U' D2
L B' U' R' L2 D U'
L B' U' R' L2 D' U'
L B' U' R' L2 D2 U'
L B' U' R' U' D F2
L B' U' R' D U' F2
L' B' D R' F2 U' L'
L B' U' D R' U' F2
L B' D U' R' U' F2
L B' D' B2 U L U
L B' F U' L2 R' U'
L B' F U' R' L2 U'
L B' F' U' L2 R' U'
L B' F' U' R' L2 U'
L B' F2 U' L2 R' U'
L B' F2 U' R' L2 U'
U2 B2 R' U L' U' B'
U2 B2 U L' U' R' B'
U B2 U2 L' U' R' B'
