L' R' B U L2 F'
L' R' B U F' L2
R' L' B U L2 F'
R' L' B U F' L2
L D' R' F' R B2
L D' R' F' B2 R
L D' R' B2 F' R
L D' B2 R' F' R
L D' R' F' R B2 D'
L D' R' F' R B2 D2
L D' R' F' R' B2 R2
L D' R' F' B' R B'
L D' R' F' B2 R D
L D' R' F' B2 R D'
L D' R' F' B2 R D2
L D' R' F' B2 D R
L D' R' F' B2 D' R
L D' R' F' B2 D2 R
L D' R' B' F' R B'
L D' R' B2 F' R D
L D' R' B2 F' R D'
L D' R' B2 F' R D2
L D' R' B2 F' D R
L D' R' B2 F' D' R
L D' R' B2 F' D2 R
L D' R2 F' R F' B2
L D' R2 F' R B2 F'
L D' R2 F' B2 R F'
L D' R2 B2 R F' R
L D' R2 B2 F' R F'
L D' F' R' F' R2 B2
L D' F' R' F' B2 R2
L D' F' R' B2 F' R2
F2 U' R F' U' L F
L D' F' B2 R' F' R2
L D' B R' F' R B
L D' B D2 B R' F'
L D' B' R' F' R B'
L D' B' R' F' B' R
L D' B' R' B' F' R
L D' B2 R' F' R D
L D' B2 R' F' R D'
L D' B2 R' F' R D2
L D' B2 R' F' D R
L D' B2 R' F' D' R
L D' B2 R' F' D2 R
L D' B2 R2 F' R F'
L D' B2 F' R' F' R2
R' D2 L' B U L2 F'
R' D2 L' B U F' L2
R2 D2 L' U F L2 R
R2 D2 L' U F R L2
L' F R' B U L2 F'
L' F R' B U F' L2
F' D L R' F' B R'
F' D L R' B F' R'
F' D L B R' F' B
F' D L B R' B F'
F' D R' L F' B R'
F' D R' L B F' R'
L F D' R' F' R B2
L F D' R' F' B2 R
L F D' R' B2 F' R
F' D R' F' L B R'
L F D' B2 R' F' R
L' F' R' B U L2 F'
L' F' R' B U F' L2
F' D' L R' F' R B'
F' D' L R' F' B' R
F' D' L R' B' F' R
F' D' L B' R' F' R
R' F' D' L B' D' R2
F' D' R' L F' R B'
F' D' R' L F' B' R
F' D' R' L B' F' R
L F' D' R' F' R B2
L F' D' R' F' B2 R
L F' D' R' B2 F' R
F' D' R' F' L R B'
F' D' R' F' L B' R
F' D' R' F' R L B'
L F' D' B2 R' F' R
U' F2 R F' U' L F
L' F2 R' B U L2 F'
L' F2 R' B U F' L2
L F2 D' R' F' R B2
L F2 D' R' F' B2 R
L F2 D' R' B2 F' R
L F2 D' B2 R' F' R
L' B R' B U L2 F'
L' B R' B U F' L2
R' B D L' F U F2
L B D' R' F' R B2
L B D' R' F' B2 R
L B D' R' B2 F' R
L B D' B2 R' F' R
U' B' L' R' B U L
U' B' R' L' B U L
U' B' R' B L' U L2
L' B' R' B U L2 F'
L' B' R' B U F' L2
L B' D' R' F' R B2
L B' D' R' F' B2 R
L B' D' R' B2 F' R
L B' D' B2 R' F' R
L' B2 R' B U L2 F'
L' B2 R' B U F' L2
L B2 D' R' F' R B2
L B2 D' R' F' B2 R
L B2 D' R' B2 F' R
L B2 D' B2 R' F' R
