F' L U R' F2 U2
F' L U F2 R' U2
F' L U' D2 B2 L
F' L D2 U' B2 L
F R' U' L F2 U'
F R' U' F2 L U'
L F' U' B2 L B'
L F' B2 U' L B'
F' D2 L U' B2 L
L B2 F' U' L B'
F L F2 U R' F2 U2
F L F2 U F2 R' U2
F L F2 U' D2 B2 L
F L F2 D2 U' B2 L
F' L B2 U F2 U2 L
F' L B2 U' L D2 B2
F' L B2 U' D2 L B2
F' L B2 D R2 U' L
F' L B2 D2 U' L B2
D2 L B2 F' U' L B'
D' L B2 F' U' L B'
U' L B2 F' U' L B'
U2 L B2 F' U' L B'
D L B2 F' U' L B'
U L B2 F' U' L B'
F L' R' U' L2 F2 U'
F L' R' U' F2 L2 U'
F L' R' U2 D R2 F2
F L' R' U2 D F2 R2
F L' R' D U2 R2 F2
F L' R' D U2 F2 R2
F L' R' D' L2 B2 U2
F L' R' D' B2 L2 U2
F L' U2 D R2 F2 L'
F' L' D R2 U' F2 L'
F L' D R' U2 R' F2
F L' D R' U2 F2 R'
F L' D U2 R2 F2 L'
F L' D' L2 R' B2 U2
F L' D' L2 B2 U2 L
F L' D' R' L2 B2 U2
F L' D' R' B2 L2 U2
F L' D' B2 L2 U2 L'
F L2 R' U' L' F2 U'
F' L2 D2 L' U' B2 L
B' L2 F' U' B' L F
F' R L U R2 F2 U2
F' R L U F2 R2 U2
F' R L U' D2 L2 B2
F' R L U' D2 B2 L2
F' R L D R2 B2 U'
F' R L D B2 R2 U'
F' R L D2 U' L2 B2
F' R L D2 U' B2 L2
F' R D L R2 B2 U'
F' R D L B2 R2 U'
F' R D R2 L B2 U'
F' R D2 L U' L B2
F R' L U' F2 U' F2
F R' L' U' L2 F2 U'
F R' L' U' F2 L2 U'
F R' L' U2 D R2 F2
F R' L' U2 D F2 R2
F R' L' D U2 R2 F2
F R' L' D U2 F2 R2
F R' L' D' L2 B2 U2
F R' L' D' B2 L2 U2
F R' L2 U' L' F2 U'
F R' U D2 B2 R' U
F R' U' L U' D R2
F R' U' L D U' R2
F R' U' L F2 U' D
F R' U' L F2 U' D'
F R' U' L F2 U' D2
F R' U' L F2 D U'
F R' U' L F2 D' U'
F R' U' L F2 D2 U'
F R' U' L' F2 L2 U'
F R' U' D L U' R2
F R' U' F' L F' U'
F R' U' F2 L U' D
F R' U' F2 L U' D'
F R' U' F2 L U' D2
F R' U' F2 L D U'
F R' U' F2 L D' U'
F R' U' F2 L D2 U'
F R' U' F2 D L U'
F R' U' F2 D' L U'
F R' U' F2 D2 L U'
F R' D U' L U' R2
F R' D' L2 U' L' U'
F R' D2 U B2 R' U
F' R' F2 U' L F2 U'
F' R' F2 U' F2 L U'
F' R2 L U R F2 U2
F' R2 L U F2 U2 L'
F R2 U' L F2 U' L'
F R2 U' F2 L U' L2
L D F' R U R2 U2
L D F' R U' D2 L2
L D F' R D B2 U'
L D F' R D2 U' L2
L D F' B2 R U' L
F' U R' F2 U' L U'
L D B2 F' R U' L
F U D2 B2 R' U L
F' U F2 R' U' L U'
R' D' F L' U' L2 U'
R' D' F L' U2 D F2
R' D' F L' D U2 F2
R' D' F L' D' B2 U2
F U' L F2 U R' U2
F U' L F2 B2 U' L
F U' L B2 F2 U' L
R D2 L U' L B' R'
F U' F2 L U R' U2
F U' F2 L B2 U' L
F U2 L' D R2 F2 L'
L D2 F' U R' U2 B
U' F R' U' L F2 U'
U' F R' U' F2 L U'
D' F R' U' L F2 U'
D' F R' U' F2 L U'
D2 F R' U' L F2 U'
D2 F R' U' F2 L U'
U2 F R' U' L F2 U'
U2 F R' U' F2 L U'
D F R' U' L F2 U'
D F R' U' F2 L U'
U F R' U' L F2 U'
U F R' U' F2 L U'
R' F U B2 R' B U
F' D L R2 U R U2
F' D L U' D B2 L
F' D L D U' B2 L
F' D L B2 R2 U' L
L' F D R2 F2 L' B'
F' D R2 L U R U2
F D R' U' L U' R'
R' F B2 U R' B U
U' F' L U R' F2 U2
U' F' L U F2 R' U2
U' F' L U' D2 B2 L
D' F' L U R' F2 U2
D2 F' L U R' F2 U2
D' F' L U F2 R' U2
D2 F' L U F2 R' U2
D' F' L U' D2 B2 L
D2 F' L U' D2 B2 L
U' F' L D2 U' B2 L
D' F' L D2 U' B2 L
D2 F' L D2 U' B2 L
U2 F' L U R' F2 U2
U2 F' L U F2 R' U2
U2 F' L U' D2 B2 L
U2 F' L D2 U' B2 L
D F' L U R' F2 U2
D F' L U F2 R' U2
D F' L U' D2 B2 L
D F' L D2 U' B2 L
U F' L U R' F2 U2
U F' L U F2 R' U2
U F' L U' D2 B2 L
U F' L D2 U' B2 L
L' F' L2 U' B2 L B'
L' F' L2 B2 U' L B'
L F' U D2 R' U2 B
F' D' L B2 R' U' L
L F' U' L B2 L B
L F' U' B' L B' L
L F' U' B2 L D B'
L F' U' B2 L D' B'
L F' U' B2 L D2 B'
L F' U' B2 L B' D
L F' U' B2 L B' D'
L F' U' B2 L B' D2
U' F' D2 L U' B2 L
D2 F' D2 L U' B2 L
D' F' D2 L U' B2 L
F D' L2 R' U' L' U'
U2 F' D2 L U' B2 L
D F' D2 L U' B2 L
U F' D2 L U' B2 L
L F' D2 U R' U2 B
F D' R' L2 U' L' U'
L F' B' U' L B' L
L F' B' U' B' L B'
L F' B2 R U' L B'
L F' B2 R' U' L B'
L F' B2 R2 U' L B'
L F' B2 U' L D B'
L F' B2 U' L D' B'
L F' B2 U' L D2 B'
L F' B2 U' L B' D
L F' B2 U' L B' D'
L F' B2 U' L B' D2
F' D2 L U R' U2 B2
F' D2 L U' L B2 L
F' D2 L U' L' B2 L
F' D2 L U' L2 B2 L
F' D2 L U' B2 L D
F' D2 L U' B2 L D'
F' D2 L U' B2 L D2
F' D2 L U' B2 D L
F' D2 L U' B2 D' L
F' D2 L U' B2 D2 L
F' D2 L B' U' B' L
F D2 R' U B2 R' U
F D2 U B2 R' U L
F' D2 B' U' B' L F
L B' F' U' L B' L
L B' F' U' B' L B'
L2 B2 L' F' U' L2 B
L2 B2 L' F' U' B L2
L B2 R U' L B' R'
L B2 D F' R U' L
R' B2 F U R' B U
L B2 F' R U' L B'
L B2 F' R' U' L B'
L B2 F' R2 U' L B'
L B2 F' U' L D B'
L B2 F' U' L D' B'
L B2 F' U' L D2 B'
L B2 F' U' L B' D
L B2 F' U' L B' D'
L B2 F' U' L B' D2
