F2 L' U' L' B'
F2 L' R U' L' B'
F2 L' R' U' L' B'
F2 L' R2 U' L' B'
F2 L' U' L' D B'
F2 L' U' L' D' B'
F2 L' U' L' D2 B'
F2 L' U' L' B' D
F2 L' U' L' B' D'
F2 L' U' L' B' D2
F2 L' U' D L' B'
F2 L' U' D' L' B'
F2 L' U' D2 L' B'
F2 L' U' B L' B'
F2 L' U' B' L' B'
F2 L' U' B2 L' B'
F2 L' D U' L' B'
F2 L' D' U' L' B'
F2 L' D2 U' L' B'
F2 L' B' R' U' L'
F2 R L' U' L' B'
F2 R' L' U' L' B'
F2 R' L' U' L' B'
F2 R2 L' U' L' B'
U' F2 L' U' B' L'
F2 B' L' R' U' L'
F2 B' R' L' U' L'
B' F2 L' R' U' L'
B' F2 R' L' U' L'
F2 L' B' R' U' L' D
F2 L' B' R' U' L' D'
F2 L' B' R' U' L' D2
F2 L' B' R' U' D L'
F2 L' B' R' U' D' L'
F2 L' B' R' U' D2 L'
F2 L' B' R' D U' L'
F2 L' B' R' D' U' L'
F2 L' B' R' D2 U' L'
F2 L' B' R' B U' L'
F2 L' B' R' B' U' L'
F2 L' B' R' B2 U' L'
F2 L' B' D R' U' L'
F2 L' B' D' R' U' L'
F2 L' B' D2 R' U' L'
B' L2 U F2 L' R' U'
B' L2 U F2 R' L' U'
U2 L2 U F2 L' U' B'
B L2 U F2 L' R U'
B L2 U F2 R L' U'
F2 L2 D L U' L' B'
F2 L2 D' L U' L' B'
F2 L2 D2 L U' L' B'
R U L2 R D B R2
R U L2 R B D R2
R U L2 R' D R2 B
R U L2 D R B R
B' L2 F2 L' R' U' L
R U R L2 D B R2
B' L2 F2 R' L' U' L
R U R L2 B D R2
B L2 F2 L' R U' L
B L2 F2 R L' U' L
R U R B L2 D R2
R U R' L2 D R2 B
B R L U L D R2
B R L U D L R2
B R L U D R2 L
B R L U2 F2 U' L
B R L D U L R2
B R L D U R2 L
F2 R L' U' L' D B'
F2 R L' U' L' D' B'
F2 R L' U' L' D2 B'
F2 R L' U' L' B' D
F2 R L' U' L' B' D'
F2 R L' U' L' B' D2
F2 R L' U' D L' B'
F2 R L' U' D' L' B'
F2 R L' U' D2 L' B'
F2 R L' U' B L' B'
F2 R L' U' B' L' B'
F2 R L' U' B2 L' B'
F2 R L' D U' L' B'
F2 R L' D' U' L' B'
F2 R L' D2 U' L' B'
F2 R L' B' R' U' L'
B' R U L2 D R2 B2
B' R U L2 D B2 R2
D R U R D' L2 B
D R U R D' B L2
D R U R B D' L2
D R U D' L2 R B
D R U D' R L2 B
D R U D' R B L2
L2 U F2 L' R U' B
U R U L2 D B R2
U R U L2 B D R2
L2 U F2 R L' U' B
U R U B L2 D R2
B' R U2 R2 F2 U' L2
B' R U2 F2 R2 U' L2
B R D L F2 U R2
U R U2 F2 U' L2 B
U R U2 F2 U' B L2
B' R D F2 U R2 B2
B' R D F2 U B2 R2
B R D F2 L U R2
U R D F2 U B R2
D R D' U L2 R B
D R D' U R L2 B
D R D' U R B L2
F R F L' U' L' B'
D R F2 U' L' U2 B'
U R F2 U' B L2 F
F2 R B' L' R' U' L'
F2 R B' R' L' U' L'
F2 R' L' U' L' D B'
F2 R' L' U' L' D' B'
F2 R' L' U' L' D2 B'
F2 R' L' U' L' B' D
F2 R' L' U' L' B' D'
F2 R' L' U' L' B' D2
F2 R' L' U' D L' B'
F2 R' L' U' D' L' B'
F2 R' L' U' D2 L' B'
F2 R' L' U' B L' B'
F2 R' L' U' B' L' B'
F2 R' L' U' B2 L' B'
F2 R' L' D U' L' B'
F2 R' L' D' U' L' B'
F2 R' L' D2 U' L' B'
F2 R' L' B' R' U' L'
L U' F2 L' U' B' L2
F R' F L' U' L' B'
B' R' F2 U' L2 D' F2
B' R' F2 U2 R2 U L2
B' R' F2 D' B2 U' F2
D R' F2 R2 U R B
F2 R' B' L' R' U' L'
F2 R' B' R' L' U' L'
F2 R2 L' U' L' D B'
F2 R2 L' U' L' D' B'
F2 R2 L' U' L' D2 B'
F2 R2 L' U' L' B' D
F2 R2 L' U' L' B' D'
F2 R2 L' U' L' B' D2
F2 R2 L' U' D L' B'
F2 R2 L' U' D' L' B'
F2 R2 L' U' D2 L' B'
F2 R2 L' U' B L' B'
F2 R2 L' U' B' L' B'
F2 R2 L' U' B2 L' B'
F2 R2 L' D U' L' B'
F2 R2 L' D' U' L' B'
F2 R2 L' D2 U' L' B'
F2 R2 L' B' R' U' L'
R U2 F R F U' L2
F R2 F L' U' L' B'
L' D R U L' R B
L' D R U R L' B
L' D R U R B L'
L D R U L R B
L D R U R L B
F' R2 B L U L F
D R2 F2 R' U R B
F2 R2 B' L' R' U' L'
F2 R2 B' R' L' U' L'
R D F2 U R B R
R D F2 B L U R2
R D B L F2 U R2
R D B F2 L U R2
B' U F2 L' R' U' L'
B' U F2 R' L' U' L'
F2 U' L2 U L U' B'
F U' F L' U' B' L'
B' U' F2 L' R' U' L'
B' U' F2 R' L' U' L'
F U2 F L' R U' L'
F U2 F R L' U' L'
B' U2 F2 L' R' U' L'
B' U2 F2 R' L' U' L'
U2 F R F L' U' L'
R F U2 F R U' L2
R' F' R2 B L U L
F2 D' L' B' R' B' U'
U' F2 L' R U' B' L'
U' F2 L' R' U' B' L'
U' F2 L' R2 U' B' L'
U' F2 L' U' D B' L'
U' F2 L' U' D' B' L'
U' F2 L' U' D2 B' L'
U' F2 L' U' B L' B2
U' F2 L' U' B' L' D
U' F2 L' U' B' L' D'
U' F2 L' U' B' L' D2
U' F2 L' U' B' D L'
U' F2 L' U' B' D' L'
U' F2 L' U' B' D2 L'
U' F2 L' U' B2 L' B
U' F2 L' D U' B' L'
U' F2 L' D' U' B' L'
U' F2 L' D2 U' B' L'
L' F2 L' U R U2 B
U' F2 L' B U' L' B2
U' F2 L' B U' B2 L'
U' F2 L' B2 U' L' B
U' F2 L' B2 U' B L'
L2 F2 L' U' L' B' L2
U' F2 R L' U' B' L'
U F2 L' R U' L' B
U F2 L' R U' B L'
L F2 L' U' L' B' L'
U' F2 R' L' U' B' L'
L F2 L' B' R' U' L2
U' F2 R2 L' U' B' L'
U F2 R L' U' L' B
U F2 R L' U' B L'
F2 D' B' R' B' L' U'
U' F2 D' L' B2 U' B
U' F2 D' B2 L' U' B'
U' F2 B L' U' B' L'
U' F2 B' L' U' B' L'
U' F2 B2 L' U' B' L'
L2 F2 B' L' R' U' L
L2 F2 B' R' L' U' L
R B L U L D R2
R B L U D L R2
R B L U D R2 L
R B L U2 F2 U' L
R B L D U L R2
R B L D U R2 L
F2 B L' U' D' L' B2
F2 B L' U' D' B2 L'
F2 B L' U2 L2 U L
F2 B L' D' U' L' B2
F2 B L' D' U' B2 L'
F2 B L' D2 R2 U' L'
R B D L F2 U R2
B' F R' F L' U' L'
R B D F2 L U R2
U' B F2 L' U' B' L'
F2 B D' B2 L' R' U'
F2 B D' B2 R' L' U'
F2 B' L' R' U' L' D
F2 B' L' R' U' L' D'
F2 B' L' R' U' L' D2
F2 B' L' R' U' D L'
F2 B' L' R' U' D' L'
F2 B' L' R' U' D2 L'
F2 B' L' R' D U' L'
F2 B' L' R' D' U' L'
F2 B' L' R' D2 U' L'
F2 B' L' R' B U' L'
F2 B' L' R' B' U' L'
F2 B' L' R' B2 U' L'
F2 B' L' D R' U' L'
F2 B' L' D' R' U' L'
F2 B' L' D2 R' U' L'
F2 B' L' B U' L' B'
R B' R' F2 L' U' L'
L2 B' U F2 L' R' U'
L2 B' U F2 R' L' U'
F2 B' R' L' U' L' D
F2 B' R' L' U' L' D'
F2 B' R' L' U' L' D2
F2 B' R' L' U' D L'
F2 B' R' L' U' D' L'
F2 B' R' L' U' D2 L'
F2 B' R' L' D U' L'
F2 B' R' L' D' U' L'
F2 B' R' L' D2 U' L'
F2 B' R' L' B U' L'
F2 B' R' L' B' U' L'
F2 B' R' L' B2 U' L'
F2 B' R' D' L' B2 U'
F2 B' R' D' B2 L' U'
F2 B' R' B L' U' L'
F2 B' R' B' L' U' L'
F2 B' R' B2 L' U' L'
R B' U2 R' F2 U' L2
R B' U2 F2 R' U' L2
F B' R' F L' U' L'
U' B' F2 L' U' B' L'
L2 B' F2 L' R' U' L
L2 B' F2 R' L' U' L
F2 B' D' L' R' B2 U'
F2 B' D' R' L' B2 U'
F2 B' D' R' B2 L' U'
B' F2 L' R' U' L' D
B' F2 L' R' U' L' D'
B' F2 L' R' U' L' D2
B' F2 L' R' U' D L'
B' F2 L' R' U' D' L'
B' F2 L' R' U' D2 L'
B' F2 L' R' D U' L'
B' F2 L' R' D' U' L'
B' F2 L' R' D2 U' L'
B' F2 L' R' B U' L'
B' F2 L' R' B' U' L'
B' F2 L' R' B2 U' L'
B' F2 L' D R' U' L'
B' F2 L' D' R' U' L'
B' F2 L' D2 R' U' L'
B' F2 L' B U' L' B'
B2 F2 L' B R' U' L'
F2 B2 L' B R' U' L'
B2 F2 L' B2 U' L' B'
F2 B2 L' B2 U' L' B'
B F2 L' U' D' L' B2
B F2 L' U' D' B2 L'
B F2 L' U2 L2 U L
B F2 L' D' U' L' B2
B F2 L' D' U' B2 L'
B F2 L' D2 R2 U' L'
B' F2 R' L' U' L' D
B' F2 R' L' U' L' D'
B' F2 R' L' U' L' D2
B' F2 R' L' U' D L'
B' F2 R' L' U' D' L'
B' F2 R' L' U' D2 L'
B' F2 R' L' D U' L'
B' F2 R' L' D' U' L'
B' F2 R' L' D2 U' L'
B' F2 R' L' B U' L'
B' F2 R' L' B' U' L'
B' F2 R' L' B2 U' L'
B' F2 R' D' L' B2 U'
B' F2 R' D' B2 L' U'
B' F2 R' B L' U' L'
B' F2 R' B' L' U' L'
B' F2 R' B2 L' U' L'
B' F2 D' L' R' B2 U'
B' F2 D' R' L' B2 U'
B' F2 D' R' B2 L' U'
U' B2 F2 L' U' B' L'
B F2 D' B2 L' R' U'
B F2 D' B2 R' L' U'
