U2 F R F' B
U2 F R B F'
U' L F R U' F'
D2 L F B' U2 R'
D2 L B' F U2 R'
D2 L' U2 F R B'
D2 L' U2 F B' R
D2 L' U2 B' F R
U2 R F B R F2
U R B L U F'
U2 R B F R F2
L' U2 F R F' B'
L' U2 F R B' F'
L' U2 F B' R F'
L' U2 B' F R F'
B2 U2 R F' B R'
B' U2 R F' B R2
B2 U2 R B F' R'
B' U2 R B F' R2
F' U2 F R F' B
F' U2 F R B F'
F2 U2 F R F' B
F2 U2 F R B F'
F U2 F R F' B
F U2 F R B F'
U2 F R D F' B
U2 F R D B F'
U2 F R D' F' B
U2 F R D' B F'
U2 F R D2 F' B
U2 F R D2 B F'
U2 F R F' D B
U2 F R F' D' B
U2 F R F' D2 B
U2 F R F' B D
U2 F R F' B D'
U2 F R F' B D2
U2 F R B D F'
U2 F R B D' F'
U2 F R B D2 F'
U2 F R B F' D
U2 F R B F' D'
U2 F R B F' D2
L F U2 F R F'
U2 F B R F' B
U2 F B R B F'
U2 F B' R F' B
U2 F B' R B F'
U2 F B2 R F' B
U2 F B2 R B F'
U2 F2 R F' B R
U2 F2 R B F' R
B D2 L F B' U2
B D2 L B' F U2
R' B L R F U2
D2 B L F B' U2
D2 B L B' F U2
R' B R L F U2
U2 B F R F' B
U2 B F R B F'
U2 B' F R F' B
U2 B' F R B F'
U2 B2 F R F' B
U2 B2 F R B F'
R' L' B' R' D2 L2 F2
R' L' B' R' D2 F2 L2
L' R' B' R' D2 L2 F2
L' R' B' R' D2 F2 L2
D2 L' D2 U2 F R B'
D2 L' D2 U2 F B' R
D2 L' D2 U2 B' F R
R' L' B' D2 F2 L' R'
R' L' B' D2 F2 R' L'
L' R' B' D2 F2 L' R'
L' R' B' D2 F2 R' L'
R2 L' B' D2 L2 R' F'
R2 L' B' D2 R' L2 F'
R2 L' B' D2 R' F' L2
U2 L' F L R F' B
U2 L' F L R B F'
R L' B2 L F' B R'
U2 L' F R L F' B
U2 L' F R L B F'
R L' B2 L B F' R'
U2 L' F R F' L B
R L' B2 F' L B R'
D2 L' F' B' R' F2 L'
D2 L' B U2 F B2 R'
D2 L' B U2 B2 R' F
D2 L' B U2 B2 F R'
D2 L' B' R' F2 L' F'
D2 L' B' F' R' F2 L'
D2 L' B2 U2 F B R'
D2 L' B2 U2 B R' F
D2 L' B2 U2 B F R'
L R2 D2 L2 B' R' F'
L' R2 D2 B' L2 R' F'
L' R2 D2 B' R' L2 F'
L' R2 D2 B' R' F' L2
U L2 R B L U F'
U L2 U F R F' B
U L2 U F R B F'
R' L2 B L R U2 B'
R' L2 B R L U2 B'
L' R2 B' D2 L2 R' F'
L' R2 B' D2 R' L2 F'
L' R2 B' D2 R' F' L2
U2 L2 F L2 R F' B
U2 L2 F L2 R B F'
U2 L2 F R L2 F' B
U2 L2 F R L2 B F'
U2 L2 F R F' L2 B
U2 L2 F R F' B L2
U2 L2 F R B L2 F'
U2 L2 F R B F' L2
L' U R B U F' B2
L' U R B U B2 F'
D2 L2 B L U2 F B'
D2 L2 B L U2 B' F
U' R L F R U' F2
B R L F R' U2 F2
U R L B L U F'
U R L' B L U F'
U R L2 B L U F'
U' R U' F R F2 B
U' R U' F R B F2
U2 R D F B R F2
U2 R D B F R F2
U R D B L U F'
U2 R D' F B R F2
U2 R D' B F R F2
U R D' B L U F'
U2 R D2 F B R F2
U2 R D2 B F R F2
B' R F R2 F2 L' B'
U R D2 B L U F'
U2 R F B R F2 D
U2 R F B R F2 D'
U2 R F B R F2 D2
U2 R F B R' F2 R2
U2 R F B R2 F2 R'
U2 R F B' R F2 B2
U2 R F B' R B2 F2
U2 R F B2 R F2 B'
U2 R F B2 R B' F2
U2 R F' U2 L' U2 B
U2 R F' B U2 L' U2
U2 R F2 D2 F B R'
U2 R F2 D2 B R' F
U2 R F2 D2 B F R'
U2 R B R' F R F'
U R B L U D F'
U R B L U D' F'
U R B L U D2 F'
U R B L U F' D
U R B L U F' D'
U R B L U F' D2
U R B L D U F'
U R B L D' U F'
U R B L D2 U F'
U2 R B D F R F2
U2 R B D' F R F2
U2 R B D2 F R F2
U2 R B F R F2 D
U2 R B F R F2 D'
U2 R B F R F2 D2
U2 R B F R' F2 R2
U2 R B F R2 F2 R'
U2 R B F' U2 L' U2
U R B D L U F'
U R B D' L U F'
U R B D2 L U F'
U2 R B' F R F2 B2
U2 R B' F R B2 F2
U2 R B2 F R F2 B'
U2 R B2 F R B' F2
B R' L B R F U2
B' R' L' B' D2 F2 L'
U' R' U B L F U2
B' R' U2 B R U2 B
U2 R' U2 F' B L U2
U2 R' U2 B L F' U2
U2 R' U2 B F' L U2
D2 R' F2 L' F B' R'
D2 R' F2 L' B' R' F
D2 R' F2 L' B' F R'
L' U2 R F R F2 B'
L' U2 R F R B' F2
L' U2 R F B' R F2
B' R' F2 L' B' D2 F2
U2 R' F' B L' U2 L
L' U2 R B' F R F2
F' R' B L R F U2
F' R' B R L F U2
F2 R' B L R F U2
F2 R' B R L F U2
F R' B L R F U2
F R' B R L F U2
U2 R' B F' L' U2 L
B' R' B' D2 F2 L' B'
L' U2 F R D F' B'
L' U2 F R D B' F'
L' U2 F R D' F' B'
L' U2 F R D' B' F'
L' U2 F R D2 F' B'
L' U2 F R D2 B' F'
L' U2 F R F' D B'
L' U2 F R F' D' B'
L' U2 F R F' D2 B'
L' U2 F R F' B' D
L' U2 F R F' B' D'
L' U2 F R F' B' D2
L' U2 F R B' D F'
L' U2 F R B' D' F'
L' U2 F R B' D2 F'
L' U2 F R B' F' D
L' U2 F R B' F' D'
L' U2 F R B' F' D2
L' U2 F B R F' B2
L' U2 F B R B2 F'
L' U2 F B' R D F'
L' U2 F B' R D' F'
L' U2 F B' R D2 F'
L' U2 F B' R F' D
L' U2 F B' R F' D'
L' U2 F B' R F' D2
L' U2 F2 R F' R B'
L' U2 F2 R F' B' R
L' U2 F2 R B' F' R
L' U2 F2 B' R F' R
L U2 F2 R F' R B
L' U2 B F R F' B2
L' U2 B F R B2 F'
L' U2 B' R F R F2
L' U2 B' F R D F'
L' U2 B' F R D' F'
L' U2 B' F R D2 F'
L' U2 B' F R F' D
L' U2 B' F R F' D'
L' U2 B' F R F' D2
L' U2 B' F2 R F' R
U2 R2 F R' F' B R2
U2 R2 F R' B F' R2
U2 R2 F2 R' F' B R
U2 R2 F2 R' B F' R
D2 U L' U F R B
R' D B L R F U2
F' U R B L U F'
R' D B R L F U2
F2 U R B L U F'
D U R B L R' U
D U R B R' L U
F U R B L U F'
U D R B L R' U
U D R B R' L U
U2 D F D' R F' B
U2 D F D' R B F'
D' U' L F L' R U'
D' U' L F R L' U'
U' D' L F L' R U'
U' D' L F R L' U'
F' U' L F R U' F'
F2 U' L F R U' F'
F U' L F R U' F'
R' D' B L R F U2
R' D' B R L F U2
L2 D2 L B' U2 R' B
B' U' F R U' F' R2
R2 D2 L' B' L' R' F'
R2 D2 L' B' R' L' F'
L D2 L' U2 F R B
D2 U2 L' F L R B
D2 U2 L' F R L B
U2 D2 L' F L R B
U2 D2 L' F R L B
U D2 L' U F R B
D2 U2 F D2 R F' B
D2 U2 F D2 R B F'
U2 D2 F D2 R F' B
U2 D2 F D2 R B F'
L D2 F L B' U2 R'
L D2 F L' U2 F R
D U2 F D' R F' B
D U2 F D' R B F'
L D2 F B L B' U2
B' U2 R F B R2 F2
B' U2 R F' B R2 D
B' U2 R F' B R2 D'
B' U2 R F' B R2 D2
B' U2 R F' B' R2 B2
B' U2 R F' B2 R2 B'
B' U2 R F2 B R2 F
F' U2 R F B R F2
R' D2 B L R F U2
B2 U2 R D2 F' B R
B2 U2 R D2 B F' R
B' U2 R B F R2 F2
B' U2 R B F' R2 D
B' U2 R B F' R2 D'
B' U2 R B F' R2 D2
B' U2 R B F2 R2 F
B2 U2 R F B R' F2
B' U2 R B' F' R2 B2
B2 U2 R F' B R' D
B2 U2 R F' B R' D'
B2 U2 R F' B R' D2
B2 U2 R F' B D R'
B2 U2 R F' B D' R'
B2 U2 R F' B D2 R'
B' U2 R B2 F' R2 B'
F' U2 R B F R F2
R' D2 B R L F U2
B2 U2 R F2 B R' F
F2 U2 R F B R F2
B2 U2 R B D F' R'
B2 U2 R B D' F' R'
B2 U2 R B D2 F' R'
B2 U2 R B F R' F2
B2 U2 R B F' R' D
B2 U2 R B F' R' D'
B2 U2 R B F' R' D2
B2 U2 R B F' D R'
B2 U2 R B F' D' R'
B2 U2 R B F' D2 R'
B2 U2 R B F2 R' F
L' D2 B L B' U2 B'
F2 U2 R B F R F2
B' U2 R' U2 F' B U2
B' U2 R' U2 B F' U2
B U2 R F' B2 R' B'
B U2 R B D2 F' R
B U2 R B2 F' R' B'
F U2 R F B R F2
F U2 R B F R F2
L' D2 B' R' F2 L' F
B2 U2 R2 B R' F' B
B2 U2 R2 B R' B F'
L D2 B F L B' U2
U' F L R F U' F2
B U2 R2 B2 R' F' B
B U2 R2 B2 R' B F'
D2 F L F B' U2 R'
U2 F L R B L' F'
D2 F L B' F U2 R'
D2 F L' U2 F R B'
D2 F L' U2 F B' R
D2 F L' U2 B' F R
U2 F L' R F' L B
B' U2 F R F' B R2
B' U2 F R B F' R2
F' U2 F R D F' B
F' U2 F R D B F'
F' U2 F R D' F' B
F' U2 F R D' B F'
F' U2 F R D2 F' B
F' U2 F R D2 B F'
F' U2 F R F' D B
F' U2 F R F' D' B
F' U2 F R F' D2 B
F' U2 F R F' B D
F' U2 F R F' B D'
F' U2 F R F' B D2
F' U2 F R B D F'
F' U2 F R B D' F'
F' U2 F R B D2 F'
F' U2 F R B F' D
F' U2 F R B F' D'
F' U2 F R B F' D2
B2 U2 F R F' B R'
B2 U2 F R B F' R'
L F L U2 F R F'
F2 U2 F R D F' B
F2 U2 F R D B F'
F2 U2 F R D' F' B
F2 U2 F R D' B F'
F2 U2 F R D2 F' B
F2 U2 F R D2 B F'
F2 U2 F R F' D B
F2 U2 F R F' D' B
F2 U2 F R F' D2 B
F2 U2 F R F' B D
F2 U2 F R F' B D'
F2 U2 F R F' B D2
F2 U2 F R B D F'
F2 U2 F R B D' F'
F2 U2 F R B D2 F'
F2 U2 F R B F' D
F2 U2 F R B F' D'
F2 U2 F R B F' D2
F' U2 F B R F' B
F' U2 F B R B F'
F' U2 F B' R F' B
F' U2 F B' R B F'
F' U2 F B2 R F' B
F' U2 F B2 R B F'
U2 F L2 R F' L2 B
U2 F L2 R F' B L2
U2 F L2 R B L2 F'
U2 F L2 R B F' L2
B' U2 F' R F' B R2
B' U2 F' R B F' R2
F2 U2 F B R F' B
F2 U2 F B R B F'
U' F R L F U' F2
F2 U2 F B' R F' B
F2 U2 F B' R B F'
F2 U2 F B2 R F' B
F2 U2 F B2 R B F'
B2 U2 F' R F' B R'
B2 U2 F' R B F' R'
U' F R U' F R F2
L F L' U2 F R F'
F U2 F R D F' B
F U2 F R D B F'
F U2 F R D' F' B
F U2 F R D' B F'
F U2 F R D2 F' B
F U2 F R D2 B F'
F U2 F R F' D B
F U2 F R F' D' B
F U2 F R F' D2 B
F U2 F R F' B D
F U2 F R F' B D'
F U2 F R F' B D2
F U2 F R B D F'
F U2 F R B D' F'
F U2 F R B D2 F'
F U2 F R B F' D
F U2 F R B F' D'
F U2 F R B F' D2
U' F R F2 U' F R
U2 F R L B L' F'
B' U2 F2 R F' B R2
U2 F R L' F' L B
B' U2 F2 R B F' R2
U2 F R L2 F' L2 B
U2 F R L2 F' B L2
U2 F R L2 B L2 F'
U2 F R L2 B F' L2
F U2 F B R F' B
F U2 F B R B F'
F' U2 F2 R F' B R
F' U2 F2 R B F' R
F U2 F B' R F' B
F U2 F B' R B F'
B2 U2 F2 R F' B R'
F U2 F B2 R F' B
F U2 F B2 R B F'
B2 U2 F2 R B F' R'
U2 F R D F' D B
U2 F R D F' D' B
U2 F R D F' D2 B
U2 F R D F' B D
U2 F R D F' B D'
U2 F R D F' B D2
U2 F R D B D F'
U2 F R D B D' F'
U2 F R D B D2 F'
U2 F R D B F' D
U2 F R D B F' D'
U2 F R D B F' D2
L F L2 U2 F R F'
U2 F R D' F' D B
U2 F R D' F' D' B
U2 F R D' F' D2 B
U2 F R D' F' B D
U2 F R D' F' B D'
U2 F R D' F' B D2
U2 F R D' B D F'
U2 F R D' B D' F'
U2 F R D' B D2 F'
U2 F R D' B F' D
U2 F R D' B F' D'
U2 F R D' B F' D2
F2 U2 F2 R F' B R
U2 F R D2 F' D B
U2 F R D2 F' D' B
U2 F R D2 F' D2 B
F2 U2 F2 R B F' R
U2 F R D2 F' B D
U2 F R D2 F' B D'
U2 F R D2 F' B D2
U2 F R D2 B D F'
U2 F R D2 B D' F'
U2 F R D2 B D2 F'
U2 F R D2 B F' D
U2 F R D2 B F' D'
U2 F R D2 B F' D2
U2 F R F' L B L'
U2 F R F' L2 B L2
U2 F R F' D B D
U2 F R F' D B D'
U2 F R F' D B D2
U2 F R F' D' B D
U2 F R F' D' B D'
U2 F R F' D' B D2
U2 F R F' D2 B D
U2 F R F' D2 B D'
U2 F R F' D2 B D2
U2 F R F' B2 D B'
U2 F R F' B2 D' B'
U2 F R F' B2 D2 B'
U2 F R F2 D F B
U2 F R F2 D B F
U2 F R F2 D' F B
U2 F R F2 D' B F
U2 F R F2 D2 F B
U2 F R F2 D2 B F
U2 F R F2 B D F
U2 F R F2 B D' F
U2 F R F2 B D2 F
U2 F R B L' F' L
U2 F R B L2 F' L2
U2 F R B D F' D
U2 F R B D F' D'
U2 F R B D F' D2
U2 F R B D' F' D
U2 F R B D' F' D'
U2 F R B D' F' D2
U2 F R B D2 F' D
U2 F R B D2 F' D'
U2 F R B D2 F' D2
U2 F R B F2 D F
U2 F R B F2 D' F
U2 F R B F2 D2 F
U2 F R B2 D F' B'
U2 F R B2 D B' F'
U2 F R B2 D' F' B'
U2 F R B2 D' B' F'
U2 F R B2 D2 F' B'
U2 F R B2 D2 B' F'
U2 F R B2 F' D B'
U2 F R B2 F' D' B'
U2 F R B2 F' D2 B'
B2 U2 B R F' B R2
B2 U2 B R B F' R2
F U2 F2 R F' B R
F U2 F2 R B F' R
F' U2 B F R F' B
F' U2 B F R B F'
B' U2 B' R F' B R'
B' U2 B' R B F' R'
F2 U2 B F R F' B
F2 U2 B F R B F'
B U2 B R F' B R'
B U2 B R B F' R'
U2 F R2 F R' F' B
U2 F R2 F R' B F'
U2 F R2 F' R' F' B
U2 F R2 F' R' B F'
U2 F R2 F2 R' F' B
U2 F R2 F2 R' B F'
F' U2 B' F R F' B
F' U2 B' F R B F'
L F R' B L R U2
L F R' B R L U2
F2 U2 B' F R F' B
F2 U2 B' F R B F'
F U2 B F R F' B
F U2 B F R B F'
F' U2 B2 F R F' B
F' U2 B2 F R B F'
R F R2 F2 L' B' R'
F2 U2 B2 F R F' B
F2 U2 B2 F R B F'
F U2 B' F R F' B
F U2 B' F R B F'
B U2 B2 R F' B R2
B U2 B2 R B F' R2
L F U R B U F'
L' F U2 F R F' B'
L' F U2 F R B' F'
L' F U2 F B' R F'
F U2 B2 F R F' B
F U2 B2 F R B F'
L' F U2 B' F R F'
L F U2 R F R F2
L F U2 F R D F'
L F U2 F R D' F'
L F U2 F R D2 F'
L F U2 F R F' D
L F U2 F R F' D'
L F U2 F R F' D2
L F U2 F2 R F' R
R' F B L F U2 L'
D2 F B L F B' U2
D2 F B L B' F U2
L F D2 L B' U2 R'
U2 F B R D F' B
U2 F B R D B F'
L F D2 L' U2 F R
U2 F B R D' F' B
U2 F B R D' B F'
U2 F B R D2 F' B
U2 F B R D2 B F'
U2 F B R F' D B
U2 F B R F' D' B
U2 F B R F' D2 B
U2 F B R F' B D
U2 F B R F' B D'
U2 F B R F' B D2
U2 F B R B D F'
U2 F B R B D' F'
U2 F B R B D2 F'
U2 F B R B F' D
U2 F B R B F' D'
U2 F B R B F' D2
L F D2 B L B' U2
U2 F B' R D F' B
U2 F B' R D B F'
U2 F B' R D' F' B
U2 F B' R D' B F'
U2 F B' R D2 F' B
U2 F B' R D2 B F'
U2 F B' R F' D B
U2 F B' R F' D' B
U2 F B' R F' D2 B
U2 F B' R F' B D
U2 F B' R F' B D'
U2 F B' R F' B D2
U2 F B' R B D F'
U2 F B' R B D' F'
U2 F B' R B D2 F'
U2 F B' R B F' D
U2 F B' R B F' D'
U2 F B' R B F' D2
U2 F B2 R D F' B
U2 F B2 R D B F'
U2 F B2 R D' F' B
U2 F B2 R D' B F'
U2 F B2 R D2 F' B
U2 F B2 R D2 B F'
U2 F B2 R F' D B
U2 F B2 R F' D' B
U2 F B2 R F' D2 B
U2 F B2 R F' B D
U2 F B2 R F' B D'
U2 F B2 R F' B D2
U2 F B2 R B D F'
U2 F B2 R B D' F'
U2 F B2 R B D2 F'
U2 F B2 R B F' D
U2 F B2 R B F' D'
U2 F B2 R B F' D2
L F B D2 L B' U2
D2 F' L F B' U2 R'
L F B' U2 R F' R2
D2 F' L B' F U2 R'
D2 F' L' U2 F R B'
D2 F' L' U2 F B' R
D2 F' L' U2 B' F R
R F' L' B2 L B R'
U2 F' R F' D2 B R'
U2 F' R F2 B R F
U2 F' R B F2 R F
R' F' R2 F' L' B' R'
D' F' U R B L U
L' F' U2 F R F' B'
L' F' U2 F R B' F'
L' F' U2 F B' R F'
L' F' U2 B' F R F'
B D' L F U' L' U'
R F' U2 R' F' L' U2
R' F' B L F R U2
D2 F' B L F B' U2
D2 F' B L B' F U2
D2 F2 L F B' U2 R'
R F' B' L' R' B' L
D2 F2 L B' F U2 R'
R F' B' R' L' B' L
R' F2 L' R' B' R' F'
R' F2 L' R2 F' B' R'
R' F2 L' R2 B' F' R'
D2 F2 L' U2 F R B'
D2 F2 L' U2 F B' R
D2 F2 L' U2 B' F R
R' F2 L' B' R' D2 F2
R' F2 L' B' D2 R' F2
R' F2 L' B' D2 F2 R'
R' F2 R' L' B' R' F'
U2 F2 R D2 F' B R'
U2 F2 R D2 B F' R'
U2 F2 R F' D B R
U2 F2 R F' D' B R
U2 F2 R F' D2 B R
U2 F2 R F' B R D
U2 F2 R F' B R D'
U2 F2 R F' B R D2
U2 F2 R F' B D R
U2 F2 R F' B D' R
U2 F2 R F' B D2 R
U2 F2 R F' B' R B2
U2 F2 R F' B2 R B'
U2 F2 R B F' R D
U2 F2 R B F' R D'
U2 F2 R B F' R D2
U2 F2 R B F' D R
U2 F2 R B F' D' R
U2 F2 R B F' D2 R
U2 F2 R B' F' R B2
U2 F2 R B2 F' R B'
R' F2 R2 L' F' B' R'
R' F2 R2 L' B' F' R'
R F2 R' U2 F R B
F' D2 L F B' U2 R'
B2 D2 L F B' L' U2
F' D2 L B' F U2 R'
F2 D2 L F B' U2 R'
B' D2 L' U2 R' F B'
B' D2 L' U2 R' B' F
L' F2 U2 F R F' B'
L' F2 U2 F R B' F'
B' D2 L' U2 F R' B'
L' F2 U2 F B' R F'
B2 D2 L B' F L' U2
F2 D2 L B' F U2 R'
L' F2 U2 B' F R F'
F' D2 L' U2 F R B'
F' D2 L' U2 F B' R
F' D2 L' U2 B' F R
B D2 L D F B' U2
B D2 L D B' F U2
B D2 L D' F B' U2
B D2 L D' B' F U2
F2 D2 L' U2 F R B'
F2 D2 L' U2 F B' R
F2 D2 L' U2 B' F R
B D2 L D2 F B' U2
B D2 L D2 B' F U2
B D2 L F D B' U2
B D2 L F D' B' U2
B D2 L F D2 B' U2
B D2 L F B' U2 D
B D2 L F B' U2 D'
B D2 L F B' U2 D2
B D2 L F B' D U2
B D2 L F B' D' U2
B D2 L F B' D2 U2
B D2 L B' D F U2
B D2 L B' D' F U2
B D2 L B' D2 F U2
B D2 L B' F U2 D
B D2 L B' F U2 D'
B D2 L B' F U2 D2
B D2 L B' F D U2
B D2 L B' F D' U2
B D2 L B' F D2 U2
F D2 L F B' U2 R'
F D2 L B' F U2 R'
F D2 L' U2 F R B'
F D2 L' U2 F B' R
F D2 L' U2 B' F R
R' F2 B L U2 L2 B'
R' F2 B L F U2 L2
D2 F2 B L F B' U2
D2 F2 B L B' F U2
B' D2 R' F2 L' F B'
B' D2 R' F2 L' B' F
U2 F2 B R F' B R
U2 F2 B R B F' R
U2 F2 B' R F' B R
U2 F2 B' R B F' R
R' B L R D F U2
R' B L R D' F U2
R' B L R D2 F U2
R' B L R F U2 D
R' B L R F U2 D'
R' B L R F U2 D2
R' B L R F D U2
R' B L R F D' U2
R' B L R F D2 U2
R' B L R' F R2 U2
R' B L R2 F R' U2
U2 F2 B2 R F' B R
U2 F2 B2 R B F' R
R' B L D R F U2
R' B L D' R F U2
D2 B L D F B' U2
D2 B L D B' F U2
R' B L D2 R F U2
D2 B L D' F B' U2
D2 B L D' B' F U2
D2 B L D2 F B' U2
D2 B L D2 B' F U2
D2 B L F D B' U2
D2 B L F D' B' U2
D2 B L F D2 B' U2
D2 B L F B' U2 D
D2 B L F B' U2 D'
D2 B L F B' U2 D2
D2 B L F B' D U2
D2 B L F B' D' U2
D2 B L F B' D2 U2
D' B L F U' L' U'
D2 B L B' D F U2
D2 B L B' D' F U2
D2 B L B' D2 F U2
D2 B L B' F U2 D
D2 B L B' F U2 D'
D2 B L B' F U2 D2
D2 B L B' F D U2
D2 B L B' F D' U2
D2 B L B' F D2 U2
B2 D2 F L' U2 F B'
B2 D2 F L' U2 B' F
D B L F U R' U
U B L R B U F'
U B L U F R F'
R' B R L D F U2
R' B R L D' F U2
R' B R L D2 F U2
R' B R L F U2 D
R' B R L F U2 D'
R' B R L F U2 D2
R' B R L F D U2
R' B R L F D' U2
R' B R L F D2 U2
B D2 F L F B' U2
B D2 F L B' F U2
R' B R D L F U2
