R U' D2 L' F B
R U' D2 L' B F
R U' D2 B L' F
R U' B D2 L' F
R D2 U' L' F B
R D2 U' L' B F
R D2 U' B L' F
U2 R2 L2 U L B' F'
U2 R2 L2 U F' L B'
U' R2 U' L' F' R2 B'
U' R2 U' L' F' B' R2
U' R2 U' L' B' F' R2
R D B' L U' L2 B2
R D B' L U' B2 L2
R2 D B2 U' L' F' B'
R2 D B2 U' L' B' F'
R D' U' B D' L' F
B U' R U' L' R' B'
B U' R U' R' L' B'
B U' R' U' L' R B'
B U' R' U' L' B' R
B U' R' U' R L' B'
B U' R2 U' L' R2 B'
B U' R2 U' L' B' R2
B U' R2 U' R2 L' B'
R2 D2 L U' F' B' L2
R2 D2 L U' B' L2 F'
R2 D2 L U' B' F' L2
R D2 L U' L2 F B
R D2 L U' L2 B F
B U' B' R' U' L' R
B U' B' R' U' R L'
R2 D2 U' L F' B' L2
R2 D2 U' L B' L2 F'
R2 D2 U' L B' F' L2
R2 D2 U' L' F' D2 B2
R D2 U' L' D F B
R D2 U' L' D B F
R D2 U' L' D' F B
R D2 U' L' D' B F
R D2 U' L' D2 F B
R D2 U' L' D2 B F
R D2 U' L' F D B
R D2 U' L' F D' B
R D2 U' L' F D2 B
R D2 U' L' F B D
R D2 U' L' F B D'
R D2 U' L' F B D2
R D2 U' L' B D F
R D2 U' L' B D' F
R D2 U' L' B D2 F
R D2 U' L' B F D
R D2 U' L' B F D'
R D2 U' L' B F D2
R D2 U' B L' D F
R D2 U' B L' D' F
R D2 U' B L' D2 F
R D2 U' B L' F D
R D2 U' B L' F D'
R D2 U' B L' F D2
R D2 U' B' L' F B2
R D2 U' B' L' B2 F
B2 U2 L2 U F L B'
B U2 L' B' U' B U
B U2 L' B2 D' B R2
R D2 B' U' L' F B2
R D2 B' U' L' B2 F
R D2 B' U' B2 L' F
R D2 B2 U' B' L' F
B U2 B' L' B' D' R2
B U2 B2 L' D' R2 B'
B U2 B2 L' D' B' R2
B U2 B2 D' L' R2 B'
B U2 B2 D' L' B' R2
B U2 B2 D' R2 L' B'
B' D L2 R U' L B
B' D R L2 U' L B
F2 D R U2 B R F'
U F B U' R B U'
F2 D B R U2 B R
F2 D' L2 B R U2 B
F2 D' B L2 R U2 B
F2 D' B R L2 U2 B
L' F2 D R B R F'
B' D2 R U' L' F2 B
B' D2 R U' L' B F2
B' D2 R U' B L' F2
U F2 D B R F' U2
U F2 B D R F' U2
U' B L' D' B2 D2 F2
U' B U2 L' D' B2 R'
U B U L U L2 B'
U B U L2 U L B'
U B U' R U' L' B
U B U' R U' B L'
U B U2 B L' D' B2
F2 B R U' F2 U' B
F2 B R U2 D B R2
F2 B R U2 B D R2
F2 B R D U2 B R2
F2 B R D' L2 U2 B
U B F U' R B U'
F' B U' F U' L' B'
F2 B U' F2 U' L' B'
U B F2 D R F' U2
F2 B D R U2 B R
F2 B D' L2 R U2 B
F2 B D' R L2 U2 B
R B' R U' L' F' B2
R B' R U' L' B2 F'
R B' R U' B2 L' F'
R B' U' B2 D2 L' F
B F' U' F U' L' B'
U' B2 L2 D F L B'
U' B2 L2 F D L B'
L B2 R U' L2 F B
L B2 R U' L2 B F
R B2 R U' B' L' F'
B F2 R U' F2 U' B
B F2 R U2 D B R2
B F2 R U2 B D R2
B F2 R D U2 B R2
B F2 R D' L2 U2 B
R B2 U' D2 B' L' F
R B2 U' B' D2 L' F
B F2 U' F2 U' L' B'
B F2 D R U2 B R
B F2 D' L2 R U2 B
B F2 D' R L2 U2 B
R B2 D2 U' B' L' F
