U' F R U' F
U' R F R U' F
U' R' F R U' F
U' R2 F R U' F
U' R2 F R U' F
U' D' F L2 R U'
U' D' F R L2 U'
D' U' F L2 R U'
D' U' F R L2 U'
B2 U' F R U' F
B' U' F R U' F
B U' F R U' F
U' F R U' D F
U' F R U' D' F
U' F R U' D2 F
U' F R U' F D
U' F R U' F D'
U' F R U' F D2
U' F R D U' F
U' F R D' U' F
U' F R D2 U' F
U' F D R U' F
U' F D' R U' F
U' F D2 R U' F
D2 B2 U' F R U'
U2 B2 U F R U' F
D2 B2 U' F R U' D
D2 B2 U' F R U' D'
D2 B2 U' F R U' D2
D2 B2 U' F R D U'
D2 B2 U' F R D' U'
D2 B2 U' F R D2 U'
D2 B2 U' F D R U'
D2 B2 U' F D' R U'
D2 B2 U' F D2 R U'
D' B2 U' F L2 R U'
D' B2 U' F R L2 U'
D2 B2 D U' F R U'
D2 B2 D' U' F R U'
D2 B2 D2 U' F R U'
U' B2 F R B2 U' F
