B2 L U L' D2 F2
B2 L U D2 L' F2
B2 L U' B2 U2 L'
B2 L D' R2 U L'
B2 L D2 U L' F2
U' L' B2 L R' U
U' L' B2 R' L U
D L2 U' R' U' L2
L2 U B2 L U L
L U B2 L U L2
U R' U2 R B2 U
U R' U2 B2 R U
U R' D2 F2 L' U'
R D L2 U2 L2 B2
R D L2 U2 B2 L2
D2 U R' F2 L' U'
R D B2 D2 R2 F2
R D B2 D2 F2 R2
U D2 R' F2 L' U'
B2 D' L R2 U L'
B2 D' R2 L U L'
B2 D2 L U L' F2
U' B2 L U2 L' U'
U B2 L U D L2
U B2 L U2 B2 U'
U B2 L D U L2
U B2 L D2 F2 U
U B2 U2 B2 R' U'
U B2 D L U L
U B2 D2 L F2 U
U B2 D2 F2 L U
L' U L2 B2 L U L2
L2 U L2 B2 L U L'
D L2 F' U' R' U' L2
R2 U R U2 R' B2 U
D L2 F2 U' R' U' L2
R U R2 U' D' R2 F2
R U R2 U' D' F2 R2
R U R2 U2 R2 B2 U
R U R2 U2 B2 R2 U
R U R2 D' U' R2 F2
R U R2 D' U' F2 R2
R U R2 D2 L2 F2 U'
R U R2 D2 F2 L2 U'
U' L2 B2 L U2 L U'
U' L2 B2 D L U F2
U L2 B2 L U D L2
U L2 B2 L U2 B2 U'
U L2 B2 L D U L2
U L2 B2 L D2 F2 U
U' L2 B2 D2 L R2 U
U' L2 B2 D2 R2 L U
B2 R L U L' D2 F2
B2 R L U D2 L' F2
B2 R L U' B2 U2 L'
U L2 B2 U2 B2 R' U'
U L2 B2 D L U L
U L2 B2 D2 L F2 U
B2 R L D' R2 U L'
U L2 B2 D2 F2 L U
B2 R L D2 U L' F2
D R L2 U' R2 U' L2
D R L2 U2 L2 D B2
L2 U F B2 L U L
L2 U F' B2 L U L
L2 U F2 B2 L U L
D' R U2 D R B2 L
U R U2 R' B2 L U
F' R D L2 U2 L2 B2
F' R D L2 U2 B2 L2
D' R D R B2 D2 F2
D2 R D R2 B2 D2 F2
U2 R D L B2 L R'
U2 R D L B2 R' L
F2 R D L2 U2 L2 B2
F2 R D L2 U2 B2 L2
D' R D U2 R B2 L
L' U B2 L U' R' U2
D2 R D B' R2 F' B'
D2 R D B' R2 B' F'
F R D L2 U2 L2 B2
F R D L2 U2 B2 L2
L2 U B2 L U L D
L2 U B2 L U L D'
L2 U B2 L U L D2
L2 U B2 L U D L
L2 U B2 L U D' L
L2 U B2 L U D2 L
L2 U B2 L D U L
D2 R D B2 R2 D2 F2
L2 U B2 L D' U L
L2 U B2 L D2 U L
L2 U B2 L F U L
L2 U B2 L F' U L
L2 U B2 L F2 U L
D' R D B2 R D2 F2
D' R D B2 D2 R F2
F' R D B2 D2 R2 F2
F' R D B2 D2 F2 R2
R' U B2 U2 B2 U' B2
D2 R D' L2 F2 U2 L2
L U B2 L U L2 D
L U B2 L U L2 D'
L U B2 L U L2 D2
B2 R D' L R2 U L'
L U B2 L D F2 U
L U B2 L F U L2
L U B2 L F' U L2
L U B2 L F2 U L2
F2 R D B2 D2 R2 F2
F2 R D B2 D2 F2 R2
U2 R D B2 D2 L R2
U2 R D B2 D2 R2 L
L2 U B2 D L F2 U
L2 U B2 D F2 L U
B2 R D' R2 L U L'
R2 U B2 U2 R B2 U'
L U B2 U L' D' B2
D2 R D' F2 L2 U2 L2
R2 U B2 U2 B2 R U'
F R D B2 D2 R2 F2
F R D B2 D2 F2 R2
D' R D' F2 L' U2 L
L2 U B2 F L U L
L2 U B2 F' L U L
R U B2 U D L2 B2
R U B2 U D B2 L2
L2 U B2 F2 L U L
L U B2 D L U L2
R2 U B2 D2 F2 L' U
L U B2 D' L U L2
R U B2 U2 R2 B2 U'
R U B2 U2 B2 R2 U'
L U B2 D2 L U L2
R U B2 D U L2 B2
R U B2 D U B2 L2
R U B2 D2 L2 F2 U
R U B2 D2 F2 L2 U
B2 R D2 L U L' F2
R' U' L' B2 R' U B2
L' U' R' U' L D' R2
L' U' R' U' D' L R2
L' U' R' U' D' R2 L
L' U' R' D' U' L R2
L' U' R' D' U' R2 L
L' U' R' D2 F2 U' L
L2 U' R' U' L2 D' R2
L2 U' R' U2 B2 U L2
L2 U' R' D' B2 U' R2
L U' R' U' L' D' R2
L U' R' U' D' L' R2
L U' R' U' D' R2 L'
L U' R' U2 B2 U L'
D2 R B D B2 R2 F'
L U' R' D' U' L' R2
L U' R' D' U' R2 L'
D2 R B' D R2 F' B2
D2 R B' D R2 B2 F'
L' U' D' R' U' L R'
L' U' D' R' U' R' L
B2 R' L U L' D2 F2
B2 R' L U D2 L' F2
L U' D' R' U' L' R'
L U' D' R' U' R' L'
B2 R' L U' B2 U2 L'
L' U' D2 R' F2 U' L
B2 R' L D' R2 U L'
B2 R' L D2 U L' F2
L' U' D2 F2 R' U' L
U R' L U2 R B2 U
U R' L U2 B2 R U
U R' L D2 F2 L' U'
U R' L' U2 R B2 U
U R' L' U2 B2 R U
U R' L' D2 F2 L' U'
D R' L2 U2 L2 D' B2
U R' L2 U2 R B2 U
U R' L2 U2 B2 R U
U' R' U D L2 U2 L2
U R' L2 D2 F2 L' U'
U' R' U' D' R2 D2 L2
B' R' U' B' L R' U
B' R' U' B' R' L U
U R' U' R' D' R2 F2
U R' U' R' D' F2 R2
U' R' U2 B2 U D L2
U' R' U2 B2 U2 B2 U'
U' R' U2 B2 D U L2
U' R' U2 B2 D2 F2 U
U R' U2 R U D' R2
U R' U2 R D' U R2
U R' U2 R B2 U D
U R' U2 R B2 U D'
U R' U2 R B2 U D2
U R' U2 R B2 D U
U R' U2 R B2 D' U
U R' U2 R B2 D2 U
U R' U2 R' B2 R2 U
U R' U2 D' R U R
U' R' D U L2 U2 L2
R' U' B2 U B2 D2 F2
U R' U2 B' R B' U
U R' U2 B2 R U D
U R' U2 B2 R U D'
U R' U2 B2 R U D2
U R' U2 B2 R D U
U R' U2 B2 R D' U
U R' U2 B2 R D2 U
U R' U2 B2 D R U
U R' U2 B2 D' R U
U R' U2 B2 D2 R U
B2 R' D' L R2 U L'
U' R' D' U' R2 D2 L2
B2 R' D' R2 L U L'
U2 R' D' R2 D B2 L
L' U2 L U' B2 L U
B2 R' D2 L U L' F2
U R' D' U2 R U R
U R' D' F2 L' U' R2
U' R' D2 F2 U' D' L2
U' R' D2 F2 U2 F2 U
U' R' D2 F2 D' U' L2
U' R' D2 F2 D2 B2 U'
U R' D2 L F2 L' U'
U R' D2 L' F2 L' U'
U2 R' D2 F2 U' L' F2
U R' D2 L2 F2 L' U'
U' R' F U2 F' B2 U
L U2 L' U' B2 L U
U' R' F U2 B2 F' U
U R' D2 F2 L' U' D
U R' D2 F2 L' U' D'
U R' D2 F2 L' U' D2
U R' D2 F2 L' D U'
U R' D2 F2 L' D' U'
U R' D2 F2 L' D2 U'
U R' D2 F2 D L' U'
U R' D2 F2 D' L' U'
U R' D2 F2 D2 L' U'
L2 U2 L2 U' B2 L U
U' R' F' U2 F B2 U
U' R' F' U2 B2 F U
L' U2 R D L B2 R'
U' R' F2 U' D' L2 R2
U' R' F2 U' D' R2 L2
U' R' F2 U2 F2 B2 U
U' R' F2 U2 B2 F2 U
U' R' F2 D' U' L2 R2
U' R' F2 D' U' R2 L2
U' R' F2 D2 F2 B2 U'
U' R' F2 D2 B2 F2 U'
U R' F2 L' U' D' R2
U R' F2 L' U2 B2 U
U R' F2 L' D' U' R2
U R' F2 L' D2 F2 U'
U R' F2 D' L' U' R2
U R' F2 D2 L' F2 U'
B2 R2 L U L' D2 F2
B2 R2 L U D2 L' F2
B2 R2 L U' B2 U2 L'
B2 R2 L D' R2 U L'
B2 R2 L D2 U L' F2
R U2 D' R2 D2 L2 B2
R U2 D' R2 D2 B2 L2
R U2 D' F2 U2 R2 F2
R U2 D' F2 U2 F2 R2
D R2 L2 U' R U' L2
D' R2 U R U2 R' U
B' R2 U' B' L U F'
U R2 U2 R2 B2 L U
B2 R2 D' L R2 U L'
B2 R2 D' R2 L U L'
B2 R2 D2 L U L' F2
U R2 D' R U' R F2
R D L U2 B2 L' R'
R D L U2 B2 R' L'
U R2 D2 L2 R F2 U'
U R2 D2 R L2 F2 U'
U R2 D2 R F2 L2 U'
R' D L2 U2 L2 D' B2
L' D L2 U' R' U' L'
R2 D L2 U' R U' L2
B' R2 F' U' B' L U
R D L2 R U2 L2 B2
R D L2 R U2 B2 L2
R D L2 R' U2 L2 B2
R D L2 R' U2 B2 L2
R D L2 R2 U2 L2 B2
R D L2 R2 U2 B2 L2
L D L2 U' R' U' L
R D L2 U2 L' B2 L'
R D L2 U2 L2 B2 D
R D L2 U2 L2 B2 D'
R D L2 U2 L2 B2 D2
R D L2 U2 B L2 B
R D L2 U2 B2 L2 D
R D L2 U2 B2 L2 D'
R D L2 U2 B2 L2 D2
R D L2 D2 R2 F2 U2
R D L2 D2 F2 R2 U2
R D L2 F U2 L2 B2
R D L2 F U2 B2 L2
R D L2 F' U2 L2 B2
R D L2 F' U2 B2 L2
R D L2 F2 U2 L2 B2
R D L2 F2 U2 B2 L2
R D R L2 U2 L2 B2
R D R L2 U2 B2 L2
R D R B2 D2 R2 F2
R D R B2 D2 F2 R2
R D R' L2 U2 L2 B2
R D R' L2 U2 B2 L2
B' R2 B' L U L' F'
R D R' B2 D2 R2 F2
R D R' B2 D2 F2 R2
R D R2 L2 U2 L2 B2
R D R2 L2 U2 B2 L2
R D R2 B2 D2 R2 F2
R D R2 B2 D2 F2 R2
D2 U L R' F2 L' U'
D2 U L' R' F2 L' U'
D2 U L2 R' F2 L' U'
R D F L2 U2 L2 B2
R D F L2 U2 B2 L2
R D F B2 D2 R2 F2
R D F B2 D2 F2 R2
R D F' L2 U2 L2 B2
R D F' L2 U2 B2 L2
D2 U R' L F2 L' U'
D2 U R' L' F2 L' U'
D2 U R' L2 F2 L' U'
U' D R' U L2 U2 L2
D' U R' U' R' D' F2
D' U R' U2 R U R2
F' U R' U2 R B2 U
F' U R' U2 B2 R U
R D F' B2 D2 R2 F2
R D F' B2 D2 F2 R2
F' U R' D2 F2 L' U'
D' U R' F' U' R' F'
R D F2 L2 U2 L2 B2
R D F2 L2 U2 B2 L2
D' U R' F2 L' U' R'
F2 U R' U2 R B2 U
D2 U R' F2 L' U' D
D2 U R' F2 L' U' D'
D2 U R' F2 L' U' D2
D2 U R' F2 L' D U'
D2 U R' F2 L' D' U'
D2 U R' F2 L' D2 U'
F2 U R' U2 B2 R U
D2 U R' F2 D L' U'
D2 U R' F2 D' L' U'
D2 U R' F2 D2 L' U'
F2 U R' D2 F2 L' U'
D U R' D F2 L' U'
R D F2 B2 D2 R2 F2
R D F2 B2 D2 F2 R2
F U R' U2 R B2 U
F U R' U2 B2 R U
U D R' D F2 L' U'
F U R' D2 F2 L' U'
R D B' D2 R2 F' B'
R D B' D2 R2 B' F'
R D B2 R D2 R2 F2
R D B2 R D2 F2 R2
R D B2 R' D2 R2 F2
R D B2 R' D2 F2 R2
R D B2 R2 D2 R2 F2
R D B2 R2 D2 F2 R2
F' U D2 R' F2 L' U'
R D B2 U2 L2 B2 U2
R D B2 U2 B2 L2 U2
D2 U F2 R' U2 R U
R D B2 D2 R' F2 R'
R D B2 D2 R2 F2 D
R D B2 D2 R2 F2 D'
R D B2 D2 R2 F2 D2
R D B2 D2 F R2 F
R D B2 D2 F2 R2 D
R D B2 D2 F2 R2 D'
R D B2 D2 F2 R2 D2
F2 U D2 R' F2 L' U'
R D B2 F D2 R2 F2
R D B2 F D2 F2 R2
R D B2 F' D2 R2 F2
R D B2 F' D2 F2 R2
R D B2 F2 D2 R2 F2
R D B2 F2 D2 F2 R2
F U D2 R' F2 L' U'
R D' L F2 R U2 R
R D' L' F2 U2 L R2
R D' L' F2 U2 R2 L
R D' L2 F2 U2 L2 R2
R D' L2 F2 U2 R2 L2
R' D' R2 D B2 D2 F2
R D' R F2 L' U2 L
F' U B2 L U D L2
F' U B2 L U2 B2 U'
F' U B2 L D U L2
F' U B2 L D2 F2 U
F2 U B2 L U D L2
R D' R2 U2 F2 U2 F2
F2 U B2 L U2 B2 U'
F2 U B2 L D U L2
F2 U B2 L D2 F2 U
L' D' U' R' U' L R'
L' D' U' R' U' R' L
R D' R2 D2 B2 D2 F2
F' U B2 U2 B2 R' U'
F' U B2 D L U L
F' U B2 D2 L F2 U
F' U B2 D2 F2 L U
F2 U B2 U2 B2 R' U'
F2 U B2 D L U L
R D' R2 B2 D2 F2 B2
R D' R2 B2 D2 B2 F2
F2 U B2 D2 L F2 U
F2 U B2 D2 F2 L U
F U B2 L U D L2
F U B2 L U2 B2 U'
F U B2 L D U L2
F U B2 L D2 F2 U
B2 U' L U D2 F2 R
B2 U' L U' L' B2 U2
B2 U' L U' B2 L' U2
B2 U' L D2 U F2 R
F U B2 U2 B2 R' U'
F U B2 D L U L
L D' U' R' U' L' R'
L D' U' R' U' R' L'
F U B2 D2 L F2 U
F U B2 D2 F2 L U
U2 D' R D B2 L R
U2 D' R D B2 R L
F' U' L' B2 L R' U
F' U' L' B2 R' L U
R D' U2 R2 D2 L2 B2
R D' U2 R2 D2 B2 L2
D2 U' R' F2 U' D' L2
D2 U' R' F2 U2 F2 U
D2 U' R' F2 D' U' L2
D2 U' R' F2 D2 B2 U'
F2 U' L' B2 L R' U
R D' U2 F2 U2 R2 F2
R D' U2 F2 U2 F2 R2
F2 U' L' B2 R' L U
D U' R' U L2 U2 L2
U D' R' U' R' D' F2
U D' R' U2 R U R2
F U' L' B2 L R' U
F U' L' B2 R' L U
U D' R' F' U' R' F'
U D' R' F2 L' U' R'
R D' F' B' R2 F' B
R D' F' B' R2 B F'
R D' F2 L U2 L' R2
R D' F2 L U2 R2 L'
R D' F2 L' U2 L R2
R D' F2 L' U2 R2 L
R D' F2 L2 U2 L2 R2
R D' F2 L2 U2 R2 L2
R' D' B' R2 D F' B2
R' D' B' R2 D B2 F'
R' D' B' R2 F' D B2
R D' F2 U2 R2 D2 L2
R D' F2 D2 L2 U2 L2
D2 U' F2 R' U' D' L2
D2 U' F2 R' U2 F2 U
D2 U' F2 R' D' U' L2
D2 U' F2 R' D2 B2 U'
B' U' R2 B' L U F'
D2 U' F2 D' R' U' L2
D2 U' F2 D2 R' B2 U'
R D' B' R2 D2 F' B2
R D' B' R2 D2 B2 F'
R D' B' F' R2 F' B
R D' B' F' R2 B F'
B2 U' D2 L U F2 R
R D' B2 R2 D2 F2 B2
R D' B2 R2 D2 B2 F2
U D2 L R' F2 L' U'
U D2 L' R' F2 L' U'
B' U' B' L U D2 F2
B' U' B' L U' B2 U2
B' U' B' L D' R2 U
B' U' B' L D2 U F2
D' U2 R D B2 L R
D' U2 R D B2 R L
L2 D2 R2 U' R F2 U'
D2 U2 R D B2 L R2
D2 U2 R D B2 R2 L
U D2 L2 R' F2 L' U'
B' U' B' D' L R2 U
B' U' B' D' R2 L U
B' U' B' D2 L U F2
U2 D2 R D B2 L R2
U2 D2 R D B2 R2 L
F' U' B2 L U2 L' U'
F2 U' B2 L U2 L' U'
U' D2 R' F2 U' D' L2
U' D2 R' F2 U2 F2 U
U' D2 R' F2 D' U' L2
U' D2 R' F2 D2 B2 U'
D2 U2 R' F2 U' L' F2
L' D2 U' R' F2 U' L
L' D2 U' F2 R' U' L
U2 D2 R' F2 U' L' F2
F U' B2 L U2 L' U'
U D2 R' L F2 L' U'
U D2 R' L' F2 L' U'
U D2 R' L2 F2 L' U'
U D2 R' F2 L' U' D
U D2 R' F2 L' U' D'
U D2 R' F2 L' U' D2
U D2 R' F2 L' D U'
U D2 R' F2 L' D' U'
U D2 R' F2 L' D2 U'
U D2 R' F2 D L' U'
U D2 R' F2 D' L' U'
U D2 R' F2 D2 L' U'
U' D2 F2 R' U' D' L2
U' D2 F2 R' U2 F2 U
U' D2 F2 R' D' U' L2
U' D2 F2 R' D2 B2 U'
D2 U2 F2 R' U' F2 L'
U' D2 F2 D' R' U' L2
U' D2 F2 D2 R' B2 U'
U2 D2 F2 R' U' F2 L'
U D2 F2 R' U2 R U
D F L2 U' R' U' L2
B' U2 B U B2 L U
U F R' U2 R B2 U
U F R' U2 B2 R U
U F R' D2 F2 L' U'
B2 U2 B2 U' R' U' R
U2 F U B2 L U F'
L2 F U B2 L U L
B2 D L U L' D F2
B2 D L U2 L U' L2
U' F U2 F' B2 L U
U' F U2 B2 L F' U
L F U B2 L F U
U' F U2 B2 F' L U
F' D L2 U' R' U' L2
F2 D L2 U' R' U' L2
R F D L2 U2 L2 B2
R F D L2 U2 B2 L2
F D L2 U' R' U' L2
R F D B2 D2 R2 F2
R F D B2 D2 F2 R2
U F D2 R' F2 L' U'
U F B2 L U D L2
U F B2 L U2 B2 U'
U F B2 L D U L2
U F B2 L D2 F2 U
U F B2 U2 B2 R' U'
U F B2 D L U L
U F B2 D2 L F2 U
U F B2 D2 F2 L U
D F' L2 U' R' U' L2
U' F' R' U2 F B2 U
U' F' R' U2 B2 F U
U F' R' U2 R B2 U
U F' R' U2 B2 R U
U F' R' D2 F2 L' U'
L2 F' U B2 L U L
B2 D' L R2 U L' D
B2 D' L R2 U L' D'
B2 D' L R2 U L' D2
B2 D' L R2 U D L'
B2 D' L R2 U D' L'
B2 D' L R2 U D2 L'
B2 D' L R2 D U L'
B2 D' L R2 D' U L'
B2 D' L R2 D2 U L'
B2 D' L U L' D' F2
B2 D' L U D' L' F2
U' F' U2 F B2 L U
B2 D' L D' U L' F2
U' F' U2 B2 F L U
R F' D L2 U2 L2 B2
R F' D L2 U2 B2 L2
R F' D B2 D2 R2 F2
R F' D B2 D2 F2 R2
B2 D' R2 L U L' D
B2 D' R2 L U L' D'
B2 D' R2 L U L' D2
B2 D' R2 L U D L'
B2 D' R2 L U D' L'
B2 D' R2 L U D2 L'
B2 D' R2 L D U L'
B2 D' R2 L D' U L'
B2 D' R2 L D2 U L'
U F' D2 R' F2 L' U'
B2 D' R2 D L U L'
B2 D' R2 D' L U L'
B2 D' R2 D2 L U L'
B2 D' R2 F L U L'
B2 D' R2 F' L U L'
B2 D' R2 F2 L U L'
U F' B2 L U D L2
U F' B2 L U2 B2 U'
U F' B2 L D U L2
U F' B2 L D2 F2 U
U F' B2 U2 B2 R' U'
U F' B2 D L U L
U F' B2 D2 L F2 U
U F' B2 D2 F2 L U
B2 D' F L R2 U L'
B2 D' F R2 L U L'
B2 D' F' L R2 U L'
B2 D' F' R2 L U L'
D F2 L2 U' R' U' L2
B2 D' F2 L R2 U L'
U' F2 R' U' D' L2 R2
U' F2 R' U' D' R2 L2
U' F2 R' U2 F2 B2 U
U' F2 R' U2 B2 F2 U
U' F2 R' D' U' L2 R2
U' F2 R' D' U' R2 L2
B2 D' F2 R2 L U L'
U' F2 R' D2 F2 B2 U'
U' F2 R' D2 B2 F2 U'
L F2 R D L2 U2 B2
L F2 R D' F2 U2 R2
U F2 R' U2 R B2 U
U F2 R' U2 B2 R U
U F2 R' D2 F2 L' U'
U2 F2 U B2 L U F2
L2 F2 U B2 L U L
B2 D2 L R U L' F2
B2 D2 L R' U L' F2
B2 D2 L R2 U L' F2
B2 D2 L U L F2 L2
B2 D2 L U L' F2 D
B2 D2 L U L' F2 D'
B2 D2 L U L' F2 D2
B2 D2 L U L2 F2 L
B2 D2 L D R2 U L'
R2 F2 U' L' B2 R' U
U' F2 U2 F2 B2 L U
U' F2 U2 B2 L F2 U
U' F2 U2 B2 F2 L U
U' F2 D' R' U' L2 R'
U' F2 D' R' U' R' L2
B2 D2 R L U L' F2
U' F2 D2 R' F2 B2 U'
U' F2 D2 R' B2 F2 U'
U' F2 D2 F2 R' B2 U'
R F2 D L2 U2 L2 B2
R F2 D L2 U2 B2 L2
B2 D2 R' L U L' F2
R F2 D B2 D2 R2 F2
R F2 D B2 D2 F2 R2
B2 D2 R2 L U L' F2
U F2 D2 R' F2 L' U'
U' F2 B2 L F2 R U
F' D2 U R' F2 L' U'
F2 D2 U R' F2 L' U'
B2 D2 U' L U F2 R
F D2 U R' F2 L' U'
U F2 B2 L U D L2
U F2 B2 L U2 B2 U'
U F2 B2 L D U L2
U F2 B2 L D2 F2 U
U F2 B2 U2 B2 R' U'
U F2 B2 D L U L
B2 D2 F L U L' F
U F2 B2 D2 L F2 U
U F2 B2 D2 F2 L U
U B L B L F U
B2 D2 F' L U L' F'
U B L2 F B L U
U B L2 B F L U
B2 F L U L' D2 F2
B2 F L U D2 L' F2
B2 F L U' B2 U2 L'
B2 F L D' R2 U L'
B2 F L D2 U L' F2
B2 F D' L R2 U L'
B2 F D' R2 L U L'
B2 F D2 L U L' F2
D' B' R' D' R' F' B
D' B' R' D' R' B F'
B2 F' L U L' D2 F2
B2 F' L U D2 L' F2
B2 F' L U' B2 U2 L'
B2 F' L D' R2 U L'
B2 F' L D2 U L' F2
U' B2 L R U2 L' U'
U' B2 L R' U2 L' U'
U' B2 L R2 U2 L' U'
U' B2 L U2 L' U' D
U' B2 L U2 L' U' D'
U' B2 L U2 L' U' D2
U' B2 L U2 L' D U'
U' B2 L U2 L' D' U'
U' B2 L U2 L' D2 U'
U' B2 L U2 D L' U'
U' B2 L U2 D' L' U'
U' B2 L U2 D2 L' U'
U' B2 L D U2 L' U'
U' B2 L D' U2 L' U'
U' B2 L D2 U2 L' U'
U' B2 L F2 R F2 U
L' B2 L U' R' B2 U2
L' B2 L U' B2 U2 L
L2 B2 L U L D2 F2
B2 F' D' L R2 U L'
L2 B2 L U D2 L F2
L2 B2 L U D2 F2 L
L2 B2 L U' B2 R' U2
