F2 U2 R2 F' U' R
F2 U2 F' R2 U' R'
D' F U L2 R B'
D' F U L2 B' R
D' F U R L2 B'
F2 D2 L2 B U R'
F2 D2 B L2 U R'
D2 B' L2 F U R
D' F U L2 D B' R
D' F U L2 D' R B'
D' F U L2 D' B' R
D' F U L2 D2 R B'
D' F U L2 D2 B' R
D' F U L2 B R B2
D' F U L2 B' R D
D' F U L2 B' R D'
D' F U L2 B' R D2
D' F U L2 B' D R
D' F U L2 B' D' R
D' F U L2 B' D2 R
D' F U R L2 D B'
D' F U R L2 D' B'
D' F U R L2 D2 B'
D' F U R L2 B' D
D' F U R L2 B' D'
D' F U R L2 B' D2
D' F U R B L2 B'
D' F U R B' L2 B'
D' F U R B2 L2 B'
D' F U R' L2 B' R2
R F R' F L' U R2
D' F U B L2 R B'
D' F U B L2 B' R
D' F U B R L2 B'
D' F U B' L2 R B'
D' F U B' L2 B' R
D' F U B' R L2 B'
D' F U B2 L2 R B'
D' F U B2 L2 B' R
D' F U B2 R L2 B'
D F U R' B2 L R2
D F U R' B2 R2 L
D F U B2 D2 L2 R
D F U B2 D2 R L2
D F U' R2 U2 R' B2
R2 F U2 R2 F U R'
F' D L2 F' U B2 R'
R2 F D2 L2 B' U' R
D' F B U L2 R B'
D' F B U L2 B' R
D' F B U R L2 B'
D' F B' U L2 R B'
D' F B' U L2 B' R
D' F B' U R L2 B'
D' F B2 U L2 R B'
D' F B2 U L2 B' R
D' F B2 U R L2 B'
F2 D U B D B R'
F2 D U2 R F' U' B2
D2 F' L2 U2 B2 U' R'
F2 D B U D B R'
F2 D B D U B R'
U2 F' R2 B U L U2
U F' R2 B U' F R
D F' U' L' R2 U2 B2
F2 D' L D' B' L2 U
F2 D' L D2 B' U B'
D F' U' R2 L' U2 B2
F2 D' L B' U D2 B2
F2 D' L B' U' F2 U2
F2 D' L B' D' L2 U
F2 D' L B' D2 U B2
F2 D' L' D' L2 B' U
U2 F' B' R2 B U' R
U2 F' B2 R2 B U' R'
B' D' F U L2 R B'
B' D' F U L2 B' R
B' D' F U R L2 B'
B2 D' F U L2 R B'
B2 D' F U L2 B' R
B2 D' F U R L2 B'
F' D' F' U' F' U2 R
B D' F U L2 R B'
B D' F U L2 B' R
B D' F U R L2 B'
R F2 L' D R' B U
F D' F U' F L' U2
F2 D2 L D L B' U
L' F2 U2 R2 F' U' R
L' F2 U2 F' R2 U' R'
L2 F2 U2 R2 F' U' R
L2 F2 U2 F' R2 U' R'
F2 D2 L' B L' U R'
F2 D2 L2 U B R' B'
F' D2 L2 F' U' L U2
L F2 U2 R2 F' U' R
F' D2 L2 F' B2 U R'
F' D2 L2 B2 F' U R'
L F2 U2 F' R2 U' R'
F2 D2 L2 B U R' D
F2 D2 L2 B U R' D'
F2 D2 L2 B U R' D2
F2 D2 L2 B U D R'
F2 D2 L2 B U D' R'
F2 D2 L2 B U D2 R'
F2 D2 L2 B D U R'
F2 D2 L2 B D' U R'
F2 D2 L2 B D2 U R'
F2 D2 L2 B' U' L U2
L' F2 D2 L2 B U R'
R F2 D L' R' B U
R F2 D R' L' B U
F D2 L2 U2 B' U' R
R F2 D R' B L' U
L' F2 D2 B L2 U R'
L2 F2 D2 L2 B U R'
L2 F2 D2 B L2 U R'
L F2 D2 L2 B U R'
L F2 D2 B L2 U R'
F2 D2 U B R' D' B2
F2 D2 U B D' R' B2
F2 D2 U B' D' B2 R'
F2 D2 B L2 U R' D
F2 D2 B L2 U R' D'
F2 D2 B L2 U R' D2
F2 D2 B L2 U D R'
F2 D2 B L2 U D' R'
F2 D2 B L2 U D2 R'
F2 D2 B L2 D U R'
F2 D2 B L2 D' U R'
F2 D2 B L2 D2 U R'
F2 D2 B U R' D' B2
F2 D2 B U D' R' B2
B' D2 B' L2 F U R
F2 D2 B D' U R' B2
B2 D2 B' L2 F U R
F2 D2 B' L2 U' L' U2
U2 B R2 D2 B2 U' R'
F2 D2 B' U D' B2 R'
F2 D2 B' D' U B2 R'
B D2 B' L2 F U R
F2 D2 B2 L2 B' U R'
D' B F U L2 R B'
D' B F U L2 B' R
D' B F U R L2 B'
F2 B U2 R2 F' U' R
F2 B U2 F' R2 U' R'
D2 B' L2 D F U R
D2 B' L2 D' F U R
D2 B' L2 D2 F U R
D2 B' L2 F U R D
D2 B' L2 F U R D'
D2 B' L2 F U R D2
D2 B' L2 F U D R
D2 B' L2 F U D' R
D2 B' L2 F U D2 R
D2 B' L2 F D U R
D2 B' L2 F D' U R
D2 B' L2 F D2 U R
D2 B' L2 F B U R
D2 B' L2 F B' U R
D2 B' L2 F B2 U R
D2 B' L2 B F U R
D2 B' L2 B' F U R
D2 B' L2 B2 F U R
F2 B D2 L2 B U R'
F2 B D2 B L2 U R'
U2 B' R2 U' R D' L2
U2 B' R2 U' D' L2 R
U2 B' R2 U' D' R L2
U2 B' R2 D' U' L2 R
U2 B' R2 D' U' R L2
U2 B' R2 D2 B2 U' R
U2 B' U' D R' B2 L
U2 B' D U' R' B2 L
D' B' F U L2 R B'
D' B' F U L2 B' R
D' B' F U R L2 B'
F2 B' U2 R2 F' U' R
U2 B' F' R2 B U' R
F2 B' U2 F' R2 U' R'
F2 B' D2 L2 B U R'
F2 B' D2 B L2 U R'
B' F2 U2 R2 F' U' R
B' F2 U2 F' R2 U' R'
B2 F2 U2 R2 F' U' R
F2 B2 U2 R2 F' U' R
B2 F2 U2 F' R2 U' R'
F2 B2 U2 F' R2 U' R'
B F2 U2 R2 F' U' R
D' B2 F U L2 R B'
D' B2 F U L2 B' R
D' B2 F U R L2 B'
B F2 U2 F' R2 U' R'
B' F2 D2 L2 B U R'
B' F2 D2 B L2 U R'
U2 B2 F' R2 B U' R'
B2 F2 D2 L2 B U R'
F2 B2 D2 L2 B U R'
B2 F2 D2 B L2 U R'
F2 B2 D2 B L2 U R'
B F2 D2 L2 B U R'
B F2 D2 B L2 U R'
