R2 U R' U B2
R2 U L R' U B2
R2 U L' R' U B2
R2 U L2 R' U B2
R2 U R' L U B2
R2 U R' L' U B2
R2 U R' L2 U B2
R2 U R' U B2 D
R2 U R' U B2 D'
R2 U R' U B2 D2
R2 U R' D L2 U
R2 U D L2 R' U
R2 U D R' L2 U
U R U' R U2 B2
U R F2 U L' B2
U R F2 U B2 L'
B' R2 U R' U B'
F2 R2 U' L' U' B2
R' U2 B2 L D' F2
R' U2 B2 D' L F2
R' U2 B2 D' F2 L
R2 U2 B2 U L U'
B R2 F' U R' U
R2 D U L2 R' U
R2 D U R' L2 U
D' U R F2 L' U
U D' R F2 L' U
R2 D2 F2 U R' U
R2 F U R' U B2
R2 F' U R' U B2
R2 F2 U R' U B2
D2 F2 U' L' U' L'
R' B2 L D' F2 R
R' B2 D' L F2 R
R2 U D R' L2 D2 U
R2 U D R' U D' B2
R2 U D R' D' U B2
R2 U D' R' U2 R' U'
D' R L F2 L' U R
U R L U' R U2 B2
R2 U D2 R' U D2 B2
R2 U D2 R' U' F2 U2
R2 U D2 R' D' L2 U
R2 U D2 R' D2 U B2
U R L F2 U L' B2
U R L F2 U B2 L'
U R L' U' R U2 B2
U R L' F2 U L' B2
U R L' F2 U B2 L'
D R L2 D2 F2 U R2
U R L2 U' R U2 B2
R2 U F' R' F U B2
U R L2 F2 U L' B2
U R L2 F2 U B2 L'
U2 R U R' B2 D2 L2
U2 R U R2 B2 L R
U2 R U R2 B2 R L
D' R U F2 L' U F2
U R U R2 B2 L R2
U R U R2 B2 R2 L
U' R U' R U2 R' B2
R2 U F2 R' F2 U B2
U R U F2 L' F2 B2
U R U F2 L' B2 F2
U2 R U' R U2 R2 B2
U2 R U' R U2 B2 R2
U R U F2 B2 L' F2
R U F2 U L' F2 B2
R U F2 U L' B2 F2
U R U B2 U2 R U2
R U F2 U B2 L' F2
U R U B2 F2 L' F2
U R U' R U2 B2 D
U R U' R U2 B2 D'
U R U' R U2 B2 D2
U R U' R D2 F2 U2
U R U' R F U2 B2
U' R U' B2 D2 F2 L'
U R U' R F' U2 B2
U R U' R F2 U2 B2
U R U' R2 U2 B2 L
U R U' D2 R F2 U2
U R U' D2 F2 U2 L'
U R U' F2 U2 L' B2
U R U' F2 U2 B2 L'
U R U2 R2 U' B2 L
R' U B2 L D' R2 F2
R' U B2 L D' F2 R2
U R D L2 U' R U2
U R D L2 F2 U L'
R' U B2 D' L R2 F2
R' U B2 D' L F2 R2
R' U B2 D' R2 L F2
R' U B2 D' R2 F2 L
R' U B2 D' F2 L R2
R' U B2 D' F2 R2 L
U R D F2 L2 U L
R2 U' L U2 R' U B2
U R D2 U' R F2 U2
U R D2 U' F2 U2 L'
R2 U' L' U2 R' U B2
R2 U' L2 U2 R' U B2
D' R F2 L' U' L U2
D' R F2 L' B2 U R'
R2 U' R U' B2 D' F2
R2 U' R U2 R2 U B2
D2 R F2 U2 L2 D F2
R2 U' R D' R2 U' F2
R U' R U2 B2 D' R2
U2 R F2 U L' R' B2
U2 R F2 U R' L' B2
U2 R F2 U R' B2 L'
U R F2 L U L2 B2
U R F2 L U B2 L2
U R F2 L2 U L B2
U R F2 U L B2 L2
U R F2 U L' B2 D
U R F2 U L' B2 D'
U R F2 U L' B2 D2
U R F2 U B L' B
U R F2 U B2 L' D
U R F2 U B2 L' D'
U R F2 U B2 L' D2
U R F2 U B2 D L'
U R F2 U B2 D' L'
U R F2 U B2 D2 L'
R2 U' R' U' B2 D2 F2
U R F2 D L2 U L
R2 U' R2 U2 R U B2
R' U' D' R2 U' F2 L'
R2 U' D' R2 U2 R U
F2 R' L' U' B2 L R'
F2 R' L' U' B2 R' L
D' R' U R2 F2 L' U
F2 R' U' L' U' B2 L
U R' U B2 L D' F2
U R' U B2 D' L F2
U R' U B2 D' F2 L
U' R' U' B2 L D' F2
U' R' U' B2 D' L F2
U' R' U' B2 D' F2 L
F2 R' U2 B2 L D F2
B' R' D R' B2 U2 B
B2 R' D R' B2 U2 B2
B R' D R' F' B2 U2
B R' D R' B2 F' U2
B' R' D B2 U2 L B
R2 U' B2 L B2 U' B2
B2 R' D B2 U2 L B2
B' R' D' R' U2 F2 B'
B' R' D' R' U2 B' F2
D R' D F2 B2 U2 L2
U' R' D' R2 U' F2 L'
D R' D B2 F2 U2 L2
B R' D' R' F' U2 F'
D R' D' R2 U2 F2 B2
D R' D' R2 U2 B2 F2
R' U2 L B2 L D' F2
R' U2 L B2 D' L F2
R' U2 L B2 D' F2 L
R2 U2 L B2 L' D F2
R' U2 L' B2 L D' F2
R' U2 L' B2 D' L F2
R' U2 L' B2 D' F2 L
R' U2 L2 B2 L D' F2
R' U2 L2 B2 D' L F2
R' U2 L2 B2 D' F2 L
D2 R' F2 U R2 U L2
R U2 L2 B2 D F2 L'
D2 R' F2 U2 L2 D' F2
R' U2 R2 U R2 B2 L
R U2 R2 U' B2 L R2
R U2 R2 U' B2 R2 L
F2 R' B2 L D F2 R
U2 R' B2 L D' R F2
R' U2 D' F2 D B2 L
U R' B2 L D' R2 F2
U R' B2 L D' F2 R2
U2 R' B2 D' L R F2
U2 R' B2 D' R L F2
U2 R' B2 D' R F2 L
U R' B2 D' L R2 F2
U R' B2 D' L F2 R2
U R' B2 D' R2 L F2
U R' B2 D' R2 F2 L
U R' B2 D' F2 L R2
U R' B2 D' F2 R2 L
R' U2 F B2 L D' F2
R' U2 F B2 D' L F2
R' U2 F B2 D' F2 L
R2 U2 F U' R' U B2
F' R2 U L U F B2
F' R2 U L U B2 F
R2 U2 F B2 U L U'
R' U2 F' B2 L D' F2
R' U2 F' B2 D' L F2
R' U2 F' B2 D' F2 L
B' R2 U R' U D B'
B' R2 U R' U D' B'
B' R2 U R' U D2 B'
B' R2 U R' U B' D
B' R2 U R' U B' D'
B' R2 U R' U B' D2
B' R2 U R' D U B'
B' R2 U R' D' U B'
B' R2 U R' D2 U B'
B' R2 U D R' U B'
B' R2 U D' R' U B'
B2 R2 U R' U2 R U'
B' R2 U D2 R' U B'
R2 U2 F' U' R' U B2
U2 R2 U R' U R' B2
R2 U2 F' B2 U L U'
R' U2 F2 B2 L D' F2
R' U2 F2 B2 D' L F2
R' U2 F2 B2 D' F2 L
F' R2 U' R' U' F' B2
F' R2 U' R' U' B2 F'
F2 R2 U' L' R U' B2
F2 R2 U' L' R' U' B2
F2 R2 U' L' R2 U' B2
U R2 U R' U R B2
U R2 U R' U B2 R
F2 R2 U' L' U' B2 D
F2 R2 U' L' U' B2 D'
F2 R2 U' L' U' B2 D2
F2 R2 U' L' D' R2 U'
F2 R2 U' R L' U' B2
F2 R2 U' R' L' U' B2
R2 U2 F2 U' R' U B2
F2 R2 U' R2 L' U' B2
F2 R2 U' D' L' R2 U'
F2 R2 U' D' R2 L' U'
R' U2 B D' F2 B L
R' U2 B D' B L F2
R' U2 B D' B F2 L
R2 U2 F2 B2 U L U'
D' R2 U2 F2 R' U R
F2 R2 U2 B2 U L' U'
R' U2 B2 L U' R2 U
R' U2 B2 L D' F2 D
R' U2 B2 L D' F2 D'
R' U2 B2 L D' F2 D2
R' U2 B2 L F D' F2
R' U2 B2 L F' D' F2
R' U2 B2 L F2 D' F2
R' U2 B2 L2 D' L' F2
B' R2 D U R' U B'
R' U2 B2 U' R2 U L
R' U2 B2 D L D2 F2
R' U2 B2 D' L F2 D
R' U2 B2 D' L F2 D'
R' U2 B2 D' L F2 D2
R' U2 B2 D' L' F2 L2
R' U2 B2 D' F' L F'
R' U2 B2 D' F2 L D
R' U2 B2 D' F2 L D'
R' U2 B2 D' F2 L D2
R' U2 B2 D' F2 D L
R' U2 B2 D' F2 D' L
R' U2 B2 D' F2 D2 L
R' U2 B2 F L D' F2
R' U2 B2 F D' L F2
R' U2 B2 F D' F2 L
R' U2 B2 F' L D' F2
R' U2 B2 F' D' L F2
R' U2 B2 F' D' F2 L
R' U2 B2 F2 L D' F2
R2 U2 B2 L' D L F2
R2 U2 B2 L' D F2 L
R' U2 B2 F2 D' L F2
R' U2 B2 F2 D' F2 L
B R2 D F' U R' U
B' R2 D' U R' U B'
R2 U2 B2 U L U' D
R2 U2 B2 U L U' D'
R2 U2 B2 U L U' D2
R2 U2 B2 U L D U'
R2 U2 B2 U L D' U'
R2 U2 B2 U L D2 U'
R2 U2 B2 U D L U'
R2 U2 B2 U D' L U'
R2 U2 B2 U D2 L U'
R2 U2 B2 D U L U'
F2 R2 D' U' L' R2 U'
R U2 B2 L2 D F2 L'
F2 R2 D' U' R2 L' U'
R2 U2 B2 D' U L U'
R2 U2 B2 D2 U L U'
R2 U2 B2 F U L U'
R2 U2 B2 F' U L U'
R2 U2 B2 F2 U L U'
B R2 D' F' U R' U
B' R2 D2 U R' U B'
F2 R2 D2 F2 U R U
B R2 D2 F' U R' U
B' R2 F U R' U B'
F' R2 F U R U B2
B' R2 F' U R' U B'
F' R2 F' U' L' U' B2
F R2 F U' L' U' B2
R D L2 U' L2 R U2
R D L2 U' R L2 U2
B R2 F' U R' U D
B R2 F' U R' U D'
B R2 F' U R' U D2
B R2 F' U R' D U
B R2 F' U R' D' U
B R2 F' U R' D2 U
B R2 F' U D R' U
B R2 F' U D' R' U
B R2 F' U D2 R' U
D2 R2 F2 U R' U L2
B R2 F' D U R' U
B' R2 F2 U R' U B'
F R2 F' U R U B2
B R2 F' D' U R' U
B R2 F' D2 U R' U
B R2 F' B2 U' L U'
F2 R2 F2 U R U B2
R D R U L2 R' U
R D R U R' L2 U
R' D R' B2 U L2 U
R' D R' B2 U2 D' B2
R' D R' B2 D F2 U2
R' D R' B2 D' U2 B2
F2 R2 B U' L' U' B
R2 D U L2 R' U D
R2 D U L2 R' U D'
R2 D U L2 R' U D2
R2 D U L2 R' D U
R2 D U L2 R' D' U
R2 D U L2 R' D2 U
R2 D U L2 D R' U
R2 D U L2 D' R' U
R2 D U L2 D2 R' U
R2 D U R' L2 U D
R2 D U R' L2 U D'
R2 D U R' L2 U D2
R2 D U R' L2 D U
R2 D U R' L2 D' U
R2 D U R' L2 D2 U
R2 D U R' U D' B2
B' R2 B2 U' L U' B
R2 D U R' D' U B2
B2 R2 B2 U' L U' B2
D' U L R F2 L' U
B R2 B2 F' U' L U'
D' U L' R F2 L' U
D' U L2 R F2 L' U
R2 D F U L2 R' U
R2 D F U R' L2 U
D U L2 R U D L2
D U L2 R U2 B2 U'
D U L2 R D U L2
D U L2 R D2 F2 U
D' U R L F2 L' U
D' U R L' F2 L' U
D' U R L2 F2 L' U
D2 U R U L2 D2 B2
R2 D F' U L2 R' U
R2 D F' U R' L2 U
D U L2 D R U L2
D2 U R U' F2 U2 L2
B' U R U' R U2 B'
U D L2 R U D L2
U D L2 R U2 B2 U'
U D L2 R D U L2
U D L2 R D2 F2 U
D U L2 D2 R F2 U
D2 U R F U L2 B'
D' U R F2 L' U D
D' U R F2 L' U D'
D' U R F2 L' U D2
D' U R F2 L' D U
D' U R F2 L' D' U
D' U R F2 L' D2 U
D' U R F2 D L' U
D' U R F2 D' L' U
D' U R F2 D2 L' U
U D L2 D R U L2
B' U R F2 U B' L'
U D L2 D2 R F2 U
D U R L2 U D L2
D U R L2 U2 B2 U'
D U R L2 D U L2
D U R L2 D2 F2 U
B U R U' R F' U2
R2 D F2 U L2 R' U
R2 D F2 U R' L2 U
U D R L2 U D L2
U D R L2 U2 B2 U'
U D R L2 D U L2
U D R L2 D2 F2 U
R' D B2 U L2 U L'
R' D B2 U2 D' L B2
R' D B2 D F2 U2 L
R' D B2 D' U2 L B2
B' U D' R F2 U B'
B' U D2 R U B' L2
D' U F2 U2 L' R2 U'
D' U F2 U2 R2 L' U'
R' D' R' U' R' U' F2
L2 D' R F2 L' B2 U
L2 D' R F2 B2 L' U
U' D B2 U2 L2 R U
U' D B2 U2 R L2 U
L2 D' R B2 F2 L' U
L D' R F2 L' U R
U D' L R F2 L' U
R' D' U' R2 U' F2 L'
R2 D' U R' U2 R' U'
U D' L' R F2 L' U
R2 D' U' R2 U2 R U
R' D' U2 F2 D B2 L
U D' L2 R F2 L' U
F2 U' L' R' U' B2 L
F2 U' L' U R2 U2 B2
F2 U' L' U' B2 D2 L2
U2 D' R F2 L' U R'
U D' R L F2 L' U
U D' R L' F2 L' U
U D' R L2 F2 L' U
U D' R F2 L' U D
U D' R F2 L' U D'
U D' R F2 L' U D2
U D' R F2 L' D U
U D' R F2 L' D' U
U D' R F2 L' D2 U
D' U' R2 U2 R' F2 U
U' D' R2 U2 R' F2 U
U D' R F2 D L' U
U D' R F2 D' L' U
U D' R F2 D2 L' U
U' D' R2 U2 F2 R' U
D' U' R2 U2 F2 R' U
U' D' R2 D2 B2 L U'
D' U' R2 D2 B2 L U'
B2 U' R U' R U2 R'
F' U' R' U' F' B2 L
F' U' R' U' B2 L F'
F' U' R' U' B2 F' L
F2 U' R' L' U' B2 L
L2 D' B2 R F2 L' U
R2 D' B2 U' L R2 U'
R2 D' B2 U' R2 L U'
U D' F2 U2 L' R2 U'
U D' F2 U2 R2 L' U'
D U' B2 U2 L2 R U
D U' B2 U2 R L2 U
R' D2 R' F2 U' L2 U'
R' D2 R' F2 U2 D F2
R' D2 R' F2 D U2 F2
R' D2 R' F2 D' B2 U2
R D2 R F2 U R' U
D' U2 R F2 L' U R'
R2 D2 U R' U D2 B2
R2 D2 U R' U' F2 U2
U D2 R U L2 D2 B2
R2 D2 U R' D' L2 U
R2 D2 U R' D2 U B2
U D2 R U' F2 U2 L2
U D2 R F U L2 B'
R' D2 F2 R' U' L2 U'
R' D2 F2 R' U2 D F2
R' D2 F2 R' D U2 F2
R' D2 F2 R' D' B2 U2
R' D2 F2 D R' U2 F2
R' D2 F2 D' R' B2 U2
R' D2 F2 D' B2 U2 L
R2 D2 F2 U R' U D
R2 D2 F2 U R' U D'
R2 D2 F2 U R' U D2
R2 D2 F2 U R' D U
R2 D2 F2 U R' D' U
R2 D2 F2 U R' D2 U
R2 D2 F2 U D R' U
R2 D2 F2 U D' R' U
R2 D2 F2 U D2 R' U
R2 D2 F2 D U R' U
R2 D2 F2 D' U R' U
R2 D2 F2 D2 U R' U
R2 D2 F2 B2 U' L U'
B2 U2 R2 U R' U R'
R2 D2 B2 F2 U' L U'
R' F R' U R' U B2
R2 F U L R' U B2
R2 F U L' R' U B2
R2 F U L2 R' U B2
R2 F U R' L U B2
R2 F U R' L' U B2
R2 F U R' L2 U B2
R2 F U R' U B2 D
R2 F U R' U B2 D'
R2 F U R' U B2 D2
R2 F U R' D L2 U
R2 F U D L2 R' U
R2 F U D R' L2 U
R' F U2 B2 L D' F2
R' F U2 B2 D' L F2
R' F U2 B2 D' F2 L
R2 F U2 B2 U L U'
R2 F D U L2 R' U
R2 F D U R' L2 U
R2 F D2 F2 U R' U
R' F B2 L D' F2 R
R' F B2 D' L F2 R
R' F' R' U R' U B2
U F' R' U B2 L F
R2 F' U L R' U B2
R2 F' U L' R' U B2
R2 F' U L2 R' U B2
R2 F' U R' L U B2
R2 F' U R' L' U B2
R2 F' U R' L2 U B2
R2 F' U R' U B2 D
R2 F' U R' U B2 D'
R2 F' U R' U B2 D2
R2 F' U R' D L2 U
R2 F' U D L2 R' U
R2 F' U D R' L2 U
R' F' U2 B2 L D' F2
R' F' U2 B2 D' L F2
R' F' U2 B2 D' F2 L
R2 F' U2 B2 U L U'
R2 F' D U L2 R' U
R2 F' D U R' L2 U
R2 F' D2 F2 U R' U
R' F' B2 L D' F2 R
B' D' U R F2 U B'
R' F' B2 D' L F2 R
R F2 L U L2 B2 R'
D2 F2 R U' L' U' L'
R' F2 R' U R' U B2
D2 F2 R' U' L' U' L'
R F2 L2 U L B2 R'
D2 F2 R2 U' L' U' L'
D2 F2 U D F2 R U
D2 F2 U F2 R U L2
D2 F2 U' L' U' L' D
D2 F2 U' L' U' L' D'
D2 F2 U' L' U' L' D2
D2 F2 U' L' U' D L'
D2 F2 U' L' U' D' L'
D2 F2 U' L' U' D2 L'
D2 F2 U' L' D U' L'
D2 F2 U' L' D' U' L'
D2 F2 U' L' D2 U' L'
D2 F2 U' L' B U' L'
D2 F2 U' L' B' U' L'
D2 F2 U' L' B2 U' L'
R2 F2 U L R' U B2
R2 F2 U L' R' U B2
R2 F2 U L2 R' U B2
D2 F2 U' D' L' B2 U'
R2 F2 U R' L U B2
R2 F2 U R' L' U B2
R2 F2 U R' L2 U B2
D2 F2 U' D' B2 L' U'
R2 F2 U R' U B2 D
R2 F2 U R' U B2 D'
R2 F2 U R' U B2 D2
R2 F2 U R' D L2 U
R2 F2 U D L2 R' U
R2 F2 U D R' L2 U
D2 F2 U' B L' U' L'
D2 F2 U' B' L' U' L'
D2 F2 U' B2 L' U' L'
D2 F2 U2 L D L F2
D2 F2 U2 L D F2 L
D' F2 U2 L' R2 U' R2
D2 F2 U2 L2 U L U'
D' F2 U2 R2 L' U' R2
R F2 U L' B2 D' R2
R' F2 U2 B2 L D' F2
R' F2 U2 B2 D' L F2
R' F2 U2 B2 D' F2 L
R F2 U B2 L' D' R2
R F2 U B2 D' L' R2
R F2 U B2 D' R2 L'
D2 F2 D U F2 R U
R2 F2 U2 B2 U L U'
D2 F2 D' U' L' B2 U'
D2 F2 D' U' B2 L' U'
R2 F2 D U L2 R' U
R2 F2 D U R' L2 U
D2 F2 D2 R2 U' L' U'
D2 F2 B U' L' U' L'
R2 F2 D2 F2 U R' U
D2 F2 B' U' L' U' L'
R' F2 B2 L D' F2 R
B' D2 U R U B' L2
D2 F2 B2 U' L' U' L'
R' F2 B2 D' L F2 R
F2 D2 F2 U R U L2
R B R U R' U B
D' B U R F2 L' U
R2 B U' L U' F B
R2 B U' L U' B F
R' B D B2 U2 B' L
R' B D' B L F2 R
F' B R2 F' U' L' U'
D2 B F2 U' L' U' L'
B F R2 F' U R U
F B R2 F' U R U
R B' R U R' U B'
R' B' U R2 U B' L
D' B' U R F2 L' U
D B' U L2 R F U
D B' U R L2 F U
R' B' U2 B' L D' F2
R' B' U2 B' D' L F2
R' B' U2 B' D' F2 L
R2 B' U2 B' U L U'
B F' R2 F' U' L' U'
D2 B' F2 U' L' U' L'
R' B2 L D' R F2 R
R' B2 L D' R' F2 R
R' B2 L D' R2 F2 R
R' B2 L D' F2 R D
R' B2 L D' F2 R D'
R' B2 L D' F2 R D2
R' B2 L D' F2 D R
R' B2 L D' F2 D' R
R' B2 L D' F2 D2 R
R' B2 L F2 D' R F2
D' B2 U R F2 L' U
U B2 R' D' R2 F2 L'
U2 B2 U' R U' R U2
U2 B2 U' R F2 U L'
U2 B2 U' D' R F2 U
U2 B2 U' D2 R U L2
R2 B2 U' L U2 L' U
R' B2 D L D2 F2 R
U2 B2 U2 R2 U R' U
D B2 U2 L2 R U R'
R' B2 D B2 R' U2 B2
R' B2 D B2 U2 B2 L
D B2 U2 R L2 U R'
R' B2 D' L R F2 R
R' B2 D' L R' F2 R
R' B2 D' L R2 F2 R
R' B2 D' L F2 R D
R' B2 D' L F2 R D'
R' B2 D' L F2 R D2
R' B2 D' L F2 D R
R' B2 D' L F2 D' R
R' B2 D' L F2 D2 R
R' B2 D' R L F2 R
R' B2 D' R' L F2 R
R' B2 D' R2 L F2 R
L' B2 D' R' D' L2 F2
L' B2 D' R' D' F2 L2
L' B2 D2 L2 R' D' F2
U2 B2 D' U' R F2 U
L' B2 D2 R' L2 D' F2
R' B2 F L D' F2 R
U2 B2 D2 L2 U' R U
U2 B2 D2 U' R U L2
R' B2 F D' L F2 R
R' B2 F' L D' F2 R
R' B2 F' D' L F2 R
R' B2 F2 L D' F2 R
D2 B2 F2 U' L' U' L'
R' B2 F2 D' L F2 R
