D L2 R2 F U' L2
B' L2 U F L2 B'
D L2 F R2 U' L2
D R2 L2 F U' L2
B R2 F' D' R2 B
F' R2 B D' R2 F'
D' R2 B' L2 U L2
U D L2 R2 F U'
D U L2 R2 F U'
U D L2 F R2 U'
D U L2 F R2 U'
U D R2 L2 F U'
D U R2 L2 F U'
U' D' R2 B' L2 U
D' U' R2 B' L2 U
U' D' B' L2 R2 U
U' D' B' R2 L2 U
D' U' B' L2 R2 U
D2 U' B' U F2 B'
D2 U' B' U B' F2
D' U' B' R2 L2 U
U' D2 B' U F2 B'
U' D2 B' U B' F2
B' D' L2 U F L2
B D' R2 D' F' B2
B D' R2 D' B2 F'
B D' R2 F' D' B2
B D' R2 F' D' B2
D2 F2 U' B' U B'
D2 F2 B D' B R2
U2 F2 B2 U B U
D2 F2 B2 U' B U
B' D2 B2 D' R2 F'
D' B D' R2 F2 B2
D' B D' R2 B2 F2
D' B D' F2 R2 B2
D' B D' F2 B2 R2
D' B D' B2 R2 F2
D' B D' B2 F2 R2
D2 B F2 D' B R2
D' B' L2 R2 U L2
F' B D' R2 F' B
F' B D' R2 B F'
D' B' R2 L2 U L2
U' B' U' F2 B' U2
U' B' U' B' F2 U2
U' B' D' L2 U F
B F' D' R2 F' B
B F' D' R2 B F'
D2 B2 U' B U F2
D2 B2 F2 U' B U
U2 B2 F2 U B U
U' D' B L2 R2 B2 U
D' U' B L2 R2 B2 U
R D' B D' F2 R2 B2
R D' B D' F2 B2 R2
R D' B D' B2 R2 F2
R D' B D' B2 F2 R2
D' U' B L2 B2 R2 U
U' D' B L2 B2 R2 U
D' U' B R2 L2 B2 U
U' D' B R2 L2 B2 U
D' U' B R2 B2 L2 U
U' D' B R2 B2 L2 U
R D' B' L2 R2 U L2
R D' B' R2 L2 U L2
F' U' D' R2 B' U B2
U' D' B' L2 R2 U D
U' D' B' L2 R2 U D'
U' D' B' L2 R2 U D2
U' D' B' L2 R2 D U
U' D' B' L2 R2 D' U
U' D' B' L2 R2 D2 U
U' D' B' L2 U D' F2
D' U' B' L2 R2 U D
D' U' B' L2 R2 U D'
D' U' B' L2 R2 U D2
D' U' B' L2 R2 D U
D' U' B' L2 R2 D' U
D' U' B' L2 R2 D2 U
D' U' B' L2 U D' F2
U' D' B' L2 D' U F2
D' U' B' L2 D' U F2
U' D' B' R2 L2 U D
U' D' B' R2 L2 U D'
U' D' B' R2 L2 U D2
U' D' B' R2 L2 D U
U' D' B' R2 L2 D' U
U' D' B' R2 L2 D2 U
U' D' B' R2 U D' B2
D' U' B' R2 L2 U D
D' U' B' R2 L2 U D'
D' U' B' R2 L2 U D2
D' U' B' R2 L2 D U
D' U' B' R2 L2 D' U
D' U' B' R2 L2 D2 U
U' D' B' R2 D' U B2
D' U' B' R2 U D' B2
D' U' B' R2 D' U B2
D2 U' B' R U F2 B'
D2 U' B' R U B' F2
F' U' D' B' R2 U B
U' D' B' U D' F2 B2
U' D' B' U D' B2 F2
D' U' B' U D' F2 B2
D' U' B' U D' B2 F2
D2 U' B' R' U F2 B'
D2 U' B' R' U B' F2
D2 U' B' R2 U F2 B'
D2 U' B' R2 U B' F2
D2 U' B' U F2 D B'
D2 U' B' U F2 D' B'
D2 U' B' U F2 D2 B'
D2 U' B' U F2 B' D
D2 U' B' U F2 B' D'
D2 U' B' U F2 B' D2
D2 U' B' U B' F2 D
D2 U' B' U B' F2 D'
D2 U' B' U B' F2 D2
U' D' B' D' U F2 B2
U' D' B' D' U B2 F2
D' U' B' D' U F2 B2
D' U' B' D' U B2 F2
D2 U' B' D R2 U B'
B U' D' L2 U R2 F'
D' U' B2 L2 B R2 U
U' D' B2 L2 B R2 U
D U' B' U D F2 B2
D U' B' U D B2 F2
U D' B' L2 R2 F' U
D U' B' U2 L2 R2 U'
D U' B' U2 R2 L2 U'
D U' B' D U F2 B2
D U' B' D U B2 F2
U D' B' R2 L2 F' U
D U' B' D2 L2 R2 U
U D' B' R2 F' L2 U
D U' B' D2 R2 L2 U
B' U' F2 U2 D' L2 F
B' U' F2 D R2 B' U2
B' U' F2 D B' R2 U2
B' U' F2 D' U2 L2 F
B' U' F2 D' B' U2 L2
B' U' F2 B' U F2 U
B' U' F2 B' U2 D' L2
B' U' F2 B' D R2 U2
B' U' F2 B' D' U2 L2
B2 U' B U' F2 U2 F2
U' D2 R B' U F2 B'
U' D2 R B' U B' F2
F' U' B' U' F' B' U2
F' U' B' U' B' F' U2
F2 U' B' U' B' U2 B
B' U' B' F2 U F2 U
B' U' B' F2 U2 D' L2
B' U' B' F2 D R2 U2
B' U' B' F2 D' U2 L2
U D2 L2 F U' F B2
U D2 L2 F U' B2 F
U' D2 R' B' U F2 B'
U' D2 R' B' U B' F2
F U' B' L2 U F B'
F U' B' L2 U B' F
R' D2 U' B' U F2 B'
R' D2 U' B' U B' F2
F U' B' U' F B' U2
F U' B' U' B' F U2
U' D2 R2 B' U F2 B'
U' D2 R2 B' U B' F2
B U' B2 U' F2 B' U2
B U' B2 U' B' F2 U2
B U' B2 D' L2 U F
R2 D2 U' B' U F2 B'
R2 D2 U' B' U B' F2
R D2 U' B' U F2 B'
R D2 U' B' U B' F2
R' D2 F2 U' B' U B'
R' D2 F2 B D' B R2
R' D2 F2 B2 U' B U
R2 D2 F2 U' B' U B'
R2 D2 F2 B D' B R2
R' D2 B F2 D' B R2
R2 D2 F2 B2 U' B U
U' D2 B' R U F2 B'
U' D2 B' R U B' F2
U' D2 B' R' U F2 B'
U' D2 B' R' U B' F2
U' D2 B' R2 U F2 B'
U' D2 B' R2 U B' F2
U' D2 B' U F2 D B'
U' D2 B' U F2 D' B'
U' D2 B' U F2 D2 B'
U' D2 B' U F2 B' D
U' D2 B' U F2 B' D'
U' D2 B' U F2 B' D2
U' D2 B' U B' F2 D
U' D2 B' U B' F2 D'
U' D2 B' U B' F2 D2
R D2 F2 U' B' U B'
U' D2 B' D R2 U B'
R D2 F2 B D' B R2
R D2 F2 B2 U' B U
R2 D2 B F2 D' B R2
R' D2 B2 U' B U F2
R' D2 B2 F2 U' B U
R D2 B F2 D' B R2
R2 D2 B2 U' B U F2
R2 D2 B2 F2 U' B U
R D2 B2 U' B U F2
R D2 B2 F2 U' B U
D F L2 R2 F U' L2
F' U2 F' B2 U B U
D F L2 F R2 U' L2
F U2 F B2 U B U
B' U2 F2 D B' U2 R2
B' U2 F2 D' L2 U2 F
B' U2 F2 D' B' L2 U2
B2 U2 F2 U B U F2
B' U2 F2 B' U' F2 U'
B' U2 F2 B' U2 D R2
B' U2 F2 B' D U2 R2
B' U2 F2 B' D' L2 U2
B U2 F2 U2 D' R2 F'
B U2 F2 D L2 B U2
B U2 F2 D B L2 U2
B U2 F2 D' U2 R2 F'
B U2 F2 D' B U2 R2
B U2 F2 B U B U
D' F R2 B' L2 U L2
D F R2 L2 F U' L2
B' U2 B' F2 U' F2 U'
B' U2 B' F2 U2 D R2
B' U2 B' F2 D U2 R2
B' U2 B' F2 D' L2 U2
B U2 B F2 U B U
D' F U' R2 B' L2 U
L2 F U F B2 U2 L2
D F U L2 R2 F U'
F2 U2 B2 U B U B
D F U L2 F R2 U'
F' U2 B2 F' U B U
D F U R2 L2 F U'
L2 F U B2 U2 L2 B'
L2 F U B2 F U2 L2
D' F U' B' L2 R2 U
D' F U' B' R2 L2 U
D2 F U' B' U F B'
L2 F U' L2 D2 F2 B'
D2 F U' B' U B' F
L2 F U' L2 D2 B' F2
L2 F U' B' L2 F B'
L2 F U' B' L2 B' F
F U2 B2 F U B U
U F D L2 F U' B'
F D L2 F U' B' L2
D' F B D' R2 F2 B2
D' F B D' R2 B2 F2
D' F B D' F2 R2 B2
D' F B D' F2 B2 R2
D' F B D' B2 R2 F2
D2 F B D' F B R2
D' F B D' B2 F2 R2
D2 F B D' B R2 F
D2 F B D' B F R2
D' F B' L2 R2 U L2
D' F B' R2 L2 U L2
D2 F B2 R2 F D R2
L2 F B' U' L2 F B'
L2 F B' U' L2 B' F
D2 F B2 U' B U F
F D U L2 F U' B'
D F' L2 R2 F U' L2
D F' L2 F R2 U' L2
R' F' R2 B D' R2 F'
D' F' R2 B' L2 U L2
D F' R2 L2 F U' L2
R2 F' R2 B D' R2 F'
D' F' U' R2 B' L2 U
D F' U L2 R2 F U'
D F' U L2 F R2 U'
D F' U R2 L2 F U'
D' F' U' B' L2 R2 U
D2 F' U' B' U F' B'
D2 F' U' B' U B' F'
D' F' U' B' R2 L2 U
R F' R2 B D' R2 F'
B' D' L2 R U F L2
B' D' L2 R' U F L2
B' D' L2 R2 U F L2
B' D' L2 U F L2 D
B' D' L2 U F L2 D'
B' D' L2 U F L2 D2
B' D' L2 U F' L2 F2
B' D' L2 U F2 L2 F'
B' D' L2 D F2 U F'
B' D' L2 F' U L2 F2
B' D' L2 F' U F2 L2
B' D' L2 F2 U L2 F'
B' D' L2 F2 U F' L2
B' D' R L2 U F L2
B2 D' L2 B U L2 F
B D' L2 U L2 R2 F'
B D' L2 U R2 L2 F'
B D' L2 U R2 F' L2
B' D' R' L2 U F L2
B' D' R2 L2 U F L2
R' F' B D' R2 F' B
R' F' B D' R2 B F'
D2 F' B D' F' B R2
D2 F' B D' B F' R2
D' F' B D' R2 F2 B2
D' F' B D' R2 B2 F2
D' F' B D' F2 R2 B2
D' F' B D' F2 B2 R2
D' F' B D' B2 R2 F2
D' F' B D' B2 F2 R2
D' F' B' L2 R2 U L2
D' F' B' R2 L2 U L2
B D' R' D' R' F' B2
B D' R' D' R' B2 F'
R2 F' B D' R2 F' B
R2 F' B D' R2 B F'
D2 F' B2 U' B U F'
B D' R2 U' L2 U F'
B D' R2 D' F' B2 D
B D' R2 D' F' B2 D'
B D' R2 D' F' B2 D2
B D' R2 D' B2 D F'
B D' R2 D' B2 D' F'
B D' R2 D' B2 D2 F'
B D' R2 D' B2 F' D
B D' R2 D' B2 F' D'
B D' R2 D' B2 F' D2
B D' R2 D2 F' D B2
B2 D' U B L2 F U
B D' R2 F' U' L2 U
B D' R2 F' D' B2 D
B D' R2 F' D' B2 D'
B D' R2 F' D' B2 D2
B D' R2 F' B D' B2
B D' R2 F' B' D' B2
B D' R2 F' B2 D' B2
B D' R2 F2 D' F B2
B D' R2 F2 D' B2 F
B D' R2 B D' F' B2
B D' R2 B D' B2 F'
B D' R2 B F' D' B2
F2 D' U B' R2 F' U
B D' R2 B' D' F' B2
B D' R2 B' D' B2 F'
B D' R2 B' F' D' B2
B D' R2 B2 D' F' B2
B D' R2 B2 D' B2 F'
B D' R2 B2 F' D' B2
F' D' U' R2 B' U B2
R F' B D' R2 F' B
R F' B D' R2 B F'
F' D' U' B' R2 U B
B D' U' L2 U R2 F'
B' D' F L2 U F L2
B' D' F' L2 U F L2
D2 F2 R U' B' U B'
B D' F R2 D' F' B2
B D' F R2 D' B2 F'
B D' F R2 F' D' B2
D F2 L2 R2 F U' L2
B' D' F2 L2 U F L2
U2 F2 L2 B2 U' F U'
D2 F2 R B D' B R2
D2 F2 R B2 U' B U
D F2 L2 F R2 U' L2
D2 F2 R' U' B' U B'
B D' F' R2 D' F' B2
B D' F' R2 D' B2 F'
B D' F' R2 F' D' B2
D2 F2 R' B D' B R2
D2 F2 R' B2 U' B U
B2 D' B L2 U F L2
D2 F2 R2 U' B' U B'
B D' F2 R2 D' F' B2
B D' F2 R2 D' B2 F'
B D' F2 R2 F' D' B2
F' D' B D' R2 F2 B
F' D' B D' R2 B F2
D2 F2 R2 B D' B R2
D' F2 R2 B' L2 U L2
D2 F2 R2 B2 U' B U
D F2 R2 L2 F U' L2
B2 D' B' D' R2 F' B2
B2 D' B' D' R2 B2 F'
F D' B D' F2 R2 B
B' D' B2 D' R2 F' B2
B' D' B2 D' R2 B2 F'
U2 F2 U D' R2 B' U
U2 F2 U D' B' R2 U
U2 F2 U D2 B' U F2
D' F2 U' R2 B' L2 U
D2 F2 U' D B' L2 U
D F2 U L2 R2 F U'
D F2 U L2 F R2 U'
U2 F2 U B' U' B' U2
D F2 U R2 L2 F U'
D2 F2 U' B' U D B'
D2 F2 U' B' U D' B'
D2 F2 U' B' U D2 B'
D2 F2 U' B' U B' D
D2 F2 U' B' U B' D'
D2 F2 U' B' U B' D2
D' F2 U' B' L2 R2 U
D2 F2 U' B' D U B'
D2 F2 U' B' D' U B'
D' F2 U' B' R2 L2 U
D2 F2 U' B' D2 U B'
U2 F2 U' D L2 F U'
D2 F2 D U' B' L2 U
B' D2 L2 U F L2 B2
B' D2 L2 U F B2 L2
B' D2 L2 U B2 F L2
D2 F2 D B D' R2 B2
D2 F2 D B D' B2 R2
U2 F2 D U' L2 F U'
U2 F2 D' U R2 B' U
U2 F2 D' U B' R2 U
B' D2 R B2 D' R2 F'
U2 F2 D2 U B' U F2
D2 F2 B R2 D' R2 B
B' D2 R' B2 D' R2 F'
D2 F2 B U' B2 U B'
D2 F2 B D B D2 R2
D2 F2 B D' B R2 D
D2 F2 B D' B R2 D'
D2 F2 B D' B R2 D2
D' F2 B D' R2 F2 B2
D' F2 B D' R2 B2 F2
D2 F2 B D' B' R2 B2
D2 F2 B D' B2 R2 B'
D' F2 B D' F2 R2 B2
