B' L U D2 L2 F2
B' L U D2 F2 L2
B' L U' R2 B2 U2
B' L U' B2 R2 U2
B' L D' R2 F2 U
B' L D' F2 R2 U
B' L D2 U L2 F2
B' L D2 U F2 L2
R2 U B' L U F'
B' D' L R2 F2 U
B' D' L F2 R2 U
B' D' R2 L F2 U
B' D' R2 F2 L U
B' D' F2 L R2 U
B' D' F2 R2 L U
B' D2 L U L F2
B' D2 L U F2 L
B' L F D' R2 F2 U
B' L F D' F2 R2 U
B' L F D2 U L2 F2
B' L F D2 U F2 L2
B' L F' U D2 L2 F2
B' L F' U D2 F2 L2
B' L F' U' R2 B2 U2
B' L F' U' B2 R2 U2
B' L F' D' R2 F2 U
B' L F' D' F2 R2 U
B' L F' D2 U L2 F2
B' L F' D2 U F2 L2
B' L F2 U D2 L2 F2
B' L F2 U D2 F2 L2
B' L F2 U' R2 B2 U2
B' L F2 U' B2 R2 U2
B' L F2 D' R2 F2 U
B' L F2 D' F2 R2 U
B' L F2 D2 U L2 F2
B' L F2 D2 U F2 L2
B' L' D' R2 F2 U B2
B' L' D' F2 R2 U B2
B' L2 D' L' R2 F2 U
B' L2 D' L' F2 R2 U
B' L2 D' R2 L' F2 U
B' L2 D2 L' U L' F2
B' R L U D2 F2 L'
B' R L U' R B2 U2
B' R L U' B2 R U2
B' R L D2 U F2 L'
R2 U B' L U D F'
R2 U B' L U D' F'
R2 U B' L U D2 F'
R2 U B' L U F' D
R2 U B' L U F' D'
R2 U B' L U F' D2
R2 U B' L D U F'
R2 U B' L D' U F'
R2 U B' L D2 U F'
B R D L2 R U2 B2
R2 U B' D L U F'
B R D R L2 U2 B2
R2 U B' D' L U F'
R2 U B' D2 L U F'
B R D' R F2 L' U2
B' R D2 L U F2 L'
B R D' F2 U2 L' R2
B R D' F2 U2 R2 L'
B' R' L U' R' B2 U2
B' R' L U' B2 U2 L
R2 U2 F' U' B' L U
F' R2 U B' L U F'
U' R2 U B' L U F'
F2 R2 U B' L U F'
U2 R2 U B' L U F'
B R2 U B2 U2 R U'
F R2 U B' L U F'
B R2 U' R U' D' R2
B R2 U' R U2 B2 U
B R2 U' R D' U' R2
B R2 U' R D2 F2 U'
U R2 U B' L U F'
B R2 U' D' R U' R
B R2 U' D2 R F2 U'
R2 U2 B' L U L' F'
B R2 D L2 U' R U'
B R2 D' U' R U' R
B R2 D2 U' R F2 U'
B R2 F2 U L' B2 U
B R2 F2 U B2 L' U
B2 R2 B' U' F' R' U'
B' R2 B2 U B2 L U
B U B2 L U D2 L2
B U B2 L U' R2 U2
B U B2 L D' F2 U
B U B2 L D2 U L2
B U B2 D' L F2 U
B U B2 D' F2 L U
B U B2 D2 L U L
B U' R' U2 B2 U L
B' U' R2 B2 U' R' U'
B U' D2 R' F2 U' L2
B U' D2 F2 R' U' L2
B' U' B2 R2 U' R U'
B' U2 D B2 L2 R' U'
B' U2 D B2 R' L2 U'
B' D L U2 L B2 U'
R2 F U B' L U F2
B D L2 U' R' B2 U'
B' D U2 B2 L2 R' U'
B' D U2 B2 R' L2 U'
B' D' L R' F2 R' U
B' D' L R2 U D' L2
B' D' L R2 D' U L2
B' D' L R2 F2 U D
B' D' L R2 F2 U D'
B' D' L R2 F2 U D2
B' D' L R2 F2 D U
B' D' L R2 F2 D' U
B' D' L R2 F2 D2 U
B' D' L U D' L2 F2
B' D' L U D' F2 L2
B' D' L D' U L2 F2
B' D' L D' U F2 L2
B' D' L F R2 F U
B' D' L F2 R2 U D
B' D' L F2 R2 U D'
B' D' L F2 R2 U D2
B' D' L F2 R2 D U
B' D' L F2 R2 D' U
B' D' L F2 R2 D2 U
B' D' L F2 U D' F2
B' D' L F2 D' U F2
B' D' L' R2 F2 L2 U
B' D' L' F2 L2 R2 U
B' D' L' F2 R2 L2 U
B' D' R' L F2 R' U
B' D' R' F2 L R' U
B' D' R' F2 R' L U
B' D' R2 L U D' L2
B' D' R2 L D' U L2
B' D' R2 L F2 U D
B' D' R2 L F2 U D'
B' D' R2 L F2 U D2
B' D' R2 L F2 D U
B' D' R2 L F2 D' U
B' D' R2 L F2 D2 U
B' D' R2 L' F2 L2 U
B' D' R2 D' L U L
B' D' R2 F' L F' U
B' D' R2 F2 L U D
B' D' R2 F2 L U D'
B' D' R2 F2 L U D2
B' D' R2 F2 L D U
B' D' R2 F2 L D' U
B' D' R2 F2 L D2 U
B' D' R2 F2 D L U
B' D' R2 F2 D' L U
B' D' R2 F2 D2 L U
B' D' F R2 F L U
B' D' F' L F' R2 U
B' D' F2 L R2 U D
B' D' F2 L R2 U D'
B' D' F2 L R2 U D2
B' D' F2 L R2 D U
B' D' F2 L R2 D' U
B' D' F2 L R2 D2 U
B' D' F2 L U D' F2
B' D' F2 L D' U F2
B' D' F2 R2 L U D
B' D' F2 R2 L U D'
B' D' F2 R2 L U D2
B' D' F2 R2 L D U
B' D' F2 R2 L D' U
B' D' F2 R2 L D2 U
B' D' F2 R2 D L U
B' D' F2 R2 D' L U
B' D' F2 R2 D2 L U
B' D' F2 D' L U F2
B' D2 L R U L F2
B' D2 L R U F2 L
B' D2 L R' U L F2
B' D2 L R' U F2 L
B' D2 L R2 U L F2
B' D2 L R2 U F2 L
B' D2 L U L F2 D
B' D2 L U L F2 D'
B' D2 L U L F2 D2
B' D2 L U L' F2 L2
B' D2 L U F' L F'
B' D2 L U F2 L D
B' D2 L U F2 L D'
B' D2 L U F2 L D2
B' D2 L U F2 D L
B' D2 L U F2 D' L
B' D2 L U F2 D2 L
B' D2 L D R2 U L
B' D2 L F U F L
B' D2 L F' U L F'
B' D2 L F' U F' L
B' D2 R L U L F2
B' D2 R L U F2 L
B' D2 R' L U L F2
B' D2 R' L U F2 L
B' D2 R2 L U L F2
B' D2 R2 L U F2 L
B D2 U' R' F2 U' L2
B D2 U' F2 R' U' L2
B' D2 F' L U L F'
B' D2 F' L U F' L
L2 B R2 U' R F U'
B' F L U D2 L2 F2
B' F L U D2 F2 L2
B' F L U' R2 B2 U2
B' F L U' B2 R2 U2
B' F L D' R2 F2 U
B' F L D' F2 R2 U
B' F L D2 U L2 F2
B' F L D2 U F2 L2
R2 B U B2 L U F'
U' B' L U D2 L2 F2
U' B' L U D2 F2 L2
U' B' L U' R2 B2 U2
U' B' L U' B2 R2 U2
U' B' L D' R2 F2 U
U' B' L D' F2 R2 U
U' B' L D2 U L2 F2
U' B' L D2 U F2 L2
U2 B' L U D2 L2 F2
U2 B' L U D2 F2 L2
U2 B' L U' R2 B2 U2
U2 B' L U' B2 R2 U2
U2 B' L D' R2 F2 U
U2 B' L D' F2 R2 U
U2 B' L D2 U L2 F2
U2 B' L D2 U F2 L2
U B' L U D2 L2 F2
U B' L U D2 F2 L2
U B' L U' R2 B2 U2
U B' L U' B2 R2 U2
U B' L D' R2 F2 U
U B' L D' F2 R2 U
U B' L D2 U L2 F2
U B' L D2 U F2 L2
B' F D' L R2 F2 U
B' F D' L F2 R2 U
R B' L U' R U2 F'
B' F D' R2 L F2 U
B' F D' R2 F2 L U
B' F D' F2 L R2 U
B' F D' F2 R2 L U
B' F D2 L U L F2
B' F D2 L U F2 L
B' F' L U D2 L2 F2
B' F' L U D2 F2 L2
B' F' L U' R2 B2 U2
B' F' L U' B2 R2 U2
B' F' L D' R2 F2 U
B' F' L D' F2 R2 U
B' F' L D2 U L2 F2
B' F' L D2 U F2 L2
F' B' L U D2 L2 F2
F' B' L U D2 F2 L2
F' B' L U' R2 B2 U2
F' B' L U' B2 R2 U2
F' B' L D' R2 F2 U
F' B' L D' F2 R2 U
F2 B' L U D2 L2 F2
F2 B' L U D2 F2 L2
F' B' L D2 U L2 F2
F' B' L D2 U F2 L2
F2 B' L U' R2 B2 U2
F2 B' L U' B2 R2 U2
F2 B' L D' R2 F2 U
F2 B' L D' F2 R2 U
F2 B' L D2 U L2 F2
F2 B' L D2 U F2 L2
F B' L U D2 L2 F2
F B' L U D2 F2 L2
F B' L U' R2 B2 U2
F B' L U' B2 R2 U2
F B' L D' R2 F2 U
F B' L D' F2 R2 U
F B' L D2 U L2 F2
F B' L D2 U F2 L2
U' B' D' L R2 F2 U
U' B' D' L F2 R2 U
U' B' D' R2 L F2 U
U' B' D' R2 F2 L U
U' B' D' F2 L R2 U
U' B' D' F2 R2 L U
U' B' D2 L U L F2
U' B' D2 L U F2 L
U2 B' D' L R2 F2 U
U2 B' D' L F2 R2 U
U2 B' D' R2 L F2 U
U2 B' D' R2 F2 L U
U2 B' D' F2 L R2 U
U2 B' D' F2 R2 L U
U2 B' D2 L U L F2
U2 B' D2 L U F2 L
U B' D' L R2 F2 U
U B' D' L F2 R2 U
U B' D' R2 L F2 U
U B' D' R2 F2 L U
U B' D' F2 L R2 U
U B' D' F2 R2 L U
U B' D2 L U L F2
U B' D2 L U F2 L
B' F' D' L R2 F2 U
B' F' D' L F2 R2 U
B' F' D' R2 L F2 U
B' F' D' R2 F2 L U
F' B' D' L R2 F2 U
F' B' D' L F2 R2 U
B' F' D' F2 L R2 U
B' F' D' F2 R2 L U
F' B' D' R2 L F2 U
F2 B' D' L R2 F2 U
F' B' D' R2 F2 L U
F2 B' D' L F2 R2 U
B' F' D2 L U L F2
B' F' D2 L U F2 L
F2 B' D' R2 L F2 U
F' B' D' F2 L R2 U
F' B' D' F2 R2 L U
F2 B' D' R2 F2 L U
F' B' D2 L U L F2
F' B' D2 L U F2 L
F2 B' D' F2 L R2 U
F2 B' D' F2 R2 L U
F2 B' D2 L U L F2
F2 B' D2 L U F2 L
B' F2 L U D2 L2 F2
B' F2 L U D2 F2 L2
B' F2 L U' R2 B2 U2
F B' D' L R2 F2 U
B' F2 L U' B2 R2 U2
F B' D' L F2 R2 U
B' F2 L D' R2 F2 U
B' F2 L D' F2 R2 U
B' F2 L D2 U L2 F2
B' F2 L D2 U F2 L2
F B' D' R2 L F2 U
F B' D' R2 F2 L U
F B' D' F2 L R2 U
F B' D' F2 R2 L U
F B' D2 L U L F2
F B' D2 L U F2 L
B' F2 D' L R2 F2 U
B' F2 D' L F2 R2 U
B' F2 D' R2 L F2 U
B' F2 D' R2 F2 L U
B' F2 D' F2 L R2 U
B' F2 D' F2 R2 L U
B' F2 D2 L U L F2
B' F2 D2 L U F2 L
