R2 L B R' U'
L R2 B R' U'
D L R2 B U' B2
D L U2 F' U B'
R' L B R' B U'
R2 L B R' U' D
R2 L B R' U' D'
R2 L B R' U' D2
R2 L B R' D U'
R2 L B R' D' U'
R2 L B R' D2 U'
R2 L B D R' U'
R2 L B D' R' U'
R2 L B D2 R' U'
R2 L' B L2 R' U'
R2 L' B R' L2 U'
L R' B R' B U'
L' R2 B L2 R' U'
L' R2 B R' L2 U'
L2 R2 B L' R' U'
L2 R2 B R' L' U'
R2 L2 B L' R' U'
R2 L2 B R' L' U'
L R2 B R' U' D
L R2 B R' U' D'
L R2 B R' U' D2
L R2 B R' D U'
L R2 B R' D' U'
L R2 B R' D2 U'
L R2 B D R' U'
L R2 B D' R' U'
L R2 B D2 R' U'
D R2 L B U' B2
R' D L U' B' L
R2 D L B U' B2
B2 U2 F' L' R' U
B2 U2 F' R' L' U
L B R2 B R U'
L B' U2 L F' U
L B' U2 F' L U
L B2 U2 F' L' U
R2 L B D R' U' D
R2 L B D R' U' D'
R2 L B D R' U' D2
R2 L B D R' D U'
R2 L B D R' D' U'
R2 L B D R' D2 U'
R2 L B D' R' U' D
R2 L B D' R' U' D'
R2 L B D' R' U' D2
R2 L B D' R' D U'
R2 L B D' R' D' U'
R2 L B D' R' D2 U'
R2 L B D2 R' U' D
R2 L B D2 R' U' D'
R2 L B D2 R' U' D2
R2 L B D2 R' D U'
R2 L B D2 R' D' U'
R2 L B D2 R' D2 U'
R2 L B F' R' F U'
R2 L B F2 R' F2 U'
F L F' R2 B R' U'
R2 L B' R B2 R' U'
R2 L B' R' B2 R' U'
R2 L B' R2 B2 R' U'
L R B' U2 L F U
R L B' U2 L F U
R2 L B2 R B' R' U'
R2 L B2 R' B' R' U'
R2 L B2 R2 B' R' U'
R2 L B2 D B' R' U'
R2 L B2 D' B' R' U'
R2 L B2 D2 B' R' U'
D L B R2 B U' B
D L B U2 F' U B2
D L B D' R2 B U'
D L B' R2 B U' B'
L R' U' D L B' L
L R' U' D B' L B'
D L B2 U2 F' U B
L R' D U' L B' L
L R' D U' B' L B'
L R' D B' U' L B'
D L' R2 B L2 U' B'
B2 L' U2 F' L' R' U
B2 L' U2 F' R' L' U
R' L' B L2 R' B U'
L' R' B L2 R' B U'
R' L' B R' L2 B U'
R' L' B R' B L2 U'
L' R' B R' L2 B U'
L2 R' B L' R' B U'
L' R' B R' B L2 U'
R2 L' B L2 R' U' D
R2 L' B L2 R' U' D'
R2 L' B L2 R' U' D2
R2 L' B L2 R' D U'
R2 L' B L2 R' D' U'
R2 L' B L2 R' D2 U'
R2 L' B L2 D R' U'
R2 L' B L2 D' R' U'
R2 L' B L2 D2 R' U'
L2 R' B R' L' B U'
R2 L' B R' L2 U' D
R2 L' B R' L2 U' D'
R2 L' B R' L2 U' D2
R2 L' B R' L2 D U'
R2 L' B R' L2 D' U'
R2 L' B R' L2 D2 U'
R2 L' B R' U' D F2
R2 L' B R' D U' F2
L2 R' B R' B L' U'
L R' B R' D B U'
L R' B R' D' B U'
L R' B R' D2 B U'
L R' B R' B U' D
L R' B R' B U' D'
L R' B R' B U' D2
L R' B R' B D U'
L R' B R' B D' U'
L R' B R' B D2 U'
R2 L' B D R' U' F2
B' L' D2 R2 B L U'
B' L' F' L2 B' R' U
L R2 D' R' U' B L
L R2 D' B R' U' B
D L2 R2 B L' U' B'
L R2 F' B R' F U'
R' L2 B L' R' B U'
L' R2 B L2 R' U' D
L' R2 B L2 R' U' D'
L' R2 B L2 R' U' D2
L' R2 B L2 R' D U'
L' R2 B L2 R' D' U'
L' R2 B L2 R' D2 U'
L' R2 B L2 D R' U'
L' R2 B L2 D' R' U'
L' R2 B L2 D2 R' U'
R' L2 B R' L' B U'
R' L2 B R' B L' U'
L' R2 B R' L2 U' D
L' R2 B R' L2 U' D'
L' R2 B R' L2 U' D2
L' R2 B R' L2 D U'
L' R2 B R' L2 D' U'
L' R2 B R' L2 D2 U'
L' R2 B R' U' D F2
L' R2 B R' D U' F2
L R2 F2 B R' F2 U'
L2 R2 B L' R' U' D
L2 R2 B L' R' U' D'
L2 R2 B L' R' U' D2
L2 R2 B L' R' D U'
L2 R2 B L' R' D' U'
L2 R2 B L' R' D2 U'
L2 R2 B L' D R' U'
L2 R2 B L' D' R' U'
L2 R2 B L' D2 R' U'
R2 L2 B L' R' U' D
R2 L2 B L' R' U' D'
R2 L2 B L' R' U' D2
R2 L2 B L' R' D U'
R2 L2 B L' R' D' U'
R2 L2 B L' R' D2 U'
R2 L2 B L' D R' U'
R2 L2 B L' D' R' U'
R2 L2 B L' D2 R' U'
L2 R2 B R' L' U' D
L2 R2 B R' L' U' D'
L2 R2 B R' L' U' D2
L2 R2 B R' L' D U'
L2 R2 B R' L' D' U'
L2 R2 B R' L' D2 U'
L' R2 B D R' U' F2
L2 R2 B R' D L' U'
L2 R2 B R' D' L' U'
L2 R2 B R' D2 L' U'
R2 L2 B R' L' U' D
R2 L2 B R' L' U' D'
R2 L2 B R' L' U' D2
R2 L2 B R' L' D U'
R2 L2 B R' L' D' U'
R2 L2 B R' L' D2 U'
L R2 B R U' D B2
R2 L2 B R' D L' U'
R2 L2 B R' D' L' U'
L R2 B R D U' B2
R2 L2 B R' D2 L' U'
L R2 B R2 D R U'
L R2 B R2 D' R U'
L R2 B R2 D2 R U'
L2 R2 B D L' R' U'
L2 R2 B D R' L' U'
R2 L2 B D L' R' U'
L2 R2 B D' L' R' U'
R2 L2 B D R' L' U'
L2 R2 B D' R' L' U'
R2 L2 B D' L' R' U'
L2 R2 B D2 L' R' U'
R2 L2 B D' R' L' U'
L R2 B D R' U' D
L R2 B D R' U' D'
L R2 B D R' U' D2
L R2 B D R' D U'
L R2 B D R' D' U'
L R2 B D R' D2 U'
L2 R2 B D2 R' L' U'
R2 L2 B D2 L' R' U'
R2 L2 B D2 R' L' U'
L R2 B D' R' U' D
L R2 B D' R' U' D'
L R2 B D' R' U' D2
L R2 B D' R' D U'
L R2 B D' R' D' U'
L R2 B D' R' D2 U'
L R2 B D2 R' U' D
L R2 B D2 R' U' D'
L R2 B D2 R' U' D2
L R2 B D2 R' D U'
L R2 B D2 R' D' U'
L R2 B D2 R' D2 U'
L R2 B F' R' F U'
L R2 B F2 R' F2 U'
B2 L2 U2 F' L' R' U
B2 L2 U2 F' R' L' U
L R2 B' R B2 R' U'
L R2 B' R' B2 R' U'
L R2 B' R2 B2 R' U'
L R2 B2 R B' R' U'
L R2 B2 R' B' R' U'
L R2 B2 R2 B' R' U'
L R2 B2 D B' R' U'
L R2 B2 D' B' R' U'
L R2 B2 D2 B' R' U'
F' L2 B' L U D F2
F' L2 B' L U2 L2 U'
F' L2 B' L D U F2
F' L2 B' L D2 R2 U
L U R2 U' B R' U'
D' R L U F' U2 L'
D R L U' B L B2
D R L B2 U' B L
B' R U2 L F R U
R2 U' L B R' U' R
D R' L U' D B' L
D R' L D U' B' L
L U' B' U' L F' U
L U' B' U' F' L U
D' R' D2 L B' U' B2
B R' B' D2 L B' U'
L U2 D L F' U B'
L U2 D F' L U B'
D2 R2 L D2 B R' U'
D' R2 L B R U' B
U' R2 L B R' U' R'
D R2 L U' B' D L2
D R2 L D B U' B2
D R2 L D' B U' B2
D R2 L D2 B U' B2
D R2 L B R U' B2
D R2 L B R' U' B2
D R2 L B R2 U' B2
D R2 L B U' B2 D
D R2 L B U' B2 D'
D R2 L B U' B2 D2
D R2 L B D' R2 U'
L U2 D2 F L' F2 U
L U2 D2 F' U2 R U'
D R2 L' B L2 U' B'
D R2 L2 B L' U' B'
L U2 F' D L U B'
L U2 F' B' L B U
U R2 U' L B R' U'
L U2 F2 D2 F L' U
U2 R2 U2 L B R' U'
L U2 B' L F' B U
L U2 B' L B F' U
D2 R2 D' L B U' B2
R' D L R U' B' L
R' D L R' U' B' L
R' D L R2 U' B' L
L U2 B' F' L B U
R' D L U' B' L D
R' D L U' B' L D'
R' D L U' B' L D2
R' D L U' B' D L
R' D L U' B' D' L
R' D L U' B' D2 L
D R2 D' L B R' U'
D2 R2 D2 L B R' U'
R' D L B U' B2 L
R2 D L U' B' D L2
B R2 D' B R U' F'
R2 D L D B U' B2
R2 D L D' B U' B2
R D L R B U' B2
R2 D L D2 B U' B2
R2 D L B R U' B2
R2 D L B R' U' B2
R2 D L B R2 U' B2
R D L U' B L B2
R2 D L B U' B2 D
R2 D L B U' B2 D'
R2 D L B U' B2 D2
R2 D L B D' R2 U'
R D L B2 U' B L
R2 D L' B L2 U' B'
R' D R L U' B' L
R2 D L2 B L' U' B'
R' D R' L U' B' L
R D R L B U' B2
L D R U' B L B'
R' D R2 L U' B' L
B' R2 B D L U' B'
B2 R2 B U2 L R U
B2 R2 B U2 R L U
B R2 B R U' D' F2
B R2 B R U2 R2 U
B R2 B R D' U' F2
B R2 B R D2 L2 U'
B R2 B' L R B2 U'
B R2 B' L B2 R U'
B R2 B' R L B2 U'
L D R2 D' B R' U'
B' R2 B2 R' B' L U'
L D U2 L F' U B'
L D U2 F' L U B'
R' D B' U' L F B'
R' D B' U' L B' F
R2 D' L R' U' B L
U2 D F' U2 L U' B'
R2 D' L D B R' U'
R2 D' L B R' U' B
L D' R U F' U2 L'
R2 D' R' L U' B L
L D' R2 B R U' B
R2 D2 L D2 B R' U'
L D2 R2 D2 B R' U'
B' U2 L F R F2 U
B' U2 L F' U2 L' U'
B2 U2 L F' L' R' U
B2 U2 L F' R' L' U
B2 U2 L' F' L' R' U
B2 U2 L' F' R' L' U
L D2 U2 F L' F2 U
L D2 U2 F' U2 R U'
D2 U2 F' U2 L R U'
D2 U2 F' U2 R L U'
B2 U2 L2 F' L' R' U
B2 U2 L2 F' R' L' U
U2 D2 F' U2 L R U'
U2 D2 F' U2 R L U'
D U2 F' U2 L U' B'
F' U2 D F L U' B'
B2 U2 D F' L' R' U
B2 U2 D F' R' L' U
B2 U2 D' F' L' R' U
B2 U2 D' F' R' L' U
B2 U2 D2 F' L' R' U
B2 U2 D2 F' R' L' U
B' U2 F L R F2 U
R2 F L F' B R' U'
B' U2 F R L F2 U
B' U2 F R F2 L U
R2 F L B F' R' U'
F' U2 F D L U' B'
B' U2 F' L U D F2
B' U2 F' L U2 L2 U'
B' U2 F' L D U F2
B' U2 F' L D2 R2 U
B2 U2 F' L' R' U D
B2 U2 F' L' R' U D'
B2 U2 F' L' R' U D2
B2 U2 F' L' R' D U
B2 U2 F' L' R' D' U
B2 U2 F' L' R' D2 U
B2 U2 F' L' D R' U
B2 U2 F' L' D' R' U
B2 U2 F' L' D2 R' U
B2 U2 F' R' L' U D
B2 U2 F' R' L' U D'
B2 U2 F' R' L' U D2
B2 U2 F' R' L' D U
B2 U2 F' R' L' D' U
B2 U2 F' R' L' D2 U
B2 U2 F' R' D L' U
B2 U2 F' R' D' L' U
B2 U2 F' R' D2 L' U
B2 U2 F' D L' R' U
B2 U2 F' D R' L' U
B2 U2 F' D' L' R' U
B2 U2 F' D' R' L' U
B2 U2 F' D2 L' R' U
B2 U2 F' D2 R' L' U
B2 U2 F2 R' F L' U
L F D2 F' R B2 U'
L F D2 F' B2 R U'
L F D2 B2 F' R U'
F' D U2 F L U' B'
B2 D U2 F' L' R' U
B2 D U2 F' R' L' U
D2 F' U2 R F L U'
U2 F' U2 D L U' B'
D F' U2 F L U' B'
U2 F' D U2 L U' B'
U' F' B2 R' U R B
B2 D' U2 F' L' R' U
B2 D' U2 F' R' L' U
R2 F2 L F2 B R' U'
R2 F2 L B R' F2 U'
R2 F2 L B F2 R' U'
F D2 L F' R B2 U'
F D2 L F' B2 R U'
F D2 L B2 F' R U'
B2 D2 U2 F' L' R' U
B2 D2 U2 F' R' L' U
L2 B L' R2 B R U'
L' B L2 R2 B R U'
F2 D2 F B2 L' R' U
F2 D2 F B2 R' L' U
F D2 F' L R B2 U'
F D2 F' L B2 R U'
F D2 F' R L B2 U'
R' B R' B U2 R' U
R' B R' B' L B2 U'
L' B R2 L2 B R U'
R2 B R' D L' U' F
L2 B R2 L' B R U'
L' B R2 B L2 R U'
L' B R2 B R L2 U'
R2 B R' B' L B U'
L B R' D B' U' L
L2 B R2 B L' R U'
L2 B R2 B R L' U'
R2 B R2 D' R U' F'
F2 D2 B2 R' F L' U
L B R2 D B R U'
L B R2 D' B R U'
L B R2 D2 B R U'
L B R2 B R U' D
L B R2 B R U' D'
L B R2 B R U' D2
L B R2 B R D U'
L B R2 B R D' U'
L B R2 B R D2 U'
F2 D2 B2 F L' R' U
F2 D2 B2 F R' L' U
L B R2 B D R U'
L B R2 B D' R U'
L B R2 B D2 R U'
L B R2 B' R B2 U'
L B R2 B2 R B' U'
R2 B D L' R' U' F
R2 B D R' L' U' F
L B U2 F' U2 R' U'
L B D R2 B R U'
R2 B D' R' U B U2
L B D' R2 B R U'
L B D2 R2 B R U'
L2 B' L' U2 L2 F' U
L2 B' L' U2 F' L2 U
L2 B' L' D2 R2 B U'
L' B' L2 U2 L' F' U
L B' R U2 L F U
U' B' U' L F' U F2
L B' R' B2 R' B U'
U' B' U' F' L U F
D B' R2 B L U' B'
B' F' L2 B' L' R' U
B' F' L2 B' R' L' U
L B' R2 B2 R' B' U'
F' B' L2 B' L' R' U
F' B' L2 B' R' L' U
B2 F' R' U2 F R U'
L B' U2 L D F' U
L B' U2 L D' F' U
L B' U2 L D2 F' U
L B' U2 L F' U D
L B' U2 L F' U D'
L B' U2 L F' U D2
L B' U2 L F' D U
L B' U2 L F' D' U
L B' U2 L F' D2 U
L B' U2 L' F' L2 U
L B' U2 D L F' U
L B' U2 D F' L U
L B' U2 D' L F' U
L B' U2 D' F' L U
L B' U2 D2 L F' U
R B' U2 L F R U
L B' U2 D2 F' L U
L B' U2 F L F2 U
L B' U2 F' L U D
L B' U2 F' L U D'
L B' U2 F' L U D2
L B' U2 F' L D U
L B' U2 F' L D' U
L B' U2 F' L D2 U
L B' U2 F' D L U
L B' U2 F' D' L U
L B' U2 F' D2 L U
L B' D U2 L F' U
L B' D U2 F' L U
L B' D' U2 L F' U
L B' D' U2 F' L U
L B' D2 U2 L F' U
L B' D2 U2 F' L U
L2 B2 L' U2 F' L' U
L' B2 L2 U2 F' L' U
F' B2 R' U2 F R U'
L B2 R' B' R' B U'
L B2 R2 B U2 L U
L B2 R2 B' R' B2 U'
D' B2 U2 F' R' U B
L B2 U2 L F' L' U
L B2 U2 L' F' L' U
L B2 U2 L2 F' L' U
L B2 U2 D F' L' U
L B2 U2 D' F' L' U
L B2 U2 D2 F' L' U
L B2 U2 F' L' U D
L B2 U2 F' L' U D'
L B2 U2 F' L' U D2
L B2 U2 F' L' D U
L B2 U2 F' L' D' U
L B2 U2 F' L' D2 U
L B2 U2 F' D L' U
L B2 U2 F' D' L' U
L B2 U2 F' D2 L' U
L B2 D U2 F' L' U
U' B2 F' R' U R B
L B2 D' U2 F' L' U
L B2 D2 U2 F' L' U
