L' R' D B2 L R'
L' R' D B2 R' L
R' L' D B2 L R'
R' L' D B2 R' L
U R U R U2 R'
R2 U' R' U2 R U
F2 R2 U L' U F2
U2 R2 U' R' U' R'
R' D L' B2 L R'
R' D L' B2 R' L
U' D R B2 L U'
U' D R B2 L U'
R' D' R' F2 U2 F2
R' D' R' F2 U2 F2
R' D' F2 R' U2 F2
D U' R B2 L U'
R2 F' U' R' U' F
R2 F2 U' R' U' F2
L' B2 R' D B2 L
D' L2 F2 L' U F2 R
L U R U L' R U2
L U R U R L' U2
L2 U R D F2 U' L'
L U R F2 U' L' R
L U R F2 U' R L'
R' U R2 U R U2 R'
L' U D R B2 U' R'
L2 U D R F2 B2 U'
L2 U D R B2 F2 U'
L' U D B2 R U' R2
L2 U D B2 R F2 U'
L2 U D2 R U' L2 R
L2 U D2 R U' R L2
D2 R L2 D2 R2 D B2
U' R U R U R2 U
U' R U R U2 D' F2
U' R U R D B2 U2
U' R U R D' U2 F2
F2 R U L' U F2 L'
U R U L R U2 R'
U R U L' R U2 R'
U R U L2 R U2 R'
U R U R L U2 R'
U R U R L' U2 R'
U R U R L2 U2 R'
U R U R U2 R' D
U R U R U2 R' D'
U R U R U2 R' D2
U R U R U2 D R'
U R U R U2 D' R'
U R U R U2 D2 R'
U R U R D U2 R'
U R U R D' U2 R'
U R U R D2 U2 R'
U R U D R U2 R'
U R U D' R U2 R'
U R U D2 R U2 R'
U' R U2 R' U D2 L2
U' R U2 R' U' R2 U2
U' R U2 R' D' F2 U
U' R U2 R' D2 U L2
U' R U2 F2 R' U L'
F R D R F' B U2
F R D R B F' U2
U R D U R U2 R'
R2 U' L R' U2 R U
U R D' U R U2 R'
R2 U' L' R' U2 R U
U R D2 U R U2 R'
R2 U' L2 R' U2 R U
R2 U' R' L U2 R U
R2 U' R' L' U2 R U
R2 U' R' L2 U2 R U
R2 U' R' U2 R U D
R2 U' R' U2 R U D'
R2 U' R' U2 R U D2
R2 U' R' U2 R D U
R2 U' R' U2 R D' U
R2 U' R' U2 R D2 U
R2 U' R' U2 D R U
R2 U' R' U2 D' R U
R2 U' R' U2 D2 R U
R2 U' R' D U2 R U
U' R B U R B U2
R2 U' R' D' U2 R U
R2 U' R' D2 U2 R U
R' U' R2 U' D' F2 L'
R2 U' R' F2 L' F2 U'
R' U' R2 D' U' F2 L'
R2 U' R2 D' R U' F2
R2 U' R2 D2 L2 R U'
R2 U' R2 D2 R L2 U'
U' R B2 L U R U2
R2 U' D R' U2 R U
R2 U' D' R' U2 R U
L2 U' D' F2 L' B2 U
L2 U' D' F2 B2 L' U
L2 U' D' B2 F2 L' U
L U' D' F2 L' U R
U R B2 D2 F2 U' L'
D R' L D L2 B2 R'
R2 U' D2 R' U2 R U
D2 R' L' D B2 L' R'
D2 R' L' D B2 R' L'
B' R' L' D B2 L R'
B' R' L' D B2 R' L
B2 R' L' D B2 L R'
B2 R' L' D B2 R' L
D R' L' D B2 L2 R'
D R' L' D B2 R' L2
B R' L' D B2 L R'
B R' L' D B2 R' L
D2 R' L2 D B2 D R2
D2 R' L2 D2 R2 D' B2
R2 U' F2 R' F2 L' U'
U2 R' U2 D B2 L R
U2 R' U2 D B2 R L
B' R' D L' B2 L R'
B' R' D L' B2 R' L
B2 R' D L' B2 L R'
B2 R' D L' B2 R' L
U2 R' D R' U2 R2 B2
U2 R' D R' U2 B2 R2
D R' D L' B2 L' R'
D R' D L' B2 R' L'
B R' D L' B2 L R'
B R' D L' B2 R' L
D R' D L2 B2 D2 R2
U2 R' D U2 B2 L R
U2 R' D U2 B2 R L
D' R' D' L2 D2 R2 B2
D' R' D' L2 D2 B2 R2
B' R' D' R' F2 U2 F2
D R' D B2 L2 D2 R2
L' U2 L R2 U' R' U'
B2 R' D' R' F2 U2 F2
D' R' D' F2 U2 L2 F2
D' R' D' F2 U2 F2 L2
U2 R' D' R' F2 U2 R2
B' R' D' F2 R' U2 F2
B R' D' R' F2 U2 F2
D R' D' R2 F2 U2 F2
B2 R' D' F2 R' U2 F2
U2 R' D' F2 L' R' U2
U2 R' D' F2 R' L' U2
D R' D' F2 R2 U2 F2
B R' D' F2 R' U2 F2
L U2 L' R2 U' R' U'
L2 U2 L2 R2 U' R' U'
R' U2 R' U' R' U' R2
R' U2 R' U2 R D B2
L' U2 R2 L U' R' U'
L2 U2 R2 L2 U' R' U'
L U2 R2 L' U' R' U'
R' U2 D R' U2 R B2
R' U2 D R' U2 B2 R
R' U2 D B2 L D2 F2
R' U2 D B2 D2 L F2
R' U2 D B2 D2 F2 L
R' U2 D' R' F2 L' U2
R' U2 D' F2 R' U2 R
U2 R2 L U' R' U' R'
U2 R2 L' U' R' U' R'
U2 R2 L2 U' R' U' R'
F2 R2 U L' R U F2
F2 R2 U L' R' U F2
F2 R2 U L' R2 U F2
F2 R2 U L' U F2 D
F2 R2 U L' U F2 D'
F2 R2 U L' U F2 D2
F2 R2 U L' D R2 U
F2 R2 U R L' U F2
F2 R2 U R' L' U F2
F2 R2 U R2 L' U F2
F2 R2 U D L' R2 U
F2 R2 U D R2 L' U
U2 R2 U D B2 L U
F' R2 U' R U' F B
F' R2 U' R U' B F
B' R2 U' R' U2 R U
U2 R2 U B2 L U R2
B2 R2 U' R' U2 R U
U2 R2 U' R' U' R' D
U2 R2 U' R' U' R' D'
U2 R2 U' R' U' R' D2
U2 R2 U' R' U' D R'
U2 R2 U' R' U' D' R'
U2 R2 U' R' U' D2 R'
U2 R2 U' R' D U' R'
U2 R2 U' R' D' U' R'
U2 R2 U' R' D2 U' R'
U2 R2 U' R' F U' R'
U2 R2 U' R' F' U' R'
U2 R2 U' R' F2 U' R'
U2 R2 U' D' R' F2 U'
U2 R2 U' D' F2 R' U'
B R2 U' R' U2 R U
U2 R2 U' F R' U' R'
U2 R2 U' F' R' U' R'
U2 R2 U' F2 R' U' R'
U2 R2 U2 R D R B2
U2 R2 U2 R D B2 R
U2 R2 U2 R2 U R U'
F2 R2 U2 F2 U R U'
F2 R2 D U L' R2 U
F2 R2 D U R2 L' U
U2 R2 D U B2 L U
U' R2 D' R' U' F2 L'
U2 R2 D' U' R' F2 U'
U2 R2 D' U' F2 R' U'
R' D L B2 L D2 R2
U2 R2 D2 L2 U' R' U'
R' D L' B2 L R' D
R' D L' B2 L R' D'
R' D L' B2 L R' D2
R' D L' B2 L D R'
R' D L' B2 L D' R'
R' D L' B2 L D2 R'
R' D L' B2 R' L D
R' D L' B2 R' L D'
R' D L' B2 R' L D2
R' D L' B2 R' D L
R' D L' B2 R' D' L
R' D L' B2 R' D2 L
R' D L' B2 D L R'
R' D L' B2 D R' L
R' D L' B2 D' L R'
R' D L' B2 D' R' L
R' D L' B2 D2 L R'
R' D L' B2 D2 R' L
F2 R2 D2 B2 U L' U
F R2 D2 B U' R' U'
U2 R2 F U' R' U' R'
R' D L2 B2 D2 L R2
R' D L2 B2 D2 R2 L
F' R2 F' U L' U F2
B' R2 F' U' R' U' F
B2 R2 F' U' R' U' F
F R2 F B U L' U
U2 R2 F' U' R' U' R'
B R2 F' U' R' U' F
B' R2 F2 U' R' U' F2
R' D R' U2 B2 D2 F2
B2 R2 F2 U' R' U' F2
L2 D R F2 B2 U' F2
R' D R' D2 F2 U2 F2
R' D R' F U2 F' B2
R' D R' F U2 B2 F'
F R2 F' B U' R U'
U2 R2 F2 U' R' U' R'
R' D R' F' U2 F B2
R' D R' F' U2 B2 F
L' D R' D B2 L2 R'
L' D R' D B2 R' L2
L2 D R B2 F2 U' F2
R' D R' F2 U2 F2 B2
R' D R' F2 U2 B2 F2
B R2 F2 U' R' U' F2
L2 D R' D L2 R2 B2
L2 D R' D L2 B2 R2
L2 D R' D R2 L2 B2
L2 D R' D R2 B2 L2
L2 D R' D B2 L2 R2
L2 D R' D B2 R2 L2
F2 R2 B U L' U F2
L D R' D L2 B2 R'
F2 R2 B' U L' U F2
L' D U R B2 U' R'
F R2 B F U L' U
F R2 B F' U' R U'
L2 D U R F2 B2 U'
L' D U B2 R U' R2
L2 D U R B2 F2 U'
F2 R2 B2 U L' U F2
L2 D U B2 R F2 U'
U' D L R B2 L U'
R' D U2 R' U2 R B2
R' D U2 R' U2 B2 R
R2 D U' R' U2 R U
D' U L F2 L' R U
D' U L F2 R L' U
R' D U2 B2 L D2 F2
R' D U2 B2 D2 L F2
R' D U2 B2 D2 F2 L
U' D L' R B2 L U'
F2 U L' R U F2 L'
R' D F U2 F' B2 L
R' D F U2 B2 L F'
R' D F U2 B2 F' L
F2 U L' U F2 D2 L2
F2 U L' U' R2 U2 F2
U' D L2 R B2 L U'
R' D F' R' U2 F B2
R' D F' R' U2 B2 F
R' D F' U2 F B2 L
R' D F' U2 B2 F L
U' D R L B2 L U'
R' D F2 R' U2 F2 B2
R' D F2 R' U2 B2 F2
U' D R L' B2 L U'
U' D R L2 B2 L U'
B' U R U R U2 R'
D2 U R U' L2 D2 R2
R2 D F' U' R' U' F
F2 U R L' U F2 L'
R' D F2 U2 F2 B2 L
R' D F2 U2 B2 L F2
R' D F2 U2 B2 F2 L
B2 U R U R U2 R'
R' D F2 B2 L F2 R
U' D R B2 L U' D
U' D R B2 L U' D'
U' D R B2 L U' D2
U' D R B2 L D U'
U' D R B2 L D' U'
U' D R B2 L D2 U'
U' D R B2 D L U'
U' D R B2 D' L U'
U' D R B2 D2 L U'
B U R U R U2 R'
R2 D F2 U' R' U' F2
D U R B2 U' D' R2
D U R B2 U2 B2 U
D U R B2 D' U' R2
D U R B2 D2 F2 U'
U D R B2 U' D' R2
U D R B2 U2 B2 U
U D R B2 D' U' R2
U D R B2 D2 F2 U'
R' D B2 L U2 L' U2
R' D B2 L F2 R F2
R' D B2 L2 D2 L' R2
R' D B2 L2 D2 R2 L'
R' D B2 F2 L F2 R
L2 D B2 R F2 U' F2
F2 U D' L' F2 R U
D' U F2 L' U2 L U'
R' D' L' D2 B2 L R'
R' D' L' D2 B2 R' L
R' D' L2 D2 B2 L R2
R' D' L2 D2 B2 R2 L
R' D' R F2 R2 U2 F2
U' D B2 R U2 R' U
R' D' R' F2 U2 F2 D
R' D' R' F2 U2 F2 D'
R' D' R' F2 U2 F2 D2
R' D' R' F2 D2 B2 U2
R' D' R' F2 B U2 F2
R' D' R' F2 B' U2 F2
R' D' R' F2 B2 U2 F2
R' D' R' B F2 U2 F2
R' D' R' B' F2 U2 F2
R' D' R' B2 F2 U2 F2
D U B2 R U' D' R2
D U B2 R U2 B2 U
D U B2 R D' U' R2
D U B2 R D2 F2 U'
R' D' R2 F2 U2 L' F2
U D B2 R U' D' R2
U D B2 R U2 B2 U
U D B2 R D' U' R2
U D B2 R D2 F2 U'
D U B2 D' R U' R
D U B2 D2 R F2 U'
D U' L R B2 L U'
U D B2 D' R U' R
U D B2 D2 R F2 U'
D U' L' R B2 L U'
U D' L F2 L' R U
U D' L F2 R L' U
R' D' U2 R' F2 L' U2
R2 D' U' R' U2 R U
L2 D' U' F2 L' B2 U
R' D' U2 F2 R' U2 R
L2 D' U' F2 B2 L' U
D U' L2 R B2 L U'
U' D' R U2 R' F2 U
D' U' R U2 R' F2 U
U' D' R U2 F2 R' U
L2 D' U' B2 F2 L' U
D' U' R U2 F2 R' U
D2 U' R U2 R' U L2
D' U' R D2 B2 L U'
U' D' R D2 B2 L U'
D2 U' R D' B2 L U'
L D' U' F2 L' U R
D2 U' R B2 L U' L
D U' R L B2 L U'
D U' R L' B2 L U'
D U' R L2 B2 L U'
D U' R B2 L U' D
D U' R B2 L U' D'
D U' R B2 L U' D2
D U' R B2 L D U'
D U' R B2 L D' U'
D U' R B2 L D2 U'
D U' R B2 D L U'
D U' R B2 D' L U'
D U' R B2 D2 L U'
R' D' F2 R' U2 F2 D
R' D' F2 R' U2 F2 D'
R' D' F2 R' U2 F2 D2
R' D' F2 R' D2 B2 U2
R' D' F2 R' B U2 F2
R' D' F2 R' B' U2 F2
R' D' F2 R' B2 U2 F2
R' D' F2 R2 U2 F2 L'
R2 D' F' U' R' U' F
R' D' F2 D2 R' B2 U2
R' D' F2 D2 B2 U2 L
L2 D' F2 L' B2 U F2
R' D' F2 B2 U2 L F2
R' D' F2 B2 U2 F2 L
R2 D' F2 U' R' U' F2
L2 D' F2 B2 L' U F2
L D' F2 L' U R F2
U' D' F2 L' U D R2
D' U' F2 L' U D R2
U' D' F2 L' U2 F2 U'
U' D' F2 L' D U R2
D' U' F2 L' U2 F2 U'
D' U' F2 L' D U R2
U' D' F2 L' D2 B2 U
D' U' F2 L' D2 B2 U
D' U' F2 U2 F2 R U'
U' D' F2 U2 F2 R U'
D' U' F2 D L' U R2
U' D' F2 D L' U R2
D' U' F2 D2 L' B2 U
U' D' F2 D2 L' B2 U
D' U' F2 D2 B2 L' U
U' D' F2 D2 B2 L' U
B' U' D R B2 L U'
B2 U' D R B2 L U'
R' D' B2 F2 U2 L F2
R' D' B2 F2 U2 F2 L
U D' F2 L' U2 L U'
B U' D R B2 L U'
L2 D' B2 F2 L' U F2
L2 D2 L2 R' D R' B2
L2 D2 L2 R2 U R' U'
L2 D2 L2 U R U' R
D U' B2 R U2 R' U
L D2 L2 R' D B2 R'
R' D2 R' D F2 U2 F2
L D2 L2 B2 R' D B2
L2 D2 R' L2 D R' B2
U' D2 R U2 R' U L2
L2 D2 R2 L2 U R' U'
U' D2 R D' B2 L U'
L D2 R' L2 D B2 R'
L2 D2 R2 U R' U' L2
U' D2 R B2 L U' L
L2 D2 U R U' L2 R
L2 D2 U R U' R L2
U D2 R U' L2 D2 R2
R2 D2 U' R' U2 R U
R2 D2 F' U' R' U' F
R2 D2 F2 U' R' U' F2
B' U2 R2 U' R' U' R'
B2 U2 R2 U' R' U' R'
L' D2 B2 L2 R' D B2
L' D2 B2 R' L2 D B2
B U2 R2 U' R' U' R'
D' F U F L' U F2
R' F U2 D F' B2 L
R' F U2 D B2 L F'
R' F U2 D B2 F' L
R' F U2 F' D B2 L
R' F D U2 F' B2 L
R' F D U2 B2 L F'
R' F D U2 B2 F' L
R2 F U2 F' U R' U'
R' F D' F2 R' U2 F
B' D U' R B2 L U'
B2 D U' R B2 L U'
R2 F B2 U L U F'
B D U' R B2 L U'
R' F' R' U' R' U' F
R' F' U2 D F B2 L
R' F' U2 D B2 F L
R2 F' U' R' U' D F
R2 F' U' R' U' D' F
R2 F' U' R' U' D2 F
R2 F' U' R' U' F D
R2 F' U' R' U' F D'
R2 F' U' R' U' F D2
R2 F' U' R' D U' F
R2 F' U' R' D' U' F
R2 F' U' R' D2 U' F
R' F' U2 F D B2 L
R2 F' U' D R' U' F
R2 F' U' D' R' U' F
R2 F' U' D2 R' U' F
R' F' D R' U2 F B2
R' F' D R' U2 B2 F
R' F' D U2 F B2 L
R' F' D U2 B2 F L
R2 F' U2 F U R' U'
R' F' D' R' F2 U2 F'
R2 F' D U' R' U' F
R2 F' D' U' R' U' F
R2 F' D2 U' R' U' F
F2 D' U L' F2 R U
D' F2 L' U' L U2 F2
U' F2 L' D2 B2 U L2
D' F2 L' B2 U R' F2
D' F2 L' B2 U F2 R'
R F2 L U' F2 L2 R
R F2 L U' F2 R L2
L F2 L' U R F2 L'
R' F2 R' U' R' U' F2
U2 F2 R2 U L' U R2
D2 F2 U L' U L' F2
D' F2 U L' U L F2
D' F2 U L' U F2 L
R' F2 U' R2 U' F2 L'
R2 F2 U' L R' U' F2
R2 F2 U' L' R' U' F2
R2 F2 U' L2 R' U' F2
R2 F2 U' R' L U' F2
R2 F2 U' R' L' U' F2
R2 F2 U' R' L2 U' F2
R2 F2 U' R' U' F2 D
R2 F2 U' R' U' F2 D'
R2 F2 U' R' U' F2 D2
R2 F2 U' R' D' L2 U'
R' F2 U2 F2 D B2 L
R2 F2 U' D' L2 R' U'
R2 F2 U' D' R' L2 U'
R F2 U' L' F2 D R2
U' F2 D' L' F2 U R
R2 F2 U2 F2 U R' U'
U' F2 D2 L' B2 U L'
U' F2 D2 B2 L' U L'
R2 F2 D' U' L2 R' U'
R2 F2 D' U' R' L2 U'
R2 F2 D2 B2 U L U
R2 F2 B2 U L U F2
F2 D2 B2 U L' U L'
U' B D R B2 L U'
F2 B R2 U L' U F2
U' B' D R B2 L U'
F2 B' R2 U L' U F2
L' B2 L R' D B2 L
L' B2 L' R' D B2 L
L' B2 L2 R' D B2 L
L' B2 R' L D B2 L
L' B2 R' L' D B2 L
L' B2 R' L2 D B2 L
L' B2 R' D L B2 L
L' B2 R' D L' B2 L
L' B2 R' D L2 B2 L
L' B2 R' D B2 L D
L' B2 R' D B2 L D'
L' B2 R' D B2 L D2
L' B2 R' D B2 D L
L' B2 R' D B2 D' L
L' B2 R' D B2 D2 L
L' B2 R' B2 L D B2
L' B2 R' B2 D L B2
U B2 R D2 F2 U' L'
B' F2 R2 U L' U F2
R2 B2 U L U2 L' U'
B2 F2 R2 U L' U F2
F2 B2 R2 U L' U F2
U' B2 D R B2 L U'
R' B2 D L' B2 L2 R'
R' B2 D L' B2 R' L2
B F2 R2 U L' U F2
L' B2 D R' D L2 B2
L' B2 D R' D B2 L2
R' B2 D' F2 U2 L F2
R' B2 D' F2 U2 F2 L
L' B2 D2 L2 R' D B2
L' B2 D2 R' L2 D B2
U B2 D2 R F2 U' L2
R2 B2 F U L U F'
R2 B2 F2 U L U F2
