B' L2 F' U' F2 R
B' L2 F2 U' F' R
B2 U' B U' B' R'
D2 F B' U' R F
D F B' L2 U' R
F D B' L2 U' R
F' D2 B' U' F2 R
F D2 B' U' R F2
B' F L2 U' R F
B' F U B' U2 R
D B' L2 F U' R
F B' L2 U' R F
F' B' U B' L' U2
B' F' U B' L' U2
D2 B' F U' R F
D B' F L2 U' R
F B' U B' U2 R
D B' F L2 U' R D'
D B' F L2 U' R D2
D B' F L2 U' D R
D B' F L2 U' D' R
D B' F L2 U' D2 R
D B' F L2 D U' R
D B' F L2 D' U' R
D B' F L2 D2 U' R
F B' U B' L U2 R
F B' U B' L' U2 R
F B' U B' L2 U2 R
F B' U B' U2 R D
F B' U B' U2 R D'
F B' U B' U2 R D2
F B' U B' U2 D R
F B' U B' U2 D' R
F B' U B' U2 D2 R
F B' U B' D U2 R
F B' U B' D' U2 R
F B' U B' D2 U2 R
D B' F U' R D F2
D B' F U' D R F2
F B' U' L2 R F L2
D B' F D U' R F2
F B' U' R L2 F L2
F B' U' R U2 B' U2
B' F' D U B' L' U2
D B' F' L2 U L U2
F' B' D U B' L' U2
D B' F' U' D F2 R
D B' F' D U' F2 R
B' F' D' U B' L' U2
D B' F2 L2 F' U' R
F' B' D' U B' L' U2
F2 B' D' L2 U' F R
F B' D L2 U' R F
B' F' D2 U B' L' U2
F B' D U B' U2 R
F' B' D2 U B' L' U2
U B2 L U' F B U'
U B2 L U' B F U'
F2 B' D2 U B' L U2
F B' D' L2 U' R F
F B' D' U B' U2 R
F B' D2 L2 U' R F
F B' D2 U B' U2 R
F' B2 L' U' B U' B'
D B2 L2 F B U' R
D B2 L2 B F U' R
B' F2 L2 U' F' R F2
B' F2 L2 F' U' R F2
B' F2 U D2 B' L U2
U B2 U' F B U' R
U B2 U' B F U' R
B' F2 D' L2 U' F R
F B2 U' B U' R B'
F B2 U' B U' B' R
B' F2 D2 U B' L U2
D B2 F L2 B U' R
