L D' B2 R' U L
D2 R' L' U R' L2 U
D R' L' U L2 U F2
D R' L' U2 F2 D' B2
D' R' L' B2 U L2 U
D' R' L' B2 U2 D' B2
D' R' L' B2 D F2 U2
D' R' L' B2 D' U2 B2
B2 R' L2 U L U2 L2
B2 R' L2 U' L' D2 R2
B2 R' L2 B2 U' L' R'
B2 R' L2 B2 U' R' L'
B2 R' U' D F2 L R
B2 R' U' D F2 R L
B2 R' D U' F2 L R
B2 R' D U' F2 R L
L2 U' B2 L R' D' B2
L2 U' B2 L D' R' B2
L2 U' B2 R' L D' B2
L U2 L U L R' U2
L U2 L U R' L U2
L2 U2 L' U' L2 R' U2
L2 U2 L' U' R' L2 U2
L U2 L B2 U' L R'
L U2 L B2 U' R' L
L2 U2 L' D' B2 U L
B2 R' F2 L2 U' L' R
B2 R' F2 L2 U' R L'
D' R' B2 L' U' R' U'
D2 R2 L U' L2 R U2
D2 R2 L U' R L2 U2
L' U2 D' B2 L D F2
L2 U2 B2 L' U L2 R'
L2 U2 B2 L' U R' L2
R' D L' U L2 U F2
R' D L' U2 F2 D' B2
D2 R2 F2 L U L2 R
D2 R2 F2 L U R L2
D R2 F2 L' R D' B2
D R2 F2 L' D' R B2
D R2 F2 L' D' B2 R
D R2 F2 R L' D' B2
L' D R' F2 U R U
L' D F2 R' U R2 U
L' D F2 R' U2 D' F2
L' D F2 R' D B2 U2
L' D F2 R' D' U2 F2
R2 D F2 L' R D' B2
R2 D F2 L' D' R B2
R2 D F2 L' D' B2 R
R2 D F2 R L' D' B2
R D B2 R' U' F2 R
L' D' L' U' B2 L R'
L' D' L' U' B2 R' L
R' D' L' B2 U L2 U
R' D' L' B2 U2 D' B2
R' D' L' B2 D F2 U2
R' D' L' B2 D' U2 B2
L' D' R' U' L' U' B2
L' D' U' L' U' B2 L
L' D' U2 B2 L D F2
L D' F B2 R' U L
L D' F' B2 R' U L
L D' F2 B2 R' U L
R' D' B2 L' U' R' U'
L' D' B2 L D F2 R
L D' B2 R' U L D
L D' B2 R' U L D'
L D' B2 R' U L D2
L D' B2 R' U D L
L D' B2 R' U D' L
L D' B2 R' U D2 L
L D' B2 R' D U L
L D' B2 R' D' U L
L D' B2 R' D2 U L
L D' B2 R' F U L
L D' B2 R' F' U L
L D' B2 R' F2 U L
R' D2 L' U L2 R2 U
R' D2 L' U R2 L2 U
R' D2 L' U2 D' F2 B2
R' D2 L' U2 D' B2 F2
L D' B2 D R' U L
R' D2 L' D F2 B2 U2
R' D2 L' D B2 F2 U2
L D' B2 D' R' U L
R' D2 L' D' U2 F2 B2
R' D2 L' D' U2 B2 F2
L D' B2 D2 R' U L
L D' B2 F R' U L
L D' B2 F' R' U L
L D' B2 F2 R' U L
L' D2 R' U' L' R' U'
L' D2 R' U' R' L' U'
L D2 B2 R' U L R'
L D2 B2 R' U R' L
L2 F U L R' F U2
L2 F U L F R' U2
L2 F U R' L F U2
B2 D R' U' F2 L R
B2 D R' U' F2 R L
L F D' B2 R' U L
B2 D F2 L R D B2
B2 D F2 R L D B2
B2 D F2 R D L B2
B D F2 R B L B'
B D F2 B L R B'
B D F2 B L B' R
B D F2 B R L B'
B D B F2 L R B'
B D B F2 L B' R
B D B F2 R L B'
L' F' D R' F2 B U2
L' F' D R' B F2 U2
L' F' D F2 R' B U2
L F' D' B2 R' U L
D F2 L' D' B2 L R
D F2 L' D' B2 R L
L2 F2 R U L R2 U2
L2 F2 R U R2 L U2
L2 F2 R D B2 U' R'
L' F2 R' U L2 R2 U
L' F2 R' U R2 L2 U
L' F2 R' U2 D' F2 B2
L' F2 R' U2 D' B2 F2
L' F2 R' D F2 B2 U2
L' F2 R' D B2 F2 U2
L' F2 R' D' U2 F2 B2
L' F2 R' D' U2 B2 F2
L F2 D' B2 R' U L
L2 F2 B2 R U' L R2
L2 F2 B2 R U' R2 L
D F2 B2 L R D B2
D F2 B2 R L D B2
D F2 B2 R D L B2
R' B D L' F U2 F
R' B' L' U' L' U' B'
R' B2 L' U' L' R' U'
R' B2 L' U' R' L' U'
D' B2 L' U' R' U' L2
B2 F2 L2 R' U' L' R2
B2 F2 L2 R' U' R2 L'
F2 B2 L2 R' U' L' R2
F2 B2 L2 R' U' R2 L'
D B2 R' U' F2 L R
D B2 R' U' F2 R L
B2 F2 R D L F2 B2
B2 F2 R D L B2 F2
B2 F2 R D F2 L B2
L B2 R' U D2 L R2
L B2 R' U D2 R2 L
F2 B2 R D L F2 B2
F2 B2 R D L B2 F2
L B2 R' U' L2 U2 L'
F2 B2 R D F2 L B2
L B2 R' D2 U L R2
L B2 R' D2 U R2 L
B2 F2 R' L2 U' L' R2
B2 F2 R' L2 U' R2 L'
F2 B2 R' L2 U' L' R2
F2 B2 R' L2 U' R2 L'
L2 B2 U' L R' D' B2
L2 B2 U' L D' R' B2
L2 B2 U' R' L D' B2
L2 B2 U2 L' U L2 R'
L2 B2 U2 L' U R' L2
L B2 D2 R' U L R'
L B2 D2 R' U R' L
L2 B2 F2 R U' L R2
L2 B2 F2 R U' R2 L
D B2 F2 L R D B2
D B2 F2 R L D B2
D B2 F2 R D L B2
