B2 L U2 F L' U'
U2 R' F L' F2 U'
U2 R' F' U2 R U
L U2 R' F L' U'
L U2 F L' R' U'
L U2 F R' L' U'
U2 F L' R' F' U'
U2 F R' L' F' U'
U2 F2 R' F' L' U'
U2 R' F L' F2 U' D2
U2 R' F L' F2 D U'
U2 R' F L' F2 D' U'
U2 R' F L' F2 D2 U'
U2 R' F L2 F2 L U'
L' U2 L2 R' F L' U'
U2 R' F D L' U' R2
L' U2 L2 F L' R' U'
L' U2 L2 F R' L' U'
U2 R' F' L U2 R U
U2 R' F' L' U2 R U
U2 R' F' L2 U2 R U
U2 R' F' U2 R U D
U2 R' F' U2 R U D'
U2 R' F' U2 R U D2
U2 R' F' U2 R D U
U2 R' F' U2 R D' U
U2 R' F' U2 R D2 U
U2 R' F' U2 D R U
U2 R' F' U2 D' R U
U2 R' F' U2 D2 R U
U2 R' F' D U2 R U
U2 R' F' D' U2 R U
U2 R' F' D2 U2 R U
L' U2 R' L2 F L' U'
L2 U2 R' L' F L' U'
L U2 R F L' R2 U'
L U2 R F R2 L' U'
L2 U2 R' F L' F U'
L U2 R' F L' U' D
L U2 R' F L' U' D'
L U2 R' F L' U' D2
L U2 R' F L' D U'
L U2 R' F L' D' U'
L U2 R' F L' D2 U'
L U2 R' F D L' U'
L U2 R' F D' L' U'
L U2 R' F D2 L' U'
B2 R2 L U2 F L' U'
L2 U2 F L' R' F U'
L2 U2 F L' F R' U'
L2 U2 F R' L' F U'
L U2 F L' R' U' D
L U2 F L' R' U' D'
L U2 F L' R' U' D2
L U2 F L' R' D U'
L U2 F L' R' D' U'
L U2 F L' R' D2 U'
L U2 F L' D R' U'
L U2 F L' D' R' U'
L U2 F L' D2 R' U'
L U2 F R' L' U' D
L U2 F R' L' U' D'
L U2 F R' L' U' D2
L U2 F R' L' D U'
L U2 F R' L' D' U'
L U2 F R' L' D2 U'
L U2 F R' D L' U'
L U2 F R' D' L' U'
L U2 F R' D2 L' U'
L U2 F D L' R' U'
L U2 F D R' L' U'
L U2 F D' L' R' U'
L U2 F D' R' L' U'
L U2 F D2 L' R' U'
L U2 F D2 R' L' U'
U2 D R' F' U B U2
U2 D' L' R' F' U' F2
U2 D' R' L' F' U' F2
U2 D' R' F' L' U' F
D' U2 L' R' F' U' F2
D' U2 R' L' F' U' F2
D' U2 R' F' L' U' F
D U2 R' F' U B U2
L2 D2 B R' B L U
U2 F L R' F' L2 U'
R' F L' U2 F' B' U
R' F L' U2 B' F' U
U2 F L' R' D F' U'
U2 F L' R' D' F' U'
U2 F L' R' D2 F' U'
U2 F L' R' F' U' D
U2 F L' R' F' U' D'
U2 F L' R' F' U' D2
U2 F L' R' F' D U'
U2 F L' R' F' D' U'
U2 F L' R' F' D2 U'
U2 F L' D R' F' U'
U2 F L' D' R' F' U'
U2 F L' D2 R' F' U'
U2 F L' F R' F' U'
U2 F L' F' R' F' U'
U2 F L' F2 R' F' U'
U2 F L2 R' F' L U'
L F L' R2 B R U'
U2 F R' L F' L2 U'
U2 F R' L' D F' U'
U2 F R' L' D' F' U'
U2 F R' L' D2 F' U'
U2 F R' L' F' U' D
U2 F R' L' F' U' D'
U2 F R' L' F' U' D2
U2 F R' L' F' D U'
U2 F R' L' F' D' U'
U2 F R' L' F' D2 U'
U2 F R' L2 F' L U'
U2 F R' D L' F' U'
U2 F R' D' L' F' U'
U2 F R' D2 L' F' U'
U' F U' L' R' U' R2
L F R2 L' B R U'
U' F U' R' L' U' R2
L F R2 B L' R U'
L F R2 B R L' U'
U F U L' R' F' U'
U F U R' L' F' U'
U2 F D L' R' F' U'
U2 F D R' L' F' U'
U2 F D' L' R' F' U'
U2 F D' R' L' F' U'
U2 F D2 L' R' F' U'
U2 F D2 R' L' F' U'
U2 F' R' U2 R2 B U
U2 F' R' D' F' U' F'
U2 F' R' D2 L2 F' U'
U2 F' R' D2 F' L2 U'
U2 F' R' F' U' D' F2
U2 F' R' F' U2 R2 U
U2 F' R' F' D' U' F2
U2 F' R' F' D2 L2 U'
R' F' U2 R F B U
R' F' U2 R B F U
U2 F2 L R' F' L' U'
U2 F2 L' R' F' L' U'
U2 F2 L2 R' F' L' U'
U2 F2 R' L F' L' U'
U2 F2 R' L' F' L' U'
U2 F2 R' L2 F' L' U'
U2 F2 R' D F' L' U'
U2 F2 R' D' F' L' U'
U2 F2 R' D2 F' L' U'
U2 F2 R' F' L' U' D
U2 F2 R' F' L' U' D'
U2 F2 R' F' L' U' D2
U2 F2 R' F' L' D U'
U2 F2 R' F' L' D' U'
U2 F2 R' F' L' D2 U'
U2 F2 R' F' D L' U'
U2 F2 R' F' D' L' U'
U2 F2 R' F' D2 L' U'
U' F2 U' R' U' F' R
U2 F2 D R' F' L' U'
U2 F2 D' R' F' L' U'
U2 F2 D2 R' F' L' U'
L B U2 F L' R U'
L B U2 F R L' U'
L' B2 L D2 B R' U
D2 B2 L' B' L2 R' U
D2 B2 L' B' R' L2 U
L' B2 D2 L B R' U
