F2 R' F B2 U' F'
F R' F2 B2 U' F'
F2 R' B2 F U' F'
F R' B2 F2 U' F'
F2 U R' F B2 U'
F2 U R' B2 F U'
F2 U F R' B2 U'
B2 F' U2 L U F'
F' B2 U2 L U F'
F U2 R' B2 F2 U' F'
B2 U2 D R2 L B U
U' F R' F2 B2 U' F'
U' F R' B2 F2 U' F'
L' F R' F2 B2 U' F'
L' F R' B2 F2 U' F'
U2 F R' F2 B2 U' F'
L2 F R' F2 B2 U' F'
U2 F R' B2 F2 U' F'
L2 F R' B2 F2 U' F'
U F R' F2 B2 U' F'
L F R' F2 B2 U' F'
U F R' B2 F2 U' F'
L F R' B2 F2 U' F'
F2 D R' F U' L2 F'
F2 D R' F U' F' L2
F D R' U' R' F L2
F D R' U' F L2 R'
F D R' U' F R' L2
F2 D U R' F U' L2
F2 D U F R' U' L2
B D R2 F' B L U
B D R2 B L F' U
B D R2 B F' L U
B2 D U2 L R2 B U
B2 D U2 R2 L B U
D' F' L2 R' U R' U2
D' F' L2 R' B2 U' L
D' F' L2 D R' B2 U'
D' F' L2 D2 R' U' L2
B2 D F' U2 L R2 U
B2 D F' U2 R2 L U
D' F' R' L2 U R' U2
D' F' R' L2 B2 U' L
D' F' R' B2 L2 U' L'
D F' R' U2 R' U L2
D F' R' D' B2 L U'
D F' R' B2 L U' L
D' F' D R' B2 U' F2
B2 D' L2 F2 R F U'
D F' D' R' B2 U' F2
F' D' R' U R' B U2
U' F' B2 U2 L U F'
R' F' B2 U' D' F' R
R' F' B2 D' U' F' R
L' F' B2 U2 L U F'
U2 F' B2 U2 L U F'
L2 F' B2 U2 L U F'
U F' B2 U2 L U F'
L F' B2 U2 L U F'
B2 D' F L2 F2 R U'
B2 D' F' L2 U2 L' U
U' F2 R' F B2 U' F'
U' F2 R' B2 F U' F'
L' F2 R' F B2 U' F'
L' F2 R' B2 F U' F'
L2 F2 R' F B2 U' F'
U2 F2 R' F B2 U' F'
U2 F2 R' B2 F U' F'
L2 F2 R' B2 F U' F'
U' F2 U R' F B2 U'
U' F2 U R' B2 F U'
U' F2 U F R' B2 U'
L' F2 U R' F B2 U'
L' F2 U R' B2 F U'
U F2 R' F B2 U' F'
L F2 R' F B2 U' F'
L' F2 U F R' B2 U'
U F2 R' B2 F U' F'
L F2 R' B2 F U' F'
U2 F2 U R' F B2 U'
L2 F2 U R' F B2 U'
U2 F2 U R' B2 F U'
L2 F2 U R' B2 F U'
U2 F2 U F R' B2 U'
L2 F2 U F R' B2 U'
U F2 U R' F B2 U'
L F2 U R' F B2 U'
U F2 U R' B2 F U'
L F2 U R' B2 F U'
U F2 U F R' B2 U'
L F2 U F R' B2 U'
F D2 F2 B2 L U F'
D B R2 B L U L
F D2 B2 F2 L U F'
R2 B U2 B R U' F2
B2 F' L' U' D' F' B2
B2 F' L' U' D' B2 F'
B2 F' L' U' F' D' B2
B2 F' L' U2 L2 U F'
B2 F' L' D' U' F' B2
B2 F' L' D' U' B2 F'
B2 F' L2 U2 L' U F'
B2 F' R U2 L U F
B2 F' U' F' U' L U
B2 F' U2 L U D F'
B2 F' U2 L U D' F'
B2 F' U2 L U D2 F'
B2 F' U2 L U F' D
B2 F' U2 L U F' D'
B2 F' U2 L U F' D2
B2 F' U2 L D U F'
B2 F' U2 L D' U F'
B2 F' U2 L D2 U F'
B2 F' U2 D L U F'
B2 F' U2 D' L U F'
B2 F' U2 D2 L U F'
B2 F' D U2 L U F'
B2 F' D' U2 L U F'
B2 F' D2 U2 L U F'
R2 B2 L2 R F U' F
F' B2 L' U' D' F' B2
F' B2 L' U' D' B2 F'
F' B2 L' U' F' D' B2
F' B2 L' U2 L2 U F'
F' B2 L' D' U' F' B2
F' B2 L' D' U' B2 F'
R2 B2 R L2 F U' F
R2 B2 R U2 B' U F2
R2 B2 R D' L2 F U'
F' B2 L2 U2 L' U F'
F' B2 R U2 L U F
R' B2 U' F' D' F' R
R' B2 U2 R' B U F2
R' B2 D' L2 F' U' R
F' B2 U' F' U' L U
R' B2 D' F' L2 U' R
F' B2 U2 L U D F'
F' B2 U2 L U D' F'
F' B2 U2 L U D2 F'
F' B2 U2 L U F' D
F' B2 U2 L U F' D'
F' B2 U2 L U F' D2
F' B2 U2 L D U F'
F' B2 U2 L D' U F'
F' B2 U2 L D2 U F'
F' B2 U2 D L U F'
F' B2 U2 D' L U F'
F' B2 U2 D2 L U F'
R2 B2 D' L2 R F U'
R2 B2 D' R L2 F U'
F' B2 D U2 L U F'
U' B2 F' U2 L U F'
R' B2 F' U' D' F' R
F' B2 D' U2 L U F'
R' B2 F' D' U' F' R
L' B2 F' U2 L U F'
L2 B2 F' U2 L U F'
U2 B2 F' U2 L U F'
F' B2 D2 U2 L U F'
L B2 F' U2 L U F'
U B2 F' U2 L U F'
