L2 R U' R2 F L2
L2 R U' F L2 R2
L2 R U' F R2 L2
L2 R' F L2 D B2
R L2 U' R2 F L2
R L2 U' F L2 R2
R L2 U' F R2 L2
R' L2 F L2 D B2
U L2 R U' R2 F
U L2 R U' F R2
R' U L2 R2 U' F
R' U R2 L2 U' F
R' U R2 U B' U2
U R L2 U' R2 F
U R L2 U' F R2
U R U B' U2 R2
R' U' D2 L2 U F
B2 R' D B2 R' F'
R' U2 D B' U2 B'
R' U2 D' F2 B' U2
R' U2 D' B' F2 U2
R' U2 B' U' R2 U'
R' U2 B' U2 D B2
R' U2 B' D U2 B2
R' U2 B' D' F2 U2
R' D L2 F L2 B2
R' D L2 F B2 L2
R' D L2 B2 F L2
R' D R2 B2 R2 F'
R' D U2 B' U2 B'
R' D B D2 F2 B
R' D B D2 B F2
R' D B2 R2 F' R2
R' D B2 U2 B U2
R' D' L2 F L2 B'
R' D' U2 F2 B' U2
R' D' U2 B' F2 U2
R' D' B D2 F2 B2
R' D' B D2 B2 F2
R' D2 U' L2 U F
L2 F L2 D R' B
F D R' B D2 F2
R' B D B2 D F2
R' B D2 F2 D' B2
R' B' D B2 D2 F2
R' B2 U R2 U' F'
R B2 R2 D F' B2
R B2 R2 D B2 F'
R B2 R2 F' D B2
U L2 D R U' F R2
R' L2 B2 F L2 D B2
R L2 B2 U' R2 F L2
R L2 B2 U' F L2 R2
R L2 B2 U' F R2 L2
U L2 D' R U' R2 F
U L2 D' R U' F R2
U L2 D2 R U' R2 F
U L2 D2 R U' F R2
D2 L2 F L2 D R' B
D' L2 F L2 D R' B
F' L2 F L2 R' D B2
F' L2 F R' L2 D B2
R' U L2 R2 U' D F
R' U L2 R2 U' D' F
R' U L2 R2 U' D2 F
R' U L2 R2 U' F D
R' U L2 R2 U' F D'
R' U L2 R2 U' F D2
R' U L2 R2 D U' F
R' U L2 R2 D' U' F
R' U L2 R2 D2 U' F
D L2 F L2 D R' B
R' U L2 U' D F B2
R' U L2 U' D B2 F
R' U L2 U' F D B2
R' U L2 D U' F B2
R' U L2 D U' B2 F
R2 U L2 R' U' R2 F
R2 U L2 R' U' F R2
L2 U R U' R2 F L2
L2 U R U' F L2 R2
L2 U R U' F R2 L2
R2 U R' L2 U' R2 F
R2 U R' L2 U' F R2
R2 U R' U B' U2 R2
L2 U R' F L2 D B2
R' U R2 L2 U' D F
R' U R2 L2 U' D' F
R' U R2 L2 U' D2 F
R' U R2 L2 U' F D
R' U R2 L2 U' F D'
R' U R2 L2 U' F D2
R' U R2 L2 D U' F
R' U R2 L2 D' U' F
R' U R2 L2 D2 U' F
R' U R2 U D B' U2
R' U R2 U D' B' U2
R' U R2 U D2 B' U2
R' U R2 U B' U2 D
R' U R2 U B' U2 D'
R' U R2 U B' U2 D2
R' U R2 U B' D U2
R' U R2 U B' D' U2
R' U R2 U B' D2 U2
R' U R2 U' L2 F L2
R' U R2 D L2 U' F
R' U R2 D U B' U2
R' U R2 D' L2 U' F
R' U R2 D' U B' U2
R' U R2 D2 L2 U' F
R' U R2 D2 U B' U2
R' U D L2 U' F B2
R' U D L2 U' B2 F
L2 U F L2 D R' B
D2 R L2 U' R2 F L2
D2 R L2 U' F L2 R2
D2 R L2 U' F R2 L2
U' R L2 U F R2 B
D' R L2 U' R2 F L2
D' R L2 U' F L2 R2
D' R L2 U' F R2 L2
D R L2 U' R2 F L2
D R L2 U' F L2 R2
D R L2 U' F R2 L2
U R L2 U' R' F R'
U R L2 U' R2 D F
U R L2 U' R2 D' F
U R L2 U' R2 D2 F
U R L2 U' R2 F D
U R L2 U' R2 F D'
U R L2 U' R2 F D2
U R L2 U' F R2 D
U R L2 U' F R2 D'
U R L2 U' F R2 D2
U R L2 U' F' R2 F2
U R L2 D' F2 U' F'
U R L2 F' U' R2 F2
U R L2 F' U' F2 R2
U R L2 F2 U' F' R2
U R U L2 U2 R2 F
U R U L2 U2 F R2
U R U D2 L2 U2 F
U R U D2 B' L2 U2
U' R U' R2 D2 L2 F
U R U B' L U2 R2
U R U B' L' U2 R2
U R U B' L2 U2 R2
U R U B' U2 R2 D
U R U B' U2 R2 D'
U R U B' U2 R2 D2
U R U B' D2 L2 U2
U R U B2 U2 R2 F'
U R U' L2 R2 F L2
U' R U' B' U2 B R2
U R U' L2 F L2 R2
U R U' L2 F R2 L2
U R U' R2 L2 F L2
U R U' R2 U2 B' U2
U R U' B2 R2 F' B2
U R U' B2 R2 B2 F'
U R U2 B2 U R2 F'
R' U B2 R2 B2 U' F'
R U B' U' B U' R2
U R D' L2 F2 U' F'
U R D' F2 L2 U' F
U R D' F2 U B' U2
U R D2 U L2 U2 F
U R D2 U B' L2 U2
R' U' L2 U D F B2
R' U' L2 U D B2 F
R' U' L2 U F D B2
R' U' L2 U2 R2 U' F
R' U' L2 D U F B2
R' U' L2 D U B2 F
U R F L2 U' R2 F
U R F L2 U' F R2
U R F U B' U2 R2
U R F' L2 U' R2 F
U R F' L2 U' F R2
L2 U' R U' R2 F L2
L2 U' R U' F L2 R2
L2 U' R U' F R2 L2
U R F' U B' U2 R2
U R F2 L2 U' R2 F
U R F2 L2 U' F R2
U R F2 U B' U2 R2
L2 U' R' F L2 D B2
R' U' R2 U' B' U2 B
R' U' D L2 U F B2
R' U' D L2 U B2 F
R U' R2 F2 D' L2 F
D2 R B2 R2 D F' B2
D2 R B2 R2 D B2 F'
D' R B2 R2 D F' B2
D' R B2 R2 D B2 F'
D2 R B2 R2 F' D B2
D' R B2 R2 F' D B2
U2 R B2 U' L R2 F'
U2 R B2 U' R2 L F'
U2 R B2 U' R2 F' L
D R B2 R2 D F' B2
D R B2 R2 D B2 F'
D R B2 R2 F' D B2
R' U' D2 L2 R U F
R' U' D2 L2 R' U F
R' U' D2 L2 R2 U F
R' U' D2 L2 U D F
R' U' D2 L2 U D' F
R' U' D2 L2 U D2 F
R' U' D2 L2 U F D
R' U' D2 L2 U F D'
R' U' D2 L2 U F D2
R' U' D2 L2 D U F
R' U' D2 L2 D' U F
R' U' D2 L2 D2 U F
R' U' D2 R L2 U F
R' U' D2 R' L2 U F
R' U' D2 R2 L2 U F
L2 U' F L2 D R' B
D2 R' L2 F L2 D B2
D' R' L2 F L2 D B2
D2 R' U L2 R2 U' F
D' R' U L2 R2 U' F
D R' L2 F L2 D B2
D2 R' U R2 L2 U' F
D2 R' U R2 U B' U2
D' R' U R2 L2 U' F
D' R' U R2 U B' U2
D R' U L2 R2 U' F
D R' U R2 L2 U' F
D R' U R2 U B' U2
D2 R' U' D2 L2 U F
D' R' U' D2 L2 U F
R U' F2 R2 D' L2 F
D R' U' D2 L2 U F
D2 R' U2 D B' U2 B'
D' R' U2 D B' U2 B'
D2 R' U2 D' F2 B' U2
D' R' U2 D' F2 B' U2
D2 R' U2 D' B' F2 U2
D' R' U2 D' B' F2 U2
D2 R' U2 B' U' R2 U'
D2 R' U2 B' U2 D B2
D2 R' U2 B' D U2 B2
D' R' U2 B' U' R2 U'
D2 R' U2 B' D' F2 U2
D' R' U2 B' U2 D B2
D' R' U2 B' D U2 B2
D' R' U2 B' D' F2 U2
F' R' U2 B' U' R' U'
D R' U2 D B' U2 B'
D R' U2 D' F2 B' U2
D R' U2 D' B' F2 U2
D2 R' D L2 F L2 B2
D2 R' D L2 F B2 L2
D' R' D L2 F L2 B2
D' R' D L2 F B2 L2
D2 R' D L2 B2 F L2
D' R' D L2 B2 F L2
F2 R' U2 B' U L' U
D2 R' D R2 B2 R2 F'
D' R' D R2 B2 R2 F'
D R' U2 B' U' R2 U'
D R' U2 B' U2 D B2
D R' U2 B' D U2 B2
D R' U2 B' D' F2 U2
D2 R' D U2 B' U2 B'
D' R' D U2 B' U2 B'
B2 R' D R' F' B2 R'
B2 R' D R' B2 F' R'
D R' D L2 F L2 B2
D R' D L2 F B2 L2
D2 R' D B D2 F2 B
D2 R' D B D2 B F2
D R' D L2 B2 F L2
D' R' D B D2 F2 B
D' R' D B D2 B F2
D2 R' D B2 R2 F' R2
D' R' D B2 R2 F' R2
D2 R' D B2 U2 B U2
D' R' D B2 U2 B U2
B2 R' D F B2 R' F'
D R' D R2 B2 R2 F'
B2 R' D F' B2 R' F'
B2 R' D F2 B2 R' F'
D2 R' D' L2 F L2 B'
D' R' D' L2 F L2 B'
D R' D U2 B' U2 B'
B2 R' D B2 R' D F'
B2 R' D B2 R' D' F'
B2 R' D B2 R' D2 F'
B2 R' D B2 R' F' D
B2 R' D B2 R' F' D'
B2 R' D B2 R' F' D2
B2 R' D B2 D R' F'
B2 R' D B2 D' R' F'
B2 R' D B2 D2 R' F'
B2 R' D B2 F R' F'
B2 R' D B2 F' R' F'
B2 R' D B2 F2 R' F'
D R' D B D2 F2 B
D R' D B D2 B F2
D2 R' D' U2 F2 B' U2
D2 R' D' U2 B' F2 U2
D' R' D' U2 F2 B' U2
D' R' D' U2 B' F2 U2
D R' D B2 R2 F' R2
D R' D B2 U2 B U2
D2 R' D' B D2 F2 B2
D2 R' D' B D2 B2 F2
D R' D' L2 F L2 B'
D' R' D' B D2 F2 B2
D' R' D' B D2 B2 F2
R U' B2 U R2 F' B2
R U' B2 U R2 B2 F'
D R' D' U2 F2 B' U2
D R' D' U2 B' F2 U2
D2 R' D2 U' L2 U F
D' R' D2 U' L2 U F
D R' D' B D2 F2 B2
D R' D' B D2 B2 F2
D R' D2 U' L2 U F
L U2 L' R' D F' B2
L U2 L' R' D B2 F'
L U2 L' R' F' D B2
B2 R' F D B2 R' F'
B2 R' F' D B2 R' F'
L2 U2 R U' R2 F L2
L2 U2 R U' F L2 R2
L2 U2 R U' F R2 L2
L U2 R U' L' R2 F'
L U2 R U' R2 L' F'
B2 R' F2 D B2 R' F'
L U2 R' L' D F' B2
L U2 R' L' D B2 F'
L2 U2 R' F L2 D B2
L U2 R' L' F' D B2
D2 R' B D B2 D F2
D' R' B D B2 D F2
D2 R' B D2 F2 D' B2
D' R' B D2 F2 D' B2
L U2 R' D L' F' B2
L U2 R' D L' B2 F'
L U2 R' D B2 L' F'
D R' B D B2 D F2
D R' B D2 F2 D' B2
D2 R' B' D B2 D2 F2
D' R' B' D B2 D2 F2
R' U2 D F B' U2 B'
R' U2 D F' B' U2 B'
R' U2 D F2 B' U2 B'
R' U2 D B' U2 D B'
R' U2 D B' U2 D' B'
R' U2 D B' U2 D2 B'
R' U2 D B' U2 B' D
R' U2 D B' U2 B' D'
R' U2 D B' U2 B' D2
R' U2 D B' D U2 B'
R' U2 D B' D' U2 B'
R' U2 D B' D2 U2 B'
R' U2 D B' F U2 B'
R' U2 D B' F' U2 B'
R' U2 D B' F2 U2 B'
D R' B' D B2 D2 F2
D2 R' B2 U R2 U' F'
D' R' B2 U R2 U' F'
R' U2 D' F2 D B' U2
R' U2 D' F2 D' B' U2
R' U2 D' F2 D2 B' U2
R' U2 D' F2 B' U2 D
R' U2 D' F2 B' U2 D'
R' U2 D' F2 B' U2 D2
R' U2 D' F2 B' D U2
R' U2 D' F2 B' D' U2
R' U2 D' F2 B' D2 U2
R' U2 D' B' U2 D2 B2
R' U2 D' B' D2 U2 B2
R' U2 D' B' F2 U2 D
R' U2 D' B' F2 U2 D'
R' U2 D' B' F2 U2 D2
R' U2 D' B' F2 D U2
R' U2 D' B' F2 D' U2
R' U2 D' B' F2 D2 U2
B2 R' B2 D R' F' B2
B2 R' B2 D R' B2 F'
D R' B2 U R2 U' F'
R' U2 D2 B' U L2 U
R' U2 D2 B' U2 D' B2
R' U2 D2 B' D F2 U2
R' U2 D2 B' D' U2 B2
U R' B2 D B2 L2 F
R' U2 F D B' U2 B'
R' U2 F D' F2 B' U2
R' U2 F D' B' F2 U2
L2 U2 F L2 D R' B
R' U2 F B' U' R2 U'
R' U2 F B' U2 D B2
R' U2 F B' D U2 B2
R' U2 F B' D' F2 U2
R' U2 F' D B' U2 B'
R' U2 F' D' F2 B' U2
R' U2 F' D' B' F2 U2
R' U2 F' B' U' R2 U'
R' U2 F' B' U2 D B2
R' U2 F' B' D U2 B2
R' U2 F' B' D' F2 U2
R' U2 F2 D B' U2 B'
R' U2 F2 D' F2 B' U2
R' U2 F2 D' B' F2 U2
R' U2 F2 B' U' R2 U'
R' U2 F2 B' U2 D B2
R' U2 F2 B' D U2 B2
R' U2 F2 B' D' F2 U2
R' U2 B' U D2 L2 U
R' U2 B' U' R2 U' D
R' U2 B' U' R2 U' D'
R' U2 B' U' R2 U' D2
R' U2 B' U' R2 D U'
R' U2 B' U' R2 D' U'
R' U2 B' U' R2 D2 U'
R' U2 B' U2 D B2 D
R' U2 B' U2 D B2 D'
R' U2 B' U2 D B2 D2
R' U2 B' U2 B D B2
R' U2 B' U2 B' D B2
R' U2 B' U2 B2 D B2
R' U2 B' D U2 B2 D
R' U2 B' D U2 B2 D'
R' U2 B' D U2 B2 D2
R' U2 B' D F U2 B2
R' U2 B' D F' U2 B2
R' U2 B' D F2 U2 B2
R' U2 B' D' F2 U2 D
R' U2 B' D' F2 U2 D'
R' U2 B' D' F2 U2 D2
R' U2 B' D' F2 D U2
R' U2 B' D' F2 D' U2
R' U2 B' D' F2 D2 U2
R' U2 B' D2 U L2 U
R' U2 B' F U' R2 U'
R' U2 B' F U2 D B2
R' U2 B' F D U2 B2
R' U2 B' F D' F2 U2
R' U2 B' F' U' R2 U'
R' U2 B' F' U2 D B2
R' U2 B' F' D U2 B2
R' U2 B' F' D' F2 U2
R' U2 B' F2 U' R2 U'
R' U2 B' F2 U2 D B2
R' U2 B' F2 D U2 B2
R' U2 B' F2 D' F2 U2
R' U2 B2 U' R2 U' F'
R' U2 B2 D B U2 B
R' U2 B2 D' F2 B U2
R' U2 B2 D' B F2 U2
R U2 B' U2 R2 D B2
R' D L B2 L F L2
R' D L2 F L' B2 L'
R' D L2 F L2 B2 D
R' D L2 F L2 B2 D'
R' D L2 F L2 B2 D2
R' D L2 F B L2 B
R' D L2 F B2 L2 D
R' D L2 F B2 L2 D'
R' D L2 F B2 L2 D2
R' D L2 F' L2 F2 B2
R' D L2 F' L2 B2 F2
R' D L2 F' B2 L2 F2
R' D L2 F2 L2 F' B2
R' D L2 F2 L2 B2 F'
R' D L2 F2 B2 L2 F'
R' D L2 B F L2 B
R' D L2 B2 F L2 D
R' D L2 B2 F L2 D'
R' D L2 B2 F L2 D2
R' D L2 B2 F' L2 F2
R' D L2 B2 F2 L2 F'
B2 R2 F' R D B2 R'
R' D R' B2 R2 F' R'
L2 D R' D' F L2 B'
R' D R2 F B2 R2 F'
R' D R2 F' B2 R2 F'
R' D R2 F2 B2 R2 F'
R' D R2 B2 R2 D F'
R' D R2 B2 R2 D' F'
R' D R2 B2 R2 D2 F'
R' D R2 B2 R2 F' D
R' D R2 B2 R2 F' D'
R' D R2 B2 R2 F' D2
R' D R2 B2 F R2 F'
R' D R2 B2 F' R2 F'
R' D R2 B2 F2 R2 F'
R' D U L2 U' F B2
R' D U L2 U' B2 F
R' D U' L2 U F B2
R' D U' L2 U B2 F
R' D U2 F B' U2 B'
R' D U2 F' B' U2 B'
R' D U2 F2 B' U2 B'
R' D U2 B' U2 D B'
R' D U2 B' U2 D' B'
R' D U2 B' U2 D2 B'
R' D U2 B' U2 B' D
R' D U2 B' U2 B' D'
R' D U2 B' U2 B' D2
R' D U2 B' D U2 B'
R' D U2 B' D' U2 B'
R' D U2 B' D2 U2 B'
R' D U2 B' F U2 B'
R' D U2 B' F' U2 B'
R' D U2 B' F2 U2 B'
R' D F L2 F L2 B2
R' D F L2 F B2 L2
R' D F L2 B2 F L2
R' D F R2 B2 R2 F'
R' D F U2 B' U2 B'
R' D F B D2 F2 B
R' D F B D2 B F2
R' D F B2 R2 F' R2
R' D F B2 U2 B U2
D' U L2 R U' R2 F
D' U L2 R U' F R2
D2 U L2 R U' R2 F
D2 U L2 R U' F R2
R' D F' L2 F L2 B2
R' D F' L2 F B2 L2
R' D F' L2 B2 F L2
R' D F' R2 B2 R2 F'
R' D F' U2 B' U2 B'
R' D F' B D2 F2 B
R' D F' B D2 B F2
R' D F' B2 R2 F' R2
R' D F' B2 U2 B U2
D U L2 R U' R2 F
D U L2 R U' F R2
R' D F2 L2 F L2 B2
R' D F2 L2 F B2 L2
R' D F2 L2 B2 F L2
D' U R L2 U' R2 F
D' U R L2 U' F R2
D2 U R L2 U' R2 F
D2 U R L2 U' F R2
D' U R U B' U2 R2
D2 U R U B' U2 R2
R' D F2 R2 B2 R2 F'
U D L2 R U' R2 F
U D L2 R U' F R2
R' D F2 U2 B' U2 B'
R' D F2 B D2 F2 B
R' D F2 B D2 B F2
L2 D F2 L' U F' R'
R' D F2 B2 R2 F' R2
R' D F2 B2 U2 B U2
D U R L2 U' R2 F
D U R L2 U' F R2
D U R U B' U2 R2
R' D B U2 B2 U2 B'
U D R L2 U' R2 F
U D R L2 U' F R2
R' D B D B D F2
U D R U B' U2 R2
R' D B D' B D' F2
R' D B D2 F2 D B
R' D B D2 F2 D' B
R' D B D2 F2 D2 B
R' D B D2 F2 B D
R' D B D2 F2 B D'
R' D B D2 F2 B D2
R' D B D2 B F2 D
R' D B D2 B F2 D'
R' D B D2 B F2 D2
R' D B F D2 F2 B
R' D B F D2 B F2
R' D B F' D2 F2 B
R' D B F' D2 B F2
R' D B F2 D2 F2 B
R' D B F2 D2 B F2
R' D B' R2 B' R2 F'
R' D B2 R2 F R2 F2
R' D B2 R2 F' R2 D
R' D B2 R2 F' R2 D'
R' D B2 R2 F' R2 D2
R' D B2 R2 F2 R2 F
R' D B2 U' R2 U F'
R' D B2 U2 D B U2
R' D B2 U2 D' B U2
R' D B2 U2 D2 B U2
R' D B2 U2 B U2 D
R' D B2 U2 B U2 D'
R' D B2 U2 B U2 D2
R' D B2 U2 B D U2
R' D B2 U2 B D' U2
R' D B2 U2 B D2 U2
R' D B2 D R2 F' R2
R' D B2 D U2 B U2
R' D B2 D' R2 F' R2
R' D B2 D' U2 B U2
R' D B2 D2 R2 F' R2
R' D B2 D2 U2 B U2
R' D B2 F R2 F' R2
R' D B2 F U2 B U2
R' D B2 F' R2 F' R2
R' D B2 F' U2 B U2
R' D B2 F2 R2 F' R2
R' D B2 F2 U2 B U2
R' D' L2 F L2 D B'
R' D' L2 F L2 D' B'
R' D' L2 F L2 D2 B'
R' D' L2 F L2 B' D
R' D' L2 F L2 B' D'
R' D' L2 F L2 B' D2
R' D' L2 F B L2 B'
R' D' L2 F B' L2 B'
R' D' L2 F B2 L2 B'
R' D' L2 B F L2 B'
R' D' L2 B' F L2 B'
R' D' L2 B2 F L2 B'
R D' L2 F2 U' L2 F'
R D' L2 F2 U' F' L2
L2 D' R B2 U' R2 F
L2 D' R B2 U' F R2
L2 D' R' D F L2 B2
L2 D' R' D F B2 L2
L2 D' R' D B2 F L2
L2 D' R' F D L2 B2
L2 D' R' F D B2 L2
R D' R2 D B2 R2 F'
R' D' U2 F2 D B' U2
R' D' U2 F2 D' B' U2
R' D' U2 F2 D2 B' U2
R' D' U2 F2 B' U2 D
R' D' U2 F2 B' U2 D'
R' D' U2 F2 B' U2 D2
R' D' U2 F2 B' D U2
R' D' U2 F2 B' D' U2
R' D' U2 F2 B' D2 U2
R' D' U2 B' U2 D2 B2
R' D' U2 B' D2 U2 B2
R' D' U2 B' F2 U2 D
R' D' U2 B' F2 U2 D'
R' D' U2 B' F2 U2 D2
R' D' U2 B' F2 D U2
R' D' U2 B' F2 D' U2
R' D' U2 B' F2 D2 U2
U D' L2 R U' R2 F
U D' L2 R U' F R2
R' D' F L2 F B' L2
R' D' F L2 B' F L2
R' D' F U2 F B' U2
R' D' F U2 B' F U2
U D' R L2 U' R2 F
U D' R L2 U' F R2
U D' R U B' U2 R2
L2 D' F D L2 R' B
L2 D' F D R' L2 B
L2 D' F D R' B L2
R' D' F' U2 F' B' U2
R' D' F' U2 B' F' U2
R' D' F2 U2 B' U2 B
R' D' B U2 F2 B2 U2
R' D' B U2 B2 F2 U2
R' D' B D2 F2 B2 D
R' D' B D2 F2 B2 D'
R' D' B D2 F2 B2 D2
R' D' B D2 B2 F2 D
R' D' B D2 B2 F2 D'
R' D' B D2 B2 F2 D2
R D' F2 L2 U' F L2
R' D' B' U2 F2 U2 F2
R' D' B' D2 B2 D2 F2
R' D' B2 R2 F' R2 B
R' D' B2 U2 F2 B U2
R' D' B2 U2 B F2 U2
R' D2 L2 F L2 D' B2
