B L D R2 F L2
B L D F L2 R2
B L D F R2 L2
B' L F2 U' F' B2
B' L F2 U' B2 F'
B L' D L2 R2 F
B L' D L2 F R2
B L' D R2 L2 F
B D L R2 F L
B D L F L R2
B D L F R2 L
B D R2 L F L
L F2 U' F' L' B
L F2 U' F' B L'
L F2 U' B F' L'
F2 B' L U' F B2
F2 B' L U' B2 F
B' F2 L U' F B2
B' F2 L U' B2 F
B D R2 L F D L
B D R2 L F D' L
B D R2 L F D2 L
B D R2 L F' L F2
B D R2 L F2 L F'
B D R2 F L F L
B D R2 F' L F L
B D R2 F2 L F L
B D F L R2 F L
B D F L F L R2
B D F L F R2 L
B D F R2 L F L
B D F' L R2 F L
B D F' L F L R2
B D F' L F R2 L
B D F' R2 L F L
B D F2 L R2 F L
B D F2 L F L R2
B D F2 L F R2 L
B D F2 R2 L F L
F2 D B' L U' F B2
F2 D B' L U' B2 F
R2 F' U' F' B' L' U'
R2 F' U' B' F' L' U'
U' F' B' L' F' U' B2
L F2 L' B' U' F' B2
L F2 L' B' U' B2 F'
F2 D' B' L U' F B2
F2 D' B' L U' B2 F
L F2 U' L F' L' B
L F2 U' L F' B L'
L F2 U' L B F' L'
L F2 U' L' F' L' B
L F2 U' L' F' B L'
L F2 U' L' B F' L'
L F2 U' L2 F' L' B
L F2 U' L2 F' B L'
L F2 U' L2 B F' L'
B D2 L D' R2 F L2
B D2 L D' F L2 R2
B D2 L D' F R2 L2
L F2 U' D F' L' B
L F2 U' D F' B L'
L F2 U' D B F' L'
L F2 U' D' F' L' B
L F2 U' D' F' B L'
L F2 U' D' B F' L'
L F2 U' D2 F' L' B
L F2 U' D2 F' B L'
L F2 U' D2 B F' L'
L F2 U' F' L B L2
L F2 U' F' L' D B
L F2 U' F' L' D' B
L F2 U' F' L' D2 B
L F2 U' F' L' B D
L F2 U' F' L' B D'
L F2 U' F' L' B D2
L F2 U' F' D L' B
L F2 U' F' D B L'
L F2 U' F' D' L' B
L F2 U' F' D' B L'
L F2 U' F' D2 L' B
L F2 U' F' D2 B L'
L F2 U' F' B L' D
L F2 U' F' B L' D'
L F2 U' F' B L' D2
L F2 U' F' B D L'
L F2 U' F' B D' L'
L F2 U' F' B D2 L'
L F2 U' F' B' L' B2
L F2 U' B L F' L'
L F2 U' B L' F' L'
L F2 U' B L2 F' L'
L F2 U' B D F' L'
L F2 U' B D' F' L'
L F2 U' B D2 F' L'
L F2 U' B F' L' D
L F2 U' B F' L' D'
L F2 U' B F' L' D2
L F2 U' B F' D L'
L F2 U' B F' D' L'
L F2 U' B F' D2 L'
L F2 U' B' F' L' B2
B D2 L' D' L2 R2 F
B D2 L' D' L2 F R2
B D2 L' D' R2 L2 F
L F2 D U' F' L' B
L F2 D U' F' B L'
L F2 D U' B F' L'
U' F2 D2 B' L U' B2
L F2 D' U' F' L' B
L F2 D' U' F' B L'
L F2 D' U' B F' L'
L F2 D2 U' F' L' B
L F2 D2 U' F' B L'
L F2 D2 U' B F' L'
U2 F2 B' R' U' F' B2
U2 F2 B' R' U' B2 F'
U F2 B L B2 U' B2
L F2 B' U' F' L' B2
L F2 B' U' F' B2 L'
L F2 B' U' B2 F' L'
U F2 B' U2 R' U B2
D B L R2 D F L2
D B L R2 F D L2
L F2 B2 U' F' B' L'
L F2 B2 U' B' F' L'
D B L F R2 D L2
D B L' R2 D L2 F
U B L F2 B2 U' B2
U B L B2 F2 U' B2
U B L' D L2 R2 F2
U B L' D L2 F2 R2
U B L' D R2 L2 F2
U B L' D R2 F2 L2
U B L' D F2 L2 R2
U B L' D F2 R2 L2
U2 B R D L2 R2 F'
U2 B R D R2 L2 F'
U2 B R D R2 F' L2
U2 B R' D L2 F' R2
U2 B R' D F' L2 R2
U2 B R' D F' R2 L2
F2 D2 B' L U' F B2
F2 D2 B' L U' B2 F
D B R2 L D F L2
D B R2 L F D L2
D B R2 L' D L2 F
D B R2 D L F L
U B U L F2 B2 U'
U B U L B2 F2 U'
F' B L F D L2 R2
F' B L F D R2 L2
U B U F2 L B2 U'
F2 B L B2 U' F B2
F2 B L B2 U' B2 F
U2 B D L2 R' F' R'
U2 B D R' L2 F' R'
U2 B D R' F' L2 R'
U2 B D R' F' R' L2
D2 B' L U' F R B2
D2 B' L U' F B2 R
D2 B' L U' B2 F R
D' B' L U' F B2 R'
D' B' L U' B2 R' F
D' B' L U' B2 F R'
U B F2 L B2 U' B2
D B' L U' R2 F B2
D B' L U' R2 B2 F
D B' L U' F R2 B2
D B' L U' F B2 R2
D B' L U' B2 R2 F
D B' L U' B2 F R2
D B' L' U' B2 R2 F'
B' F' L F' U' F2 B2
B' F' L F' U' B2 F2
F2 B' L R U' F B2
F2 B' L R U' B2 F
U2 B' R' F2 U' F B2
U2 B' R' F2 U' B2 F
F2 B' L R' U' F B2
F2 B' L R' U' B2 F
F2 B' L R2 U' F B2
F2 B' L R2 U' B2 F
F2 B' L U' F B2 D
F2 B' L U' F B2 D'
F2 B' L U' F B2 D2
F2 B' L U' B2 D F
F2 B' L U' B2 D' F
F2 B' L U' B2 D2 F
F2 B' L U' B2 F D
F2 B' L U' B2 F D'
F2 B' L U' B2 F D2
F' B' L F' U' F2 B2
F' B' L F' U' B2 F2
F2 B' L D' R2 U' F
F2 B' L' U B' U2 B'
B F' L F D L2 R2
B F' L F D R2 L2
U B' R2 F2 L' U' B2
F2 B' R L U' F B2
F2 B' R L U' B2 F
F2 B' R' L U' F B2
F2 B' R' L U' B2 F
F2 B' R2 L U' F B2
F2 B' R2 L U' B2 F
U' B' F' L' F' U' B2
F2 B' U2 R' U F' B2
F2 B' U2 R' U B2 F'
U2 B' F2 R' U' F' B2
U2 B' F2 R' U' B2 F'
F2 B' D' L R2 U' F
F2 B' D' R2 L U' F
L B' F2 U' F' L' B2
L B' F2 U' F' B2 L'
L B' F2 U' B2 F' L'
U B' F2 U2 R' U B2
B' F2 L R U' F B2
B' F2 L R U' B2 F
B' F2 L R' U' F B2
B' F2 L R' U' B2 F
B' F2 L R2 U' F B2
B' F2 L R2 U' B2 F
B' F2 L U' F B2 D
B' F2 L U' F B2 D'
B' F2 L U' F B2 D2
B' F2 L U' B2 D F
B' F2 L U' B2 D' F
B' F2 L U' B2 D2 F
B' F2 L U' B2 F D
B' F2 L U' B2 F D'
B' F2 L U' B2 F D2
B' F2 L D' R2 U' F
B' F2 L' U B' U2 B'
B F2 L B2 U' F B2
B F2 L B2 U' B2 F
B' F2 R L U' F B2
B' F2 R L U' B2 F
B' F2 R' L U' F B2
B' F2 R' L U' B2 F
B' F2 R2 L U' F B2
B' F2 R2 L U' B2 F
B' F2 U2 R' U F' B2
B' F2 U2 R' U B2 F'
B' F2 D' L R2 U' F
B' F2 D' R2 L U' F
L B2 F2 U' F' B' L'
L B2 F2 U' B' F' L'
