D' L2 F R U'
L2 F R U' F
L2 R F R U' F
L2 R' F R U' F
D' L2 R F R U'
R' L2 F R U' F
L2 R2 F R U' F
D' L2 R' F R U'
R2 L2 F R U' F
R L2 F R U' F
D' L2 R2 F R U'
D' L2 D F R U'
D' L2 D' F R U'
D' L2 D2 F R U'
D' L2 F R U' D
D' L2 F R U' D'
D' L2 F R U' D2
D' L2 F R D U'
D' L2 F R D' U'
D' L2 F R D2 U'
D' L2 F D R U'
D' L2 F D' R U'
D' L2 F D2 R U'
D' R L2 F R U'
F R U2 B' U F
U' R F2 B D' R2
U' R B F2 D' R2
L U' F R F B
L U' F R B F
D' R' L2 F R U'
D' R2 L2 F R U'
B' R2 F' L' U F'
R' D' L2 F R U'
R2 D' L2 F R U'
R D' L2 F R U'
L2 D' F L2 R U'
L2 D' F R L2 U'
D' F L2 R F U'
D' F R L2 F U'
L2 F R U' D F
L2 F R U' D' F
L2 F R U' D2 F
L2 F R U' F D
L2 F R U' F D'
L2 F R U' F D2
L2 F R D U' F
L2 F R D' U' F
L2 F R D2 U' F
L F R U' F R
F' U2 B' L' U F'
L2 F D R U' F
L2 F D' R U' F
L2 F D2 R U' F
B' D R2 F' L' U
U' F2 R B D' R2
U2 B L B2 U F2
D B' R2 F' L' U
U2 B' U2 R' U' F2
L' U' F2 R D' B R'
B' R' U F' L' F' B'
B' R' U F' L' B' F'
L' U' F2 D' R B R'
R2 U' F2 R B D' R2
L U' F2 R D2 B R'
R U' F2 R B D' R2
L U' F2 D2 R B R'
D2 R' D L2 F R U'
L U' B F R F B
L U' B F R B F
L U' B' F R F B
L U' B' F R B F
L U' B2 F R F B
L U' B2 F R B F
D' R' F L2 R F U'
D' R' F R L2 F U'
B' R' F' L' U F' L'
L U2 R B L U F2
U2 R' B L B2 U F2
U2 R' B' U2 R' U' F2
B' R2 L F' L' U F'
B' R2 L' F' L' U F'
D' R2 L2 D F R U'
D' R2 L2 D' F R U'
D' R2 L2 D2 F R U'
D' R2 L2 F R U' D
D' R2 L2 F R U' D'
D' R2 L2 F R U' D2
D' R2 L2 F R D U'
D' R2 L2 F R D' U'
D' R2 L2 F R D2 U'
D' R2 L2 F D R U'
D' R2 L2 F D' R U'
D' R2 L2 F D2 R U'
B' R2 L2 F' L' U F'
R' U2 B L B2 U F2
L' U2 B L B' U F2
R2 U2 B L B2 U F2
R U2 B L B2 U F2
R' U2 B' U2 R' U' F2
D2 R2 D L2 F R U'
R2 U2 B' U2 R' U' F2
B' R2 D F' L' R2 U
B' R2 D F' R2 L' U
R U2 B' U2 R' U' F2
D' R2 F L2 R F U'
D' R2 F R L2 F U'
B' R2 F' L' U D F'
B' R2 F' L' U D' F'
B' R2 F' L' U D2 F'
B' R2 F' L' U F' D
B' R2 F' L' U F' D'
B' R2 F' L' U F' D2
B' R2 F' L' D U F'
B' R2 F' L' D' U F'
B' R2 F' L' D2 U F'
B' R2 F' D L' U F'
B' R2 F' D' L' U F'
B' R2 F' D2 L' U F'
U' R2 F2 R' B D' R2
U2 R2 B L B2 U F2
U2 R2 B' U2 R' U' F2
B' U L' F2 B' D L2
L2 D F R U2 R U
B' U L' B' F2 D L2
L2 D F D' R U' F2
L2 D F D2 L2 R U'
L2 D F D2 R L2 U'
R' D B' R2 F' L' U
R2 D B' R2 F' L' U
U2 D R2 B L B2 U
U2 D R2 B' U2 R' U'
R D B' R2 F' L' U
R' D' L2 R F R U'
R' D' L2 R' F R U'
R' D' L2 R2 F R U'
L D' L F L R U'
L D' L F R L U'
R' D' L2 D F R U'
R' D' L2 D' F R U'
L' D' L2 U' R B R'
R' D' L2 D2 F R U'
R' D' L2 F R U' D
R' D' L2 F R U' D'
R' D' L2 F R U' D2
R' D' L2 F R D U'
R' D' L2 F R D' U'
R' D' L2 F R D2 U'
R' D' L2 F D R U'
R' D' L2 F D' R U'
R' D' L2 F D2 R U'
U2 D B L R2 B2 U
U2 D B L B2 R2 U
R2 D' L2 R F R U'
R2 D' L2 R' F R U'
U2 D B R2 L B2 U
R' D' R L2 F R U'
R2 D' L2 R2 F R U'
R2 D' L2 D F R U'
R2 D' L2 D' F R U'
R2 D' L2 D2 F R U'
R2 D' L2 F R U' D
R2 D' L2 F R U' D'
R2 D' L2 F R U' D2
R2 D' L2 F R D U'
R2 D' L2 F R D' U'
R2 D' L2 F R D2 U'
R2 D' L2 F D R U'
R2 D' L2 F D' R U'
R2 D' L2 F D2 R U'
R D' L2 R F R U'
B' U F2 L' B' D L2
R D' L2 R' F R U'
R D' L2 R2 F R U'
U2 D B' R2 U2 R U'
R' D' R' L2 F R U'
R2 D' R L2 F R U'
R D' L2 D F R U'
R D' L2 D' F R U'
R D' L2 D2 F R U'
R D' L2 F R U' D
R D' L2 F R U' D'
R D' L2 F R U' D2
R D' L2 F R D U'
R D' L2 F R D' U'
R D' L2 F R D2 U'
R D' L2 F D R U'
R D' L2 F D' R U'
R D' L2 F D2 R U'
L2 D' R F L2 R U'
L2 D' R F R L2 U'
D2 U B2 U B L U
R D' R L2 F R U'
R' D' R2 L2 F R U'
R2 D' R' L2 F R U'
L2 D' R' F L2 R U'
L2 D' R' F R L2 U'
R D' R' L2 F R U'
R2 D' R2 L2 F R U'
L2 D' R2 F L2 R U'
L2 D' R2 F R L2 U'
R D' R2 L2 F R U'
R' D' F L2 R F U'
R' D' F R L2 F U'
D2 U' R B D' R2 F'
L2 D' F L2 R U' D
L2 D' F L2 R U' D'
L2 D' F L2 R U' D2
L2 D' F L2 R D U'
L2 D' F L2 R D' U'
L2 D' F L2 R D2 U'
L2 D' F L2 D R U'
L2 D' F L2 D' R U'
L2 D' F L2 D2 R U'
L2 D' F R L2 U' D
L2 D' F R L2 U' D'
L2 D' F R L2 U' D2
L2 D' F R L2 D U'
L2 D' F R L2 D' U'
L2 D' F R L2 D2 U'
L2 D' F R U' D F2
L2 D' F R D U' F2
R2 D' F L2 R F U'
R2 D' F R L2 F U'
L2 D' F D R U' F2
R D' F L2 R F U'
R D' F R L2 F U'
L2 D' F2 L2 F' R U'
U2 D' B L B2 R' U
U2 D' B' U2 L2 R' U'
U2 D' B' U2 R' L2 U'
F2 U' D2 B' L U L'
F2 U' F B' L' U L
F' U' B' L' U L F'
F' U' B' L' U F' L
U' D2 R B D' R2 F'
F2 U' B' F L' U L
F' U2 L' U D F' R
F' U2 L' D U F' R
L2 D2 F R U B2 U2
L2 D2 F R U' D2 F2
L2 D2 F R D L2 U'
L2 D2 F R D2 U' F2
D U2 R2 B L B2 U
D U2 R2 B' U2 R' U'
L2 D2 F D L2 R U'
L2 D2 F D R L2 U'
L2 D2 F D2 R U' F2
D' U2 B L B2 R' U
D U2 B L R2 B2 U
D U2 B L B2 R2 U
D' U2 B' U2 L2 R' U'
D' U2 B' U2 R' L2 U'
D U2 B R2 L B2 U
D U2 B' R2 U2 R U'
F' U2 D B' L' U F'
F' U2 D' B' L' U F'
U D2 B2 U B L U
L2 F L D2 R U' F'
F' U2 D2 B' L' U F'
D' F L2 R D F U'
D' F L2 R D' F U'
D' F L2 R D2 F U'
D' F L2 R F U' D
D' F L2 R F U' D'
D' F L2 R F U' D2
D' F L2 R F D U'
D' F L2 R F D' U'
D' F L2 R F D2 U'
D' F L2 R' F R2 U'
D' F L2 R2 F R' U'
D' F L2 D R F U'
D' F L2 D' R F U'
D' F L2 D2 R F U'
L2 F L2 R U B' U2
D' F R L2 D F U'
D' F R L2 D' F U'
D' F R L2 D2 F U'
D' F R L2 F U' D
D' F R L2 F U' D'
D' F R L2 F U' D2
D' F R L2 F D U'
D' F R L2 F D' U'
D' F R L2 F D2 U'
R' F R U2 B' U F
D2 F R D L2 F U'
U' F R F B D' R2
D' F R F L2 F U'
D' F R F' L2 F U'
U' F R B D' R2 F
U' F R B D' F R2
D' F R F2 L2 F U'
U' F R B F D' R2
L2 F R L2 U B' U2
L2 F R U B U2 F
L2 F R U B' U2 F
L2 F R U B2 U2 F
L2 F R U' R F R'
L2 F R U' R2 F R2
L2 F R U' D F D
L2 F R U' D F D'
L2 F R U' D F D2
L2 F R U' D' F D
L2 F R U' D' F D'
L2 F R U' D' F D2
L2 F R U' D2 F D
L2 F R U' D2 F D'
L2 F R U' D2 F D2
L2 F R U' F2 D F'
L2 F R U' F2 D' F'
L2 F R U' F2 D2 F'
L2 F R U2 R U F
L2 F R U2 R' U F
L2 F R U2 R2 U F
D' F R' L2 F R2 U'
L2 F R D U' F D
L2 F R D U' F D'
L2 F R D U' F D2
L2 F R D' U' F D
L2 F R D' U' F D'
L2 F R D' U' F D2
L2 F R D2 U' F D
L2 F R D2 U' F D'
L2 F R D2 U' F D2
R2 F R U2 B' U F
D F R U2 R B' U
D F R U2 B' R U
F' U2 B L' B2 U F'
L2 F R' U' D F B2
L2 F R' U' D B2 F
L2 F R' U' F D B2
B' U2 B U2 L U F2
L F R U' R F R
L F R U' R' F R
L F R U' R2 F R
L F R U' D F R
L F R U' D' F R
L F R U' D2 F R
L F R U' F R D
L F R U' F R D'
L F R U' F R D2
L F R U' F D R
L F R U' F D' R
L F R U' F D2 R
D' F R2 L2 F R' U'
L2 F R' D U' F B2
L2 F R' D U' B2 F
L F R D U' F R
L F R D' U' F R
R F R U2 B' U F
L F R D2 U' F R
F' U2 B' L' U D F'
F' U2 B' L' U D' F'
F' U2 B' L' U D2 F'
F' U2 B' L' U F' D
F' U2 B' L' U F' D'
F' U2 B' L' U F' D2
F' U2 B' L' D U F'
F' U2 B' L' D' U F'
F' U2 B' L' D2 U F'
B' U2 B' R' B2 U' F2
L2 F R2 D R' U' F
L2 F R2 D' R' U' F
L2 F R2 D2 R' U' F
F' U2 B' D L' U F'
F' U2 B' D' L' U F'
F' U2 B' D2 L' U F'
F' U2 B2 L' B U F'
B' D L R2 F' L' U
F U2 B' U2 R U' F
B' D L' R2 F' L' U
D2 F D L2 R F U'
D2 F D R L2 F U'
B' D L2 R2 F' L' U
L2 F D R U' D F
L2 F D R U' D' F
L2 F D R U' D2 F
L2 F D R U' F D
L2 F D R U' F D'
L2 F D R U' F D2
L2 F D R D U' F
L2 F D R D' U' F
L2 F D R D2 U' F
L2 F D' R U' D F
L2 F D' R U' D' F
L2 F D' R U' D2 F
L2 F D' R U' F D
L2 F D' R U' F D'
L2 F D' R U' F D2
L2 F D' R D U' F
L2 F D' R D' U' F
L2 F D' R D2 U' F
L F D R U' F R
L' F D2 R F' U' F2
L2 F D2 R U' D F
L2 F D2 R U' D' F
L2 F D2 R U' D2 F
L2 F D2 R U' F D
L2 F D2 R U' F D'
L2 F D2 R U' F D2
L2 F D2 R D U' F
L2 F D2 R D' U' F
L2 F D2 R D2 U' F
L F D' R U' F R
D F D2 L2 R F U'
B' D R2 L F' L' U
B' D R2 L' F' L' U
D F D2 R L2 F U'
F D R U2 B' U F
B' D R2 L2 F' L' U
B' D R2 D F' L' U
B' D R2 D' F' L' U
B' D R2 D2 F' L' U
L2 F B R B' U' F
B' D R2 F' L' U D
B' D R2 F' L' U D'
B' D R2 F' L' U D2
B' D R2 F' L' D U
B' D R2 F' L' D' U
B' D R2 F' L' D2 U
L F D2 R U' F R
B' D R2 F' D L' U
B' D R2 F' D' L' U
B' D R2 F' D2 L' U
L2 F B2 R B2 U' F
F' D U2 B' L' U F'
B' D F' L' R2 F' U
D' F' L2 F U2 L U
B' D F' R2 L' F' U
L2 F' R' F2 R U' F'
R' F' U2 B' L' U F'
D F' U2 R2 B' L' U
R2 F' U2 B' L' U F'
D F' U2 B' L' R2 U
D F' U2 B' R2 L' U
R F' U2 B' L' U F'
F D' R U2 B' U F
D F' B' L' R2 F' U
D F' B' R2 L' F' U
L2 F2 L F' R U' F
F' D' U2 B' L' U F'
L2 F2 L' F' R U' F
D' F2 L2 F U2 L' U
D' F2 L2 F' R F2 U'
U' F2 R U' B' U B2
U' F2 R D B D' R2
U' F2 R D' B D' R2
U' F2 R D2 B D' R2
L2 F2 L2 F' R U' F
U' F2 R B R D' R2
U' F2 R B R' D' R2
U' F2 R B R2 D' R2
U' F2 R B U' B2 U
U' F2 R B D' R2 D
U' F2 R B D' R2 D'
U' F2 R B D' R2 D2
U' F2 R' B D' R2 B
B' D' B L2 F R U'
U' F2 U' B L B2 U
U' F2 U' B' U2 R' U'
U' F2 D R B D' R2
U' F2 D' R B D' R2
U' F2 D2 R B D' R2
U' F2 B R D' B R2
U' F2 B R' D' R2 B
U' F2 B D' R B R
F D2 R U2 B' U F
U' F2 B2 R D B R'
U' F2 B2 U' B L U
U2 B L R B2 U F2
U2 B L R' B2 U F2
U2 B L R2 B2 U F2
U2 B L U F2 D' R2
F2 D2 U' B' L U L'
F' D2 U2 B' L' U F'
U2 B L B2 R U F2
U2 B L B2 R' U F2
U2 B L B2 R2 U F2
U2 B L B2 U F2 D
U2 B L B2 U F2 D'
U2 B L B2 U F2 D2
U2 B L B2 D R2 U
U2 B L' B2 L2 U F2
U' B R F2 D' B R2
U2 B L2 B2 L' U F2
U2 B R L B2 U F2
U2 B R' L B2 U F2
U2 B R2 L B2 U F2
L2 B F R B' U' F
U' B F2 R D' B R2
U' B F2 R' D' R2 B
U' B F2 D' R B R
U2 B' L U2 R' U' F2
D B' L R2 F' L' U
B' F U2 B R U' F
U2 B' L' U2 R' U' F2
D B' L' R2 F' L' U
U2 B' L2 U2 R' U' F2
D B' L2 R2 F' L' U
U2 B' R U F2 D B2
U2 B' R U2 R2 U' F2
U2 B' R D R2 U B2
U2 B' R' U F2 D2 B2
R' B' R2 F' L' U F'
U2 B' R2 U2 R U' F2
B' F' L' U2 B U' F'
D B' R2 L F' L' U
D B' R2 L' F' L' U
F' B' L' U2 B U' F'
D B' R2 L2 F' L' U
D B' R2 D F' L' U
R2 B' R2 F' L' U F'
D B' R2 D' F' L' U
D B' R2 D2 F' L' U
D B' R2 F' L' U D
D B' R2 F' L' U D'
D B' R2 F' L' U D2
D B' R2 F' L' D U
D B' R2 F' L' D' U
D B' R2 F' L' D2 U
D B' R2 F' D L' U
D B' R2 F' D' L' U
D B' R2 F' D2 L' U
U2 B' U F2 U R' U'
R B' R2 F' L' U F'
U2 B' U2 L R' U' F2
U2 B' U2 L' R' U' F2
U2 B' U2 L2 R' U' F2
U2 B' U2 R' L U' F2
U2 B' U2 R' L' U' F2
U2 B' U2 R' L2 U' F2
U2 B' U2 R' U' F2 D
U2 B' U2 R' U' F2 D'
U2 B' U2 R' U' F2 D2
U2 B' U2 R' D' L2 U'
R' B' D R2 F' L' U
U2 B' U2 D' L2 R' U'
U2 B' U2 D' R' L2 U'
U2 B' D R2 U2 R U'
R2 B' D R2 F' L' U
U2 B' D' U2 L2 R' U'
U2 B' D' U2 R' L2 U'
D' B' D2 R2 F' L' U
R B' D R2 F' L' U
D B' F' L' R2 F' U
D B' F' R2 L' F' U
F B' U2 B R U' F
U' B2 R F2 D B R'
U' B2 U' B L U F2
U B2 U B L U F2
L2 B2 F R B2 U' F
U' B2 F2 R D B R'
U' B2 F2 U' B L U
