F' R2 F' B U' F
F' R2 B F' U' F
F' U R2 F' B U'
F' U R2 B F' U'
F2 U2 R2 F' U' F2
F2 D B U F B
F2 D B U B F
B' D' L2 F' R2 B
B' D' F' L2 R2 B
B' D' F' R2 L2 B
B' D' F' R2 B L2
F2 B U D F B2
F2 B U D B2 F
F2 B U F D B2
F2 B U2 R2 U' F
F2 B D U F B2
F2 B D U B2 F
B F2 U D F B2
B F2 U D B2 F
B F2 U F D B2
B F2 U2 R2 U' F
B F2 D U F B2
B F2 D U F B2
B F2 D U B2 F
F2 U2 R2 F' L U' F2
F2 U2 R2 F' L' U' F2
F2 U2 R2 F' L2 U' F2
F2 U2 R2 F' U' F2 D
F2 U2 R2 F' U' F2 D'
F2 U2 R2 F' U' F2 D2
F2 U2 R2 F' D' L2 U'
B' U2 D' L2 F' R2 B
R2 D2 B2 L2 F' U' F2
B' U2 D' F' L2 R2 B
B' U2 D' F' R2 L2 B
B' U2 D' F' R2 B L2
R2 D2 B2 F' L2 U' F
R2 D2 B2 F' U B' U2
F2 U2 F R2 F' U' F
D' F L2 F2 B' D' R2
D' F L2 B' F2 D' R2
F2 U2 F' R2 F' U' F'
B' D L2 R2 B U2 B
F2 D R' U F R B2
F2 D R' U F B2 R
F2 D R' U B2 F R
D' F B U L2 F2 B'
D' F B U L2 B' F2
B' D R2 L2 B U2 B
B' D R2 B L2 U2 B
F' D U' F' B U B
F' D U' B F' U B
B D U F' B2 D2 L2
B D U B2 D2 L2 F'
B D U B2 D2 F' L2
B D U B2 F' D2 L2
B D U' R2 B U2 B
D' F' L2 B' D' R2 B
B' D F' B2 D2 L2 R2
B' D F' B2 D2 R2 L2
F' D F' B U F B
F' D F' B U B F
F2 D B U D F B
F2 D B U D B F
F2 D B U D' F B
F2 D B U D' B F
U' F' R2 F' B U' F
F2 D B U D2 F B
F2 D B U D2 B F
F2 D B U F D B
F2 D B U F D' B
F2 D B U F D2 B
F2 D B U F B D
F2 D B U F B D'
F2 D B U F B D2
F2 D B U B D F
F2 D B U B D' F
F2 D B U B D2 F
F2 D B U B F D
F2 D B U B F D'
F2 D B U B F D2
U' F' R2 B F' U' F
F' D B F' U F B
F' D B F' U B F
F2 D B D U F B
F2 D B D U B F
F2 D B D' U F B
F2 D B D' U B F
F2 D B D2 U F B
F2 D B D2 U B F
L' F' R2 F' B U' F
L' F' R2 B F' U' F
U' F' U R2 F' B U'
U' F' U R2 B F' U'
U2 F' R2 F' B U' F
L2 F' R2 F' B U' F
L' F' U R2 F' B U'
L' F' U R2 B F' U'
U2 F' R2 B F' U' F
L2 F' R2 B F' U' F
U2 F' U R2 F' B U'
U2 F' U R2 B F' U'
L2 F' U R2 F' B U'
L2 F' U R2 B F' U'
B' D B2 D2 L2 F' R2
F' D B2 U' F' B' U
B' D B2 D2 F' L2 R2
B' D B2 D2 F' R2 L2
F' D B2 U' B' F' U
B' D B2 F' D2 L2 R2
B' D B2 F' D2 R2 L2
U F' R2 F' B U' F
L F' R2 F' B U' F
U F' R2 B F' U' F
L F' R2 B F' U' F
R2 F' U B U F' U
B' D' L F' L R2 B
B' D' L F' R2 L B
U F' U R2 F' B U'
U F' U R2 B F' U'
L F' U R2 F' B U'
L F' U R2 B F' U'
R2 F' U2 F' R2 U F'
R2 F' U2 F' U' B U2
B' D' L2 F' R2 D B
B' D' L2 F' R2 D' B
B' D' L2 F' R2 D2 B
B' D' L2 F' R2 B D
B' D' L2 F' R2 B D'
B' D' L2 F' R2 B D2
B' D' L2 F' B R2 B
B' D' L2 F' B' R2 B
B' D' L2 F' B2 R2 B
B' D' L2 B F' R2 B
B' D' L2 B' F' R2 B
B' D' L2 B2 F' R2 B
B2 D' L2 F' D R2 B
D' F' B' L2 D' R2 B
B' D' U L2 F' R2 B
R2 F' B U2 F' U F
B' D' U F' L2 R2 B
B' D' U F' R2 L2 B
B' D' U F' R2 B L2
B' D' U' L2 F' R2 B
B' D' U' F' L2 R2 B
B' D' U' F' R2 L2 B
B' D' U' F' R2 B L2
B D' U L2 D2 F' B2
B D' U L2 D2 B2 F'
B' D' U2 L2 F' R2 B
B D' U F L2 F2 B'
B D' U F L2 B' F2
B' D' U2 F' L2 R2 B
B' D' U2 F' R2 L2 B
B' D' U2 F' R2 B L2
B' D' F L2 R2 F2 B'
B' D' F L2 R2 B' F2
B' D' F L2 F2 R2 B'
B' D' F L2 F2 B' R2
B' D' F L2 B' R2 F2
B' D' F L2 B' F2 R2
B' D' F R2 L2 F2 B'
B' D' F R2 L2 B' F2
B D' U' F2 U2 F L2
B' D' F' L' R2 B L'
B' D' F' L2 R2 D B
B' D' F' L2 R2 D' B
B' D' F' L2 R2 D2 B
B' D' F' L2 R2 B D
B' D' F' L2 R2 B D'
B' D' F' L2 R2 B D2
B' D' F' L2 B R2 B
B' D' F' L2 B' R2 B
B' D' F' L2 B2 R2 B
B' D' F' R2 L' B L'
B' D' F' R2 L2 D B
B' D' F' R2 L2 D' B
B' D' F' R2 L2 D2 B
B' D' F' R2 L2 B D
B' D' F' R2 L2 B D'
B' D' F' R2 L2 B D2
B' D' F' R2 B L2 D
B' D' F' R2 B L2 D'
B' D' F' R2 B L2 D2
B' D' F' R2 B' L2 B2
B' D' F' B L2 R2 B
B' D' F' B R2 L2 B
B' D' F' B R2 B L2
B D' F U L2 F2 B'
B D' F U L2 B' F2
B' D' F' B' L2 R2 B
B' D' F' B' R2 L2 B
B' D' F' B' R2 B L2
R F2 L' R' B U F'
B' D' F' B2 L2 R2 B
B' D' F' B2 R2 L2 B
B' D' F' B2 R2 B L2
B' D' F2 U2 R2 F L2
B' D' F2 U2 F L2 R2
B' D' F2 U2 F R2 L2
B' D' B L2 F' R2 B
B' D' B F' L2 R2 B
B' D' B F' R2 L2 B
B' D' B F' R2 B L2
F2 D' B U D2 F B2
F2 D' B U D2 B2 F
F2 D' B U' F2 U2 F'
B' D' B' L2 F' R2 B
F2 D' B D2 U F B2
F2 D' B D2 U B2 F
B' D' B' F' L2 R2 B
B' D' B' F' R2 L2 B
B' D' B' F' R2 B L2
R F2 R' L' B U F'
B' D' B2 L2 F' R2 B
D' F2 U B U F L2
R F2 R' B L' U F'
B' D' B2 F' L2 R2 B
B' D' B2 F' R2 L2 B
B' D' B2 F' R2 B L2
U' F2 U2 R2 F' U' F2
L' F2 U2 R2 F' U' F2
L2 F2 U2 R2 F' U' F2
U2 F2 U2 R2 F' U' F2
U' F2 D B U F B
U' F2 D B U B F
L' F2 D B U F B
L' F2 D B U B F
U F2 U2 R2 F' U' F2
L F2 U2 R2 F' U' F2
F' D2 L2 F' B U F
F' D2 L2 B F' U F
U2 F2 D B U F B
U2 F2 D B U B F
L2 F2 D B U F B
L2 F2 D B U B F
F2 D2 L2 B U D2 F2
F2 D2 L2 B U' B2 U2
F2 D2 L2 B D' R2 U
F2 D2 L2 B D2 U F2
B D2 L2 U D L2 F'
B D2 L2 U D F' L2
B D2 L2 U F' D L2
B D2 L2 U2 B2 U' F'
B D2 L2 D U L2 F'
B D2 L2 D U F' L2
B D2 L2 D2 F2 U F
U F2 D B U F B
U F2 D B U B F
L F2 D B U F B
L F2 D B U B F
U' F2 B U D F B2
U' F2 B U D B2 F
U' F2 B U F D B2
U' F2 B U2 R2 U' F
U' F2 B D U F B2
U' F2 B D U B2 F
L' F2 B U D F B2
L' F2 B U D B2 F
L' F2 B U F D B2
L' F2 B U2 R2 U' F
L' F2 B D U F B2
L' F2 B D U B2 F
U2 F2 B U D F B2
U2 F2 B U D B2 F
U2 F2 B U F D B2
L2 F2 B U D F B2
L2 F2 B U D B2 F
L2 F2 B U F D B2
U2 F2 B U2 R2 U' F
L2 F2 B U2 R2 U' F
U2 F2 B D U F B2
U2 F2 B D U B2 F
L2 F2 B D U F B2
L2 F2 B D U B2 F
U F2 B U D F B2
L F2 B U D F B2
U F2 B U D B2 F
L F2 B U D B2 F
U F2 B U F D B2
L F2 B U F D B2
L F2 B U2 R2 U' F
U F2 B U2 R2 U' F
U F2 B D U F B2
L F2 B D U F B2
U F2 B D U B2 F
L F2 B D U B2 F
F' D2 U' L2 F' B U
F' D2 U' L2 B F' U
F' D2 U' F' L2 B U
F' D2 U' F' B L2 U
F' D2 U' B L2 F' U
F' D2 U' B F' L2 U
D2 B L2 U2 B U' F'
F' D2 B L2 F' U F
F2 D2 B L2 U' B' U2
F2 D2 B U D' F B2
F2 D2 B U D' B2 F
F2 D2 B U F D' B2
F2 D2 B D' U F B2
F2 D2 B D' U B2 F
B2 D2 B' L2 F U F2
D' B U L2 D2 F' B2
D' B U L2 D2 B2 F'
D' B U F L2 F2 B'
D' B U F L2 B' F2
D' B U' F2 U2 F L2
D B U D2 L2 F' B
D B U D2 L2 B F'
D B U D2 F' L2 B
D B U D2 F' B L2
D B U D2 B L2 F'
D B U D2 B F' L2
D B U F' D2 L2 B
D B U F' D2 B L2
D B U F' B D2 L2
D B U B D2 L2 F'
D B U B D2 F' L2
D B U B F' D2 L2
D B U' R2 F' B U2
D B U' R2 B F' U2
F2 B L2 D2 L2 U F
F2 B R U2 R U' F
D B D' F2 U F B
D B D' F2 U B F
F2 B R' U2 R' U' F
D' B F U L2 F2 B'
D' B F U L2 B' F2
D B D2 U L2 F' B
D B D2 U L2 B F'
D B D2 U F' L2 B
D B D2 U F' B L2
D B D2 U B L2 F'
D B D2 U B F' L2
U' B F2 U D F B2
U' B F2 U D B2 F
U' B F2 U F D B2
U' B F2 U2 R2 U' F
U' B F2 D U F B2
U' B F2 D U B2 F
F' B U R2 B U' R2
L' B F2 U D F B2
L' B F2 U D B2 F
L' B F2 U F D B2
L' B F2 U2 R2 U' F
L' B F2 D U F B2
L' B F2 D U B2 F
F2 B U D F B2 D
F2 B U D F B2 D'
F2 B U D F B2 D2
F2 B U D B2 D F
F2 B U D B2 D' F
F2 B U D B2 D2 F
F2 B U D B2 F D
F2 B U D B2 F D'
F2 B U D B2 F D2
F2 B U D2 F D' B2
F2 B U F U R2 U'
F2 B U F D B2 D
F2 B U F D B2 D'
F2 B U F D B2 D2
F2 B U F B D B2
F2 B U F B' D B2
F2 B U F B2 D B2
R2 B F' U2 F' U F
F2 B U F2 D F' B2
F2 B U F2 D B2 F'
F2 B U B D F B2
F2 B U B D B2 F
F2 B U B F D B2
L2 B F2 U D F B2
L2 B F2 U D B2 F
L2 B F2 U F D B2
U2 B F2 U D F B2
U2 B F2 U D B2 F
U2 B F2 U F D B2
F2 B U B' D F B2
F2 B U B' D B2 F
F2 B U B' F D B2
F2 B U B2 D F B2
F2 B U B2 D B2 F
F2 B U B2 F D B2
L2 B F2 U2 R2 U' F
U2 B F2 U2 R2 U' F
L2 B F2 D U F B2
L2 B F2 D U B2 F
U2 B F2 D U F B2
U2 B F2 D U B2 F
F2 B U' D' F2 U2 F'
L B F2 U D F B2
U B F2 U D F B2
L B F2 U D B2 F
U B F2 U D B2 F
L B F2 U F D B2
U B F2 U F D B2
L B F2 U2 R2 U' F
U B F2 U2 R2 U' F
F2 B U2 R2 U' D F
F2 B U2 R2 U' D' F
F2 B U2 R2 U' D2 F
F2 B U2 R2 U' F D
F2 B U2 R2 U' F D'
F2 B U2 R2 U' F D2
F2 B U2 R2 D U' F
F2 B U2 R2 D' U' F
F2 B U2 R2 D2 U' F
L B F2 D U F B2
L B F2 D U B2 F
U B F2 D U F B2
U B F2 D U B2 F
D2 B' L2 F B2 U F2
D' B' L2 F' D' R2 B
F2 B D R U F B2
F2 B D R U B2 F
F2 B D R' U F B2
F2 B D R' U B2 F
D2 B' L2 B2 F U F2
F' B D F' U F B2
F' B D F' U B2 F
F2 B D R2 U F B2
F2 B D R2 U B2 F
F2 B D U F B2 D
F2 B D U F B2 D'
F2 B D U F B2 D2
F2 B D U B2 D F
F2 B D U B2 D' F
F2 B D U B2 D2 F
F2 B D U B2 F D
F2 B D U B2 F D'
F2 B D U B2 F D2
B F D R2 F U B2
B F D F R2 U B2
F2 B D' U' F2 U2 F'
F B D R2 F U B2
F' B D2 L2 F' U F
F B D F R2 U B2
F2 B D2 L2 U' B' U2
F2 B D2 U F D' B2
U' B' D' L2 F' R2 B
U' B' D' F' L2 R2 B
U' B' D' F' R2 L2 B
U' B' D' F' R2 B L2
L' B' D' L2 F' R2 B
L' B' D' F' L2 R2 B
L' B' D' F' R2 L2 B
L' B' D' F' R2 B L2
L2 B' D' L2 F' R2 B
U2 B' D' L2 F' R2 B
L2 B' D' F' L2 R2 B
L2 B' D' F' R2 L2 B
L2 B' D' F' R2 B L2
U2 B' D' F' L2 R2 B
U2 B' D' F' R2 L2 B
U2 B' D' F' R2 B L2
L B' D' L2 F' R2 B
U B' D' L2 F' R2 B
B F' U R2 B U' R2
L B' D' F' L2 R2 B
L B' D' F' R2 L2 B
L B' D' F' R2 B L2
U B' D' F' L2 R2 B
U B' D' F' R2 L2 B
U B' D' F' R2 B L2
D' B' F' L2 D' R2 B
R2 B' D2 F' B2 U' F'
R2 B' D2 B2 F' U' F'
B F' D F' U F B2
B F' D F' U B2 F
D' B2 L2 F' D R2 B
B F' D2 L2 F' U F
B F2 L2 D2 L2 U F
B F2 R U2 R U' F
B F2 R' U2 R' U' F
D2 B2 U2 B' L2 U F'
B F2 U D F B2 D
B F2 U D F B2 D'
B F2 U D F B2 D2
B F2 U D B2 D F
B F2 U D B2 D' F
B F2 U D B2 D2 F
B F2 U D B2 F D
B F2 U D B2 F D'
B F2 U D B2 F D2
B F2 U D2 F D' B2
B F2 U F U R2 U'
B F2 U F D B2 D
B F2 U F D B2 D'
B F2 U F D B2 D2
B F2 U F B D B2
B F2 U F B' D B2
B F2 U F B2 D B2
B F2 U F2 D F' B2
B F2 U F2 D B2 F'
B F2 U B D F B2
B F2 U B D B2 F
B F2 U B F D B2
B F2 U B' D F B2
B F2 U B' D B2 F
B F2 U B' F D B2
B F2 U B2 D F B2
B F2 U B2 D B2 F
B F2 U B2 F D B2
B F2 U' D' F2 U2 F'
R2 B2 D' F' U' L2 F
B F2 U2 R2 U' D F
B F2 U2 R2 U' D' F
B F2 U2 R2 U' D2 F
B F2 U2 R2 U' F D
B F2 U2 R2 U' F D'
B F2 U2 R2 U' F D2
B F2 U2 R2 D U' F
B F2 U2 R2 D' U' F
B F2 U2 R2 D2 U' F
D B2 D2 L2 F' D R2
B2 F2 D B' U F B'
B2 F2 D B' U B' F
F2 B2 D B' U F B'
F2 B2 D B' U B' F
B F2 D R U F B2
B F2 D R U B2 F
B F2 D R' U F B2
B F2 D R' U B2 F
B F2 D R2 U F B2
B F2 D R2 U B2 F
B F2 D U F B2 D
B F2 D U F B2 D'
B F2 D U F B2 D2
B F2 D U B2 D F
B F2 D U B2 D' F
B F2 D U B2 D2 F
B F2 D U B2 F D
B F2 D U B2 F D'
B F2 D U B2 F D2
B F2 D' U' F2 U2 F'
B F2 D2 L2 U' B' U2
B F2 D2 U F D' B2
