D' F L' U R2
B2 D' F L' U
F R' B2 R U B'
F U R D' R2 B
F U R' D' B R2
D' F L' U R2 D
D' F L' U R2 D'
D' F L' U R2 D2
D' F L' D B2 U
D' F L' B U R2
D' F L' B' U R2
D' F L' B2 U R2
D' F D L' B2 U
D' F D B2 L' U
D' F B L' U R2
D' F B' L' U R2
D' F B2 L' U R2
B' D F B' L U
B' D B' F L U
B2 D' F L' U D
B2 D' F L' U D'
B2 D' F L' U D2
B2 D' F L' D U
B2 D' F L' D' U
B2 D' F L' D2 U
B2 D' F D L' U
B2 D' F D' L' U
B2 D' F D2 L' U
B' D' F B' L' U
B D' F L' B U
B D' F B L' U
B' D' B' F L' U
B D' B F L' U
B2 D2 F L U B'
D' B F L' U R2
B2 F U R' B R
B2 F U2 R' U' B
B' F D B' L U
B2 F D2 L U B'
D' B' F L' U R2
F B' D B' L U
R' B2 R F U B'
F B2 U R' B R
D' B2 F L' U R2
F B2 U2 R' U' B
F B2 D2 L U B'
B2 F U R' B' R B2
B2 F U R' B2 R B'
B2 F U D2 L B' L'
B2 F U B R' B R
B2 F U B' R' B R
B2 F U B2 R' B R
B2 F U' R F' R' U2
B2 F U2 R U F' U2
B2 F U2 R' U' D B
B2 F U2 R' U' D' B
B2 F U2 R' U' D2 B
B2 F U2 R' U' B D
B2 F U2 R' U' B D'
B2 F U2 R' U' B D2
B2 F U2 R' D U' B
B2 F U2 R' D' U' B
B2 F U2 R' D2 U' B
B' F D B' L U D
B' F D B' L U D'
B' F D B' L U D2
B' F D B' L D U
B' F D B' L D' U
B' F D B' L D2 U
B' F D B' D L U
B' F D B' D' L U
B' F D B' D2 L U
B2 F D B' L B U
R' B' R F B' U B'
R' B' R B' F U B'
B' F D2 L U B' R'
B2 F D' F L' F' U
B F D B U2 R' U'
B F D B' L B2 U
B2 F D2 L U D B'
B2 F D2 L U D' B'
B2 F D2 L U D2 B'
B2 F D2 L U B' D
B2 F D2 L U B' D'
B2 F D2 L U B' D2
B2 F D2 L D U B'
B2 F D2 L D' U B'
B2 F D2 L D2 U B'
B2 F D2 L' U' F U2
B' F D2 B' L U B'
F B D B U2 R' U'
F B D B' L B2 U
B2 F D2 U L B' L'
B F D2 L B U B2
F B D2 L B U B2
B F D2 B L U B'
F B D2 B L U B'
F B' L U B' R' B
D2 B' D F L' U R2
L' B' D B' L F U
F B' R' B' R U B2
D B' D' F L B2 U
D' B' F L' U R2 D
D' B' F L' U R2 D'
D' B' F L' U R2 D2
D' B' F L' D B2 U
D' B' F L' B U R2
D' B' F L' B' U R2
D' B' F L' B2 U R2
D' B' F D L' B2 U
D' B' F D B2 L' U
D B' D2 F L U R2
F B' U R' B D' R2
D B' F L U' L U2
D B' F L B2 U R'
D B' F D' L B2 U
D B' F D2 L U R2
L' B2 L D' F L' U
F2 B' D F' B' L U
F2 B' D B' L F' U
F2 B' D B' F' L U
B2 F' D' F L' U L'
F B' D B' L U D
F B' D B' L U D'
F B' D B' L U D2
F B' D B' L D U
F B' D B' L D' U
F B' D B' L D2 U
F B' D B' D L U
F B' D B' D' L U
F B' D B' D2 L U
R' B2 R D F U B'
R' B2 R D' F U B'
R' B2 R D2 F U B'
R' B2 R F U D B'
R' B2 R F U D' B'
R' B2 R F U D2 B'
R' B2 R F U B' D
R' B2 R F U B' D'
R' B2 R F U B' D2
R' B2 R F D U B'
R' B2 R F D' U B'
R' B2 R F D2 U B'
F B' D2 L U B' R'
L B2 L' D' F L' U
F B' D2 B' L U B'
R' B2 R' F R2 U B'
F B2 L U R' B R
F B2 L U2 R' U' B
F B2 L D2 L U B'
R' B2 R2 F R' U B'
F B2 L' U R' B R
F B2 L' U2 R' U' B
F B2 L' D2 L U B'
L' B2 U R' B L R
L' B2 U R' B R L
L' B2 U D2 B L B'
F B2 L2 U R' B R
R2 B2 R2 D' F L' U
F B2 L2 U2 R' U' B
U B2 R' F U F' B
U B2 R' F U B F'
L' B2 U B D2 L B'
F B2 L2 D2 L U B'
L' B2 U' R F' U2 L'
L' B2 U' R' U2 B L
L' B2 U' F R F' U2
R' B2 D R F U B'
L2 B2 U2 R' U' B L
L2 B2 U2 D B R' U'
D2 B2 D F L' U R2
L2 B2 U2 B R' U' B
U' B2 D' R2 F L' U
R' B2 D' R F U B'
U' B2 D' F L' R2 U
U' B2 D' F R2 L' U
L' B2 D' L F L' U
L2 B2 D U2 B R' U'
F B2 U L' D2 L B'
F B2 U R' D B R
F B2 U R' D' B R
F B2 U R' D2 B R
F B2 U R' B R D
F B2 U R' B R D'
F B2 U R' B R D2
F B2 U R' B D R
F B2 U R' B D' R
F B2 U R' B D2 R
F B2 U R' B' R B2
F B2 U R' B2 R B'
R' B2 D2 R F U B'
F B2 U D2 L B' L'
L' B2 D2 L F U B'
F B2 U B R' B R
F B2 U B' R' B R
F B2 U B2 R' B R
L' B2 D2 U B L B'
F B2 U' R F' R' U2
B' F2 D F' B' L U
B' F2 D B' L F' U
B' F2 D B' F' L U
D' B2 F L' U R2 D
D' B2 F L' U R2 D'
D' B2 F L' U R2 D2
D' B2 F L' D B2 U
D' B2 F L' B U R2
D' B2 F L' B' U R2
D' B2 F L' B2 U R2
D' B2 F D L' B2 U
D' B2 F D B2 L' U
F B2 U2 R U F' U2
F B2 U2 R' U' D B
F B2 U2 R' U' D' B
F B2 U2 R' U' D2 B
F B2 U2 R' U' B D
F B2 U2 R' U' B D'
F B2 U2 R' U' B D2
F B2 U2 R' D U' B
F B2 U2 R' D' U' B
U B2 D' F L' U F'
F B2 U2 R' D2 U' B
F' B2 D' F L' U L'
B2 F2 D' F L' F2 U
B2 F2 D' F' U2 R U'
F2 B2 D' F L' F2 U
F2 B2 D' F' U2 R U'
B2 F2 D2 L F' U B'
F2 B2 D2 L F' U B'
F B2 D B' L B U
B2 F2 D2 F' L U B'
F2 B2 D2 F' L U B'
F B2 D' F L' F' U
F B2 D2 L U D B'
F B2 D2 L U D' B'
F B2 D2 L U D2 B'
F B2 D2 L U B' D
F B2 D2 L U B' D'
F B2 D2 L U B' D2
F B2 D2 L D U B'
F B2 D2 L D' U B'
F B2 D2 L D2 U B'
F B2 D2 L' U' F U2
F B2 D2 U L B' L'
