B' R F' U' F2 B'
B' R F' U' B' F2
B' R2 U' F B' R'
B' R2 U' B' R' F
B' R2 U' B' F R'
B D F L2 B R'
B D F B L2 R'
B D F B R' L2
B D B R' F L2
B D B F L2 R'
B D B F R' L2
R F' B' U' F2 B'
R F' B' U' B' F2
B F D L2 B R'
F B D L2 B R'
B F D B L2 R'
B F D B R' L2
F B D B L2 R'
F B D B R' L2
R2 B' U' F B' R'
R2 B' U' B' R' F
R2 B' U' B' F R'
R B' F' U' F2 B'
R B' F' U' B' F2
U' B F D B R' L2
D' B F D L2 B2 R'
U2 B F D L2 B R'
U2 B F D B L2 R'
U2 B F D B R' L2
D B F D' R' B2 L
B2 F U D B U' R'
U B F D L2 B R'
U B F D B L2 R'
U B F D B R' L2
R B F D L2 B R2
R B F D B L2 R2
R B F D B R2 L2
F2 B D L2 F' B R'
F2 B D L2 B F' R'
B2 F D U B U' R'
F2 B D F' L2 B R'
F2 B D F' B L2 R'
F2 B D F' B R' L2
U' B' R F' U' F2 B'
U' B' R F' U' B' F2
F2 B D B L2 F' R'
F2 B D B F' L2 R'
F2 B D B F' R' L2
B F D L' B L' R'
B F D L' B R' L'
B F D L2 B R' D
B F D L2 B R' D'
B F D L2 B R' D2
B F D L2 B D R'
B F D L2 B D' R'
B F D L2 B D2 R'
F B D L' B L' R'
F B D L' B R' L'
F B D L2 B R' D
F B D L2 B R' D'
F B D L2 B R' D2
F B D L2 B D R'
F B D L2 B D' R'
F B D L2 B D2 R'
B F D B L2 R' D
B F D B L2 R' D'
B F D B L2 R' D2
B F D B L2 D R'
B F D B L2 D' R'
B F D B L2 D2 R'
B F D B R' L2 D
B F D B R' L2 D'
B F D B R' L2 D2
U2 B' R F' U' F2 B'
U2 B' R F' U' B' F2
F B D B L2 R' D
F B D B L2 R' D'
F B D B L2 R' D2
F B D B L2 D R'
F B D B L2 D' R'
F B D B L2 D2 R'
F B D B R' L2 D
F B D B R' L2 D'
F B D B R' L2 D2
U' B' R2 U' F B' R'
U' B' R2 U' B' R' F
U' B' R2 U' B' F R'
D' B' R2 U' F' R F2
D' B' R2 F' U' R F2
U B' R F' U' F2 B'
U B' R F' U' B' F2
R B' R U' F B' R'
R B' R U' B' R' F
R B' R U' B' F R'
R2 B' R' F' U' F2 B'
R2 B' R' F' U' B' F2
U2 B' R2 U' F B' R'
U2 B' R2 U' B' R' F
U2 B' R2 U' B' F R'
R' B' U' D' R2 F B'
R' B' U' D' R2 B' F
R' B' U' D' F R2 B'
R' B' U' D' F B' R2
R' B' U' D' B' R2 F
R' B' U' D' B' F R2
U B' R2 U' F B' R'
U B' R2 U' B' R' F
U B' R2 U' B' F R'
R' B' U' F D' R2 B'
R' B' U' F D' B' R2
B' F' R F' U' F' B'
B' F' R F' U' B' F'
R2 B' U' R F B' R'
R2 B' U' R B' R' F
R2 B' U' R B' F R'
R2 B' U' R' F B' R'
R2 B' U' R' B' R' F
R2 B' U' R' B' F R'
R2 B' U' R2 F B' R'
R2 B' U' R2 B' R' F
R2 B' U' R2 B' F R'
R2 B' U' D F B' R'
R2 B' U' D B' R' F
R2 B' U' D B' F R'
R' B' U2 B2 U F B
R' B' U2 B2 U B F
R2 B' U' D' F B' R'
R2 B' U' D' B' R' F
R2 B' U' D' B' F R'
R2 B' U' D2 F B' R'
R2 B' U' D2 B' R' F
R2 B' U' D2 B' F R'
R2 B' U' F R B' R'
F' B' R F' U' F' B'
F' B' R F' U' B' F'
R2 B' U' F R' B' R'
R2 B' U' F R2 B' R'
R2 B' U' F D B' R'
R2 B' U' F D' B' R'
R2 B' U' F D2 B' R'
R2 B' U' F B' R' D
R2 B' U' F B' R' D'
R2 B' U' F B' R' D2
R2 B' U' F B' D R'
R2 B' U' F B' D' R'
R2 B' U' F B' D2 R'
D B' U' D' F B2 R'
D B' U' D' B2 R' F
D B' U' D' B2 F R'
R2 B' U' F' B' R' F2
D B' U' F D' B2 R'
R2 B' U' B' R F R2
R2 B' U' B' R' D F
R2 B' U' B' R' D' F
R2 B' U' B' R' D2 F
R2 B' U' B' R' F D
R2 B' U' B' R' F D'
R2 B' U' B' R' F D2
R2 B' U' B' D R' F
R2 B' U' B' D F R'
R2 B' U' B' D' R' F
R2 B' U' B' D' F R'
R2 B' U' B' D2 R' F
R2 B' U' B' D2 F R'
R2 B' U' B' F R' D
R2 B' U' B' F R' D'
R2 B' U' B' F R' D2
R2 B' U' B' F D R'
R2 B' U' B' F D' R'
R2 B' U' B' F D2 R'
R2 B' U' B' F' R' F2
B' F' R2 U' F2 B' R'
B' F' R2 U' B' R' F2
B' F' R2 U' B' F2 R'
R B' U' F D R2 B'
R B' U' F D B' R2
R B' U' F B' D R2
R' B' D' U' R2 F B'
R' B' D' U' R2 B' F
R' B' D' U' F R2 B'
R' B' D' U' F B' R2
R' B' D' U' B' R2 F
R' B' D' U' B' F R2
F' B' R2 U' F2 B' R'
F' B' R2 U' B' R' F2
F' B' R2 U' B' F2 R'
R B' U' B' F D R2
F B' R F' U' F B'
F B' R F' U' B' F
R2 B' D U' F B' R'
R2 B' D U' B' R' F
R2 B' D U' B' F R'
R' B' D2 F2 U' F' B'
R' B' D2 F2 U' B' F'
R2 B' D' U' F B' R'
R2 B' D' U' B' R' F
R2 B' D' U' B' F R'
D B' D' U' F B2 R'
D B' D' U' B2 R' F
D B' D' U' B2 F R'
R B' D F' U' F2 B'
R B' D F' U' B' F2
R2 B' D2 U' F B' R'
R2 B' D2 U' B' R' F
R2 B' D2 U' B' F R'
F2 B' U' D' F' R B'
F2 B' U' D' F' B' R
F2 B' U' D' B' F' R
D' B' F' R2 U' R' F2
D' B' F' R2 U' F2 R'
R B' D' F' U' F2 B'
R B' D' F' U' B' F2
F2 B' U' B' D' F' R
R B' D2 F' U' F2 B'
R B' D2 F' U' B' F2
R2 B' F' U' F2 B' R'
R2 B' F' U' B' R' F2
R2 B' F' U' B' F2 R'
R2 B' F2 U' F' B' R'
R2 B' F2 U' B' F' R'
R B' F' R U' F2 B'
R B' F' R U' B' F2
R B' F' R' U' F2 B'
R B' F' R' U' B' F2
R B' F' R2 U' F2 B'
R B' F' R2 U' B' F2
F2 B' D' U' F' R B'
F2 B' D' U' F' B' R
R B' F' U' F2 D B'
R B' F' U' F2 D' B'
R B' F' U' F2 D2 B'
R B' F' U' F2 B' D
R B' F' U' F2 B' D'
R B' F' U' F2 B' D2
F2 B' D' U' B' F' R
R B' F' U' B' F2 D
R B' F' U' B' F2 D'
R B' F' U' B' F2 D2
F B2 R' U' B U L
R B2 U F' B U' F2
R B2 U B F' U' F2
B' F2 U' D' F' R B'
B' F2 U' D' F' B' R
B' F2 U' D' B' F' R
B' F2 U' B' D' F' R
F B2 U D B U' R'
B' F2 D' U' F' R B'
B' F2 D' U' F' B' R
B' F2 D' U' B' F' R
B F2 D L2 F' B R'
B F2 D L2 B F' R'
B F2 D F' L2 B R'
B F2 D F' B L2 R'
B F2 D F' B R' L2
B F2 D B L2 F' R'
B F2 D B F' L2 R'
B F2 D B F' R' L2
F B2 D U B U' R'
R B2 F U F2 B U'
R B2 F U B F2 U'
