F' D R2 F' B L
F' D R2 B L F'
F' D R2 B F' L
F' D R2 B F' L
R2 F' D R2 B L
F2 B U' F' U' L
B F2 U' F' U' L
F B2 L2 U' F B' L
F B2 L2 U' B' F L
F B2 U F B' U2 L
B F2 U' D F' U' L
B F2 U' D' F' U' L
F B2 U B' F U2 L
B F2 U' D2 F' U' L
B F2 U' F' U' L D
B F2 U' F' U' L D'
B F2 U' F' U' L D2
B F2 U' F' U' D L
B F2 U' F' U' D' L
B F2 U' F' U' D2 L
B F2 U' F' D U' L
B F2 U' F' D' U' L
B F2 U' F' D2 U' L
F B2 U' L2 F B' L
F B2 U' L2 B' F L
B F2 U2 L U F' U'
B F2 D U' F' U' L
B F2 D' U' F' U' L
B F2 D2 U' F' U' L
