U' R B' L U2
U' B' L R U2
U' B' R L U2
B' L R U L' U
B' R L U L' U
R' U' R2 B' L U2
R2 U' R' B' L U2
U' R B' L U2 D
U' R B' L U2 D'
U' R B' L U2 D2
U' R B' L D U2
U' R B' L D' U2
U' R B' L D2 U2
U R B' L U2 B
U' R B' D L U2
U' R B' D' L U2
U' R B' D2 L U2
R' U' B' L R2 U2
R' U' B' R2 L U2
U' R' B' L R2 U2
U' R' B' R2 L U2
B U R' D2 L2 F2
B U R' D2 F2 L2
B U D2 F2 L' R'
B U D2 F2 R' L'
B U' R B2 U2 R2
F2 U' B' L U2 L2
B U' B2 L R U2
B U' B2 R L U2
B D2 U F2 L' R'
B D2 U F2 R' L'
U' B R B2 U2 R2
U' B' L R U2 D
U' B' L R U2 D'
U' B' L R U2 D2
U' B' L R D U2
U' B' L R D' U2
U' B' L R D2 U2
U' B' L D R U2
U' B' L D' R U2
U' B' L D2 R U2
U' B' R L U2 D
U' B' R L U2 D'
U' B' R L U2 D2
U' B' R L D U2
U' B' R L D' U2
U' B' R L D2 U2
U' B' R D L U2
U' B' R D' L U2
U' B' R D2 L U2
R B' L U L' U
U' B' D L R U2
U' B' D R L U2
U' B' D' L R U2
U' B' D' R L U2
U' B' D2 L R U2
U' B' D2 R L U2
B F2 U R' L' D2 F2
B F2 U R' D2 L' F2
U' B2 D' B L R U2
U' B2 D' B R L U2
B F2 U D2 L' R' F2
B F2 U D2 L' F2 R'
B F2 U D2 R' L' F2
U' B2 D2 B L R U2
U' B2 D2 B R L U2
B F2 U' B2 L U2 L2
B F2 D' R2 U L' R
B F2 D' R2 U R L'
B F2 D2 U L' R' F2
B F2 D2 U L' F2 R'
B F2 D2 U R' L' F2
