B L D' R2 B'
B L D' B' R2
B L R D' R2 B'
B L R D' B' R2
B L R' D' R2 B'
B L R' D' B' R2
B L R2 D' R2 B'
B L R2 D' B' R2
B L U' B2 U B
B L D B' D2 R2
B L D' R B' R
B L D' R2 D B'
B L D' R2 D' B'
B L D' R2 D2 B'
B L D' R2 B' D
B L D' R2 B' D'
B L D' R2 B' D2
B L D' B R2 B2
B L D' B' R2 D
B L D' B' R2 D'
B L D' B' R2 D2
B L D2 B' D R2
B L D2 B' D R2
U' L F U B' R'
B2 L B' L D' R2
B L B' U' B' U
B2 L B' D' L R2
B2 L B' D' R2 L
B L2 D' L' R2 B'
B L2 D' L' B' R2
B L2 D' R2 L' B'
B R L D' R2 B'
B R L D' B' R2
B R' L D' R2 B'
B R' L D' B' R2
D2 R' B L D' R2
D2 R' B D' L R2
D2 R' B D' R2 L
B R2 L D' R2 B'
B R2 L D' B' R2
U' D' B' L F U
D' U' B' L F U
B D' R2 D L B'
R' B L D' R2 B'
R' B L D' B' R2
R2 B L D' R2 B'
R2 B L D' B' R2
R B L D' R2 B'
R B L D' B' R2
D B D' L R2 B'
D B D' L B' R2
D B D' R2 L B'
U' B' L F U B'
U' B' U B L B'
B L D2 B' D R2 D'
B L D2 B' D R2 D2
B L D2 B2 D B R2
U' L F U R B' R'
U' L F U R' B' R'
U' L F U R2 B' R'
U' L F U D B' R'
U' L F U D' B' R'
U' L F U D2 B' R'
U' L F U B' R' D
U' L F U B' R' D'
U' L F U B' R' D2
U' L F U B' D R'
U' L F U B' D' R'
U' L F U B' D2 R'
U' L F D U B' R'
U' L F D' U B' R'
U' L F D2 U B' R'
B L F D' F' R2 B'
B L F D' F' B' R2
B L F D' B' F' R2
B L F' D' R2 F B'
B L F' D' R2 B' F
B L F' D' F R2 B'
B L F' D' F B' R2
B L F' D' B' R2 F
B L F' D' B' F R2
B L B U' B U B
B2 L B' L R D' R2
B2 L B' L R' D' R2
B2 L B' L R2 D' R2
B2 L B' L U' B2 U
B2 L B' L D' R2 D
B2 L B' L D' R2 D'
B2 L B' L D' R2 D2
B2 L B' L2 D' L' R2
B2 L B' L2 D' R2 L'
B2 L B' R L D' R2
B2 L B' R D' L R2
B2 L B' R D' R2 L
B2 L B' R' L D' R2
B2 L B' R' D' L R2
B2 L B' R' D' R2 L
B L B' R U' B' U
B2 L B' R2 L D' R2
B2 L B' R2 D' L R2
B2 L B' R2 D' R2 L
B L B' R' U' B' U
B L B' R2 U' B' U
B L B' U' D B' U
B L B' U' D' B' U
B L B' U' D2 B' U
B L B' U' B' U D
B L B' U' B' U D'
B L B' U' B' U D2
B L B' U' B' D U
B L B' U' B' D' U
B L B' U' B' D2 U
B2 L B' D' L R2 D
B2 L B' D' L R2 D'
B2 L B' D' L R2 D2
B2 L B' D' R2 L D
B2 L B' D' R2 L D'
B2 L B' D' R2 L D2
B2 L B' D' R2 D L
B2 L B' D' R2 D' L
B2 L B' D' R2 D2 L
B L B' D U' B' U
B2 L B' D2 L D R2
B L B' D' U' B' U
B L B' D2 U' B' U
B' L B2 L D' B R2
B' L B2 D' L B R2
D2 L' R' D' B L R'
D2 L' R' D' B R' L
B L' U' B2 U L2 B'
U2 L' D F L' R U2
U2 L' D F R L' U2
D' L' D' R' B L R'
D' L' D' R' B R' L
B L' D' R2 D L2 B'
D' L' D' B L R' B
D' L' D' B R' L B
D L' D' B L R' B'
D L' D' B R' L B'
B L' B L2 B' D' R2
B L2 R D' L' R2 B'
B L2 R D' L' B' R2
B L2 R D' R2 L' B'
B L2 R' D' L' R2 B'
B L2 R' D' L' B' R2
B L2 R' D' R2 L' B'
B L2 R2 D' L' R2 B'
B L2 R2 D' L' B' R2
B L2 R2 D' R2 L' B'
U2 L2 U' F R B U'
B L2 U' B2 U L' B'
B L2 D' L' R B' R
B L2 D' L' R2 D B'
B L2 D' L' R2 D' B'
B L2 D' L' R2 D2 B'
B L2 D' L' R2 B' D
B L2 D' L' R2 B' D'
B L2 D' L' R2 B' D2
B L2 D' L' B R2 B2
B L2 D' L' B' R2 D
B L2 D' L' B' R2 D'
B L2 D' L' B' R2 D2
B L2 D' R L' B' R
B L2 D' R2 L' D B'
B L2 D' R2 L' D' B'
B L2 D' R2 L' D2 B'
B L2 D' R2 L' B' D
B L2 D' R2 L' B' D'
B L2 D' R2 L' B' D2
B L2 D' R2 D L' B'
B L2 D' R2 D' L' B'
B L2 D' R2 D2 L' B'
B L2 D' R2 B L' B'
B L2 D' R2 B' L' B'
B L2 D' R2 B2 L' B'
B L2 D' B L' R2 B'
B L2 D' B L' B' R2
B L2 D' B R2 L' B'
B L2 D' B' L' R2 B'
B L2 D' B' L' B' R2
B L2 D' B' R2 L' B'
B L2 D' B2 L' R2 B'
B L2 D' B2 L' B' R2
B L2 D' B2 R2 L' B'
B L2 D2 L' D R2 B'
B L2 D2 L' D B' R2
B L2 D2 L' B' D R2
L U R B U' B2 R'
B L2 B L' B' D' R2
B R L U' B2 U B
B R L D B' D2 R2
B R L D' R B' R
B R L D' R2 D B'
B R L D' R2 D' B'
B R L D' R2 D2 B'
B R L D' R2 B' D
B R L D' R2 B' D'
B R L D' R2 B' D2
B R L D' B R2 B2
B R L D' B' R2 D
B R L D' B' R2 D'
B R L D' B' R2 D2
B R L D2 B' D R2
B R L B' U' B' U
B R L2 D' L' R2 B'
B R L2 D' L' B' R2
B R L2 D' R2 L' B'
D' R U' B' L F U
L U B2 U' B L R'
L U B2 U' B R' L
B R D' R2 D L B'
R' U' L F U B' R'
R2 U' L F U B' R'
R U' L F U B' R'
D2 R B L D' R2 B
D2 R B D' L R2 B
D2 R B D' R2 L B
D R B D' L R2 B'
D R B D' L B' R2
D R B D' R2 L B'
R' U' D' B' L F U
R2 U' D' B' L F U
B R' L U' B2 U B
B R' L D B' D2 R2
B R' L D' R B' R
B R' L D' R2 D B'
B R' L D' R2 D' B'
B R' L D' R2 D2 B'
B R' L D' R2 B' D
B R' L D' R2 B' D'
B R' L D' R2 B' D2
B R' L D' B R2 B2
R U' D' B' L F U
B R' L D' B' R2 D
B R' L D' B' R2 D'
B R' L D' B' R2 D2
B R' L D2 B' D R2
D2 R' L' D' B L R'
D2 R' L' D' B R' L
B R' L B' U' B' U
B R' L2 D' L' R2 B'
B R' L2 D' L' B' R2
B R' L2 D' R2 L' B'
D' R' U' B' L F U
R' U' B' L F U B'
R' U' B' U B L B'
R2 U' B' L F U B'
R U' B' L F U B'
R2 U' B' U B L B'
D2 R' D B L D' R2
D2 R' D B D' L R2
D2 R' D B D' R2 L
R U' B' U B L B'
D2 R' D' B L D' R2
D2 R' D' B D' L R2
D2 R' D' B D' R2 L
B R' D' R2 D L B'
D2 R' D2 B L D' R2
D2 R' D2 B D' L R2
D2 R' D2 B D' R2 L
D2 R' B L R D' R2
D2 R' B L R' D' R2
D2 R' B L R2 D' R2
D2 R' B L U' B2 U
D2 R' B L D' R2 D
D2 R' B L D' R2 D'
D2 R' B L D' R2 D2
D2 R' B L2 D' L' R2
D2 R' B L2 D' R2 L'
D2 R' B R L D' R2
D2 R' B R D' L R2
D2 R' B R D' R2 L
D2 R' B R' L D' R2
D2 R' B R' D' L R2
D2 R' B R' D' R2 L
D2 R' B R2 L D' R2
D2 R' B R2 D' L R2
D2 R' B R2 D' R2 L
D2 R' B D' L R2 D
D2 R' B D' L R2 D'
D2 R' B D' L R2 D2
D2 R' B D' R2 L D
D2 R' B D' R2 L D'
D2 R' B D' R2 L D2
D2 R' B D' R2 D L
D2 R' B D' R2 D' L
D2 R' B D' R2 D2 L
D2 R' B D2 L D R2
D R' B D' L R2 B'
D R' B D' L B' R2
D R' B D' R2 L B'
L' U2 D F L' R U2
L' U2 D F R L' U2
B R2 L U' B2 U B
B R2 L D B' D2 R2
B R2 L D' R B' R
B R2 L D' R2 D B'
B R2 L D' R2 D' B'
B R2 L D' R2 D2 B'
B R2 L D' R2 B' D
B R2 L D' R2 B' D'
B R2 L D' R2 B' D2
B R2 L D' B R2 B2
B R2 L D' B' R2 D
B R2 L D' B' R2 D'
B R2 L D' B' R2 D2
B R2 L D2 B' D R2
B R2 L B' U' B' U
B R2 L2 D' L' R2 B'
B R2 L2 D' L' B' R2
B R2 L2 D' R2 L' B'
D' R2 U' B' L F U
B R2 D' R2 D L B'
D R2 B D' L R2 B'
D R2 B D' L B' R2
D R2 B D' R2 L B'
U' D L F L' B' U
L' D U2 F L' R U2
L' D U2 F R L' U2
L' D F L' U2 F' L'
R' D B D' L R2 B'
R' D B D' L B' R2
R' D B D' R2 L B'
R2 D B D' L R2 B'
R2 D B D' L B' R2
R2 D B D' R2 L B'
R D B D' L R2 B'
R D B D' L B' R2
R D B D' R2 L B'
L' D' L B L R' B'
L' D' L B R' L B'
L' D' L2 B L R' B2
L' D' L2 B R' L B2
U' D B' L F L' U
D U' L F L' B' U
R' D' U' B' L F U
R2 D' U' B' L F U
B2 U' L B U B2 L
R D' U' B' L F U
B U' L' B2 U L2 B'
L' D' B L D2 R' B
L' D' B L2 R' B' L'
D' U' F B' L F U
U' D' F B' L F U
L' D' B R' L2 B' L'
U' D' F' B' L F U
D' U' F' B' L F U
D' U' F2 B' L F U
U' D' F2 B' L F U
L' D' B2 L2 B' L R'
L' D' B2 L2 B' R' L
U' D' B' L D F U
U' D' B' L D' F U
U' D' B' L D2 F U
D' U' B' L D F U
U' D' B' L F U D
U' D' B' L F U D'
U' D' B' L F U D2
U' D' B' L F D U
U' D' B' L F D' U
U' D' B' L F D2 U
D' U' B' L D' F U
D' U' B' L D2 F U
D' U' B' L F U D
D' U' B' L F U D'
D' U' B' L F U D2
D' U' B' L F D U
D' U' B' L F D' U
D' U' B' L F D2 U
U' D' B' D L F U
D' U' B' D L F U
U' D' B' D' L F U
D' U' B' D' L F U
U' D' B' D2 L F U
D' U' B' D2 L F U
U' D' B' F L F U
D' U' B' F L F U
U' D' B' F' L F U
D' U' B' F' L F U
U' D' B' F2 L F U
D' U' B' F2 L F U
D U' B' L F L' U
R' D2 R' B L D' R2
R' D2 R' B D' L R2
R' D2 R' B D' R2 L
B2 U' B U B2 L B'
R2 D2 R' B L D' R2
R2 D2 R' B D' L R2
R2 D2 R' B D' R2 L
R D2 R' B L D' R2
R D2 R' B D' L R2
R D2 R' B D' R2 L
B U' B2 U B2 L B'
B U2 L D' B' R2 F'
U' F L F U B' R'
L' F U2 D F' L' R
L' F U2 D F' R L'
B D L D B2 R' B
L' F D U2 F' L' R
L' F D U2 F' R L'
B D L B2 D R' B
U' F D' B' L F U
U' F B' L F U B'
U' F B' U B L B'
U' F' L F U B' R'
B' D B2 D' L R2 B'
B' D B2 D' L B' R2
B' D B2 D' R2 L B'
B D' L R' D' R' B
U' F' D' B' L F U
B D' R D L R B'
B D' R D L B' R
B D' R D R L B'
U' F' B' L F U B'
B D' R' L D' R' B
U' F' B' U B L B'
B D' R' D L R' B'
B D' R' D R' L B'
B D' R' D' L R' B
B D' R' D' R' L B
B D' R2 D L D B'
B D' R2 D L D' B'
B D' R2 D L D2 B'
B D' R2 D L B' D
B D' R2 D L B' D'
B D' R2 D L B' D2
U' F2 L F U B' R'
B D2 L R D R2 B
B D2 L R' D B R2
B D2 L R' B D R2
U' F2 D' B' L F U
B D2 R L D R2 B
B D2 R D L R2 B
B D2 R D R2 L B
U' F2 B' L F U B'
B D2 R' L D B R2
B D2 R' L B D R2
U' F2 B' U B L B'
B D2 R' D L B R2
R' B L R D' R2 B'
R' B L R D' B' R2
R' B L R' D' R2 B'
R' B L R' D' B' R2
D2 B L R D' R2 B
R' B L R2 D' R2 B'
R' B L R2 D' B' R2
D2 B L R' D' B R2
R' B L U' B2 U B
D' B L U' B2 L U
R' B L D B' D2 R2
U' B L F B2 U B
R' B L D' R B' R
R' B L D' R2 D B'
R' B L D' R2 D' B'
R' B L D' R2 D2 B'
R' B L D' R2 B' D
R' B L D' R2 B' D'
R' B L D' R2 B' D2
R' B L D' B R2 B2
R' B L D' B' R2 D
R' B L D' B' R2 D'
R' B L D' B' R2 D2
R' B L D2 B' D R2
U' B L B2 F U B
R' B L B' U' B' U
R2 B L R D' R2 B'
R2 B L R D' B' R2
R2 B L R' D' R2 B'
R2 B L R' D' B' R2
R2 B L R2 D' R2 B'
R2 B L R2 D' B' R2
R2 B L U' B2 U B
R2 B L D B' D2 R2
R2 B L D' R B' R
R2 B L D' R2 D B'
R2 B L D' R2 D' B'
R2 B L D' R2 D2 B'
R2 B L D' R2 B' D
R2 B L D' R2 B' D'
R2 B L D' R2 B' D2
R2 B L D' B R2 B2
R2 B L D' B' R2 D
R2 B L D' B' R2 D'
R2 B L D' B' R2 D2
R2 B L D2 B' D R2
R2 B L B' U' B' U
L B L U F U' B2
R' B L2 D' L' R2 B'
R' B L2 D' L' B' R2
R' B L2 D' R2 L' B'
R B L R D' R2 B'
R B L R D' B' R2
R B L R' D' R2 B'
R B L R' D' B' R2
R B L R2 D' R2 B'
R B L R2 D' B' R2
R B L U' B2 U B
R' B R L D' R2 B'
R' B R L D' B' R2
R B L D B' D2 R2
R B L D' R B' R
R B L D' R2 D B'
R B L D' R2 D' B'
R B L D' R2 D2 B'
R B L D' R2 B' D
R B L D' R2 B' D'
R B L D' R2 B' D2
D2 B R L D' R2 B
R B L D' B R2 B2
R B L D' B' R2 D
R B L D' B' R2 D'
R B L D' B' R2 D2
L B L B2 U F U'
R B L D2 B' D R2
R B L B' U' B' U
D2 B R D' L R2 B
D' B R D L B2 R'
D2 B R D' R2 L B
R2 B L2 D' L' R2 B'
R2 B L2 D' L' B' R2
R2 B L2 D' R2 L' B'
R' B R' L D' R2 B'
R' B R' L D' B' R2
D2 B R' L D' B R2
R2 B R L D' R2 B'
R2 B R L D' B' R2
D2 B R' D' L B R2
R' B R2 L D' R2 B'
R' B R2 L D' B' R2
D B R D' L R2 B'
D B R D' L B' R2
D B R D' R2 L B'
R B L2 D' L' R2 B'
R B L2 D' L' B' R2
R B L2 D' R2 L' B'
R2 B R' L D' R2 B'
R2 B R' L D' B' R2
R B R L D' R2 B'
R B R L D' B' R2
D B R' D' L R2 B'
D B R' D' L B' R2
D B R' D' R2 L B'
R2 B R2 L D' R2 B'
R2 B R2 L D' B' R2
R B R' L D' R2 B'
R B R' L D' B' R2
D B R2 D' L R2 B'
D B R2 D' L B' R2
D B R2 D' R2 L B'
R B R2 L D' R2 B'
R B R2 L D' B' R2
F2 B L F2 D' R2 B'
F2 B L F2 D' B' R2
B F L D' F' R2 B'
B F L D' F' B' R2
B F L D' B' F' R2
B F L F' D' R2 B'
B F L F' D' B' R2
F B L D' F' R2 B'
F B L D' F' B' R2
F B L D' B' F' R2
F B L F' D' R2 B'
F B L F' D' B' R2
R' B D' R2 D L B'
D2 B D' R2 D' L B'
D B D L B2 R' B
D2 B D2 L D R2 B'
D2 B D2 L D B' R2
D2 B D2 L B' D R2
D B D' L R B' R
D B D' L R2 D B'
D B D' L R2 D' B'
D B D' L R2 D2 B'
D B D' L R2 B' D
D B D' L R2 B' D'
D B D' L R2 B' D2
D B D' L B R2 B2
D B D' L B' R2 D
D B D' L B' R2 D'
D B D' L B' R2 D2
R2 B D' R2 D L B'
D B D' R L B' R
D B D' R2 L D B'
D B D' R2 L D' B'
D B D' R2 L D2 B'
D B D' R2 L B' D
D B D' R2 L B' D'
D B D' R2 L B' D2
R B D' R2 D L B'
B' F U F' B2 L B'
B' F U B2 L F' B'
B' F U B2 L B' F'
B' F U B2 F' L B'
U' B' L D F U B'
U' B' L D' F U B'
U' B' L D2 F U B'
U' B' L F U D B'
U' B' L F U D' B'
U' B' L F U D2 B'
U' B' L F U B' D
U' B' L F U B' D'
U' B' L F U B' D2
U' B' L F D U B'
U' B' L F D' U B'
U' B' L F D2 U B'
U' B' U L B L B2
U' B' U B L D B'
U' B' U B L D' B'
U' B' U B L D2 B'
U' B' U B L B' D
U' B' U B L B' D'
U' B' U B L B' D2
U' B' U B2 L B' L
U' B' D L F L' U
L B' U2 R' U' F' U'
B' F' U F B2 L B'
U' B' F L F U B'
B' F' U B2 F L B'
F' B' U F B2 L B'
U' B' F U B L B'
F' B' U B2 F L B'
F2 B' U F2 B2 L B'
U' B' F' L F U B'
F2 B' U B2 L F2 B'
F2 B' U B2 L B' F2
F2 B' U B2 F2 L B'
U' B' F' U B L B'
U' B' F2 L F U B'
U' B' F2 U B L B'
F B' U F' B2 L B'
F B' U B2 L F' B'
F B' U B2 L B' F'
F B' U B2 F' L B'
U' B2 L F B U B2
U' B2 L B F U B2
R' B2 L B' L D' R2
R' B2 L B' D' L R2
R' B2 L B' D' R2 L
R2 B2 L B' L D' R2
R2 B2 L B' D' L R2
R2 B2 L B' D' R2 L
R B2 L B' L D' R2
R B2 L B' D' L R2
R B2 L B' D' R2 L
B F2 L F2 D' R2 B'
B F2 L F2 D' B' R2
B' F2 U F2 B2 L B'
B' F2 U B2 L F2 B'
B' F2 U B2 L B' F2
B' F2 U B2 F2 L B'
