B2 U' R' F' B
B2 U' R' B F'
B2 L U' R' F' B
B2 L U' R' B F'
B2 L' U' R' F' B
B2 L' U' R' B F'
B2 L2 U' R' F' B
B2 L2 U' R' B F'
B2 L2 U' R' B F'
B2 U' R' D F' B
B2 U' R' D B F'
B2 U' R' D' F' B
B2 U' R' D' B F'
B2 U' R' D2 F' B
B2 U' R' D2 B F'
B2 U' R' F' D B
B2 U' R' F' D' B
B2 U' R' F' D2 B
B2 U' R' F' B D
B2 U' R' F' B D'
B2 U' R' F' B D2
B2 U' R' B D F'
B2 U' R' B D' F'
B2 U' R' B D2 F'
B2 U' R' B F' D
B2 U' R' B F' D'
B2 U' R' B F' D2
B2 U' F R' F' B
B2 U' F R' B F'
B2 U' F' R' F' B
B2 U' F' R' B F'
B2 U' F2 R' F' B
B2 U' F2 R' B F'
B2 F' L' U' R' B
F' B2 L' U' R' B
R' B2 U' R' F' B'
R' B2 U' R' B' F'
B2 U' R2 B R B F'
B2 U' R2 B' R F' B
B2 U' R2 B' R B F'
B2 U' R2 B2 R F' B
B2 U' R2 B2 R B F'
B2 U' F R' D F' B
B2 U' F R' D B F'
B2 U' F R' D' F' B
B2 U' F R' D' B F'
B2 U' F R' D2 F' B
B2 U' F R' D2 B F'
B2 U' F R' F' D B
B2 U' F R' F' D' B
B2 U' F R' F' D2 B
B2 U' F R' F' B D
B2 U' F R' F' B D'
B2 U' F R' F' B D2
B2 U' F R' B D F'
B2 U' F R' B D' F'
B2 U' F R' B D2 F'
B2 U' F R' B F' D
B2 U' F R' B F' D'
B2 U' F R' B F' D2
B2 U' F' R' D F' B
B2 U' F' R' D B F'
B2 U' F' R' D' F' B
B2 U' F' R' D' B F'
B2 U' F' R' D2 F' B
B2 U' F' R' D2 B F'
B2 U' F' R' F' D B
B2 U' F' R' F' D' B
B2 U' F' R' F' D2 B
B2 U' F' R' F' B D
B2 U' F' R' F' B D'
B2 U' F' R' F' B D2
B2 U' F' R' B D F'
B2 U' F' R' B D' F'
B2 U' F' R' B D2 F'
B2 U' F' R' B F' D
B2 U' F' R' B F' D'
B2 U' F' R' B F' D2
B2 U' F2 R' D F' B
B2 U' F2 R' D B F'
B2 U' F2 R' D' F' B
B2 U' F2 R' D' B F'
B2 U' F2 R' D2 F' B
B2 U' F2 R' D2 B F'
B2 U' F2 R' F' D B
B2 U' F2 R' F' D' B
B2 U' F2 R' F' D2 B
B2 U' F2 R' F' B D
B2 U' F2 R' F' B D'
B2 U' F2 R' F' B D2
B2 U' F2 R' B D F'
B2 U' F2 R' B D' F'
B2 U' F2 R' B D2 F'
B2 U' F2 R' B F' D
B2 U' F2 R' B F' D'
B2 U' F2 R' B F' D2
B2 U' B' R' F' B R'
B2 U' B' R' B F' R'
F' U' B2 L' U' R' B
B2 U2 L U R' F' B
B2 U2 L U R' B F'
B2 U2 L' U R' F' B
B2 U2 L' U R' B F'
B2 U2 L2 U R' F' B
B2 U2 L2 U R' B F'
B U2 B L U' R' B
B2 U2 B' R' U B R'
F' U2 B2 L' U' R' B
R F' L U' L2 B2 U'
R F' L U' B2 L2 U'
R F' L U2 D L2 F2
R F' L U2 D F2 L2
R F' L D U2 L2 F2
R F' L D U2 F2 L2
R F' L D' R2 B2 U2
R F' L D' B2 R2 U2
L F' L' B2 U' R' B
R F' U' B2 L' U' R'
B2 D' F' L' R U' R2
B2 D' F' R L' U' R2
B2 D2 L U' R' F' B'
B2 D2 L U' R' B' F'
U2 B L B U' R' B
F' B L' B U' R' B
B2 F U' R' D' F2 B
B2 F U' R' D' B F2
B2 F U' R' B D' F2
B2 F U2 R U R2 B
B2 F' L' R U' R2 B
B2 F' L' U' R' D B
B2 F' L' U' R' D' B
B2 F' L' U' R' D2 B
B2 F' L' U' R' B D
B2 F' L' U' R' B D'
B2 F' L' U' R' B D2
B2 F' L' F U' R' B
B2 F' L' F' U' R' B
B2 F' L' F2 U' R' B
B F' L' B U' R' B
B2 F' R L' U' R2 B
U B2 L U' R' F B
U B2 L U' R' B F
U B2 L U' F R' B
U' B2 R U' R2 F' B
U' B2 R U' R2 B F'
F' B2 L' R U' R2 B
F' B2 L' U' R' D B
F' B2 L' U' R' D' B
F' B2 L' U' R' D2 B
F' B2 L' U' R' B D
F' B2 L' U' R' B D'
F' B2 L' U' R' B D2
F' B2 L' F U' R' B
F' B2 L' F' U' R' B
F' B2 L' F2 U' R' B
F' B2 R L' U' R2 B
R' B2 U' R' D F' B'
R' B2 U' R' D B' F'
R' B2 U' R' D' F' B'
R' B2 U' R' D' B' F'
R' B2 U' R' D2 F' B'
R' B2 U' R' D2 B' F'
R' B2 U' R' F' D B'
R' B2 U' R' F' D' B'
R' B2 U' R' F' D2 B'
R' B2 U' R' F' B' D
R' B2 U' R' F' B' D'
R' B2 U' R' F' B' D2
R' B2 U' R' B' D F'
R' B2 U' R' B' D' F'
R' B2 U' R' B' D2 F'
R' B2 U' R' B' F' D
R' B2 U' R' B' F' D'
R' B2 U' R' B' F' D2
R' B2 U' R2 B' R F'
R' B2 U' D R' F' B'
R' B2 U' D R' B' F'
R' B2 U' D' R' F' B'
R' B2 U' D' R' B' F'
R' B2 U' D2 R' F' B'
R' B2 U' D2 R' B' F'
R' B2 U' F R' F' B'
R' B2 U' F R' B' F'
R' B2 U' F' R' F' B'
R' B2 U' F' R' B' F'
R' B2 U' F2 R' F' B'
R' B2 U' F2 R' B' F'
R' B2 D U' R' F' B'
R' B2 D U' R' B' F'
R B2 U F' U2 R' F'
R B2 U' R2 B R F'
R' B2 D' U' R' F' B'
R' B2 D' U' R' B' F'
R' B2 D2 U' R' F' B'
R' B2 D2 U' R' B' F'
F B2 U' R' D' F2 B
F B2 U' R' D' B F2
F B2 U' R' B D' F2
F B2 U2 R U R2 B
