R2 L' U' R2 D B2
R2 L' F U' R2 B
U L' U2 L U L'
L' R2 U' R2 D B2
L' R2 F U' R2 B
R' U' L' U' L R
R' U' L' U' R L
R2 U' L' U' L R2
R2 U' L' U' R2 L
R U' L' U' L R'
R U' L' U' R' L
B2 U L' B2 R' U'
L' F R2 U' B R2
L' F2 D R2 U' R2
D' R U' L' U' L R'
D' R U' L' U' R' L
D R U' L' U' L R'
D R U' L' U' R' L
R' U' L' U' L R D
R' U' L' U' L R D'
R' U' L' U' L R D2
R' U' L' U' L D R
R' U' L' U' L D' R
R' U' L' U' L D2 R
R' U' L' U' R L D
R' U' L' U' R L D'
R' U' L' U' R L D2
R' U' L' U' R D L
R' U' L' U' R D' L
R' U' L' U' R D2 L
R' U' L' U' D L R
R' U' L' U' D R L
R' U' L' U' D' L R
R' U' L' U' D' R L
R' U' L' U' D2 L R
R' U' L' U' D2 R L
R' U' L' D U' L R
R' U' L' D U' R L
R' U' L' D' U' L R
R' U' L' D' U' R L
R' U' L' D2 U' L R
R' U' L' D2 U' R L
R2 U' L' U' L R2 D
R2 U' L' U' L R2 D'
R2 U' L' U' L R2 D2
R2 U' L' U' R2 L D
R2 U' L' U' R2 L D'
R2 U' L' U' R2 L D2
R2 U' L' U' R2 D L
R2 U' L' U' R2 D' L
R2 U' L' U' R2 D2 L
R2 U' L' D' F2 U' L
R U' L' U' L R' D
R U' L' U' L R' D'
R U' L' U' L R' D2
R U' L' U' L D R'
R U' L' U' L D' R'
R U' L' U' L D2 R'
R U' L' U' R' L D
R U' L' U' R' L D'
R U' L' U' R' L D2
R U' L' U' R' D L
R U' L' U' R' D' L
R U' L' U' R' D2 L
R U' L' U' D L R'
R U' L' U' D R' L
R U' L' U' D' L R'
R U' L' U' D' R' L
R U' L' U' D2 L R'
R U' L' U' D2 R' L
R2 U' L' F U' L R2
R2 U' L' F U' R2 L
R2 U' L' F' U' L R2
R2 U' L' F' U' R2 L
R U' L' D U' L R'
R U' L' D U' R' L
R2 U' L' F2 U' L R2
R U' L' D' U' L R'
R2 U' L' F2 U' R2 L
R U' L' D' U' R' L
R U' L' D2 U' L R'
R U' L' D2 U' R' L
R U' L' F U' L R'
R U' L' F U' R' L
R U' L' F' U' L R'
R U' L' F' U' R' L
R U' L' F2 U' L R'
R U' L' F2 U' R' L
L U' L2 U' L2 D2 R2
R' U' R U L' R' U'
R' U' R U R' L' U'
L' U' R U R' U' R
L' U' R' U R U' R'
R U' R' U L' R U'
R U' R' U R L' U'
L' U' R2 U R2 U' R2
L' U' R2 D B2 D' R2
R2 U' R2 U L' R2 U'
R2 U' R2 U R2 L' U'
R' U' D L' U' L R
R' U' D L' U' R L
R' U' D' L' U' L R
R' U' D' L' U' R L
R U' D L' U' L R'
R U' D L' U' R' L
R2 U' D' L' F2 U' L
R' U' D2 L' U' L R
R' U' D2 L' U' R L
R U' D' L' U' L R'
R U' D' L' U' R' L
R U' D2 L' U' L R'
R U' D2 L' U' R' L
U' R' U L' R U' R'
U' R' U R L' U' R'
D2 R' U' L' U' L R
D2 R' U' L' U' R L
D' R' U' L' U' L R
D' R' U' L' U' R L
B2 R' U' L' B2 U' R
R' U' B L' U' L R
R' U' B L' U' R L
D R' U' L' U' L R
D R' U' L' U' R L
L' U' B U' B' U B
R2 U' B L' U' L R2
R2 U' B L' U' R2 L
B2 R' U' B2 L' U' R
F R' U' R' F' B R2
F R' U' R' B F' R2
R' U' B' L' U' L R
R' U' B' L' U' R L
B R' U' B' L' U' R
L U' B L2 F U' L2
L' U' B' U' B U B'
R2 U' B' L' U' L R2
R2 U' B' L' U' R2 L
R' U' B2 L' U' L R
R' U' B2 L' U' R L
L' U' B2 U' B2 U B2
R2 U' B2 L' U' L R2
R2 U' B2 L' U' R2 L
L' U' B2 D' R2 D B2
F2 R' D2 L2 U' R B2
F2 R' D2 L2 U' B2 R
L' U2 L' B2 U R' B2
L' U2 L2 D' B2 U B2
R' U2 R U L' U' L
U' R' F2 L' R U L
U' R' F2 R L' U L
R U2 R' U L' U' L
R2 U2 R2 U L' U' L
D2 R2 L' U' R2 D B2
D' R2 L' U' R2 D B2
D2 R2 L' F U' R2 B
D' R2 L' F U' R2 B
D R2 L' U' R2 D B2
D R2 L' F U' R2 B
U R2 L' D B2 R' U'
U' R2 U L' R2 U' R2
U' R2 U R2 L' U' R2
D2 R2 U' L' U' L R2
D2 R2 U' L' U' R2 L
D' R2 U' L' U' L R2
D' R2 U' L' U' R2 L
B2 R2 U' L' B2 U' R2
D R2 U' L' U' L R2
D R2 U' L' U' R2 L
R U2 F2 R' D' L2 F2
R U2 F2 R' D' F2 L2
B2 R2 U' B2 L' U' R2
B R2 U' B' L' U' R2
F R2 U' B R' F' R'
L' U2 B2 L' U B2 R'
L' U2 B2 U B2 D' R2
U R2 D L' B2 R' U'
R2 D L' U2 B2 U B2
F R2 F' L' U' B R2
L' D R2 U' R2 D B2
L' D R2 F U' R2 B
R' D U' L' U' L R
R' D U' L' U' R L
R D U' L' U' L R'
R D U' L' U' R' L
D' U L' U2 L U L'
D2 U L' U2 L U L'
B2 U L' R B2 R' U'
B2 U L' R' B2 R' U'
B2 U L' R2 B2 R' U'
L' D F R2 U' B R2
B' U L' B2 R' B' U'
D U L' U2 L U L'
B2 U L' B2 R' U' D
B2 U L' B2 R' U' D'
B2 U L' B2 R' U' D2
B2 U L' B2 R' D U'
B2 U L' B2 R' D' U'
B2 U L' B2 R' D2 U'
B2 U L' B2 D R' U'
B2 U L' B2 D' R' U'
B2 U L' B2 D2 R' U'
U D L' U2 L U L'
B2 U R L' B2 R' U'
L' D F2 D R2 U' R2
B2 U R' L' B2 R' U'
L D F2 D2 B2 D L2
B2 U R2 L' B2 R' U'
F' U F U' L' F' U'
R2 D' L' F2 U F2 U2
R2 D' L' F2 U' D2 B2
R2 D' L' F2 D R2 U'
R2 D' L' F2 D2 U' B2
F2 U F2 U' L' F2 U'
B' U B L' U2 L U
L' D' R2 U' R2 D B2
B U B L' B2 R' U'
L' D' R2 F U' R2 B
B' U B' L' B2 R' U'
B U B' L' U2 L U
R' D' U' L' U' L R
R' D' U' L' U' R L
B2 U B2 L' U2 L U
U D' L' U2 L U L'
R2 D' U' L' F2 U' L
B' U' L B L2 F U'
R D' U' L' U' L R'
R D' U' L' U' R' L
L' D' F R2 U' B R2
B' U' L' B U2 B' U
B2 U' L' B2 U' D' R2
B2 U' L' B2 U2 B2 U
B2 U' L' B2 D' U' R2
B2 U' L' B2 D2 F2 U'
L' D' F2 D R2 U' R2
F2 U' R D' L2 U L2
F2 U' D' L2 R U L2
F2 U' D' R L2 U L2
L D' B2 D' R2 U2 R2
R2 D2 L2 U' L U' L'
B' U' B L2 F L U'
U D2 L' U2 L U L'
L' D2 R2 U' R2 D B2
L' D2 R2 F U' R2 B
R' D2 U' L' U' L R
R' D2 U' L' U' R L
B U' B' L' U2 B U
B2 U' B2 L' U' D' R2
B2 U' B2 L' U2 B2 U
B2 U' B2 L' D' U' R2
B2 U' B2 L' D2 F2 U'
B2 U' B2 D' L' U' R2
B2 U' B2 D2 L' F2 U'
B2 U2 L D F2 L2 R
B2 U2 L D F2 R L2
R D2 U' L' U' L R'
R D2 U' L' U' R' L
L' D2 F R2 U' B R2
B2 U2 L' B2 U' R' B2
L' D2 F2 D R2 U' R2
L2 F L R2 U' B R2
L F L2 R2 U' B R2
L' F R' U' R' B R2
F2 U2 F2 U F2 R U
R2 F R' U' R' F' B
R2 F R' U' R' B F'
L' F R2 U' B R2 D
L' F R2 U' B R2 D'
L' F R2 U' B R2 D2
L' F R2 U' B' R2 B2
L' F R2 U' B2 R2 B'
L' F R2 D' F2 U' B
L2 F R2 L U' B R2
L' F R2 F U' B R2
L' F R2 F' U' B R2
L' F R2 F2 U' B R2
L' F U F' U' F U'
B2 U2 B2 L' U' B2 R'
L F R2 L2 U' B R2
L' F U' B2 D' R2 B
R2 F U' R' F' R' B
R F U F' U2 R' F'
R F U' R2 B R F'
L' F D R2 U' B R2
L' F D' R2 U' B R2
L' F D2 R2 U' B R2
F2 D R2 U2 R' U R'
L F B2 D F2 L2 B'
L' F' R U F U2 R'
L F' L2 R U' R' B'
L F' L2 R' U' R B'
L F' L2 R' U' B' R
L F' L2 R2 U' R2 B'
L F' L2 R2 U' B' R2
F2 D F2 L' R2 U' R2
F2 D F2 R2 L' U' R2
L F' R L2 U' R' B'
L' F' R2 U F U2 R2
L' F' R2 F2 U' R2 B
L F' R' L2 U' R B'
L F' R' L2 U' B' R
L' F' U F U' F' U'
L F' R2 L2 U' R2 B'
L F' R2 L2 U' B' R2
U F' U2 F L' U' L
B2 D' R2 U' L' U' R2
F2 D' U' L2 R U L2
F2 D' U' R L2 U L2
L2 F2 L D R2 U' R2
L F' B2 D L2 F2 B'
L F' B2 D L2 B' F2
L' F2 R U F2 U2 R'
L' F2 R U' R' D2 B2
L' F2 R U' D2 R' B2
L' F2 R D R2 U' R
L' F2 R D2 U' R' B2
L' F2 R' U F2 L' U2
L' F2 R' U' R D2 B2
L F2 L2 D R2 U' R2
L' F2 R' U' D2 R B2
L' F2 R' U' D2 B2 R
L' F2 R' D R2 U' R'
L' F2 R' D2 U' R B2
L' F2 R' D2 U' B2 R
L' F2 R2 U F2 U2 R2
L' F2 R2 U' R2 D2 B2
U F2 R D2 B2 U L
L' F2 R2 F' U' R2 B
L' F2 U F2 U' F2 U'
L' F2 U F2 U2 D R2
L' F2 U F2 D U2 R2
L' F2 U F2 D' L2 U2
L' F2 U' D2 B2 D' R2
L' F2 D R2 U' R2 D
L' F2 D R2 U' R2 D'
L' F2 D R2 U' R2 D2
L' F2 D R2 D' F2 U'
L' F2 D R2 F U' R2
L' F2 D R2 F' U' R2
L' F2 D R2 F2 U' R2
L' F2 D F R2 U' R2
L2 F2 D L R2 U' R2
L' F2 D F' R2 U' R2
L' F2 D F2 R2 U' R2
L2 F2 D R2 L U' R2
U F2 U2 F2 L' U' L
L' F2 D2 R U' R' B2
L F2 D R2 U' R2 F2
L F2 D R2 U' F2 R2
L' F2 D2 R' U' R B2
L' F2 D2 R' U' B2 R
L' F2 D2 R2 U' R2 B2
L' F2 D2 R2 U' B2 R2
L' F2 D2 U' B2 D' R2
U F2 D2 R B2 U L
U' B L2 F L U' L
U B L' U2 L U L'
R' B U' B' L' U' R
R2 B U' B' L' U' R2
U B' L' U2 L U L'
R' B' U' L' B U' R
R' B' U' B L' U' R
R2 B' U' L' B U' R2
R2 B' U' B L' U' R2
R B' U' L' B U' R'
L B' U' B L2 F U'
R B' U' B L' U' R'
U' B2 L' U' L D' R2
U' B2 L' U' D' L R2
U' B2 L' U' D' R2 L
U' B2 L' D' U' L R2
U' B2 L' D' U' R2 L
U' B2 L' D2 F2 U' L
R B2 L U' L2 B2 U'
R B2 L U' B2 L2 U'
R B2 L U2 D L2 F2
R B2 L U2 D F2 L2
R B2 L D U2 L2 F2
R B2 L D U2 F2 L2
R B2 L D' R2 B2 U2
R B2 L D' B2 R2 U2
U B2 L' U2 L U L'
D2 B2 U L' B2 R' U'
D' B2 U L' B2 R' U'
R' B2 U' L' B2 U' R
D B2 U L' B2 R' U'
R' B2 U' B2 L' U' R
R2 B2 U' L' B2 U' R2
R2 B2 U' B2 L' U' R2
U' B2 D' L' U' L R2
U' B2 D' L' U' R2 L
U' B2 D2 L' F2 U' L
R B2 U' B2 L' U' R'
L B2 D L2 F2 D2 B2
L B2 D F' L2 F' B'
L B2 D F' L2 B' F'
L B2 D F2 L2 D2 B2
L B2 D' R2 B2 U2 R2
L B2 D' B2 R2 U2 R2
L B2 F D F2 L2 B'
L B2 F' D L2 F2 B'
L B2 F' D L2 B' F2
