F R' D B2 L2 R'
F R' D B2 R' L2
B2 R2 U' R F B
B2 R2 U' R B F
F U R B2 U' R'
F U B2 R U' R2
B2 U' R F B R2
B2 U' R B R2 F
B2 U' R B F R2
B2 U' R' F D2 B2
B2 U' F R B R2
R2 B2 U' R' F D2 B2
R2 B2 U' F R B R2
F B2 R' D B2 D L2
F B2 R' B2 D L2 B2
F B2 R' B2 D B2 L2
U B2 U' F R' D B2
R B2 U' R F B R2
R B2 U' R B R2 F
R B2 U' R B F R2
R B2 U' R' F D2 B2
B2 F2 U' D F' R' B
R B2 U' F R B R2
F' B2 U' F2 R' D B2
F2 B2 U' D F' R' B
B2 F2 U' F' R' D B2
F2 B2 U' F' R' D B2
F' B2 U2 L' U R' F2
F' B2 U2 L' U F2 R'
U2 B2 D' U' R' F B
U2 B2 D' U' R' B F
U2 B2 D' U' F R' B
D' B2 F R' D B2 L
B2 F2 D U' F' R' B
F2 B2 D U' F' R' B
D B2 F L2 R' D B2
D B2 F R' L2 D B2
