F' R2 U D2 R2 B
F' R2 U' L2 F' U2
F' R2 U' F' L2 U2
F' R2 D2 U R2 B
D' F' B2 U F' B'
D' F' B2 U B' F'
F' D' B2 U F2 B'
F' D' B2 U B' F2
D' B2 F' U F' B'
D' B2 F' U B' F'
D' B2 F' U D2 F' B'
D' B2 F' U D2 B' F'
D' B2 F' U F' D B'
D' B2 F' U F' D' B'
D' B2 F' U F' D2 B'
D' B2 F' U F' B' D
D' B2 F' U F' B' D'
D' B2 F' U F' B' D2
D' B2 F' U B' D F'
D' B2 F' U B' D' F'
D' B2 F' U B' D2 F'
D' B2 F' U B' F' D
D' B2 F' U B' F' D'
D' B2 F' U B' F' D2
D' B2 F' D U F' B'
D' B2 F' D U B' F'
D' B2 F' D' U F' B'
D' B2 F' D' U B' F'
D' B2 F' D2 U F' B'
D' B2 F' D2 U B' F'
F' B2 D' B2 U F2 B
F' B2 D' B2 U B F2
L B2 F' R2 U R B'
L B2 F' R2 U B' R
