B L' U' F B2 R'
B L' U' B2 R' F
B L' U' B2 F R'
U' B L' U' F B2
U' B L' U' B2 F
U2 B' L D L2 F
U2 B' L' D F L2
U2 B' L' F D L2
B' L' B2 U' R' F B2
B' L' B2 U' R' B2 F
B' L' B2 U' F R' B2
B L' B2 R' D F L2
B L' B2 R' F D L2
B L' B2 D R' F L2
B L' B2 D F L2 R'
B L' B2 D F R' L2
B L' B2 F R' D L2
B L' B2 F D L2 R'
B L' B2 F D R' L2
R2 U D F' R U B'
B R L' U' F B2 R'
B R L' U' B2 R' F
B R L' U' B2 F R'
R' U F' U B' L' F
D2 R U2 D F' B' L
D2 R U2 D B' L F'
D2 R U2 D B' F' L
D2 R U2 F' D B' L
D2 R D U2 F' B' L
D2 R D U2 B' L F'
D2 R D U2 B' F' L
B R' L' U' F B2 R'
B R' L' U' B2 R' F
B R' L' U' B2 F R'
U R' U F' B' L' F
U R' U B' F' L' F
B R2 L' U' F B2 R'
B R2 L' U' B2 R' F
B R2 L' U' B2 F R'
D R2 U F' R U B'
R2 U2 B' L' F D' L2
R U2 B' L' D' F L'
U R2 D F' R U B'
R2 D U F' R U B'
D U R2 F' R U B'
U D R2 F' R U B'
B' U' L' B2 R' U' F
B U' L' U' F L B2
D2 U' B R U' F' B2
D2 U' B R U' B2 F'
D' U' B U2 R' U B2
U' D' B U2 R' U B2
U' D' B' L B2 U' B2
D' U' B' L B2 U' B2
B2 U' D' B' L U' B2
U2 D' B' L' D L2 F2
U2 D' B' L' D F2 L2
U2 D' B' U L B2 U'
F' U' B L' U' F B2
F' U' B L' U' B2 F
F2 U' B L' U' F B2
F2 U' B L' U' B2 F
B2 U' B' L' U' F B2
B2 U' B' L' U' B2 F
F U' B L' U' F B2
F U' B L' U' B2 F
B2 U2 L' D F L' B
B2 U2 L' D F B L'
B2 U2 L' D B F L'
B2 U2 L' B D F L'
U' D2 B R U' F' B2
U' D2 B R U' B2 F'
D' U2 B' L' D L2 F2
D' U2 B' L' D F2 L2
D' U2 B' U L B2 U'
B2 U2 B L D L2 F
B2 U2 B L' D F L2
B2 U2 B L' F D L2
F' U2 B' L D L2 F
F' U2 B' L' D F L2
F' U2 B' L' F D L2
F2 U2 B' L D L2 F
F2 U2 B' L' D F L2
F2 U2 B' L' F D L2
F U2 B' L D L2 F
F U2 B' L' D F L2
F U2 B' L' F D L2
D F U' B L' U' B2
D F B L' U' B2 R'
U2 F B' L D L2 F
U2 F B' L' D F L2
U2 F B' L' F D L2
U2 F' B' L D L2 F
U2 F' B' L' D F L2
U2 F' B' L' F D L2
B2 D' U' B' L U' B2
U2 F2 B' L D L2 F
U2 F2 B' L' D F L2
U2 F2 B' L' F D L2
U' B L U B' U2 B'
U' B L' R U' F B2
U' B L' R U' B2 F
U' B L' R' U' F B2
U' B L' R' U' B2 F
U' B L' R2 U' F B2
U' B L' R2 U' B2 F
U' B L' U' F B2 D
U' B L' U' F B2 D'
U' B L' U' F B2 D2
U' B L' U' B2 D F
U' B L' U' B2 D' F
U' B L' U' B2 D2 F
U' B L' U' B2 F D
U' B L' U' B2 F D'
U' B L' U' B2 F D2
U' B L' D' R2 U' F
U2 B L' F B2 D L2
U' B R L' U' F B2
U' B R L' U' B2 F
U2 B L' B2 D F L2
U2 B L' B2 F D L2
U' B R' L' U' F B2
U' B R' L' U' B2 F
U' B R2 L' U' F B2
U' B R2 L' U' B2 F
U' B U' L' F L B2
U' B U' B2 L' F L
U' B U2 L' U F B2
U' B U2 L' U B2 F
D' B U2 R' U R B2
D' B U2 R' U B2 R
F' B L' U' F B2 R'
F' B L' U' B2 R' F
F' B L' U' B2 F R'
F2 B L' U' F B2 R'
F2 B L' U' B2 R' F
F2 B L' U' B2 F R'
B F L' U' F B2 R'
B F L' U' B2 R' F
B F L' U' B2 F R'
F B L' U' F B2 R'
F B L' U' B2 R' F
F B L' U' B2 F R'
D B F L' U' B2 R'
U2 B' L D L2 D F
U2 B' L D L2 D' F
U2 B' L D L2 D2 F
U2 B' L D L2 F D
U2 B' L D L2 F D'
U2 B' L D L2 F D2
U2 B' L D F L2 F
U2 B' L D F' L2 F
U2 B' L D F2 L2 F
D' B' L' D L2 F2 R
U2 B' L F D L2 F
U2 B' L F' D L2 F
U2 B' L F2 D L2 F
U' B' L' B2 U' F B2
U' B' L' B2 U' B2 F
U2 B' L' U B2 U' F
U2 B' L' D F L2 D
U2 B' L' D F L2 D'
U2 B' L' D F L2 D2
U2 B' L' D F' L2 F2
U2 B' L' D F2 L2 F'
U2 B' L' D' F D2 L2
U2 B' L' F L D L2
U2 B' L' F L' D L2
U2 B' L' F L2 D L2
U2 B' L' F U B2 U'
U2 B' L' F D L2 D
U2 B' L' F D L2 D'
U2 B' L' F D L2 D2
U2 B' L' F2 D L2 F'
U2 B' L' F2 D F' L2
U2 B' L2 D L F L
L B' L' U' B2 U' B
L B' L' U2 D B' L2
L B' L' D U2 B' L2
L B' L' D' R2 U2 B'
U2 B' U L' B2 U' F
B F' L' U' F B2 R'
B F' L' U' B2 R' F
B F' L' U' B2 F R'
U2 B' U B2 L' U' F
U2 B' D L' D' L' F
L B' D L' U2 B' L'
L B' D' L' R2 U2 B'
L B' D' R2 L' U2 B'
U2 B' F L D L2 F
U2 B' F L' D F L2
U2 B' F L' F D L2
U2 B' F' L D L2 F
U2 B' F' L' D F L2
U2 B' F' L' F D L2
U2 B' F2 L D L2 F
U2 B' F2 L' D F L2
U2 B' F2 L' F D L2
U2 B2 L' D F L' B
U2 B2 L' D F B L'
U2 B2 L' D B F L'
U2 B2 L' B D F L'
B F2 L' U' F B2 R'
B F2 L' U' B2 R' F
B F2 L' U' B2 F R'
U' B2 D' B' L U' B2
