F' L U R2 F2 U2
F' L U F2 R2 U2
F' L U' D2 L2 B2
F' L U' D2 B2 L2
F' L D R2 B2 U'
F' L D B2 R2 U'
F' L D2 U' L2 B2
F' L D2 U' B2 L2
D2 L F' U' L B'
F R2 U' L F2 U'
F R2 U' F2 L U'
L D F' R B2 U'
L D F' B2 R U'
L D B2 F' R U'
F' D L R2 B2 U'
F' D L B2 R2 U'
F' D R2 L B2 U'
F' D2 L U' L B2
F' L2 D B2 L' R2 U'
F' L2 D B2 R2 L' U'
F' L2 D2 L' U' L' B2
F' L2 D2 L' U' B2 L'
D2 L2 B' U L' F' U'
D L2 B2 L' F' U' B
D2 R L U' L B' R'
F' R L U R F2 U2
F' R L U F2 U2 L'
F R U' L F2 U' L'
F R U' F2 L U' L2
F' R' L U R' F2 U2
F' R' L U F2 R' U2
F' R' L U' D2 B2 L
F' R' L D2 U' B2 L
F' R' D2 L U' B2 L
F R2 L U' F2 U' F2
F R2 L' U' L2 F2 U'
F R2 L' U' F2 L2 U'
F R2 L' U2 D R2 F2
F R2 L' U2 D F2 R2
F R2 L' D U2 R2 F2
F R2 L' D U2 F2 R2
F R2 L' D' L2 B2 U2
F R2 L' D' B2 L2 U2
F R2 L2 U' L' F2 U'
F R2 U D2 B2 R' U
F2 R2 U' F L U' B
F R2 U' L U' D R2
F R2 U' L D U' R2
F R2 U' L F2 U' D
F R2 U' L F2 U' D'
F R2 U' L F2 U' D2
F R2 U' L F2 D U'
F R2 U' L F2 D' U'
F R2 U' L F2 D2 U'
F R2 U' L' F2 L2 U'
F R2 U' D L U' R2
F R2 U' F' L F' U'
F R2 U' F2 L U' D
F R2 U' F2 L U' D'
F R2 U' F2 L U' D2
F R2 U' F2 L D U'
F R2 U' F2 L D' U'
F R2 U' F2 L D2 U'
F R2 U' F2 D L U'
F R2 U' F2 D' L U'
F R2 U' F2 D2 L U'
F R2 D U' L U' R2
F R2 D' L2 U' L' U'
F R2 D2 U B2 R' U
B R2 F U B R' U
F' R2 F2 U' L F2 U'
F' R2 F2 U' F2 L U'
D2 U L F' U' L B'
L D F' R U' D L2
L D F' R D U' L2
L D F' R B2 U' D
L D F' R B2 U' D'
L D F' R B2 U' D2
L D F' R B2 D U'
L D F' R B2 D' U'
L D F' R B2 D2 U'
L D F' R' B2 R2 U'
L D F' D R U' L2
L D F' B' R B' U'
L D F' B2 R U' D
L D F' B2 R U' D'
L D F' B2 R U' D2
L D F' B2 R D U'
L D F' B2 R D' U'
L D F' B2 R D2 U'
L D F' B2 D R U'
L D F' B2 D' R U'
L D F' B2 D2 R U'
F' U R2 F2 U' L U'
L2 D B2 L' F' U' B
L D B' F' R B' U'
L D B2 F' R U' D
L D B2 F' R U' D'
L D B2 F' R U' D2
L D B2 F' R D U'
L D B2 F' R D' U'
L D B2 F' R D2 U'
L D B2 F' D R U'
L D B2 F' D' R U'
L D B2 F' D2 R U'
F U D2 B2 R' U L2
F' U F2 R2 U' L U'
D2 U' L F' U' L B'
F U' L D B2 U' R2
F U' L F2 U R2 U2
F U' L F2 U' D2 L2
F U' L F2 D B2 U'
F U' L F2 D2 U' L2
L D' F' R2 B R' U'
F U' D L B2 U' R2
U' D2 L F' U' L B'
D2 U2 L F' U' L B'
U2 D2 L F' U' L B'
U D2 L F' U' L B'
F U' F2 L U R2 U2
F U' F2 L U' D2 L2
F U' F2 L D B2 U'
F U' F2 L D2 U' L2
F U' F2 D L B2 U'
F U' F2 D2 L U' L
L D2 F' R' U' L2 B
L D2 F' R' U' B L2
F' U2 D' L2 F2 R U
U' F R2 U' L F2 U'
U' F R2 U' F2 L U'
U2 F R2 U' L F2 U'
U2 F R2 U' F2 L U'
U F R2 U' L F2 U'
U F R2 U' F2 L U'
D2 F U' L F2 U' L
D2 F U' F2 L U' L
F' D L R B2 R U'
F' D L R2 U' D L2
F' D L R2 D U' L2
F' D L R2 B2 U' D
F' D L R2 B2 U' D'
F' D L R2 B2 U' D2
F' D L R2 B2 D U'
F' D L R2 B2 D' U'
F' D L R2 B2 D2 U'
F' D L U' D L2 B2
F' D L U' D B2 L2
R2 F U B2 R' B' U
R2 F U' L U2 B U
F' D L D U' L2 B2
F' D L D U' B2 L2
D F U' L F2 B2 U'
D F U' L B2 F2 U'
F' D L B' R2 B' U'
F' D L B2 R2 U' D
F' D L B2 R2 U' D'
F' D L B2 R2 U' D2
F' D L B2 R2 D U'
F' D L B2 R2 D' U'
F' D L B2 R2 D2 U'
F' D L B2 U' D B2
F' D L B2 D U' B2
F' D L' R2 B2 L2 U'
D F U' F2 L B2 U'
F' D L' B2 L2 R2 U'
F' D L' B2 R2 L2 U'
F' D L2 R2 B2 L' U'
F' D L2 B2 L' R2 U'
F' D L2 B2 R2 L' U'
F' D R L B2 R U'
F' D R2 L U' D L2
F' D R2 L D U' L2
F' D R2 L B2 U' D
F' D R2 L B2 U' D'
F' D R2 L B2 U' D2
F' D R2 L B2 D U'
F' D R2 L B2 D' U'
F' D R2 L B2 D2 U'
F' D R2 L' B2 L2 U'
F' D R2 L2 B2 L' U'
F' D R2 D L U' L
F' D R2 B2 U2 R' U
U' F' L U R2 F2 U2
U' F' L U F2 R2 U2
U' F' L U' D2 L2 B2
U' F' L U' D2 B2 L2
U' F' L D R2 B2 U'
U' F' L D B2 R2 U'
D2 F' L U F2 U2 L
D2 F' L U' L D2 B2
D2 F' L U' D2 L B2
U' F' L D2 U' L2 B2
U' F' L D2 U' B2 L2
D' F' L D R2 B U'
D2 F' L D R2 U' L
D2 F' L D2 U' L B2
R2 F B2 U R' B' U
U2 F' L U R2 F2 U2
U2 F' L U F2 R2 U2
U2 F' L U' D2 L2 B2
U2 F' L U' D2 B2 L2
U2 F' L D R2 B2 U'
U2 F' L D B2 R2 U'
U2 F' L D2 U' L2 B2
U2 F' L D2 U' B2 L2
F D U' L B2 U' R2
D F' L D R2 U' L2
U F' L U R2 F2 U2
U F' L U F2 R2 U2
U F' L U' D2 L2 B2
U F' L U' D2 B2 L2
U F' L D R2 B2 U'
U F' L D B2 R2 U'
D F' L B2 U F2 U2
D F' L B2 U' D2 B2
D F' L B2 D R2 U'
D F' L B2 D2 U' B2
U F' L D2 U' L2 B2
U F' L D2 U' B2 L2
L F' R' U' B2 L B'
L F' R' B2 U' L B'
F' D B2 R2 U2 R U
F' D' L U2 L F2 U
F' D' L U2 F2 L U
F' D' L D2 B2 R' U'
U' F' D L R2 B2 U'
U' F' D L B2 R2 U'
L F' U' L D2 B' L2
D' F' D L R2 B U'
L F' U' L B' D2 L2
L F' U' L' D2 L2 B'
U' F' D R2 L B2 U'
D' F' D R2 L B U'
U2 F' D L R2 B2 U'
U2 F' D L B2 R2 U'
D2 F' D' L B2 R' U'
U2 F' D R2 L B2 U'
D F' D L R2 U' L
D F' D R2 L U' L
U' F' D2 L U' L B2
U F' D L R2 B2 U'
U F' D L B2 R2 U'
U F' D R2 L B2 U'
F D' L2 U F2 R U
U2 F' D2 L U' L B2
U F' D2 L U' L B2
L F' D2 R' U' L2 B
L F' D2 R' U' B L2
F' D' U2 L2 F2 R U
F' D2 L R U' L B2
F' D2 L R' U' L B2
F' D2 L R2 U' L B2
F' D2 L U' L B2 D
F' D2 L U' L B2 D'
F' D2 L U' L B2 D2
F' D2 L U' L' B2 L2
F' D2 L U' L2 B2 L'
F' D2 L D' R2 U' L
F' D2 R L U' L B2
F' D2 R' L U' L B2
F' D2 R2 L U' L B2
F D2 U B2 R' U L2
L B D F' R B2 U'
L B D F' B2 R U'
L B D B2 F' R U'
B2 F R2 U' F2 L' U'
L B' D F' R B2 U'
L B' D F' B2 R U'
L B' D B2 F' R U'
B2 F' D B2 L R2 U'
B2 F' D B2 R2 L U'
F B2 R2 U' F2 L' U'
L B2 D F' R B2 U'
L B2 D F' B2 R U'
L B2 D B2 F' R U'
F' B2 D B2 L R2 U'
F' B2 D B2 R2 L U'
R2 B2 F U R' B' U
