D' L' F U2 F'
U2 L' U2 D' L B'
D' L' D F U2 F'
D' L' D' F U2 F'
U2 L' D' U2 L B'
D' L' D2 F U2 F'
D' L' F U2 D F'
D' L' F U2 D' F'
D' L' F U2 D2 F'
D' L' F U2 F' D
D' L' F U2 F' D'
D' L' F U2 F' D2
D' L' F D U2 F'
D' L' F D' U2 F'
D' L' F D2 U2 F'
D' L' F B U2 F'
D' L' F B' U2 F'
D' L' F B2 U2 F'
D' L' B F U2 F'
D' L' B' F U2 F'
D' L' B2 F U2 F'
F U L' B' U F'
U2 D' L' F U2 L
D' U2 L' F U2 L
L' F U L' U F'
L' F' U' R U' F
B' D' L' F U2 F'
B2 D' L' F U2 F'
B D' L' F U2 F'
D' B L' F U2 F'
D' B' L' F U2 F'
D' B2 L' F U2 F'
B U2 D' L' F U2 L
D' F L' F U2 R F2
L F L2 U L U F'
F U2 F' D B' R' B
F U2 F' B' D R' B
F2 U2 B' R F2 D B2
L' F U L' U D F'
L' F U L' U D' F'
L' F U L' U D2 F'
L' F U L' U F' D
L' F U L' U F' D'
L' F U L' U F' D2
L' F U L' D U F'
L' F U L' D' U F'
L' F U L' D2 U F'
L' F U D L' U F'
L' F U D' L' U F'
L' F U D2 L' U F'
F U2 B' F' D R' B
L' F D U L' U F'
D F U2 F' B' R' B
D F U2 B' F' R' B
L' F D' U L' U F'
L' F D2 U L' U F'
L' F B U L' U F'
L' F B' U L' U F'
L' F B2 U L' U F'
F' D U' R F' U' F2
F D U L' B' U F'
D' F' L' F L' B' U2
L F' L2 B' U' R U'
L' F' U' R U' D F
L' F' U' R U' D' F
L' F' U' R U' D2 F
L' F' U' R U' F D
L' F' U' R U' F D'
L' F' U' R U' F D2
L' F' U' R D U' F
L' F' U' R D' U' F
L' F' U' R D2 U' F
L' F' U' D R U' F
L' F' U' D' R U' F
L' F' U' D2 R U' F
B' D' L' D F U2 F'
B' D' L' D' F U2 F'
B' D' L' D2 F U2 F'
B' D' L' F U2 D F'
B' D' L' F U2 D' F'
B' D' L' F U2 D2 F'
B' D' L' F U2 F' D
B' D' L' F U2 F' D'
B' D' L' F U2 F' D2
B' D' L' F D U2 F'
B' D' L' F D' U2 F'
B' D' L' F D2 U2 F'
B' D' L' F B U2 F'
B' D' L' F B' U2 F'
B' D' L' F B2 U2 F'
B' D' L' B F U2 F'
B2 D' L' D F U2 F'
B' D' L' B' F U2 F'
B2 D' L' D' F U2 F'
B' D' L' B2 F U2 F'
B2 D' L' D2 F U2 F'
B2 D' L' F U2 D F'
B2 D' L' F U2 D' F'
B2 D' L' F U2 D2 F'
B2 D' L' F U2 F' D
B2 D' L' F U2 F' D'
B2 D' L' F U2 F' D2
B2 D' L' F D U2 F'
B2 D' L' F D' U2 F'
B2 D' L' F D2 U2 F'
B2 D' L' F B U2 F'
B2 D' L' F B' U2 F'
B2 D' L' F B2 U2 F'
L' F' D U' R U' F
B2 D' L' B F U2 F'
B2 D' L' B' F U2 F'
B2 D' L' B2 F U2 F'
B D' L' D F U2 F'
B D' L' D' F U2 F'
B D' L' D2 F U2 F'
B D' L' F U2 D F'
B D' L' F U2 D' F'
B D' L' F U2 D2 F'
B D' L' F U2 F' D
B D' L' F U2 F' D'
B D' L' F U2 F' D2
B D' L' F D U2 F'
B D' L' F D' U2 F'
B D' L' F D2 U2 F'
B D' L' F B U2 F'
B D' L' F B' U2 F'
B D' L' F B2 U2 F'
L' F' D' U' R U' F
B D' L' B F U2 F'
B D' L' B' F U2 F'
B D' L' B2 F U2 F'
L' F' D2 U' R U' F
L' F' B U' R U' F
L' F' B' U' R U' F
L' F' B2 U' R U' F
D' F2 L U2 R F2 B'
D' F2 L U2 R B' F2
D' F2 L U2 B' R F2
B' D' U2 L' F U2 L
F D' U L' B' U F'
B2 D' U2 L' F U2 L
B D' U2 L' F U2 L
D' F2 L2 U2 R F2 B
D' F2 L2 U2 R B F2
D' F2 R F2 B2 L B'
D' F2 R B2 L F2 B'
D' F2 R B2 L B' F2
D' F2 R B2 F2 L B'
B' D' B L' F U2 F'
B2 D' B L' F U2 F'
B' D' B' L' F U2 F'
R' F2 U L' R F2 B'
R' F2 U L' R B' F2
B D' B L' F U2 F'
R' F2 U L' B' R F2
B2 D' B' L' F U2 F'
R' F2 U R L' F2 B'
R' F2 U R L' B' F2
D F2 R' F2 L' B R2
D F2 R' F2 B L' R2
D F2 R' F2 B R2 L'
L' F2 U L' U F2 B'
L' F2 U L' U B' F2
D F2 R' B F2 L' R2
D F2 R' B F2 R2 L'
B' D' B2 L' F U2 F'
R' F2 U' L' R F2 B
R' F2 U' L' R B F2
B D' B' L' F U2 F'
B2 D' B2 L' F U2 F'
R' F2 U' R L' F2 B
R' F2 U' R L' B F2
R' F2 U' R B L' F2
L' F2 U' R U' F2 B
L' F2 U' R U' B F2
R2 F2 U R F2 L' B'
B D' B2 L' F U2 F'
R2 F2 U' R F2 L' B
R2 F2 U' R F2 B L'
R2 F2 U' R B F2 L'
U F2 U' R D' L2 B
U F2 U' R D' B L2
U F2 U' R B D' L2
U F2 U' D' L2 R B
U F2 U' D' R L2 B
U F2 U' D' R B L2
D F2 U2 R' F2 B R2
D F2 U2 R' B R2 F2
D F2 U2 R' B F2 R2
U F2 D' U' L2 R B
U F2 D' U' R L2 B
U F2 D' U' R B L2
U F2 D2 B2 U' R B
F D2 U L' B' U F'
D' B L' D F U2 F'
D' B L' D' F U2 F'
D' B L' D2 F U2 F'
D' B L' F U2 D F'
D' B L' F U2 D' F'
D' B L' F U2 D2 F'
D' B L' F U2 F' D
D' B L' F U2 F' D'
D' B L' F U2 F' D2
D' B L' F D U2 F'
D' B L' F D' U2 F'
D' B L' F D2 U2 F'
D' B L' F B U2 F'
D' B L' F B' U2 F'
D' B L' F B2 U2 F'
D' B L' B F U2 F'
D' B L' B' F U2 F'
D' B L' B2 F U2 F'
D' B U2 L' F U2 L
D B D2 L' F U2 F'
L' B F U L' U F'
B' F U L' B' U F'
L' B F' U' R U' F
B2 F U L' B' U F'
B F U L' B' U F'
F B U L' B' U F'
D2 B' L' D F2 U2 F2
D' B' L' D F U2 F'
D' B' L' D' F U2 F'
D' B' L' D2 F U2 F'
D' B' L' F U2 D F'
D' B' L' F U2 D' F'
D' B' L' F U2 D2 F'
D' B' L' F U2 F' D
D' B' L' F U2 F' D'
D' B' L' F U2 F' D2
D' B' L' F D U2 F'
D' B' L' F D' U2 F'
D' B' L' F D2 U2 F'
D' B' L' F B U2 F'
D' B' L' F B' U2 F'
D' B' L' F B2 U2 F'
D' B' L' B F U2 F'
D' B' L' B' F U2 F'
D' B' L' B2 F U2 F'
D' B' U2 L' F U2 L
L' B' F U L' U F'
D B' D2 L' F U2 F'
F B' U L' B' U F'
L' B' F' U' R U' F
D' B2 L' D F U2 F'
D' B2 L' D' F U2 F'
D' B2 L' D2 F U2 F'
D' B2 L' F U2 D F'
D' B2 L' F U2 D' F'
D' B2 L' F U2 D2 F'
D' B2 L' F U2 F' D
D' B2 L' F U2 F' D'
D' B2 L' F U2 F' D2
D' B2 L' F D U2 F'
D' B2 L' F D' U2 F'
D' B2 L' F D2 U2 F'
D' B2 L' F B U2 F'
D' B2 L' F B' U2 F'
D' B2 L' F B2 U2 F'
D' B2 L' B F U2 F'
D' B2 L' B' F U2 F'
D' B2 L' B2 F U2 F'
D' B2 U2 L' F U2 L
F B2 U L' B' U F'
L' B2 F U L' U F'
D B2 D2 L' F U2 F'
R B2 D' L D2 R2 B'
R B2 D' L D2 B' R2
R B2 D' L B' D2 R2
L' B2 F' U' R U' F
