B2 L D' L2 F U
B2 L' D' F L2 U
B2 L' D2 F U B2
B2 L' F L2 U B'
B2 L' F U' F U2
D' L2 B' U L R2
D' L2 B' U R2 L
F L2 B2 U B L
L D' L2 F U R2
L' D' F L2 U R2
L' F L2 B2 U B
L' F B2 L2 U B'
L' F B2 U' F U2
B' D' B' L2 U L'
D' B' L2 U L' R2
D' B' L2 U R2 L'
L' B2 D' F L2 U
L' B2 D2 F U B2
L' B2 F L2 U B'
L' B2 F U' F U2
D' L2 B' F' U L R2
D' L2 B' F' U R2 L
D' L2 B' F2 U L R2
D' L2 B' F2 U R2 L
F' L2 B2 U' F' U2 L'
F L2 B2 L F U B
F L2 B2 U L B L
F L2 B2 U L' B L
F L2 B2 U L2 B L
F L2 B2 U D B L
F L2 B2 U D' B L
F L2 B2 U D2 B L
F L2 B2 U B L D
F L2 B2 U B L D'
F L2 B2 U B L D2
F L2 B2 U B D L
F L2 B2 U B D' L
F L2 B2 U B D2 L
F L2 B2 D U B L
F L2 B2 D' U B L
F L2 B2 D2 U B L
F L2 B2 F U B L
F L2 B2 F' U B L
F L2 B2 F2 U B L
L' U' F2 U F' B2 U
L' U' F2 U B2 F' U
B2 R' D2 R F' U B2
D2 R' F2 L' B U' B
D2 R' F2 B L' U' B
D2 R' B F2 L' U' B
L U2 D2 F2 B' U' B'
L U2 D2 B' F2 U' B'
F' R2 D' B R2 F2 L'
D' R2 B D' F2 B2 L
D' R2 B D' B2 L F2
D' R2 B D' B2 F2 L
D' R2 B' D' L F2 B2
D' R2 B' D' L B2 F2
D' R2 B' D' F2 L B2
L' D F D2 L2 U R2
D' U R2 B D' B2 L
D' U R2 B' D' L B2
F' U D' R2 B' L B2
F' U D' B' L R2 B
F' U D' B' R2 L B
F' U D' B2 R2 B L
B2 U D' B D' B2 L
B2 U D' B' D' L B2
L2 D' L F L U R2
F U D' L2 R2 B' L
F U D' L2 B' L R2
F U D' L2 B' R2 L
F U D' R2 L2 B' L
B2 U D2 B' D B' L
L' D' L2 U2 B' U' R2
D' U B' R2 D' L B2
D2 U B' D R2 B' L
D2 U B' D B' L R2
D2 U B' D B' R2 L
L D' L2 D F B2 U
L D' L2 D B2 F U
L D' L2 F U R2 D
L D' L2 F U R2 D'
L D' L2 F U R2 D2
L D' L2 F D B2 U
L D' L2 F B U R2
L D' L2 F B' U R2
L D' L2 F B2 U R2
L D' L2 B F U R2
L D' L2 B' F U R2
L D' L2 B2 F U R2
L' D' F L2 U R2 D
L' D' F L2 U R2 D'
L' D' F L2 U R2 D2
L' D' F L2 D B2 U
L' D' F L2 B U R2
L' D' F L2 B' U R2
L' D' F L2 B2 U R2
L' D' F U R2 D' B2
L' D' F B L2 U R2
L' D' F B' L2 U R2
L' D' F B2 L2 U R2
L' D' F' L2 F2 U R2
L D' F L2 F U R2
L' D' F2 L2 F' U R2
L D' F' L2 F U R2
L D' F2 L2 F U R2
U D' R2 B D' B2 L
U D' R2 B' D' L B2
L' D' B F L2 U R2
L' D' B' F L2 U R2
F' U' D L2 F' R U2
F' U' D F' L2 R U2
F' U' D F' R L2 U2
L' D' B2 F L2 U R2
F U' D F L2 U2 L
U D' B' R2 D' L B2
B2 U' F D F U2 L'
B2 U' F' D F' R U2
D2 U2 R' F2 B U' B
D2 U2 R' B F2 U' B
U2 D2 R' F2 B U' B
U2 D2 R' B F2 U' B
L' D2 F L2 B' U B'
L' D2 F U2 F U' B2
L' D2 F D L2 B' U
L D2 U2 F2 B' U' B'
L D2 U2 B' F2 U' B'
D2 U2 F2 R' B U' B
U2 D2 F2 R' B U' B
U D2 B' D R2 B' L
U D2 B' D B' L R2
U D2 B' D B' R2 L
L' F L B2 L U B'
B2 U2 D2 R' B U' B
L' F L' B2 L' U B'
L' F L2 U D' R2 B'
L' F L2 U D' B' R2
L' F L2 D' U R2 B'
L' F L2 D' U B' R2
D' F L2 B' U L R2
D' F L2 B' U R2 L
L' F L2 B2 L U B
L' F L2 B2 L' U B
L' F L2 B2 L2 U B
L' F L2 B2 U D B
L' F L2 B2 U D' B
L' F L2 B2 U D2 B
L' F L2 B2 U B D
L' F L2 B2 U B D'
L' F L2 B2 U B D2
L' F L2 B2 D U B
L' F L2 B2 D' U B
L' F L2 B2 D2 U B
L F L2 F B2 U B
L F L2 B2 F U B
L' F U' D L2 U2 B'
L' F U' D F L2 U2
L' F U' D' F U2 R2
L' F U' F U B2 U
L' F U' F U2 D' R2
L' F U' F D L2 U2
L' F U' F D' U2 R2
D2 F D L2 B' U L
U' F D F L2 U2 L
L' F D U' L2 U2 B'
L' F D U' F L2 U2
L' F D' L2 U R2 B'
L' F D' L2 U B' R2
L' F D' U' F U2 R2
L' F B L2 B U B2
D F D2 L2 U L R2
D F D2 L2 U R2 L
D' F B' L2 U L' R2
D' F B' L2 U R2 L'
L' F B2 L2 U D B'
L' F B2 L2 U D' B'
L' F B2 L2 U D2 B'
L' F B2 L2 U B' D
L' F B2 L2 U B' D'
L' F B2 L2 U B' D2
L' F B2 L2 D U B'
L' F B2 L2 D' U B'
L' F B2 L2 D2 U B'
L' F B2 U L2 B' L2
L' F B2 U' D F U2
L' F B2 U' D' F U2
L' F B2 U' D2 F U2
L' F B2 U' F U2 D
L' F B2 U' F U2 D'
L' F B2 U' F U2 D2
L' F B2 U' F D U2
L' F B2 U' F D' U2
L' F B2 U' F D2 U2
L' F B2 D L2 U B'
L' F B2 D U' F U2
L' F B2 D' L2 U B'
L' F B2 D' U' F U2
L' F B2 D2 L2 U B'
L' F B2 D2 U' F U2
F' D U' L2 F' R U2
L2 F B2 U' F R U2
F' D U' F' L2 R U2
F' D U' F' R L2 U2
F D U' F L2 U2 L
B2 D F U L' D B2
B2 D F U D L' B2
B2 D F U D B2 L'
B2 D F U2 R2 U' L'
B2 D F D U L' B2
B2 D F D U B2 L'
B2 D F D2 L2 U L
D' F' L2 B' U L R2
D' F' L2 B' U R2 L
L' F' U D' L2 R2 B
L' F' U D' R2 L2 B
L' F' U D' R2 B L2
L2 F' U D' R2 B L
U' F' D L2 F' R U2
B2 D' L' D L' F U
U' F' D F' L2 R U2
U' F' D F' R L2 U2
B2 D' L2 U B' L B
B2 D' L2 U2 B' U' L
B2 D' L2 D2 F U L'
L' F' D' U L2 R2 B
L' F' D' U R2 L2 B
L' F' D' U R2 B L2
L2 F' D' U R2 B L
F D' L2 U R2 B' L
F D' L2 U B' L R2
F D' L2 U B' R2 L
B D' L2 B U' R' U2
D' F' B' L2 U L' R2
D' F' B' L2 U R2 L'
F' D' U R2 B' L B2
F' D' U B' L R2 B
F' D' U B' R2 L B
F' D' U B2 R2 B L
B2 D' U B D' B2 L
B2 D' U B' D' L B2
L2 F' B2 U' F' U2 L'
U' F2 L' U F B2 U
U' F2 L' U B2 F U
F D' U L2 R2 B' L
F D' U L2 B' L R2
F D' U L2 B' R2 L
F D' U R2 L2 B' L
B' D' F B' L2 U L'
D' F2 L2 B' U L R2
D' F2 L2 B' U R2 L
B' D' F' B' L2 U L'
B' D' F2 B' L2 U L'
B' D' B L2 B2 U L
B' D' B' L2 U L' D
B' D' B' L2 U L' D'
B' D' B' L2 U L' D2
B' D' B' L2 U D L'
B' D' B' L2 U D' L'
B' D' B' L2 U D2 L'
B' D' B' L2 D U L'
B' D' B' L2 D' U L'
B' D' B' L2 D2 U L'
B' D' B' U D' L B2
B D' B L2 U' R' U2
F' D' B' U L R2 B
B2 D' B' L2 B U L'
B' D' B' D' U L B2
F' D' B' U R2 L B
B' D' B' F L2 U L'
B' D' B' F' L2 U L'
B D' B U D' B2 L
B' D' B' F2 L2 U L'
B' D' B2 L2 B U L
B D' B D' U B2 L
L' F2 U F' B2 U F
B D' B' L2 B2 U L'
L' F2 U B2 F' U F
B2 D2 R F' R' U B2
D' F2 B' L2 U L' R2
D' F2 B' L2 U R2 L'
B2 D2 U B' D B' L
B2 D2 U2 R' B U' B
L F2 B2 U2 B U' B'
D' B L2 U' R' U2 R'
D' B L2 D B2 U L
D' B L2 B2 U L R2
D' B L2 B2 U R2 L
D' B R2 D' F2 L' B2
D' B R2 D' F2 B2 L'
D' B R2 D' B2 F2 L'
B' D2 B' U D B' L
B' D2 B' D U B' L
B2 F L' F L' U B'
B2 F L2 U B L B2
L' B D' F L2 B U
L' B D' F B L2 U
L' B D' B F L2 U
L' B D2 F B U B
L' B D2 B F U B
L' B F L2 B U B2
L2 B D2 B U B L
L B D2 F2 B U B
L B D2 B F2 U B
B2 F U D' L2 B' L
B2 F U' D F U2 L'
D' B' L2 U L' R2 D
D' B' L2 U L' R2 D'
D' B' L2 U L' R2 D2
D' B' L2 U R2 L' D
D' B' L2 U R2 L' D'
D' B' L2 U R2 L' D2
D' B' L2 U R2 D L'
D' B' L2 U R2 D' L'
D' B' L2 U R2 D2 L'
D' B' L2 D B2 U L'
D' B' L2 B U L' R2
D' B' L2 B U R2 L'
D' B' L2 B' U L' R2
D' B' L2 B' U R2 L'
B2 F D U' F U2 L'
D' B' L2 B2 U L' R2
D' B' L2 B2 U R2 L'
B2 F D' L2 U B' L
B2 F D' U L2 B' L
D' B' R2 D' L F2 B2
D' B' R2 D' L B2 F2
D' B' R2 D' F2 L B2
D2 B' U D R2 B' L
D2 B' U D B' L R2
D2 B' U D B' R2 L
D' B' U R2 D' L B2
B2 F' L' F U D2 B2
B2 F' L' F U' F2 U2
B2 F' L' F D' L2 U
B2 F' L' F D2 U B2
B2 F' L2 U' F' U2 L'
D2 B' D U R2 B' L
D2 B' D U B' L R2
D2 B' D U B' R2 L
L' B' D' F B' L2 U
L' B' D' B' F L2 U
L' B' D2 F B' U B'
L' B' D2 B' F U B'
D' B' F L2 U L' R2
D' B' F L2 U R2 L'
B2 F' U' D F' R U2
D' B' F' L2 U L' R2
D' B' F' L2 U R2 L'
D' B' F2 L2 U L' R2
D' B' F2 L2 U R2 L'
B2 F' D U' F' R U2
L2 B2 L D' F L2 U
L2 B2 L D2 F U B2
L2 B2 L F L2 U B'
L2 B2 L F U' F U2
L2 B2 L' D' L2 F U
L' B2 L2 D' L2 F U
D' B2 L2 B U L R2
D' B2 L2 B U R2 L
B2 F2 L U2 B' U' B
F2 B2 L U2 B' U' B
F' B2 L' F U D2 B2
F' B2 L' F U' F2 U2
F' B2 L' F D' L2 U
F' B2 L' F D2 U B2
B2 F2 L' F U' F' U2
F2 B2 L' F U' F' U2
F' B2 L2 U' F' U2 L'
F B2 L' F L' U B'
F B2 L2 U B L B2
L2 B2 U D2 B L B
L2 B2 U B L D2 B2
L2 B2 U B D2 L B2
L2 B2 U B' D2 B2 L
L' B2 U' F2 U F' U
L B2 R2 F' R2 U B
L2 B2 U' F R F U2
L' B2 D F U D B2
L' B2 D F U2 R2 U'
L' B2 D F D U B2
L' B2 D F D2 L2 U
L B2 U' F2 U' B U'
F' B2 U' D F' R U2
L' B2 D' L2 U2 B' U'
L B2 U2 D B R2 U'
L' B2 D' F L2 U D
L' B2 D' F L2 U D'
L' B2 D' F L2 U D2
L' B2 D' F L2 D U
L' B2 D' F L2 D' U
L' B2 D' F L2 D2 U
L' B2 D' F U D' B2
L' B2 D' F D' U B2
L' B2 D' F' L2 F2 U
L B2 U2 D2 B U' B
L2 B2 D' L F L U
L' B2 D' F2 L2 F' U
F B2 U D' L2 B' L
R' B2 D2 R F' U B2
L B2 U2 B U F2 U2
L B2 U2 B U' D2 B2
L B2 U2 B D R2 U'
L B2 U2 B D2 U' B2
L' B2 D2 F L U B2
L' B2 D2 F L' U B2
L' B2 D2 F L2 U B2
L' B2 D2 F U B2 D
L' B2 D2 F U B2 D'
L' B2 D2 F U B2 D2
L' B2 D2 F D L2 U
L2 B2 D2 L F U B2
L B2 D U2 B R2 U'
F B2 U' D F U2 L'
F' B2 D U' F' R U2
L2 B2 D2 U B L B
L' B2 F L2 U D B'
L' B2 F L2 U D' B'
L' B2 F L2 U D2 B'
L' B2 F L2 U B' D
L' B2 F L2 U B' D'
L' B2 F L2 U B' D2
L' B2 F L2 D U B'
L' B2 F L2 D' U B'
L' B2 F L2 D2 U B'
L B2 D' L2 U2 B U'
L' B2 F U L2 B' L2
L' B2 F U' D F U2
L' B2 F U' D' F U2
L' B2 F U' D2 F U2
L' B2 F U' F U2 D
L' B2 F U' F U2 D'
L' B2 F U' F U2 D2
L' B2 F U' F D U2
L' B2 F U' F D' U2
L' B2 F U' F D2 U2
L' B2 F D L2 U B'
L' B2 F D U' F U2
L' B2 F D' L2 U B'
L' B2 F D' U' F U2
L' B2 F D2 L2 U B'
L' B2 F D2 U' F U2
L2 B2 F U' F R U2
L B2 D2 U2 B U' B
F B2 D U' F U2 L'
L2 B2 F' U' F' U2 L'
F B2 D' L2 U B' L
F B2 D' U L2 B' L
L B2 F2 U2 B U' B'
