B2 R' B' U L
U2 L U2 B U L
B2 R B' R2 U L
R2 U2 L F' U' L'
B2 R' F B' U L
B2 R' F' B' U L
B2 R' F2 B' U L
B2 R' B' U L D
B2 R' B' U L D'
B2 R' B' U L D2
B2 R' B' U D L
B2 R' B' U D' L
B2 R' B' U D2 L
B2 R' B' D U L
B2 R' B' D' U L
B2 R' B' D2 U L
B2 R' B' F U L
B2 R' B' F' U L
B2 R' B' F2 U L
R2 U2 F' L U' L2
B2 R2 B' R U L
B U L2 D L' F
B U D L' F L2
B D U L' F L2
B D U L' F L2
B D' R U L F'
B D' R U F' L
B D2 F' R U L
B D2 F2 U L F
B2 F R' B' U L
B2 F' R' B' U L
D2 B2 R' B' U L
D' B2 R' B' U L
D B2 R' B' U L
F' B2 R' B' U L
B2 F2 R' B' U L
F2 B2 R' B' U L
F B2 R' B' U L
R2 U2 L F' B' U' L'
R2 U2 L F' B2 U' L'
B2 R' D2 F B' U L'
R2 U2 L B F' U' L'
R2 U2 L B' F' U' L'
R2 U2 L B2 F' U' L'
B2 R' D2 B' F U L'
B R' D2 F' R U L
B R' D2 F' R U L
B R' D2 F2 U L F
R2 U2 L' F' L2 U' L
L U2 L' F' B U L'
B2 R' F B' U L D
B2 R' F B' U L D'
B2 R' F B' U L D2
B2 R' F B' U D L
B2 R' F B' U D' L
B2 R' F B' U D2 L
B2 R' F B' D U L
B2 R' F B' D' U L
B2 R' F B' D2 U L
L U2 L' B F' U L'
B2 R' F' B' U L D
B2 R' F' B' U L D'
B2 R' F' B' U L D2
B2 R' F' B' U D L
B2 R' F' B' U D' L
B2 R' F' B' U D2 L
B2 R' F' B' D U L
B2 R' F' B' D' U L
B2 R' F' B' D2 U L
B2 R' F2 B' U L D
B2 R' F2 B' U L D'
B2 R' F2 B' U L D2
B2 R' F2 B' U D L
B2 R' F2 B' U D' L
B2 R' F2 B' U D2 L
B2 R' F2 B' D U L
B2 R' F2 B' D' U L
B2 R' F2 B' D2 U L
B R' B R' B' U L
B2 R' B' U L2 D L'
B2 R' B' U L2 D' L'
B2 R' B' U L2 D2 L'
B2 R' B' U D L D
B2 R' B' U D L D'
B2 R' B' U D L D2
B2 R' B' U D' L D
B2 R' B' U D' L D'
B2 R' B' U D' L D2
B2 R' B' U D2 L D
B2 R' B' U D2 L D'
B2 R' B' U D2 L D2
B2 R' B' U F L F'
B2 R' B' U F2 L F2
B2 R' B' U' R U2 L
B2 R' B' U' R' U2 L
B2 R' B' U' R2 U2 L
B2 R' B' D U L D
B2 R' B' D U L D'
B2 R' B' D U L D2
B2 R' B' D F U L
B2 R' B' D F' U L
B2 R' B' D F2 U L
B2 R' B' D' U L D
B2 R' B' D' U L D'
B2 R' B' D' U L D2
B2 R' B' D' F U L
B2 R' B' D' F' U L
B2 R' B' D' F2 U L
B2 R' B' D2 U L D
B2 R' B' D2 U L D'
B2 R' B' D2 U L D2
B2 R' B' D2 F U L
B2 R' B' D2 F' U L
B2 R' B' D2 F2 U L
B2 R' B' F U L D
B2 R' B' F U L D'
B2 R' B' F U L D2
B2 R' B' F U D L
B2 R' B' F U D' L
B2 R' B' F U D2 L
B2 R' B' F D U L
B2 R' B' F D' U L
B2 R' B' F D2 U L
R2 U2 D L F' U' L'
B2 R' B' F' U L D
B2 R' B' F' U L D'
B2 R' B' F' U L D2
B2 R' B' F' U D L
B2 R' B' F' U D' L
B2 R' B' F' U D2 L
B2 R' B' F' D U L
B2 R' B' F' D' U L
B2 R' B' F' D2 U L
B2 R' B' F2 U L D
B2 R' B' F2 U L D'
B2 R' B' F2 U L D2
B2 R' B' F2 U D L
B2 R' B' F2 U D' L
B2 R' B' F2 U D2 L
B2 R' B' F2 D U L
B2 R' B' F2 D' U L
B2 R' B' F2 D2 U L
R2 U2 D F' L U' L2
B2 R' B2 D B U L
R2 U2 D' L F' U' L'
B2 R' B2 D' B U L
B2 R' B2 D2 B U L
R2 U2 D' F' L U' L2
R2 U2 D2 L F' U' L'
U2 R2 L F' R2 U' L'
R2 U2 D2 F' L U' L2
R2 U2 F L F2 U' L'
R' U2 F' L F U' L2
R2 U2 F' L U' L2 D
R2 U2 F' L U' L2 D'
R2 U2 F' L U' L2 D2
R2 U2 F' L D' B2 U'
R2 U2 F' L B U' L2
R2 U2 F' L B' U' L2
R2 U2 F' L B2 U' L2
R' U2 F2 L F U' L'
R2 U2 F' U' L' D F2
R2 U2 F' D L U' L2
R2 U2 F' D' L U' L2
B R2 U L2 D L' F
R2 U2 F' D2 L U' L2
U' R2 U' L F' U' L'
B R2 U D L' F L2
U' R2 U' F' L U' L2
D2 R2 U2 L F' U' L'
D' R2 U2 L F' U' L'
F' R2 U2 L F' U' L'
F2 R2 U2 L F' U' L'
D2 R2 U2 F' L U' L2
D' R2 U2 F' L U' L2
L U2 B L' F' U L'
F' R2 U2 F' L U' L2
D R2 U2 L F' U' L'
F2 R2 U2 F' L U' L2
F R2 U2 L F' U' L'
D R2 U2 F' L U' L2
F R2 U2 F' L U' L2
B R2 D U L' F L2
B2 R2 D' R F' B' U
B2 R2 D' R B' F' U
B R2 D' R U L F'
B R2 D' R U F' L
B2 R2 D' B' R F' U
L' D L B U L F2
L' D L B U F2 L
B R2 D2 F' R U L
B R2 D2 F2 U L F
U2 R2 F' L R2 U' L2
U2 R2 F' R2 L U' L2
B2 R2 F' B' U L F
B R2 B R' B' U L
B2 R2 B' R U L D
B2 R2 B' R U L D'
B2 R2 B' R U L D2
B2 R2 B' R U D L
B2 R2 B' R U D' L
B2 R2 B' R U D2 L
B2 R2 B' R D U L
B2 R2 B' R D' U L
B2 R2 B' R D2 U L
B2 R2 B' R F U L
B2 R2 B' R F U L
B2 R2 B' R F' U L
B2 R2 B' R F2 U L
B2 R2 B' D R U L
B2 R2 B' D' R U L
B2 R2 B' D2 R U L
B2 R2 B' F' U L F
U2 D L U2 B U L
B U L R' D' R F'
R2 D U2 L F' U' L'
B U L D L' F L
B U L D' R F' R'
R2 D U2 F' L U' L2
B U L2 D L' D F
B U L2 D L' D' F
B U L2 D L' D2 F
B U L2 D L' F D
B U L2 D L' F D'
B U L2 D L' F D2
B U R' L D' R F'
B2 U R' B' U L B
B U R' D' L R F'
B U R' D' R L F'
B U R' D' R F' L
B U D L U2 B' U2
B U D L' F L2 D
B U D L' F L2 D'
B U D L' F L2 D2
B U D L' F' L2 F2
B U D L' F2 L2 F'
B U D F L' F L2
B U D F' L' F L2
B U D F2 L' F L2
B U D' L R F' R'
B U D' L2 D2 L' F
B U D' R L F' R'
B U D' R F' L R'
B U D' R F' R' L
B U D2 L2 D' L' F
B U D2 F L D F2
B U F L2 D L' F
B U F D L' F L2
B U F' L2 D L' F
B U F' D L' F L2
B U F2 L2 D L' F
B U F2 D L' F L2
U2 D' L U2 B U L
R2 D' U2 L F' U' L'
R2 D' U2 F' L U' L2
B' U' D' R' U2 R' F'
L' D2 L B R2 U L
B U' D' R U2 L F'
B U' D' R U2 F' L
B U' D' R2 U2 L F
B U' D' B2 R' B U2
D' U2 L U2 B U L
D2 U2 L U2 B U L
U2 D2 L U2 B U L
D U2 L U2 B U L
F' U2 L U2 B U L
F2 U2 L U2 B U L
R2 D2 U2 L F' U' L'
R2 D2 U2 F' L U' L2
F U2 L U2 B U L
B U2 L B' L U' L'
B U2 L' B' L U' L
B U2 L2 U' D L' F
B U2 L2 D U' L' F
B U2 L2 B' L U' L2
B U2 D L' U' F L2
L2 F L2 B U L F
B U2 B' L B U' L
B U2 B2 U R' U2 F'
B D R U L' F L2
B2 D R' D' B' U L
B D R' U L' F L2
B D R2 U L' F L2
D' F B2 R' B' U L
D2 F B2 R' B' U L
B D U L U2 B' U2
B D U L' F L2 D
B D U L' F L2 D'
B D U L' F L2 D2
B D U L' F' L2 F2
B D U L' F2 L2 F'
B D U F L' F L2
B D U F' L' F L2
D F B2 R' B' U L
B D U F2 L' F L2
U2 F' L U2 B U L2
B D U2 L' U' F L2
B D F U L' F L2
B D F' U L' F L2
B D F2 U L' F L2
F' D B2 R' B' U L
F2 D B2 R' B' U L
F D B2 R' B' U L
B2 D' R F' R2 B' U
B2 D' R F' B' R2 U
B2 D' R B' F' R2 U
B D' R U L D F'
B D' R U L D' F'
B D' R U L D2 F'
B D' R U L F' D
B D' R U L F' D'
B D' R U L F' D2
B D' R U L' F' L2
B D' R U D L F'
B D' R U D F' L
B D' R U D' L F'
B D' R U D' F' L
B D' R U D2 L F'
B D' R U D2 F' L
B D' R U F L F2
B D' R U F' L D
B D' R U F' L D'
B D' R U F' L D2
B D' R U F' D L
B D' R U F' D' L
B D' R U F' D2 L
B D' R D U L F'
B D' R D U F' L
B D' R D' U L F'
B D' R D' U F' L
B D' R D2 U L F'
B D' R D2 U F' L
B D' R F U L F2
B D' R F U F2 L
B D' R F2 U F L
B2 D' R' B' U D L2
B2 D' R' B' U2 B2 U'
B2 D' R' B' D U L2
B2 D' R' B' D2 F2 U
D2 F' B2 R' B' U L
D' F' B2 R' B' U L
B' D' U' R' U2 R' F'
B D' U L R F' R'
B D' U L2 D2 L' F
B D' U R L F' R'
B D' U R F' L R'
B D' U R F' R' L
D F' B2 R' B' U L
B D' U' R U2 L F'
B D' U' R U2 F' L
B D' U' R2 U2 L F
B D' U' B2 R' B U2
B D' F R U L F'
B D' F R U F' L
L2 F2 L2 B R U L
B D' F' R U L F'
B D' F' R U F' L
B D' F2 R U L F'
B D' F2 R U F' L
F' D' B2 R' B' U L
F2 D' B2 R' B' U L
F D' B2 R' B' U L
B2 D2 R' D2 B' U L
B D2 R F' R U L
B2 D2 R' F B' U L'
B D2 R F2 U L F
B2 D2 R' B' F U L'
L2 F2 B L2 R U L'
L2 F2 B R L2 U L'
B D2 R' F' R U L
B D2 R' F2 U L F
D2 F2 B2 R' B' U L
D' F2 B2 R' B' U L
B D2 R2 F' R U L
B D2 R2 F2 U L F
B D2 U L2 D' L' F
B D2 U F L D F2
D F2 B2 R' B' U L
B2 D2 F R' B' U L'
L2 B L2 U L' D F2
L2 B L2 U2 L U' L2
B D2 F U L D F2
L B L' U2 L U' L
B D2 F U2 L' U' L2
B D2 F' R U L D
B D2 F' R U L D'
B D2 F' R U L D2
B D2 F' R U D L
B D2 F' R U D' L
B D2 F' R U D2 L
B D2 F' R D U L
B D2 F' R D' U L
B D2 F' R D2 U L
B D2 F' R F U L
B D2 F' R F' U L
B D2 F' R F2 U L
B D2 F' D R U L
B D2 F' D' R U L
B D2 F' D2 R U L
B D2 F2 R U L F
B D2 F2 R' U L F
B D2 F2 R2 U L F
B D2 F2 U L D F
B D2 F2 U L D' F
B D2 F2 U L D2 F
B D2 F2 U L F D
B D2 F2 U L F D'
B D2 F2 U L F D2
B D2 F2 U D L F
B D2 F2 U D' L F
B D2 F2 U D2 L F
B D2 F2 U F L F
B D2 F2 U F' L F
B D2 F2 U F2 L F
B D2 F2 D U L F
B D2 F2 D' U L F
B D2 F2 D2 U L F
D2 B U L2 D L' F
D' B U L2 D L' F
D2 B U D L' F L2
D' B U D L' F L2
L' B U D L F2 B'
L' B U D L B' F2
L' B U D F2 L B'
F' D2 B2 R' B' U L
F2 D2 B2 R' B' U L
D B U L2 D L' F
D B U D L' F L2
F D2 B2 R' B' U L
D2 B D U L' F L2
D' B D U L' F L2
L' B D U L F2 B'
L' B D U L B' F2
L' B D U F2 L B'
D2 B D' R U L F'
D2 B D' R U F' L
D' B D' R U L F'
D' B D' R U F' L
D B D U L' F L2
D2 B D2 F' R U L
D' B D2 F' R U L
D B D' R U L F'
D B D' R U F' L
D2 B D2 F2 U L F
D' B D2 F2 U L F
B2 F R B' R2 U L
B2 F R' F B' U L
B2 F R' F' B' U L
B2 F R' F2 B' U L
B2 F R' B' U L D
B2 F R' B' U L D'
B2 F R' B' U L D2
B2 F R' B' U D L
B2 F R' B' U D' L
B2 F R' B' U D2 L
B2 F R' B' D U L
B2 F R' B' D' U L
B2 F R' B' D2 U L
B2 F R' B' F U L
B2 F R' B' F' U L
B2 F R' B' F2 U L
D B D2 F' R U L
D B D2 F2 U L F
B2 F R2 B' R U L
F' B U L2 D L' F
F' B U D L' F L2
F2 B U L2 D L' F
F2 B U D L' F L2
L2 B F2 L2 R U L'
L2 B F2 R L2 U L'
B F U L2 D L' F
B F U D L' F L2
F B U L2 D L' F
F B U D L' F L2
F' B D U L' F L2
F2 B D U L' F L2
F' B D' R U L F'
F' B D' R U F' L
L2 B' L2 B2 R' U L
F2 B D' R U L F'
F2 B D' R U F' L
B F D U L' F L2
L B' L' B2 R' U L
F B D U L' F L2
B F D' R U L F'
B F D' R U F' L
F' B D2 F' R U L
F' B D2 F2 U L F
F B D' R U L F'
F B D' R U F' L
F2 B D2 F' R U L
F2 B D2 F2 U L F
B F D2 F' R U L
B F D2 F2 U L F
F B D2 F' R U L
F B D2 F2 U L F
B2 F' R B' R2 U L
B2 F' R' F B' U L
B2 F' R' F' B' U L
B2 F' R' F2 B' U L
L B' U2 L' B2 U L
B2 F' R' B' U L D
B2 F' R' B' U L D'
B2 F' R' B' U L D2
B2 F' R' B' U D L
B2 F' R' B' U D' L
B2 F' R' B' U D2 L
B2 F' R' B' D U L
B2 F' R' B' D' U L
B2 F' R' B' D2 U L
B2 F' R' B' F U L
B2 F' R' B' F' U L
B2 F' R' B' F2 U L
L B' U2 B2 L' U L2
B2 F' R2 B' R U L
B F' U L2 D L' F
B F' U D L' F L2
B F' D U L' F L2
B F' D' R U L F'
B F' D' R U F' L
B F' D2 F' R U L
B F' D2 F2 U L F
D2 B2 R B' R2 U L
D' B2 R B' R2 U L
D2 B2 R' F B' U L
D2 B2 R' F' B' U L
D2 B2 R' F2 B' U L
D' B2 R' F B' U L
D2 B2 R' B' U L D
D2 B2 R' B' U L D'
D2 B2 R' B' U L D2
D2 B2 R' B' U D L
D2 B2 R' B' U D' L
D2 B2 R' B' U D2 L
D' B2 R' F' B' U L
D2 B2 R' B' D U L
D2 B2 R' B' D' U L
D2 B2 R' B' D2 U L
D2 B2 R' B' F U L
D2 B2 R' B' F' U L
D2 B2 R' B' F2 U L
D' B2 R' F2 B' U L
D' B2 R' B' U L D
D' B2 R' B' U L D'
D' B2 R' B' U L D2
D' B2 R' B' U D L
D' B2 R' B' U D' L
D' B2 R' B' U D2 L
D' B2 R' B' D U L
D' B2 R' B' D' U L
D' B2 R' B' D2 U L
D' B2 R' B' F U L
D' B2 R' B' F' U L
D' B2 R' B' F2 U L
D B2 R B' R2 U L
D2 B2 R2 B' R U L
D' B2 R2 B' R U L
D B2 R' F B' U L
D B2 R' F' B' U L
D B2 R' F2 B' U L
D B2 R' B' U L D
D B2 R' B' U L D'
D B2 R' B' U L D2
D B2 R' B' U D L
D B2 R' B' U D' L
D B2 R' B' U D2 L
D B2 R' B' D U L
D B2 R' B' D' U L
D B2 R' B' D2 U L
D B2 R' B' F U L
D B2 R' B' F' U L
D B2 R' B' F2 U L
F' B2 R B' R2 U L
B2 F2 R B' R2 U L
F2 B2 R B' R2 U L
U B2 R' F' B' U B'
U B2 R' B' F' U B'
F' B2 R' F B' U L
D B2 R2 B' R U L
F' B2 R' F' B' U L
F' B2 R' F2 B' U L
B2 F2 R' F B' U L
R B2 R' B U' R' U2
F' B2 R' B' U L D
F' B2 R' B' U L D'
F' B2 R' B' U L D2
F' B2 R' B' U D L
F' B2 R' B' U D' L
F' B2 R' B' U D2 L
F' B2 R' B' D U L
F' B2 R' B' D' U L
F' B2 R' B' D2 U L
F' B2 R' B' F U L
F' B2 R' B' F' U L
F' B2 R' B' F2 U L
B2 F2 R' F' B' U L
B2 F2 R' F2 B' U L
F2 B2 R' F B' U L
F2 B2 R' F' B' U L
B2 F2 R' B' U L D
B2 F2 R' B' U L D'
B2 F2 R' B' U L D2
B2 F2 R' B' U D L
B2 F2 R' B' U D' L
B2 F2 R' B' U D2 L
B2 F2 R' B' D U L
B2 F2 R' B' D' U L
B2 F2 R' B' D2 U L
B2 F2 R' B' F U L
B2 F2 R' B' F' U L
B2 F2 R' B' F2 U L
F2 B2 R' F2 B' U L
F2 B2 R' B' U L D
F2 B2 R' B' U L D'
F2 B2 R' B' U L D2
F2 B2 R' B' U D L
F2 B2 R' B' U D' L
F2 B2 R' B' U D2 L
F2 B2 R' B' D U L
F2 B2 R' B' D' U L
F2 B2 R' B' D2 U L
F2 B2 R' B' F U L
F2 B2 R' B' F' U L
F2 B2 R' B' F2 U L
F B2 R B' R2 U L
F' B2 R2 B' R U L
B2 F2 R2 B' R U L
F2 B2 R2 B' R U L
F B2 R' F B' U L
F B2 R' F' B' U L
F B2 R' F2 B' U L
F B2 R' B' U L D
F B2 R' B' U L D'
F B2 R' B' U L D2
F B2 R' B' U D L
F B2 R' B' U D' L
F B2 R' B' U D2 L
F B2 R' B' D U L
F B2 R' B' D' U L
F B2 R' B' D2 U L
F B2 R' B' F U L
F B2 R' B' F' U L
F B2 R' B' F2 U L
B F2 U L2 D L' F
B F2 U D L' F L2
F B2 R2 B' R U L
L B2 U2 B' L' U L2
D2 B2 F R' B' U L
D' B2 F R' B' U L
D2 B2 F' R' B' U L
D' B2 F' R' B' U L
B F2 D U L' F L2
D2 B2 F2 R' B' U L
D B2 F R' B' U L
D' B2 F2 R' B' U L
B F2 D' R U L F'
B F2 D' R U F' L
D B2 F' R' B' U L
D B2 F2 R' B' U L
B F2 D2 F' R U L
B F2 D2 F2 U L F
