U L' F2 U' L F'
U L' F2 U' F' L
D2 R B2 U F' B2
D2 R B2 U B2 F'
L' D2 B2 U F B2
L' D2 B2 U B2 F
U F2 L' U' F L
D2 B2 R U F' B2
D2 B2 R U B2 F'
L' U2 F2 U' D2 B2 F'
L' U2 F2 D2 U' F' B2
L' U2 F2 D2 U' B2 F'
L U2 F2 U F2 B' U2
L U2 F2 U B' F2 U2
L U2 B' U' F2 B U'
L U2 B' U' B F2 U'
D R2 F' U' R F U
L' D R2 F U' F' U
L' D R2 F2 D' L2 F'
L' D R2 F2 D' F' L2
L' D U R2 D F B2
L' D U R2 D B2 F
L' D U R2 F D B2
L' D U F R2 D B2
D2 R2 B2 R' U F' B2
D2 R2 B2 R' U B2 F'
L D R2 F2 D' L2 F
L' D F R2 U B U'
L' D F U' F' U R2
L' D B U R2 F B'
L' D B U R2 B' F
L' D B U F R2 B'
L' D B U F B' R2
L' D B U B' R2 F
L' D B U B' F R2
L D F2 R2 D' L2 F
L' D B' U F B R2
L' D B' U B R2 F
L' D B' U B F R2
L' D B2 U R2 F B2
L' D B2 U R2 B2 F
L' D B2 U F R2 B2
L' D B2 U F B2 R2
L' D B2 U B2 R2 F
L' D B2 U B2 F R2
U2 D F L' U' R2 B
D U F L' U' L R2
D U F L' U' R2 L
U D F L' U' L R2
U D F L' U' R2 L
L D B2 U R2 F' B2
L D B2 U R2 B2 F'
D2 U' R B2 U L F'
D2 U' R B2 U F' L
L2 D2 L B2 U F B2
L2 D2 L B2 U B2 F
R' D2 R B2 U F' B2
R' D2 R B2 U B2 F'
L' D2 R B2 U F B2
L' D2 R B2 U B2 F
L D2 L2 B2 U F B2
L D2 L2 B2 U B2 F
R2 D2 R B2 U F' B2
R2 D2 R B2 U B2 F'
L' D2 R' B2 U F B2
L' D2 R' B2 U B2 F
R D2 R B2 U F' B2
R D2 R B2 U B2 F'
L' D2 R2 B2 U F B2
L' D2 R2 B2 U B2 F
U' D2 R B2 U L F'
U' D2 R B2 U F' L
L' D2 F U' F' B2 U
L' D2 F U' B2 F' U
B' U2 L' F2 U' F' B
B' U2 L' F2 U' B F'
B2 U2 L' F2 U' F' B2
B2 U2 L' F2 U' B2 F'
D U2 F L' U' R2 B
L' D2 F2 D' L2 F' R2
L' D2 F2 D' F' L2 R2
L' D2 F2 D' F' R2 L2
L D2 F2 D' L2 R2 F
L D2 F2 D' L2 F R2
L D2 F2 D' R2 L2 F
R' D2 B2 R U F' B2
R' D2 B2 R U B2 F'
L' D2 B2 R U F B2
L' D2 B2 R U B2 F
L' D2 B2 R' U F B2
L' D2 B2 R' U B2 F
L' D2 B2 R2 U F B2
L' D2 B2 R2 U B2 F
L' D2 B2 U F B2 D
L' D2 B2 U F B2 D'
L' D2 B2 U F B2 D2
L' D2 B2 U B2 D F
L' D2 B2 U B2 D' F
L' D2 B2 U B2 D2 F
L' D2 B2 U B2 F D
L' D2 B2 U B2 F D'
L' D2 B2 U B2 F D2
L2 D2 B2 L U F B2
L2 D2 B2 L U B2 F
R2 D2 B2 R U F' B2
R2 D2 B2 R U B2 F'
R D2 B2 R U F' B2
R D2 B2 R U B2 F'
L D2 B2 R2 U F' B2
L D2 B2 R2 U B2 F'
L D2 B2 U' B U2 B
L' F L2 U' F' B' U
L' F L2 U' B' F' U
U F L' U' F L R
U F L' U' F R L
B' U2 F2 L' U' F B
B' U2 F2 L' U' B F
B2 U2 F2 L' U' F B2
B2 U2 F2 L' U' B2 F
L' F R2 U F B U'
L' F R2 U B F U'
D F R2 U L' B U'
D F R2 U B L' U'
L' F U F U' D' L2
L' F U F U2 F2 U
L' F U F D' U' L2
L' F U F D2 B2 U'
L' F U' F' U D R2
L' F U' F' U2 F2 U'
L' F U' F' D U R2
L' F U' F' D2 B2 U
U F D F L' U' L
U F' L' F' U' L F2
U F' L' F' U' F2 L
D2 F' R F' D' L2 R2
D2 F' R F' D' R2 L2
D F' R2 U' R' F U
D F' R2 U' F R' U
U2 F2 L U F2 B' U2
U2 F2 L U B' F2 U2
U2 F2 L' U F2 U2 F'
U2 F2 L' U' D2 F B2
U2 F2 L' U' D2 B2 F
U2 F2 L' D R2 U' F
U F2 L U B' U2 L'
U F2 L U' L2 F L
U2 F2 L' D2 U' F B2
U2 F2 L' D2 U' B2 F
U F2 L' U' D F L
U F2 L' U' D' F L
U F2 L' U' D2 F L
U F2 L' U' F L D
U F2 L' U' F L D'
U F2 L' U' F L D2
U F2 L' U' F D L
U F2 L' U' F D' L
U F2 L' U' F D2 L
U F2 L' U' F' L F2
U F2 L' U' F2 L F'
U F2 L' D U' F L
D2 F2 R D' L2 F' R2
U F2 L' D' U' F L
D2 F2 R D' F' L2 R2
D2 F2 R D' F' R2 L2
U F2 L' D2 U' F L
D2 F2 R' D' L2 R2 F'
D2 F2 R' D' R2 L2 F'
D2 F2 R' D' R2 F' L2
F2 D' B' L U' L B
U2 F2 D2 R U' F' B2
U2 F2 D2 R U' B2 F'
F2 D2 R B2 U' F' B2
F2 D2 R B2 U' B2 F'
L' F2 D2 B2 U' F' B2
L' F2 D2 B2 U' B2 F'
B D2 R B2 U F' B
B D2 R B2 U B F'
U F2 D' B' L U' L'
U F2 B L' U' F L
U F2 B' L' U' F L
U F2 B2 L' U' F L
U B L' F2 U' L F'
U B L' F2 U' F' L
D' B R' U D2 R2 B'
D' B R' U D2 B' R2
D' B R' U B' D2 R2
D' B R' U' L2 F U2
D' B R' D' B2 U B
D' B R' D2 U R2 B'
D' B R' D2 U B' R2
B' D2 B2 R U F' B'
B' D2 B2 R U B' F'
L' B U D R2 F B'
L' B U D R2 B' F
L' B U D F R2 B'
L' B U D F B' R2
L' B U D B' R2 F
L' B U D B' F R2
L' B U B' D R2 F
L' B U B' D F R2
F2 D2 B2 R U' F' B2
F2 D2 B2 R U' B2 F'
L' B U2 F2 U' F' B'
L' B U2 F2 U' B' F'
L' B D U R2 F B'
L' B D U R2 B' F
L' B D U F R2 B'
L' B D U F B' R2
L' B D U B' R2 F
L' B D U B' F R2
D2 B D B R' U B2
D' B D' R' B2 U B
D' B D2 R' U R' B'
L' B D2 B2 U F B
L' B D2 B2 U B F
L B D2 B2 U F2 B
L B D2 B2 U B F2
U B F2 L' U' F L
U B' L' F2 U' L F'
U B' L' F2 U' F' L
L' B' U D F B R2
L' B' U D B R2 F
L' B' U D B F R2
L' B' U B D R2 F
L' B' U B D F R2
L' B' U2 F2 U' F' B
L' B' U2 F2 U' B F'
L' B' D U F B R2
L' B' D U B R2 F
L' B' D U B F R2
L B' U2 F2 U' F2 B
L B' U2 F2 U' B F2
D' B' D' B2 R' U B'
L' B' D2 B2 U F B'
L' B' D2 B2 U B' F
D2 B2 L R U F' B2
D2 B2 L R U B2 F'
D' B2 L U B2 R' F'
D2 B2 L' R U F' B2
D2 B2 L' R U B2 F'
U B' F2 L' U' F L
D2 B2 L2 R U F' B2
D2 B2 L2 R U B2 F'
D2 B2 R L U F' B2
D2 B2 R L U B2 F'
D2 B2 R L' U F' B2
D2 B2 R L' U B2 F'
D2 B2 R L2 U F' B2
D2 B2 R L2 U B2 F'
D2 B2 R U F' B2 D
D2 B2 R U F' B2 D'
D2 B2 R U F' B2 D2
D2 B2 R U B2 D F'
D2 B2 R U B2 D' F'
D2 B2 R U B2 D2 F'
D2 B2 R U B2 F' D
D2 B2 R U B2 F' D'
D2 B2 R U B2 F' D2
D2 B2 R D L2 U F'
U B2 L' F2 U' L F'
U B2 L' F2 U' F' L
D2 B2 R' U' B U2 B
D2 B2 U R F' R' B2
D2 B2 U B2 R F' R'
L' B2 U B2 D R2 F
L' B2 U B2 D F R2
D2 B2 U2 R U' F' B2
D2 B2 U2 R U' B2 F'
L' B2 U2 F2 U' F' B2
L' B2 U2 F2 U' B2 F'
L B2 D L2 U R2 F'
U B2 F2 L' U' F L
