U L R' F L U
U L F L R' U
U L F R' L U
F R U L2 R2 U
F R U R2 L2 U
F R U2 D' F2 B2
F R U2 D' B2 F2
F R D F2 B2 U2
F R D B2 F2 U2
F R D' U2 F2 B2
F R D' U2 B2 F2
U R' L F L U
U' R' F' L2 B' U
F' U L2 R' U L
F' U R' L2 U L
R' L2 F U' L2 R U2
R' L2 F U' R L2 U2
F L2 R' U D2 L2 R2
F L2 R' U D2 R2 L2
F L2 R' U' L2 R2 U2
F L2 R' U' R2 L2 U2
U' L2 R' F' U2 F U'
F L2 R' D' F2 B2 U
F L2 R' D' B2 F2 U
U L2 R' D F U L'
F L2 R' D2 U L2 R2
F L2 R' D2 U R2 L2
U2 L2 R' B U L R
U2 L2 R' B U R L
R' L2 F' U D2 L' R2
R' L2 F' U D2 R2 L'
R' L2 F' U' L2 U2 L
R' L2 F' D' B2 U L'
R' L2 F' D2 U L' R2
R' L2 F' D2 U R2 L'
U L2 R2 D2 R F' U
U L2 U2 B2 L B' U'
U L2 D R' F U L'
U L2 D F R' U L'
R2 U L R F L U
R' U L F L U F'
R U L R2 F L U
F' L2 D2 R' U L R'
F' L2 D2 R' U R' L
R U L F L R2 U
R U L F R2 L U
U L2 D2 R F' R2 U
U L2 D2 R' U2 B U'
R2 U L2 D2 R F' U
R2 U R L F L U
R U R2 L F L U
U R L F L R2 U
U R L F R2 L U
F' R U L2 R2 U L
F' R U R2 L2 U L
F R U L2 R2 U D
F R U L2 R2 U D'
F R U L2 R2 U D2
F R U L2 R2 D U
F R U L2 R2 D' U
F R U L2 R2 D2 U
F R U L2 U D' F2
F R U L2 D' U F2
F R U R2 L2 U D
F R U R2 L2 U D'
F R U R2 L2 U D2
F R U R2 L2 D U
F R U R2 L2 D' U
F R U R2 L2 D2 U
F R U R2 U D' B2
F R U R2 D' U B2
U' R U2 L2 R2 F' U
F R U' D2 L2 R2 U'
F R U' D2 R2 L2 U'
U' R U2 R2 L2 F' U
U' R U2 R2 F' L2 U
F' R U2 D' L' F2 B2
F' R U2 D' L' B2 F2
F' R U2 D' B2 L' F2
F R U2 D' F2 B2 D
F R U2 D' F2 B2 D'
F R U2 D' F2 B2 D2
F R U2 D' B2 F2 D
F R U2 D' B2 F2 D'
F R U2 D' B2 F2 D2
F R U2 F D' F2 B2
F R U2 F D' B2 F2
F R U2 F' D' F2 B2
F R U2 F' D' B2 F2
F R U2 F2 D' F2 B2
F R U2 F2 D' B2 F2
F R U2 B D' F2 B2
F R U2 B D' B2 F2
F R U2 B' D' F2 B2
F R U2 B' D' B2 F2
F R U2 B2 D' F2 B2
F R U2 B2 D' B2 F2
F' R D F2 R B2 U2
F' R D F2 B2 R U2
F' R D B2 F2 R U2
F' R D' L' F2 B2 R'
F' R D' L' B2 R' F2
F' R D' L' B2 F2 R'
F R D F2 U2 D2 F2
F R D F2 D2 U2 F2
F R D F2 B2 U2 D
F R D F2 B2 U2 D'
F R D F2 B2 U2 D2
F R D F2 B2 D U2
F R D F2 B2 D' U2
F R D F2 B2 D2 U2
F' R D' U2 L' F2 B2
F' R D' U2 L' B2 F2
F' R D' U2 B2 L' F2
F R D B2 U2 D2 B2
F R D B2 D2 U2 B2
F R D B2 F2 U2 D
F R D B2 F2 U2 D'
F R D B2 F2 U2 D2
F R D B2 F2 D U2
F R D B2 F2 D' U2
F R D B2 F2 D2 U2
U' R D' B U' F2 B
U' R D' B U' B F2
U' R D2 L2 B R2 U'
F R D' U2 F2 B2 D
F R D' U2 F2 B2 D'
F R D' U2 F2 B2 D2
F R D' U2 B2 F2 D
F R D' U2 B2 F2 D'
F R D' U2 B2 F2 D2
F R D' F U2 F B2
F R D' F U2 B2 F
F R D' F' U2 F' B2
F R D' F' U2 B2 F'
F R D' B U2 F2 B
F R D' B U2 B F2
F R D' B' U2 F2 B'
F R D' B' U2 B' F2
U' R D2 B L2 R2 U'
U' R D2 B R2 L2 U'
F R D2 U' L2 R2 U'
F R D2 U' R2 L2 U'
F R F U L2 R2 U
F R F U R2 L2 U
F R F U2 D' F2 B2
F R F U2 D' B2 F2
F R F D F2 B2 U2
F R F D B2 F2 U2
F R F D' U2 F2 B2
F R F D' U2 B2 F2
F R F' U L2 R2 U
F R F' U R2 L2 U
F R F' U2 D' F2 B2
F R F' U2 D' B2 F2
F R F' D F2 B2 U2
F R F' D B2 F2 U2
F R F' D' U2 F2 B2
F R F' D' U2 B2 F2
F R F2 U L2 R2 U
F R F2 U R2 L2 U
F R F2 U2 D' F2 B2
F R F2 U2 D' B2 F2
F R F2 D F2 B2 U2
F R F2 D B2 F2 U2
F R F2 D' U2 F2 B2
F R F2 D' U2 B2 F2
U' R B U' D' F2 B2
U' R B U' D' B2 F2
U' R B U2 L2 R2 U
U' R B U2 R2 L2 U
U' R B D' U' F2 B2
U' R B D' U' B2 F2
U' R B D2 L2 R2 U'
U' R B D2 R2 L2 U'
F R B U L2 R2 U
F R B U R2 L2 U
F R B U2 D' F2 B2
F R B U2 D' B2 F2
F R B D F2 B2 U2
F R B D B2 F2 U2
F R B D' U2 F2 B2
F R B D' U2 B2 F2
F R B' U L2 R2 U
F R B' U R2 L2 U
F R B' U2 D' F2 B2
F R B' U2 D' B2 F2
F R B' D F2 B2 U2
F R B' D B2 F2 U2
F R B' D' U2 F2 B2
F R B' D' U2 B2 F2
F R B2 U L2 R2 U
F R B2 U R2 L2 U
F R B2 U2 D' F2 B2
F R B2 U2 D' B2 F2
F R B2 D F2 B2 U2
F R B2 D B2 F2 U2
F R B2 D' U2 F2 B2
F R B2 D' U2 B2 F2
U R' L D F L U
U R' L D' F L U
U R' L D2 F L U
U R' L F L U D
U R' L F L U D'
U R' L F L U D2
U R' L F L D U
U R' L F L D' U
U R' L F L D2 U
U R' L F D L U
U R' L F D' L U
U R' L F D2 L U
U R' L F' L F2 U
U R' L F2 L F' U
F' R' L2 U D2 L R2
F' R' L2 U D2 R2 L
F' R' L2 U' L2 U2 L'
F' R' L2 D2 U L R2
F' R' L2 D2 U R2 L
U' R' L2 F' U2 F U'
F R' L2 U D2 L2 R2
F R' L2 U D2 R2 L2
F R' L2 U' L2 R2 U2
F R' L2 U' R2 L2 U2
U2 R' L2 B U L R
U2 R' L2 B U R L
U R' L2 D F U L'
F R' L2 D' F2 B2 U
F R' L2 D' B2 F2 U
F R' L2 D2 U L2 R2
F R' L2 D2 U R2 L2
U R' U D' B L B
U R' U B D' L B2
U R' U B' D' B2 L
U R' D' L F U B2
U R' D' L F U B2
U R' D' U B L B
U R' F L F L U
U' R' F' L2 D B' U
U' R' F' L2 D' B' U
U' R' F' L2 D2 B' U
U' R' F' L2 B' U D
U' R' F' L2 B' U D'
U' R' F' L2 B' U D2
U' R' F' L2 B' D U
U' R' F' L2 B' D' U
U' R' F' L2 B' D2 U
U' R' F' B L2 B' U
U' R' F' B' L2 B' U
U' R' F' B2 L2 B' U
U R' F' L F L U
U R' F2 L F L U
U2 R' B L2 U L' R
U2 R' B L2 U R L'
U' R' B F' L2 B' U
U' R' B' F' L2 B' U
U' R' B2 F' L2 B' U
R U2 D' F2 B L B
R U2 D' B L F2 B
R U2 D' B L B F2
R U2 D' B F2 L B
F' R2 U L2 R U L
F' R2 U R L2 U L
U R2 L2 D2 R F' U
U' R2 U2 L2 R F' U
U' R2 U2 R L2 F' U
U' R2 U2 R F' L2 U
R U2 B D' L F2 B2
R U2 B D' L B2 F2
R U2 B D' F2 L B2
R U2 B' D' F2 B2 L
R U2 B' D' B2 L F2
R U2 B' D' B2 F2 L
D' U L R' F U B2
D' U L F R' U B2
F' U L2 R' U L D
F' U L2 R' U L D'
F' U L2 R' U L D2
F' U L2 R' U D L
F' U L2 R' U D' L
F' U L2 R' U D2 L
F' U L2 R' D U L
F' U L2 R' D' U L
F' U L2 R' D2 U L
F' U L2 R' F U L
F' U L2 R' F' U L
F' U L2 R' F2 U L
F' U L2 D R' U L
F2 U L2 R' F U L'
F' U L2 D' R' U L
F' U L2 D2 R' U L
F' U L2 F R' U L
R D F R F B2 U2
R D F R B2 F U2
F' U L2 F' R' U L
F' U L2 F2 R' U L
F2 U L2 F R' U L'
F U L2 R' U D2 L2
F U L2 R' U' R2 U2
F U L2 R' D' F2 U
F U L2 R' D2 U L2
R D F B2 R F U2
F U L2 F2 R' U L'
D' U R' L F U B2
D' U R' U B L B
F' U R' L2 U L D
F' U R' L2 U L D'
F' U R' L2 U L D2
F' U R' L2 U D L
F' U R' L2 U D' L
F' U R' L2 U D2 L
F' U R' L2 D U L
F' U R' L2 D' U L
F' U R' L2 D2 U L
F' U R' L2 F U L
F' U R' L2 F' U L
F' U R' L2 F2 U L
F' U R' U D' L' B2
F' U R' U D' B2 L'
F2 U R' L2 F U L'
F' U R' D' U L' B2
F' U R' D' U B2 L'
F2 U R' F L2 U L
F U R' L2 U D2 L2
F U R' L2 U' R2 U2
F U R' L2 D' F2 U
F U R' L2 D2 U L2
F U R' D' F2 U B2
F' U D' R' U L' B2
F' U D' R' U B2 L'
R D B2 F R F U2
F2 U F L2 R' U L
F2 U F R' L2 U L
F U F2 L2 R' U L
F U F2 R' L2 U L
L2 D' R' F' B2 U L'
L2 D' R' B2 F' U L'
U D' L R' F U B2
U D' L F R' U B2
B2 U' L U2 L F U
R D' U2 F2 B L B
R D' U2 B L F2 B
R D' U2 B L B F2
R D' U2 B F2 L B
D2 U' R2 U2 R F' U
R D' F R U2 F B2
R D' F R U2 B2 F
L2 D' F' R' B2 U L'
U D' R' L F U B2
U D' R' U B L B
R D' F' L' F' B2 R'
R D' F' L' B2 F' R'
R D' F' U2 L' F' B2
R D' F' U2 L' B2 F'
R D' F' U2 B2 L' F'
R D' B U2 F2 B L
R D' B U2 B L F2
R D' B U2 B F2 L
D' U' B U' B L F
U' D' B U' B L F
L2 D2 R' F' U L' R'
L2 D2 R' F' U R' L'
U' D2 R2 U2 R F' U
F' U2 L' U' L' R' U
F' U2 L' U' R' L' U
F' U2 L2 R' U L R
F' U2 L2 R' U R L
L2 D2 F' R' U L' R'
L2 D2 F' R' U R' L'
F' U2 R' L2 U L R
F' U2 R' L2 U R L
F' U2 D' B2 L' D F2
U F L R' F L U
R' F L2 U' L2 R U2
R' F L2 U' R L2 U2
U F L F L R' U
U F L F R' L U
R' F R U L2 R' U
R' F R U R' L2 U
D' F R U R2 U B2
D' F R U2 B2 D' F2
D F R D F B2 U2
D F R D B2 F U2
D F R D' F U2 F
D F R F U R2 U
D F R F U2 D' F2
D F R F D B2 U2
D F R F D' U2 F2
L2 F R' U D2 L2 R2
L2 F R' U D2 R2 L2
L2 F R' U' L2 R2 U2
L2 F R' U' R2 L2 U2
R F R U L2 R U
R F R U R L2 U
L2 F R' D' F2 B2 U
L2 F R' D' B2 F2 U
L2 F R' D2 U L2 R2
L2 F R' D2 U R2 L2
U F R' L F L U
R2 F D R F2 U2 F
R F U2 D' F2 L' B2
R F U2 D' F2 B2 L'
R F U2 D' B2 F2 L'
R F D R F2 B2 U2
R F D R B2 F2 U2
R F D F2 B2 U2 L'
R F D B2 R F2 U2
R F D B2 F2 U2 L'
R F D' R U2 F2 B2
R F D' R U2 B2 F2
R F D' U2 F2 L' B2
R F D' U2 F2 B2 L'
R F D' U2 B2 F2 L'
R F D' F2 L' B2 R'
F D R F2 U R2 U
F D R F2 U2 D' F2
F D R F2 D B2 U2
F D R F2 D' U2 F2
U' F' L2 R' F' B' U
U' F' L2 R' B' F' U
U F' L R' F L U
R' F' L2 U D2 L R2
R' F' L2 U D2 R2 L
R' F' L2 U' L2 U2 L'
U F' L F L R' U
U F' L F R' L U
R' F' L2 D2 U L R2
R' F' L2 D2 U R2 L
U' F' R' L2 F' B' U
U' F' R' L2 B' F' U
F' D F2 R U R2 U
F' D F2 R U2 D' F2
F' D F2 R D B2 U2
F' D F2 R D' U2 F2
B' D F2 U2 L' F L'
B' D F2 U2 F L' F
L2 F' R' U D2 L' R2
L2 F' R' U D2 R2 L'
L2 F' R' U' L2 U2 L
L2 F' R' D' B2 U L'
L2 F' R' D2 U L' R2
L2 F' R' D2 U R2 L'
F D F2 U R' U L'
U F' R' L F L U
D' F' U R' U L' B2
D' F' U R' U B2 L'
R F' U L2 R2 U L
R F' U R2 L2 U L
D' F' U2 B2 L' D F2
R F' U2 D' L' F2 B2
R F' U2 D' L' B2 F2
R F' U2 D' B2 L' F2
L2 F' D' R' B2 U L'
B' D' R F' L' B2 R'
R F' D F2 R B2 U2
R F' D F2 B2 R U2
L2 F' D2 R' U L' R'
L2 F' D2 R' U R' L'
R F' D B2 F2 R U2
B' D' R' B U2 B L
R F' D' L' F2 B2 R'
R F' D' L' B2 R' F2
R F' D' L' B2 F2 R'
F D' R U R2 U B2
F D' R U2 B2 D' F2
R F' D' U2 L' F2 B2
R F' D' U2 L' B2 F2
R F' D' U2 B2 L' F2
F' D' U R' U L' B2
F' D' U R' U B2 L'
F' D' U2 B2 L' D F2
B' D' F R U2 F' B2
B' D' F R U2 B2 F'
U F2 L R' F L U
U F2 L F L R' U
U F2 L F R' L U
U F2 R' L F L U
D F2 U R' F U L'
D F2 U F R' U L'
U2 B L U' L U F
U2 B U' L2 U L' F
B' F D F2 U2 L' F
B' F D' R U2 F' B2
B' F D' R U2 B2 F'
U' B2 L U2 L F U
F B' D F2 U2 L' F
F B' D' R U2 F' B2
F B' D' R U2 B2 F'
