F2 U F R
F2 R B U F
F2 U R F R
F2 U R' F R
F2 U R2 F R
F2 U D F R
F2 U D' F R
F2 U D2 F R
F2 U F R D
F2 U F R D'
F2 U F R D2
F2 U F D R
F2 U F D' R
F2 U F D2 R
F2 D U F R
F2 D' U F R
F2 D2 U F R
F2 B U F R
F2 B' U F R
B' F2 U F R
F2 B2 U F R
B F2 U F R
B2 F2 U F R
F2 U F D' R D
F2 U F D' R D'
F2 U F D' R D2
F2 U F D2 R D
F2 U F D2 R D'
F2 U F D2 R D2
F2 U F B R B'
F2 U F B2 R B2
F2 U F' R F2 R
F2 U F' R' F2 R
F2 U F' R2 F2 R
F2 U B F R B'
F2 U B2 F R B2
U D' L2 F R F2
F2 U' L2 B' U2 R'
U' D' F' L2 B' R'
D U' R2 B L U2
U D' F L2 R F2
U D' F L2 R F2
U D' F R L2 F2
U D' F R F2 L2
D' U' F' L2 B' R'
F2 U' B' U2 R' F
F2 U' B' U2 F R'
F2 D R B U F
F2 D U R F R
F2 D U R' F R
F2 D U R2 F R
F2 D U F R D
F2 D U F R D'
F2 D U F R D2
F2 D U F D R
F2 D U F D' R
F2 D U F D2 R
F' D F' U F R
F2 D B U F R
F2 D B' U F R
F2 D B2 U F R
F2 D' R B U F
F2 D' U R F R
F2 D' U R' F R
F2 D' U R2 F R
F2 D' U F R D
F2 D' U F R D'
F2 D' U F R D2
F2 D' U F D R
F2 D' U F D' R
F2 D' U F D2 R
F' D' F' U F R
F2 D' B U F R
D' F2 U F L2 R
D' F2 U F R L2
F2 D' B' U F R
F2 D' B2 U F R
F2 D2 R B U F
F2 D2 U R F R
F2 D2 U R' F R
F2 D2 U R2 F R
F2 D2 U F R D
F2 D2 U F R D'
F2 D2 U F R D2
F2 D2 U F D R
F2 D2 U F D' R
F2 D2 U F D2 R
R F2 B R' U F'
F' D2 F' U F R
F2 D2 B U F R
F2 D2 B' U F R
F2 D2 B2 U F R
R B R' F2 U F
F2 B R B U F
F2 B U R F R
F2 B U R' F R
F2 B U R2 F R
F2 B U D F R
F2 B U D' F R
F2 B U D2 F R
F2 B U F R D
F2 B U F R D'
F2 B U F R D2
F2 B U F D R
F2 B U F D' R
F2 B U F D2 R
R B F2 R' U F'
F2 B D U F R
F2 B D' U F R
F2 B D2 U F R
F2 B' R B U F
F2 B' U R F R
F2 B' U R' F R
F2 B' U R2 F R
F2 B' U D F R
F2 B' U D' F R
F2 B' U D2 F R
F2 B' U F R D
F2 B' U F R D'
F2 B' U F R D2
F2 B' U F D R
F2 B' U F D' R
F2 B' U F D2 R
F2 B' D U F R
F2 B' D' U F R
F2 B' D2 U F R
B' F2 R B U F
B2 F2 R B U F
F2 B2 R B U F
B F2 R B U F
B' F2 U R F R
B' F2 U R' F R
B' F2 U R2 F R
B' F2 U D F R
B' F2 U D' F R
B' F2 U D2 F R
B' F2 U F R D
B' F2 U F R D'
B' F2 U F R D2
B' F2 U F D R
B' F2 U F D' R
B' F2 U F D2 R
B2 F2 U R F R
F2 B2 U R F R
B2 F2 U R' F R
F2 B2 U R' F R
B2 F2 U R2 F R
F2 B2 U R2 F R
B2 F2 U D F R
F2 B2 U D F R
B2 F2 U D' F R
F2 B2 U D' F R
B2 F2 U D2 F R
F2 B2 U D2 F R
B2 F2 U F R D
B2 F2 U F R D'
B2 F2 U F R D2
F2 B2 U F R D
F2 B2 U F R D'
F2 B2 U F R D2
B2 F2 U F D R
B2 F2 U F D' R
F2 B2 U F D R
B2 F2 U F D2 R
F2 B2 U F D' R
F2 B2 U F D2 R
B F2 U R F R
B F2 U R' F R
B F2 U R2 F R
B F2 U D F R
B F2 U D' F R
B F2 U D2 F R
B F2 U F R D
B F2 U F R D'
B F2 U F R D2
B F2 U F D R
B F2 U F D' R
B F2 U F D2 R
B' F2 D U F R
B' F2 D' U F R
F2 B2 D U F R
B2 F2 D U F R
B' F2 D2 U F R
B2 F2 D' U F R
F2 B2 D' U F R
B F2 D U F R
B2 F2 D2 U F R
F2 B2 D2 U F R
B F2 D' U F R
B F2 D2 U F R
F2 L R B L' U F
U' L U F2 U F R
U L U' F2 U F R
U' L D R2 B L U2
U L D F R F2 L'
U L D' L2 F R F2
U2 L D' F U' L2 F2
U2 L D' F U' F2 L2
U' L D' F' L2 B' R'
U L D' F L2 R F2
U L D' F R L2 F2
U L D' F R F2 L2
U2 L D2 F B2 U' F2
U2 L D2 B2 F U' F2
U2 L F L2 B' U' F2
U2 L F U2 F U F
U2 L F D' L2 B' U'
F2 L B L' U F R
F2 L B' L' U F R
F2 L B2 L' U F R
U' L' U F2 U F R
U L' U' F2 U F R
U2 L' U2 F2 B' U F
U2 L' U2 B' F2 U F
F2 L' D L U F R
U' L' D R2 B L U2
U L' D F R F2 L'
F2 L' D' L U F R
U L' D' L2 F R F2
U' L' D' F' L2 B' R'
U L' D' F L2 R F2
U L' D' F R L2 F2
U L' D' F R F2 L2
F2 L' D2 L U F R
U' L2 U F2 U F R
U L2 U' F2 U F R
U' L2 D R2 B L U2
U L2 D F R F2 L'
U' L2 D' F' L2 B' R'
U L2 D' L2 F R F2
U L2 D' F L2 R F2
U L2 D' F R L2 F2
U L2 D' F R F2 L2
R2 U D' L2 R2 F' R
L2 U D' F' L2 B2 R'
R2 U D' R2 L2 F' R
R2 U D' R2 F' L2 R
R2 U D' R2 F' R L2
F2 R L B L' U F
F2 R U R2 F D R2
F2 R U F U' B U
F2 R D R' U F R
F2 R D B R U F
F2 R D B R' U F
F2 R D B R2 U F
F2 R D B U D F
F2 R D B U D' F
F2 R D B U D2 F
F2 R D B U F D
F2 R D B U F D'
F2 R D B U F D2
F2 R D B D U F
F2 R D B D' U F
F2 R D B D2 U F
F R D F B R2 U
F R D B R2 F U
F R D B F R2 U
F2 R D' R' U F R
F2 R D' B R U F
F2 R D' B R' U F
F2 R D' B R2 U F
F2 R D' B U D F
F2 R D' B U D' F
F2 R D' B U D2 F
F2 R D' B U F D
F2 R D' B U F D'
F2 R D' B U F D2
F2 R D' B D U F
F2 R D' B D' U F
F2 R D' B D2 U F
F2 R D2 R' U F R
F2 R D2 B R U F
F2 R D2 B R' U F
F2 R D2 B R2 U F
F2 R D2 B U D F
F2 R D2 B U D' F
F2 R D2 B U D2 F
F2 R D2 B U F D
F2 R D2 B U F D'
F2 R D2 B U F D2
F2 R D2 B D U F
F2 R D2 B D' U F
F2 R D2 B D2 U F
F' R F B U F' L'
F R F R' U F R
F R F D B U F
F R F D' B U F
F R F D2 B U F
F R F B R U F
F R F B R' U F
F R F B R2 U F
F R F B U D F
F R F B U D' F
F R F B U D2 F
F R F B U F D
F R F B U F D'
F R F B U F D2
F R F B D U F
F R F B D' U F
F R F B D2 U F
B' R F2 B R' U F'
B2 R F2 B R' U F'
D2 R B R' U F' L'
D' R B R' U L2 F'
D' R B R' U F' L2
B' R B R' F2 U F
B R F2 B R' U F'
F' R B R' F' U F
F2 R B R U D F
F2 R B R U D' F
F2 R B R U D2 F
F2 R B R U F D
F2 R B R U F D'
F2 R B R U F D2
F2 R B R D U F
F2 R B R D' U F
F2 R B R D2 U F
B2 R B R' F2 U F
F2 R B R' U D F
F2 R B R' U D' F
F2 R B R' U D2 F
F2 R B R' U F D
F2 R B R' U F D'
F2 R B R' U F D2
F2 R B R' D U F
F2 R B R' D' U F
F2 R B R' D2 U F
F2 R B R2 U D F
F2 R B R2 U D' F
F2 R B R2 U D2 F
F2 R B R2 U F D
F2 R B R2 U F D'
F2 R B R2 U F D2
F2 R B R2 D U F
F2 R B R2 D' U F
F2 R B R2 D2 U F
F2 R B U R F R'
F2 R B U R2 F R2
F2 R B U D F D
F2 R B U D F D'
F2 R B U D F D2
F2 R B U D' F D
F2 R B U D' F D'
F2 R B U D' F D2
F2 R B U D2 F D
F2 R B U D2 F D'
F2 R B U D2 F D2
F2 R B U F2 D F'
F2 R B U F2 D' F'
F2 R B U F2 D2 F'
F2 R B U' B U2 F
F2 R B U' B' U2 F
B R B R' F2 U F
F2 R B U' B2 U2 F
F' R B F U F' L'
F2 R B D R U F
F2 R B D R' U F
F2 R B D R2 U F
F2 R B D U F D
F2 R B D U F D'
F2 R B D U F D2
B' R B F2 R' U F'
F2 R B D' R U F
F2 R B D' R' U F
F2 R B D' R2 U F
F2 R B D' U F D
F2 R B D' U F D'
F2 R B D' U F D2
F R B R F U F
F2 R B D2 R U F
F2 R B D2 R' U F
F2 R B D2 R2 U F
F R B R' F U F
F2 R B D2 U F D
F2 R B D2 U F D'
F2 R B D2 U F D2
F R B R2 F U F
B2 R B F2 R' U F'
F R B D R2 F U
F R B D F R2 U
B R B F2 R' U F'
F2 R B' R B2 U F
F R B F R U F
F R B F R' U F
F R B F R2 U F
F R B F U D F
F R B F U D' F
F R B F U D2 F
F R B F U F D
F R B F U F D'
F R B F U F D2
F2 R B' R' B2 U F
F R B F D U F
F R B F D' U F
F R B F D2 U F
F2 R B' R2 B2 U F
F2 R B' U D' R2 F
F2 R B' U D' F R2
F2 R B' U F D' R2
F2 R B' D' U R2 F
F2 R B' D' U F R2
F2 R B2 R B' U F
F2 R B2 R' B' U F
R2 U' D B R2 U2 R
F2 R B2 R2 B' U F
F2 R B2 D B' U F
F2 R B2 D' B' U F
F2 R B2 D2 B' U F
F2 R' U D F D R2
F2 R' U D' F D R2
F2 R' U D2 F D R2
F2 R' U F R D R2
F2 R' U F R' D R2
F2 R' U F R2 D R2
F2 R' U F U F2 U'
F2 R' U F D R2 D
F2 R' U F D R2 D'
F2 R' U F D R2 D2
F2 R' U2 D F' U' F2
F2 R' U2 D' F' U' F2
F2 R' U2 D2 F' U' F2
F2 R' U2 F' L U' F2
F2 R' U2 F' L' U' F2
F2 R' U2 F' L2 U' F2
F2 R' U2 F' U' F2 D
F2 R' U2 F' U' F2 D'
F2 R' U2 F' U' F2 D2
F2 R' U2 F' D' L2 U'
F2 R' D R U F R
F2 R' D R2 B U F
F2 R' D U F D R2
F2 R' D U2 F' U' F2
F R' D R2 F B U
F R' D R2 B F U
F2 R' D' R U F R
F2 R' D' R2 B U F
F2 R' D' U F D R2
F2 R' D' U2 F' U' F2
F2 R' D2 R U F R
F2 R' D2 R2 B U F
F2 R' D2 U F D R2
F2 R' D2 U2 F' U' F2
L U2 L' F2 B' U F
U R' F R F' D' L2
L U2 L' B' F2 U F
F R' F U D R2 F
F R' F U D F R2
F R' F U2 F2 U' F'
F R' F D U R2 F
F R' F D U F R2
F R' F D2 B2 U F
F2 R' B R U F R
F2 R' B R2 B U F
F2 R' B U F D R2
F2 R' B U2 F' U' F2
F2 R' B' R U F R
F2 R' B' R2 B U F
F2 R' B' U F D R2
F2 R' B' U2 F' U' F2
F2 R' B2 R U F R
F2 R' B2 R2 B U F
F2 R' B2 U F D R2
F2 R' B2 U2 F' U' F2
F2 R2 U R F D R2
F2 R2 U D' F' R F2
F2 R2 U F2 D' F' R
U' R2 D B L R2 U2
U' R2 D B R2 L U2
F2 R2 D B U R' F
F2 R2 D B U F R'
F2 R2 D' U F' R F2
U' R2 D' B L U2 L
F R2 F R' B U F
F R2 F R2 U F R
U' R2 B L U F2 U
U' R2 B L U2 D' L2
U' R2 B L D R2 U2
U' R2 B L D' U2 L2
U' R2 B D L R2 U2
U' R2 B D R2 L U2
F2 R2 B R' B U F
F2 R2 B R2 U F R
U' R2 B D' L U2 L
F2 R2 B' R' B U F
F2 R2 B' R2 U F R
F2 R2 B2 R' B U F
F2 R2 B2 R2 U F R
U' D L R2 B L U2
D' U L F L R F2
D' U L F R L F2
D' U L F R F2 L
D' U L F' L D2 R2
R2 D U' B R2 U2 R
U' D L' R2 B L U2
D U L F R F2 L'
F2 U L' D L F R
F2 U L' D' L F R
F2 U L' D2 L F R
U D L F R F2 L'
F2 U L' F L R F
F2 U L' F R L F
D' U L2 R' F R F'
U' D L2 R2 B L U2
D' U L2 D F R F2
D' U L2 D' F R F2
D U L' F R F2 L'
D' U L2 D2 F R F2
D' U L2 F R F2 D
D' U L2 F R F2 D'
D' U L2 F R F2 D2
D' U L2 F R' F2 R2
D' U L2 F R2 F2 R'
D' U L2 F' U2 L' U2
U D L' F R F2 L'
F2 U L2 F L2 R F
F2 U L2 F R L2 F
D U L2 F R F2 L'
F2 U R D R F R
F2 U R D R' F R
F2 U R D R2 F R
F2 U R D F R D
F2 U R D F R D'
F2 U R D F R D2
F2 U R D F D R
F2 U R D F D' R
F2 U R D F D2 R
F2 U R D' R F R
F2 U R D' R' F R
F2 U R D' R2 F R
F2 U R D' F R D
F2 U R D' F R D'
F2 U R D' F R D2
F2 U R D' F D R
F2 U R D' F D' R
F2 U R D' F D2 R
F2 U R D2 R F R
F2 U R D2 R' F R
F2 U R D2 R2 F R
F2 U R D2 F R D
F2 U R D2 F R D'
F2 U R D2 F R D2
F2 U R D2 F D R
F2 U R D2 F D' R
F2 U R D2 F D2 R
U D L2 F R F2 L'
F2 U R F R2 D R'
F2 U R F R2 D' R'
F2 U R F R2 D2 R'
F2 U R F D R D
F2 U R F D R D'
F2 U R F D R D2
F2 U R F D' R D
F2 U R F D' R D'
F2 U R F D' R D2
F2 U R F D2 R D
F2 U R F D2 R D'
F2 U R F D2 R D2
F2 U R F B R B'
F2 U R F B2 R B2
F2 U R F' R F2 R
F2 U R F' R' F2 R
F2 U R F' R2 F2 R
D' U R' L2 F R F'
F2 U R B F R B'
F2 U R B2 F R B2
D' U R' F L2 R F'
D' U R' F R L2 F'
D' U R' F R F' L2
F2 U R' D R F R
F2 U R' D R' F R
F2 U R' D R2 F R
F2 U R' D F R D
F2 U R' D F R D'
F2 U R' D F R D2
F2 U R' D F D R
F2 U R' D F D' R
F2 U R' D F D2 R
F2 U R' D' R F R
F2 U R' D' R' F R
F2 U R' D' R2 F R
F2 U R' D' F R D
F2 U R' D' F R D'
F2 U R' D' F R D2
F2 U R' D' F D R
F2 U R' D' F D' R
F2 U R' D' F D2 R
F2 U R' D2 R F R
F2 U R' D2 R' F R
F2 U R' D2 R2 F R
F2 U R' D2 F R D
F2 U R' D2 F R D'
F2 U R' D2 F R D2
F2 U R' D2 F D R
F2 U R' D2 F D' R
F2 U R' D2 F D2 R
F2 U R' F R2 D R'
F2 U R' F R2 D' R'
F2 U R' F R2 D2 R'
F2 U R' F D R D
F2 U R' F D R D'
F2 U R' F D R D2
F2 U R' F D' R D
F2 U R' F D' R D'
F2 U R' F D' R D2
F2 U R' F D2 R D
F2 U R' F D2 R D'
F2 U R' F D2 R D2
F2 U R' F B R B'
U' D R2 L B L U2
F2 U R' F B2 R B2
F2 U R' F' R F2 R
F2 U R' F' R' F2 R
F2 U R' F' R2 F2 R
U' D R2 L' B L U2
U' D R2 L2 B L U2
F2 U R' B F R B'
F2 U R' B2 F R B2
U' D R2 D B L U2
U' D R2 D' B L U2
U' D R2 D2 B L U2
U' D R2 B L U2 D
U' D R2 B L U2 D'
U' D R2 B L U2 D2
U' D R2 B L D U2
U' D R2 B L D' U2
U' D R2 B L D2 U2
F2 U R2 D R F R
F2 U R2 D R' F R
F2 U R2 D R2 F R
F2 U R2 D F R D
F2 U R2 D F R D'
F2 U R2 D F R D2
F2 U R2 D F D R
F2 U R2 D F D' R
F2 U R2 D F D2 R
U' D R2 B D L U2
U' D R2 B D' L U2
U' D R2 B D2 L U2
F2 U R2 D' R F R
F2 U R2 D' R' F R
F2 U R2 D' R2 F R
F2 U R2 D' F R D
F2 U R2 D' F R D'
F2 U R2 D' F R D2
F2 U R2 D' F D R
F2 U R2 D' F D' R
F2 U R2 D' F D2 R
F2 U R2 D2 R F R
F2 U R2 D2 R' F R
F2 U R2 D2 R2 F R
D' U F L R F2 L
F2 U R2 D2 F R D
F2 U R2 D2 F R D'
F2 U R2 D2 F R D2
F2 U R2 D2 F D R
F2 U R2 D2 F D' R
F2 U R2 D2 F D2 R
F2 U R2 F R2 D R'
F2 U R2 F R2 D' R'
F2 U R2 F R2 D2 R'
F2 U R2 F D R D
F2 U R2 F D R D'
F2 U R2 F D R D2
F2 U R2 F D' R D
F2 U R2 F D' R D'
F2 U R2 F D' R D2
F2 U R2 F D2 R D
F2 U R2 F D2 R D'
F2 U R2 F D2 R D2
F2 U R2 F B R B'
F2 U R2 F B2 R B2
F2 U R2 F' R F2 R
F2 U R2 F' R' F2 R
F2 U R2 F' R2 F2 R
D' U F L2 R F2 D
D' U F L2 R F2 D'
D' U F L2 R F2 D2
D' U F L2 R' F2 R2
D' U F L2 R2 F2 R'
D' U F R L F2 L
D' U F R L2 F2 D
D' U F R L2 F2 D'
D' U F R L2 F2 D2
D' U F R F' L2 F'
D' U F R F2 L2 D
D' U F R F2 L2 D'
D' U F R F2 L2 D2
D' U F R' L2 F2 R2
F2 U R2 B F R B'
D' U F R' F2 L2 R2
D' U F R' F2 R2 L2
D2 U F R F2 D L2
D' U F R2 L2 F2 R'
D' U F R2 F2 L2 R'
D' U F R2 F2 R' L2
F2 U R2 B2 F R B2
B' U D F R F2 L'
F2 U D R D F R
F2 U D R D' F R
F2 U D R D2 F R
F2 U D R F R D
F2 U D R F R D'
F2 U D R F R D2
F2 U D R F D R
F2 U D R F D' R
F2 U D R F D2 R
F2 U D R' D F R
F2 U D R' D' F R
F2 U D R' D2 F R
F2 U D R' F R D
F2 U D R' F R D'
F2 U D R' F R D2
F2 U D R' F D R
F2 U D R' F D' R
F2 U D R' F D2 R
B2 U D F R F2 L'
F2 U D R2 D F R
D U R2 B U2 B' R'
F2 U D R2 D' F R
F2 U D R2 D2 F R
F2 U D R2 F R D
F2 U D R2 F R D'
F2 U D R2 F R D2
F2 U D R2 F D R
F2 U D R2 F D' R
F2 U D R2 F D2 R
F2 U D F R2 D R'
F2 U D F R2 D' R'
F2 U D F R2 D2 R'
F2 U D F D R D
F2 U D F D R D'
F2 U D F D R D2
F2 U D F D' R D
F2 U D F D' R D'
F2 U D F D' R D2
F2 U D F D2 R D
F2 U D F D2 R D'
F2 U D F D2 R D2
F2 U D F B R B'
F2 U D F B2 R B2
F2 U D F' R F2 R
F2 U D F' R' F2 R
F2 U D F' R2 F2 R
D U F L R F2 L'
D' U F' L D2 L R2
D' U F' L D2 R2 L
D U F L' R F2 L'
D U F L' R F2 L'
D U F L2 R F2 L'
B' U D' L2 F R F2
F2 U D B F R B'
D' U F' L2 U2 L U2
D U F R L F2 L'
D U F R L' F2 L'
D U F R L2 F2 L'
D' U F' L2 B2 R' B2
U D R2 B U2 B' R'
D U F R F2 L' D
D U F R F2 L' D'
D U F R F2 L' D2
D U F R F2 D L'
D U F R F2 D' L'
D U F R F2 D2 L'
F2 U D B2 F R B2
B2 U D' L2 F R F2
B' U D' F L2 R F2
B' U D' F R L2 F2
B' U D' F R F2 L2
U D F L R F2 L'
B U D F R F2 L'
U D F L' R F2 L'
F2 U D' R D F R
F2 U D' R D' F R
F2 U D' R D2 F R
F2 U D' R F R D
F2 U D' R F R D'
F2 U D' R F R D2
F2 U D' R F D R
F2 U D' R F D' R
F2 U D' R F D2 R
U D F L2 R F2 L'
D' U F' U2 L' U2 L'
F2 U D' R' D F R
F2 U D' R' D' F R
B2 U D' F L2 R F2
F2 U D' R' D2 F R
F2 U D' R' F R D
F2 U D' R' F R D'
F2 U D' R' F R D2
B2 U D' F R L2 F2
F2 U D' R' F D R
F2 U D' R' F D' R
F2 U D' R' F D2 R
B2 U D' F R F2 L2
U D F R L F2 L'
U D F R L' F2 L'
U D F R L2 F2 L'
F2 U D' R2 D F R
U D F R F2 L' D
U D F R F2 L' D'
U D F R F2 L' D2
F2 U D' R2 D' F R
U D F R F2 D L'
U D F R F2 D' L'
U D F R F2 D2 L'
F2 U D' R2 D2 F R
F2 U D' R2 F R D
F2 U D' R2 F R D'
F2 U D' R2 F R D2
F2 U D' R2 F D R
F2 U D' R2 F D' R
F2 U D' R2 F D2 R
F2 U D' F R2 D R'
F2 U D' F R2 D' R'
F2 U D' F R2 D2 R'
F2 U D' F D R D
F2 U D' F D R D'
F2 U D' F D R D2
F2 U D' F D' R D
F2 U D' F D' R D'
F2 U D' F D' R D2
F2 U D' F D2 R D
F2 U D' F D2 R D'
F2 U D' F D2 R D2
F2 U D' F B R B'
F2 U D' F B2 R B2
F2 U D' F' R F2 R
F2 U D' F' R' F2 R
F2 U D' F' R2 F2 R
U' D F' D2 L2 B' R'
D' U F' B2 L2 B2 R'
F2 U D' B F R B'
B U D' L2 F R F2
D U F' L D2 L2 R2
D U F' L D2 R2 L2
F2 U D' B2 F R B2
B U D' F L2 R F2
B U D' F R L2 F2
B U D' F R F2 L2
F2 U D2 R D F R
F2 U D2 R D' F R
F2 U D2 R D2 F R
F2 U D2 R F R D
F2 U D2 R F R D'
F2 U D2 R F R D2
F2 U D2 R F D R
F2 U D2 R F D' R
F2 U D2 R F D2 R
F2 U D2 R' D F R
F2 U D2 R' D' F R
F2 U D2 R' D2 F R
F2 U D2 R' F R D
F2 U D2 R' F R D'
F2 U D2 R' F R D2
F2 U D2 R' F D R
F2 U D2 R' F D' R
F2 U D2 R' F D2 R
U D F' L D2 L2 R2
U D F' L D2 R2 L2
F2 U D2 R2 D F R
F2 U D2 R2 D' F R
F2 U D2 R2 D2 F R
F2 U D2 R2 F R D
F2 U D2 R2 F R D'
F2 U D2 R2 F R D2
F2 U D2 R2 F D R
F2 U D2 R2 F D' R
F2 U D2 R2 F D2 R
F2 U D2 F R2 D R'
F2 U D2 F R2 D' R'
F2 U D2 F R2 D2 R'
D U F' U2 L' R2 U2
F2 U D2 F D R D
F2 U D2 F D R D'
F2 U D2 F D R D2
F2 U D2 F D' R D
F2 U D2 F D' R D'
F2 U D2 F D' R D2
D U F' U2 R2 L' U2
F2 U D2 F D2 R D
F2 U D2 F D2 R D'
F2 U D2 F D2 R D2
F2 U D2 F B R B'
F2 U D2 F B2 R B2
F2 U D2 F' R F2 R
F2 U D2 F' R' F2 R
F2 U D2 F' R2 F2 R
F2 U D2 B F R B'
F2 U D2 B2 F R B2
F2 U F L R D L'
F2 U F L R D' L'
F2 U F L R D2 L'
F2 U F L D L' R
F2 U F L D R L'
F2 U F L D' L' R
F2 U F L D' R L'
F2 U F L D2 L' R
F2 U F L D2 R L'
U D F' U2 L' R2 U2
U D F' U2 R2 L' U2
F2 U F L' R D L
F2 U F L' R D' L
F2 U F L' R D2 L
U' D B L R2 B U2
F2 U F L' D L R
F2 U F L' D R L
F2 U F L' D' L R
F2 U F L' D' R L
F2 U F L' D2 L R
F2 U F L' D2 R L
F2 U F R L D L'
F2 U F R L D' L'
F2 U F R L D2 L'
F2 U F R L' D L
F2 U F R L' D' L
F2 U F R L' D2 L
F2 U F R F D F'
F2 U F R F D' F'
F2 U F R F D2 F'
F2 U F R F' D F
F2 U F R F' D' F
F2 U F R F' D2 F
F2 U F R B D B'
F2 U F R B D' B'
F2 U F R B D2 B'
F2 U F R B' D B
F2 U F R B' D' B
F2 U F R B' D2 B
F2 U F R' F' R2 F
F2 U F R' F2 R2 F2
F2 U F R' B R2 B'
F2 U F R' B2 R2 B2
F2 U F R2 D R' D
F2 U F R2 D R' D'
F2 U F R2 D R' D2
F2 U F R2 D' R' D
F2 U F R2 D' R' D'
F2 U F R2 D' R' D2
F2 U F R2 D2 R' D
F2 U F R2 D2 R' D'
F2 U F R2 D2 R' D2
F2 U F R2 F' R' F
F2 U F R2 F2 R' F2
U' D B R2 L B U2
F2 U F U' B U R
F2 U F U' B' U R
F2 U F U' B2 U R
F2 U F U2 L U2 R
F2 U F U2 L' U2 R
F2 U F U2 L2 U2 R
F2 U F D R2 D R'
F2 U F D R2 D' R'
F2 U F D R2 D2 R'
F2 U F D B R B'
F2 U F D B2 R B2
F2 U F D' R2 D R'
F2 U F D' R2 D' R'
F2 U F D' R2 D2 R'
F2 U F D' B R B'
F2 U F D' B2 R B2
F2 U F D2 R2 D R'
F2 U F D2 R2 D' R'
F2 U F D2 R2 D2 R'
F2 U F D2 B R B'
F2 U F D2 B2 R B2
F2 U F B R D B'
F2 U F B R D' B'
F2 U F B R D2 B'
F2 U F B R B' D
F2 U F B R B' D'
F2 U F B R B' D2
F2 U F B R' B' R2
F2 U F B D R B'
F2 U F B D B' R
F2 U F B D' R B'
F2 U F B D' B' R
F2 U F B D2 R B'
F2 U F B D2 B' R
F2 U F B' D B R
F2 U F B' D' B R
F2 U F B' D2 B R
F2 U F B2 R B2 D
F2 U F B2 R B2 D'
F2 U F B2 R B2 D2
F2 U F B2 R' B2 R2
F2 U F' R F2 R D
F2 U F' R F2 R D'
F2 U F' R F2 R D2
F2 U F' R F2 D R
F2 U F' R F2 D' R
F2 U F' R F2 D2 R
F2 U F' R' F2 R D
F2 U F' R' F2 R D'
F2 U F' R' F2 R D2
F2 U F' R' F2 D R
F2 U F' R' F2 D' R
F2 U F' R' F2 D2 R
F2 U F' R2 F2 R D
F2 U F' R2 F2 R D'
F2 U F' R2 F2 R D2
F2 U F' R2 F2 D R
F2 U F' R2 F2 D' R
F2 U F' R2 F2 D2 R
U' D B' R2 B U2 R
F2 U F' U2 L' U2 F2
F2 U F2 L' F' L R
F2 U F2 L' F' R L
F2 U F2 L2 F' L2 R
F2 U F2 L2 F' R L2
F2 U F2 R' F' R F'
U' D B2 R2 B U2 R'
D' U B2 F' L2 B2 R'
F2 U B R F R B'
F2 U B R F B' R
F2 U B R B' F R
F2 U B R' F R B'
F2 U B R' F B' R
F2 U B R' B' F R
F2 U B R2 F R B'
F2 U B R2 F B' R
F2 U B R2 B' F R
F U F2 U' F' U R
F2 U B D F R B'
F2 U B D F B' R
