F2 U F R B
B L F2 U F R
F2 U R F B R
F2 U R B F R
F2 U D F R B
F2 U D' F R B
F2 U D2 F R B
F2 U F R D B
F2 U F R D' B
F2 U F R D2 B
F2 U F R B D
F2 U F R B D'
F2 U F R B D2
F2 U F D R B
F2 U F D' R B
F2 U F D2 R B
F2 U F B R B
F2 U F B' R B
F2 U F B2 R B
F2 U B F R B
F2 U B' F R B
F2 U B2 F R B
F2 D U F R B
F2 D' U F R B
L' F2 U F R B
L2 F2 U F R B
L F2 U F R B
F2 D2 U F R B
F2 U D R B F R
F2 U D F R D B
F2 U D F R D' B
F2 U D F R D2 B
F2 U D F R B D
F2 U D F R B D'
F2 U D F R B D2
F2 U D F D R B
F2 U D F D' R B
F2 U D F D2 R B
F2 U D F B R B
F2 U D F B' R B
F2 U D F B2 R B
F2 U D B F R B
F2 U D B' F R B
D U F R F2 L' B
D U F R F2 B L'
D U F R B F2 L'
F2 U D B2 F R B
F2 U D' R F B R
F2 U D' R B F R
U D F R F2 L' B
U D F R F2 B L'
U D F R B F2 L'
F2 U D' F R D B
F2 U D' F R D' B
F2 U D' F R D2 B
F2 U D' F R B D
F2 U D' F R B D'
F2 U D' F R B D2
F2 U D' F D R B
F2 U D' F D' R B
F2 U D' F D2 R B
F2 U D' F B R B
F2 U D' F B' R B
F2 U D' F B2 R B
F2 U D' B F R B
F2 U D' B' F R B
F2 U D' B2 F R B
F2 U D2 R F B R
F2 U D2 R B F R
F2 U D2 F R D B
F2 U D2 F R D' B
F2 U D2 F R D2 B
F2 U D2 F R B D
F2 U D2 F R B D'
F2 U D2 F R B D2
F2 U D2 F D R B
F2 U D2 F D' R B
F2 U D2 F D2 R B
F2 U D2 F B R B
F2 U D2 F B' R B
F2 U D2 F B2 R B
F2 U D2 B F R B
F2 U D2 B' F R B
F2 U D2 B2 F R B
F2 U F L R B L'
F2 U F L2 R B L2
F2 U F R L B L'
F2 U F R L2 B L2
F2 U F R D B D
F2 U F R D B D'
F2 U F R D B D2
F2 U F R D' B D
F2 U F R D' B D'
F2 U F R D' B D2
F2 U F R D2 B D
F2 U F R D2 B D'
F2 U F R D2 B D2
F2 U F R B2 D B'
F2 U F R B2 D' B'
F2 U F R B2 D2 B'
F2 U F R' B R2 B
F2 U F R' B' R2 B
F2 U F R' B2 R2 B
F2 U F D R D B
F2 U F D R D' B
F2 U F D R D2 B
F2 U F D R B D
F2 U F D R B D'
F2 U F D R B D2
F2 U F D B R B
F2 U F D B' R B
F2 U F D B2 R B
F2 U F D' R D B
F2 U F D' R D' B
F2 U F D' R D2 B
F2 U F D' R B D
F2 U F D' R B D'
F2 U F D' R B D2
F2 U F D' B R B
F2 U F D' B' R B
F2 U F D' B2 R B
F2 U F D2 R D B
F2 U F D2 R D' B
F2 U F D2 R D2 B
F2 U F D2 R B D
F2 U F D2 R B D'
F2 U F D2 R B D2
F2 U F D2 B R B
F2 U F D2 B' R B
F2 U F D2 B2 R B
F2 U F B R D B
F2 U F B R D' B
F2 U F B R D2 B
F2 U F B R B D
F2 U F B R B D'
F2 U F B R B D2
F2 U F B D R B
F2 U F B D' R B
F2 U F B D2 R B
F2 U F B' R D B
F2 U F B' R D' B
F2 U F B' R D2 B
F2 U F B' R B D
F2 U F B' R B D'
F2 U F B' R B D2
F2 U F B' D R B
F2 U F B' D' R B
F2 U F B' D2 R B
F2 U F B2 R D B
F2 U F B2 R D' B
F2 U F B2 R D2 B
F2 U F B2 R B D
F2 U F B2 R B D'
F2 U F B2 R B D2
F2 U F B2 D R B
F2 U F B2 D' R B
F2 U F B2 D2 R B
F2 U F' R F2 B R
F2 U F' R B F2 R
F2 U B R F B R
F2 U B R B F R
F2 U B D F R B
F2 U B D' F R B
F2 U B D2 F R B
F2 U B F R D B
F2 U B F R D' B
F2 U B F R D2 B
F2 U B F R B D
F2 U B F R B D'
F2 U B F R B D2
F2 U B F D R B
F2 U B F D' R B
F2 U B F D2 R B
F2 U B' R F B R
F2 U B' R B F R
F2 U B' D F R B
F2 U B' D' F R B
F2 U B' D2 F R B
F2 U B' F R D B
F2 U B' F R D' B
F2 U B' F R D2 B
F2 U B' F R B D
F2 U B' F R B D'
F2 U B' F R B D2
F2 U B' F D R B
F2 U B' F D' R B
U' D' L' B' L' F' R'
D' U' L' B' L' F' R'
F2 U B' F D2 R B
F2 U B2 R F B R
F2 U B2 R B F R
F2 U B2 D F R B
F2 U B2 D' F R B
F2 U B2 D2 F R B
F2 U B2 F R D B
F2 U B2 F R D' B
F2 U B2 F R D2 B
F2 U B2 F R B D
F2 U B2 F R B D'
F2 U B2 F R B D2
F2 U B2 F D R B
F2 U B2 F D' R B
F2 U B2 F D2 R B
U D' L2 F R F2 B
U D' L2 F R B F2
D U' R2 B L F U2
U' D' F' L' B' L' R'
U' D' F' L' B' R' L'
D' U' F' L' B' L' R'
D' U' F' L' B' R' L'
U D' F L2 R F2 B
U D' F L2 R B F2
U D' F R L2 F2 B
U D' F R L2 B F2
U D' F R F2 L2 B
U D' F R F2 B L2
U D' F R B L2 F2
U D' F R B F2 L2
F2 U2 R U' F R B
F2 U2 R' U' F R B
F2 U2 R2 U' F R B
F2 D U R F B R
F2 D U R B F R
F2 D U F R D B
F2 D U F R D' B
F2 D U F R D2 B
F2 D U F R B D
F2 D U F R B D'
F2 D U F R B D2
F2 D U F D R B
F2 D U F D' R B
F2 D U F D2 R B
F2 D U F B R B
F2 D U F B' R B
F2 D U F B2 R B
F2 D U B F R B
F2 D U B' F R B
F2 D U B2 F R B
U2 F' L' F' B' U F
U2 F' L' B' F' U F
F' D F' U F R B
U' F' U' F' L' B' U
F D' L2 B' R' F' U'
F2 D' U R F B R
F2 D' U R B F R
F2 D' U F R D B
F2 D' U F R D' B
F2 D' U F R D2 B
F2 D' U F R B D
F2 D' U F R B D'
F2 D' U F R B D2
F2 D' U F D R B
F2 D' U F D' R B
F2 D' U F D2 R B
F2 D' U F B R B
F2 D' U F B' R B
F2 D' U F B2 R B
F2 D' U B F R B
F2 D' U B' F R B
F2 D' U B2 F R B
F' D' F' U F R B
L' F2 U R F B R
L' F2 U R B F R
L' F2 U D F R B
D' F2 U F L2 R B
D' F2 U F R L2 B
D' F2 U F R B L2
L' F2 U D' F R B
L' F2 U D2 F R B
L' F2 U F R D B
L' F2 U F R D' B
L' F2 U F R D2 B
L' F2 U F R B D
L' F2 U F R B D'
L' F2 U F R B D2
L' F2 U F D R B
L' F2 U F D' R B
L' F2 U F D2 R B
L' F2 U F B R B
L' F2 U F B' R B
L' F2 U F B2 R B
L' F2 U B F R B
L2 F2 U R F B R
L2 F2 U R B F R
L' F2 U B' F R B
L' F2 U B2 F R B
L2 F2 U D F R B
L2 F2 U D' F R B
L2 F2 U D2 F R B
L2 F2 U F R D B
L2 F2 U F R D' B
L2 F2 U F R D2 B
L2 F2 U F R B D
L2 F2 U F R B D'
L2 F2 U F R B D2
L2 F2 U F D R B
L2 F2 U F D' R B
L2 F2 U F D2 R B
L2 F2 U F B R B
L2 F2 U F B' R B
L2 F2 U F B2 R B
L2 F2 U B F R B
L2 F2 U B' F R B
L2 F2 U B2 F R B
L F2 U R F B R
L F2 U R B F R
L F2 U D F R B
R' F2 U2 F R U' F'
L F2 U D' F R B
L F2 U D2 F R B
L F2 U F R D B
L F2 U F R D' B
L F2 U F R D2 B
L F2 U F R B D
L F2 U F R B D'
L F2 U F R B D2
L F2 U F D R B
L F2 U F D' R B
L F2 U F D2 R B
L F2 U F B R B
L F2 U F B' R B
L F2 U F B2 R B
L F2 U B F R B
L F2 U B' F R B
L F2 U B2 F R B
L' F2 D U F R B
L2 F2 D U F R B
L' F2 D' U F R B
L2 F2 D' U F R B
L F2 D U F R B
L' F2 D2 U F R B
L2 F2 D2 U F R B
L F2 D' U F R B
L F2 D2 U F R B
F2 D2 U R F B R
F2 D2 U R B F R
R F2 B L R' U F'
F2 D2 U F R D B
F2 D2 U F R D' B
F2 D2 U F R D2 B
F2 D2 U F R B D
F2 D2 U F R B D'
F2 D2 U F R B D2
F2 D2 U F D R B
F2 D2 U F D' R B
F2 D2 U F D2 R B
F2 D2 U F B R B
F2 D2 U F B' R B
F2 D2 U F B2 R B
R F2 B R' L U F'
F2 D2 U B F R B
F2 D2 U B' F R B
F2 D2 U B2 F R B
L' B L F2 U F R
L2 B L F2 U F R
R B L R' F2 U F
L B L F2 U F R
F' D2 F' U F R B
R B L F2 R' U F'
R B R' L F2 U F
F' B L F' U F R
R B F2 L R' U F'
R B F2 R' L U F'
B F' L F' U F R
F2 B' U F R D B2
F2 B' U2 R' U' F R
B' F2 U F R D B2
B' F2 U2 R' U' F R
