F R B2 U B2
B2 F R U B2
F B2 R U B2
F L R B2 U B2
F L B2 R U B2
F L' R B2 U B2
F L' B2 R U B2
F L2 R B2 U B2
F L2 B2 R U B2
F R L B2 U B2
F R L' B2 U B2
F R L2 B2 U B2
B2 R F R U B2
F R B2 L U B2
F R B2 L' U B2
F R B2 L2 U B2
F R B2 U B2 D
F R B2 U B2 D'
F R B2 U B2 D2
F R B2 D L2 U
B2 R' F R U B2
U' R' F B2 U F2
U' R' B2 F U F2
F R' B2 R2 U B2
B2 R2 F R U B2
F U' R B2 U L
F2 U' F' R B2 U
F' U' F2 R B2 U
F2 U' F' B2 R U
F' U' F2 B2 R U
F' U' B2 F2 R U
F2 U' B2 F' R U
R' F R B2 U B2
U' F R' B2 U F'
R2 F R B2 U B2
R F R B2 U B2
R' F B2 R U B2
U' F B2 R' U F'
R2 F B2 R U B2
B2 D F L2 R U
B2 D F R L2 U
R F B2 R U B2
B2 F L R U B2
B2 F L' R U B2
B2 F L2 R U B2
B2 F R L U B2
B2 F R L' U B2
B2 F R L2 U B2
B2 F R U B2 D
B2 F R U B2 D'
B2 F R U B2 D2
B2 F R D L2 U
B2 F D L2 R U
B2 F D R L2 U
U' B2 R' F U F2
F B2 L R U B2
F B2 L' R U B2
F B2 L2 R U B2
F B2 R L U B2
F B2 R L' U B2
F B2 R L2 U B2
F B2 R U B2 D
F B2 R U B2 D'
F B2 R U B2 D2
F B2 R D L2 U
R' B2 F R U B2
U' B2 F R' U F'
R2 B2 F R U B2
F B2 D L2 R U
F B2 D R L2 U
R B2 F R U B2
B2 R2 F R L2 U B2
B2 R2 F R U B2 D
B2 R2 F R U B2 D'
B2 R2 F R U B2 D2
B2 R2 F R D L2 U
B2 R2 F D L2 R U
B2 R2 F D R L2 U
U' R2 F B2 R U F'
D' R2 F' U' F2 R U
F' R2 F2 R B2 U B2
D' R2 F2 U' F' R U
F' R2 F2 B2 R U B2
U' R2 B2 R F U F2
U' R2 B2 F R U F'
F' R2 B2 F2 R U B2
F R2 B2 U2 L U' B2
B2 U L B2 D F L'
F' U L' U' D' L2 R2
F' U L' U' D' R2 L2
F' U L' U2 F2 B2 U
F' U L' U2 B2 F2 U
F' U L' D' U' L2 R2
F' U L' D' U' R2 L2
F' U L' D2 F2 B2 U'
F' U L' D2 B2 F2 U'
F U R B2 L U L'
F' U D' L' U' L' R2
F' U D' L' U' R2 L'
F' U D2 L' F2 B2 U'
F' U D2 L' B2 F2 U'
F' U D2 B2 L' F2 U'
F U D2 F2 L' U' L
F2 U F' R B2 L U
F' U F2 R B2 L U
B2 U B2 L D F L'
B2 U B2 U' F R U
U' D' R' F U R' F2
U' D' R' F U F2 R'
D' U' R' F U R' F2
D' U' R' F U F2 R'
D' U' F R' U F' R'
U' D' F R' U F' R'
F' U' R F2 R B2 U
F' U' R F2 B2 R U
F' U' R B2 F2 R U
F' U' R' F2 R B2 U
F' U' R' F2 B2 R U
F' U' R' B2 F2 R U
F U' R F B2 U L
F U' R F' B2 U L
F U' R F2 B2 U L
F U' R B2 U L D
F U' R B2 U L D'
F U' R B2 U L D2
F U' R B2 U D L
F U' R B2 U D' L
F U' R B2 U D2 L
F U' R B2 D U L
F U' R B2 D' U L
F U' R B2 D2 U L
F U' R B2 F U L
F U' R B2 F' U L
F U' R B2 F2 U L
F' U' R2 F2 R B2 U
F' U' R2 F2 B2 R U
F' U' R2 B2 F2 R U
F2 U' F' R U D' R2
F2 U' F' R D' U R2
F2 U' F' R B2 U D
F2 U' F' R B2 U D'
F2 U' F' R B2 U D2
F2 U' F' R B2 D U
F2 U' F' R B2 D' U
F2 U' F' R B2 D2 U
F2 U' F' R' B2 R2 U
F2 U' F' D' R U R
F2 U' F' B' R B' U
F' U' F2 R U D' R2
F' U' F2 R D' U R2
F2 U' F' B2 R U D
F2 U' F' B2 R U D'
F2 U' F' B2 R U D2
F2 U' F' B2 R D U
F2 U' F' B2 R D' U
F2 U' F' B2 R D2 U
F' U' F2 R B2 U D
F' U' F2 R B2 U D'
F' U' F2 R B2 U D2
F' U' F2 R B2 D U
F' U' F2 R B2 D' U
F' U' F2 R B2 D2 U
F2 U' F' B2 D R U
F2 U' F' B2 D' R U
F2 U' F' B2 D2 R U
F' U' F2 R' B2 R2 U
F' U' F2 D' R U R
F' U' F2 B' R B' U
F' U' F2 B2 R U D
F' U' F2 B2 R U D'
F' U' F2 B2 R U D2
F' U' F2 B2 R D U
F' U' F2 B2 R D' U
F' U' F2 B2 R D2 U
F' U' F2 B2 D R U
F' U' F2 B2 D' R U
F' U' F2 B2 D2 R U
F' U' B' F2 R B' U
F2 U' B' F' R B' U
F' U' B2 R F2 R U
F' U' B2 R' F2 R U
F' U' B2 R2 F2 R U
F' U' B2 F2 R U D
F' U' B2 F2 R U D'
F' U' B2 F2 R U D2
F' U' B2 F2 R D U
F' U' B2 F2 R D' U
F' U' B2 F2 R D2 U
F' U' B2 F2 D R U
F' U' B2 F2 D' R U
F' U' B2 F2 D2 R U
F2 U' B2 F' R U D
F2 U' B2 F' R U D'
F2 U' B2 F' R U D2
F2 U' B2 F' R D U
F2 U' B2 F' R D' U
F2 U' B2 F' R D2 U
F2 U' B2 F' D R U
F2 U' B2 F' D' R U
F2 U' B2 F' D2 R U
F U' B2 R U' R' U2
R' F L R B2 U B2
R' F L B2 R U B2
R' F L' R B2 U B2
R2 F L R B2 U B2
R' F L' B2 R U B2
R' F L2 R B2 U B2
R2 F L B2 R U B2
R F L R B2 U B2
D2 F L2 R B' U B
R2 F L' R B2 U B2
B' U2 F B' R' U B2
R' F L2 B2 R U B2
R F L B2 R U B2
R' F R L B2 U B2
R2 F L' B2 R U B2
R F L' R B2 U B2
R' F R L' B2 U B2
U' F R U D' R2 F'
R' F R L2 B2 U B2
R2 F L2 R B2 U B2
D2 F R L2 B' U B
U' F R D' U R2 F'
D' F R B U R B'
D' F R B U B' R
U' F R B2 U' B' U2
R' F R B2 L U B2
D' F R B' U B R
R' F R B2 L' U B2
R' F R B2 L2 U B2
R' F R B2 U B2 D
R' F R B2 U B2 D'
R' F R B2 U B2 D2
R' F R B2 D L2 U
R F L' B2 R U B2
D' F R B2 U R B2
D' F R B2 U B2 R
R2 F L2 B2 R U B2
R F L2 R B2 U B2
U' F R' U D' F' R2
U' F R' U F' D' R2
R2 F R L B2 U B2
R2 F R L' B2 U B2
R2 F R L2 B2 U B2
U' F R' D' U F' R2
D F R D' B2 U B2
U' F R' B2 U D F'
U' F R' B2 U D' F'
U' F R' B2 U D2 F'
U' F R' B2 U F' D
U' F R' B2 U F' D'
U' F R' B2 U F' D2
U' F R' B2 D U F'
U' F R' B2 D' U F'
U' F R' B2 D2 U F'
R' F R' B2 R2 U B2
R F L2 B2 R U B2
R2 F R B2 L U B2
R2 F R B2 L' U B2
R2 F R B2 L2 U B2
R2 F R B2 U B2 D
R2 F R B2 U B2 D'
R2 F R B2 U B2 D2
R2 F R B2 D L2 U
R F R L B2 U B2
R F R L' B2 U B2
R F R L2 B2 U B2
U F R B2 L U F
U' F R2 B2 R U F'
B' U2 B' R' F U B2
R F R B2 L U B2
R F R B2 L' U B2
R F R B2 L2 U B2
R F R B2 U B2 D
R F R B2 U B2 D'
R F R B2 U B2 D2
R F R B2 D L2 U
R2 F R' B2 R2 U B2
B' U2 B' F R' U B2
R F R' B2 R2 U B2
R' F U' R B2 U L
R2 F U' R B2 U L
D' F D R B2 U B2
R F U' R B2 U L
D' F D B2 R U B2
U' F D' R' U F' R'
B2 D R F L2 R U
B2 D R F R L2 U
D F D' R B2 U B2
D' F B R U R B'
D' F B R U B' R
D F D' B2 R U B2
B2 D R' F L2 R U
B2 D R' F R L2 U
F D R D' B2 U B2
U' F B' R' B' U F'
B2 D R2 F L2 R U
B2 D R2 F R L2 U
R' F B2 L R U B2
R' F B2 L' R U B2
U' F B2 R U' B U2
R' F B2 L2 R U B2
U' F B2 R' U D F'
U' F B2 R' U D' F'
U' F B2 R' U D2 F'
U' F B2 R' U F' D
U' F B2 R' U F' D'
U' F B2 R' U F' D2
U' F B2 R' D U F'
U' F B2 R' D' U F'
U' F B2 R' D2 U F'
R' F B2 R L U B2
R' F B2 R L' U B2
R' F B2 R L2 U B2
R' F B2 R U B2 D
R' F B2 R U B2 D'
R' F B2 R U B2 D2
R' F B2 R D L2 U
D' F B2 R U R B2
D' F B2 R U B2 R
U' F B2 U2 L U' F
U' F B2 D R' U F'
U' F B2 D' R' U F'
R' F B2 D L2 R U
R' F B2 D R L2 U
U' F B2 D2 R' U F'
R2 F B2 L R U B2
R2 F B2 L' R U B2
R2 F B2 L2 R U B2
R2 F B2 R L U B2
R2 F B2 R L' U B2
R2 F B2 R L2 U B2
R2 F B2 R U B2 D
R2 F B2 R U B2 D'
R2 F B2 R U B2 D2
R2 F B2 R D L2 U
R2 F B2 D L2 R U
R2 F B2 D R L2 U
R F B2 L R U B2
R F B2 L' R U B2
R F B2 L2 R U B2
R F B2 R L U B2
R F B2 R L' U B2
R F B2 R L2 U B2
R F B2 R U B2 D
R F B2 R U B2 D'
R F B2 R U B2 D2
R F B2 R D L2 U
R F B2 D L2 R U
R F B2 D R L2 U
B2 D F L2 R U D
B2 D F L2 R U D'
B2 D F L2 R U D2
B2 D F L2 R D U
B2 D F L2 R D' U
B2 D F L2 R D2 U
B2 D F L2 D R U
B2 D F L2 D' R U
B2 D F L2 D2 R U
B2 D F R L2 U D
B2 D F R L2 U D'
B2 D F R L2 U D2
B2 D F R L2 D U
B2 D F R L2 D' U
B2 D F R L2 D2 U
B2 D F R U D' B2
B2 D F R D' U B2
B' D F B' R U B2
B2 D F D' R U B2
B D F B R U B2
B2 D F2 L2 F' R U
U' F' R' F2 B2 U F
U' F' R' B2 F2 U F
D' F' R2 U' F2 R U
B' D B' F R U B2
B D B F R U B2
R' F' U' F2 R B2 U
R' F' U' F2 B2 R U
D' F' U' F2 R U R
F' D' L R2 D L F2
F' D' L R2 D F2 L
R' F' U' B2 F2 R U
R2 F' U' F2 R B2 U
R2 F' U' F2 B2 R U
R2 F' U' B2 F2 R U
F2 D' L' F R2 D' L2
F' D' L2 R2 U L U'
F' D' L2 U L U' R2
R F' U' F2 R B2 U
R F' U' F2 B2 R U
R F' U' B2 F2 R U
F' D' R2 L D L F2
F' D' R2 L D F2 L
F' D' R2 L2 U L U'
F' D' R2 U L' U' L'
F D' R B U R B'
F D' R B U B' R
F D' R B' U B R
F D' R B2 U R B2
F D' R B2 U B2 R
U' F' B2 R' F2 U F
F' D' U L' U' L' R2
F' D' U L' U' R2 L'
B2 D' F R U2 R U'
B' D' F B' R U B2
B2 D' F D R U B2
B2 D' F D2 L2 R U
B2 D' F D2 R L2 U
B D' F B R U B2
B' D' B' F R U B2
F D' B R U R B'
F D' B R U B' R
B D' B F R U B2
R' F2 U' F' R B2 U
R' F2 U' F' B2 R U
D2 F2 U' F' R U R'
D' F2 U' F' R U R
R' F2 U' B2 F' R U
F' D2 L D L2 R2 F2
F' D2 L D L2 F2 R2
F' D2 L D R2 L2 F2
F' D2 L D R2 F2 L2
F' D2 L D F2 L2 R2
F' D2 L D F2 R2 L2
F D' B2 R U R B2
F D' B2 R U B2 R
R2 F2 U' F' R B2 U
R2 F2 U' F' B2 R U
R2 F2 U' B2 F' R U
F' D2 L' F2 B2 U' B2
F' D2 L' B2 F2 U' B2
R F2 U' F' R B2 U
R F2 U' F' B2 R U
R F2 U' B2 F' R U
F D2 R D2 B2 U B2
F' D2 U L' F2 B2 U'
F' D2 U L' B2 F2 U'
F' D2 U B2 L' F2 U'
F D2 U F2 L' U' L
B2 D2 F L2 R U B'
B2 D2 F R L2 U B'
B2 D2 F R U' F U2
B' D2 F B' R U B2
B D2 F B R U B2
B' D2 B' F R U B2
B D2 B F R U B2
F' D2 B2 L' F2 U' B2
B2 F L R U B2 D
B2 F L R U B2 D'
B2 F L R U B2 D2
B2 F L R D L2 U
B2 F L D L2 R U
B2 F L D R L2 U
B2 F L' R U B2 D
B2 F L' R U B2 D'
B2 F L' R U B2 D2
B2 F L' R D L2 U
B2 F L' D L2 R U
B2 F L' D R L2 U
B2 F L2 R U B2 D
B2 F L2 R U B2 D'
B2 F L2 R U B2 D2
B2 F L2 R D L2 U
B2 F L2 D L2 R U
B2 F L2 D R L2 U
B' F R D B' L U
B2 F R L U B2 D
B2 F R L U B2 D'
B2 F R L U B2 D2
B2 F R L D L2 U
B2 F R L' U B2 D
B2 F R L' U B2 D'
B2 F R L' U B2 D2
B2 F R L' D L2 U
B2 F R L2 U B2 D
B2 F R L2 U B2 D'
B2 F R L2 U B2 D2
B2 F R L2 D L2 U
B2 F R U L B2 L'
B2 F R U L2 B2 L2
B2 F R U R' B2 R
B2 F R U R2 B2 R2
B2 F R U B D B
B2 F R U B D' B
B2 F R U B D2 B
B2 F R U B' D B'
B2 F R U B' D' B'
B2 F R U B' D2 B'
B2 F R U' D2 F2 U2
B2 F R U' F U2 B2
B2 F R U' F' U2 B2
B2 F R U' F2 U2 B2
B2 F R U2 R U' B2
B2 F R U2 R' U' B2
B2 F R U2 R2 U' B2
B2 F R U2 D' R2 U'
B2 F R D L2 U D
B2 F R D L2 U D'
B2 F R D L2 U D2
B2 F R D L2 D U
B2 F R D L2 D' U
B2 F R D L2 D2 U
B2 F R D' U2 R2 U'
B2 F R D2 U' F2 U2
B2 F R' U B2 D' F2
D' B F R U R B'
D' B F R U B' R
B2 F R2 D L2 R' U
B2 F R2 D R' L2 U
B2 F U B2 U' R U
B2 F D L2 R U D
B2 F D L2 R U D'
B2 F D L2 R U D2
B2 F D L2 R D U
B2 F D L2 R D' U
B2 F D L2 R D2 U
B2 F D L2 D R U
B2 F D L2 D' R U
B2 F D L2 D2 R U
B2 F D R L2 U D
B2 F D R L2 U D'
B2 F D R L2 U D2
B2 F D R L2 D U
B2 F D R L2 D' U
B2 F D R L2 D2 U
B2 F D R U D' B2
B2 F D R D' U B2
B' F D B' R U B2
B2 F D' R U2 R U'
B' F D' B' R U B2
B F D B R U B2
U' B' R' F B' U F2
U' B' R' B' F U F2
B2 F D2 R U D2 B2
B2 F D2 R U' F2 U2
B2 F D2 R D' L2 U
B2 F D2 R D2 U B2
B' F D2 B' R U B2
F B D B R U B2
B F D' B R U B2
F B D' B R U B2
B F D2 B R U B2
F B D2 B R U B2
U2 B' U R' F B' U
U2 B' U R' B' F U
U2 B' U F R' B' U
B2 F' R F2 R U B2
L2 B' U2 B' R' U B2
B2 F' R' F2 R U B2
F B' R D B' L U
B2 F' R2 F2 R U B2
U' B' F R' B' U F'
L' B2 L F R U B2
F B' D B' R U B2
U' B2 R F R2 U F'
U' B2 R F U' B U2
F B' D' B' R U B2
R' B2 R F R U B2
B2 F2 L F' R U B2
F2 B2 L F' R U B2
U' B2 R' U F' D' L2
L B2 L' F R U B2
U' B2 R' D F U F2
U' B2 R' D' F U F2
U' B2 R' D2 F U F2
U' B2 R' F R U F2
U' B2 R' F R' U F2
U' B2 R' F R2 U F2
U' B2 R' F U F2 D
U' B2 R' F U F2 D'
U' B2 R' F U F2 D2
U' B2 R' F D R2 U
F B' D2 B' R U B2
R' B2 R' F R U B2
F B2 L R U B2 D
F B2 L R U B2 D'
F B2 L R U B2 D2
F B2 L R D L2 U
B2 F2 L' F' R U B2
F2 B2 L' F' R U B2
F B2 L D L2 R U
F B2 L D R L2 U
R2 B2 R F R U B2
U' B2 R2 F R U F'
R' B2 R2 F R U B2
F B2 L' R U B2 D
F B2 L' R U B2 D'
F B2 L' R U B2 D2
F B2 L' R D L2 U
B2 F2 L2 F' R U B2
F2 B2 L2 F' R U B2
F B2 L' D L2 R U
F B2 L' D R L2 U
R2 B2 R' F R U B2
R B2 R F R U B2
F' B2 R F2 R U B2
F B2 L2 R U B2 D
F B2 L2 R U B2 D'
F B2 L2 R U B2 D2
F B2 L2 R D L2 U
L' B2 U B L F B
L' B2 U B L B F
F B2 L2 D L2 R U
F B2 L2 D R L2 U
R2 B2 R2 F R U B2
R B2 R' F R U B2
F' B2 R' F2 R U B2
F B2 R L U B2 D
F B2 R L U B2 D'
F B2 R L U B2 D2
F B2 R L D L2 U
F B2 R L' U B2 D
F B2 R L' U B2 D'
F B2 R L' U B2 D2
F B2 R L' D L2 U
F B2 R L2 U B2 D
F B2 R L2 U B2 D'
F B2 R L2 U B2 D2
F B2 R L2 D L2 U
F B2 R U L B2 L'
F B2 R U L2 B2 L2
F B2 R U R' B2 R
F B2 R U R2 B2 R2
F B2 R U B D B
F B2 R U B D' B
F B2 R U B D2 B
F B2 R U B' D B'
F B2 R U B' D' B'
F B2 R U B' D2 B'
F B2 R U' D2 F2 U2
F B2 R U' F U2 B2
F B2 R U' F' U2 B2
F B2 R U' F2 U2 B2
F B2 R U2 R U' B2
F B2 R U2 R' U' B2
F B2 R U2 R2 U' B2
F B2 R U2 D' R2 U'
F B2 R D L2 U D
F B2 R D L2 U D'
F B2 R D L2 U D2
F B2 R D L2 D U
F B2 R D L2 D' U
F B2 R D L2 D2 U
F B2 R D' U2 R2 U'
F B2 R D2 U' F2 U2
R B2 R2 F R U B2
F' B2 R2 F2 R U B2
F B2 R' U B2 D' F2
U' B2 D R' F U F2
U' B2 D F R' U F'
R' B2 D F L2 R U
R' B2 D F R L2 U
L2 B2 U2 B L U' B
U' B2 D' R' F U F2
F B2 R2 D L2 R' U
F B2 R2 D R' L2 U
U' B2 D' F R' U F'
U' B2 D2 R' F U F2
R2 B2 D F L2 R U
R2 B2 D F R L2 U
