U2 L' R B R' U
U2 R L' B R' U
U2 R B L' R' U
U2 R B R' L' U
U2 D L' U F R
D U2 L' U F R
L D2 R2 F L' U'
L D2 F L' R2 U'
L D2 F R2 L' U'
L' B' U2 L B U'
R2 L' B' U2 L B U'
R L' B' U2 L B U'
B2 L' D2 F2 B' R' U
B2 L' D2 B' R' F2 U
B2 L' D2 B' F2 R' U
U2 L' B R B R2 U
U2 L' B R' U2 F' U'
D2 L' B' R2 F' R U
B' L' B' U D L2 F2
B' L' B' U D F2 L2
B2 L' B' R' U2 B' U'
B' L' B' U2 L2 B2 U'
B' L' B' U2 B2 L2 U'
B' L' B' D U L2 F2
B' L' B' D U F2 L2
D L' B' R2 F' U F2
U2 L' B' U2 L F U'
B' L' B' D2 R2 F2 U
B' L' B' D2 F2 R2 U
D L' B' U2 B U' F
L R2 D2 R2 F L' U'
L R2 D2 F L' R2 U'
L R2 D2 F R2 L' U'
B L2 R' F L B' U
L' R2 B' U2 L B U'
B L2 F L R' B' U
B L2 F R' L B' U
F2 R L D2 F L' U'
U2 R L B L2 R' U
U2 R L B R' L2 U
U2 R L' B R' U D
U2 R L' B R' U D'
U2 R L' B R' U D2
U2 R L' B R' D U
U2 R L' B R' D' U
U2 R L' B R' D2 U
U2 R L' B D R' U
U2 R L' B D' R' U
U2 R L' B D2 R' U
F2 R U' D' F R F'
F2 R U' F D' R F'
D R U2 L' U F R
F2 R U2 R B R' U
U2 R D L' B U F
U2 R D B L' U F
F2 R D' U' F R F'
F2 R D2 L F L' U'
D' R F2 R U' F R
U2 R B L' R' U D
U2 R B L' R' U D'
U2 R B L' R' U D2
U2 R B L' R' D U
U2 R B L' R' D' U
U2 R B L' R' D2 U
U2 R B L' D R' U
U2 R B L' D' R' U
U2 R B L' D2 R' U
U2 R B R' L' U D
U2 R B R' L' U D'
U2 R B R' L' U D2
U2 R B R' L' D U
U2 R B R' L' D' U
U2 R B R' L' D2 U
U2 R B R' D L' U
U2 R B R' D' L' U
U2 R B R' D2 L' U
U2 R B D L' R' U
U2 R B D R' L' U
U2 R B D' L' R' U
U2 R B D' R' L' U
U2 R B D2 L' R' U
U2 R B D2 R' L' U
F2 R B' L F B U'
F2 R B' L B F U'
B R' L' D' B' U L
B R' L2 F L B' U
D R' U2 L' U F R
R' U2 L' R B R' U
L2 U2 L B R' B2 U
L2 U2 L B' U2 L U'
R2 U2 L' R B R' U
R U2 L' R B R' U
R' U2 R L' B R' U
R' U2 R B L' R' U
R' U2 R B R' L' U
R2 U2 R L' B R' U
L U2 L2 B R' B2 U
L U2 L2 B' U2 L U'
R U2 R L' B R' U
R2 U2 R B L' R' U
R2 U2 R B R' L' U
R U2 R B L' R' U
R U2 R B R' L' U
R' U2 D L' U F R
R2 U2 D L' U F R
R U2 D L' U F R
U2 R2 L' B R' B U
L U2 B L2 R' B' U
D R2 U2 L' U F R
L U2 B R' L2 B' U
L U2 B2 L2 B' R' U
U2 R2 B L' R' B U
U2 R2 B R' L' B U
U2 R2 B R' B L' U
R' D U2 L' U F R
R2 D U2 L' U F R
U2 D L' R B U F
R D U2 L' U F R
U2 D L' U R F R
U2 D L' U R' F R
U2 D L' U R2 F R
U2 D L' U D F R
U2 D L' U D' F R
U2 D L' U D2 F R
U2 D L' U F R D
U2 D L' U F R D'
U2 D L' U F R D2
U2 D L' U F D R
U2 D L' U F D' R
U2 D L' U F D2 R
U2 D L' D U F R
U2 D L' D' U F R
U2 D L' D2 U F R
U2 D L' B U F R
U2 D L' B' U F R
U2 D L' B2 U F R
U2 D R L' B U F
U2 D R B L' U F
U2 D B L' U F R
U2 D B' L' U F R
U2 D B2 L' U F R
L D' R F U' F2 B2
L D' R F U' B2 F2
U2 D' L' R B U F'
U2 D' L' U F R F'
U2 D' R L' B U F'
U2 D' R B L' U F'
L D' F R U' F' B2
L D' F R U' B2 F'
F U' D' F R F' B
F U' D' F R B F'
D' U2 L' R B U F'
D' U2 L' U F R F'
F U' F D' R F' B
F U' F D' R B F'
D U2 L' R B U F
D U2 L' U R F R
D U2 L' U R' F R
D U2 L' U R2 F R
D U2 L' U D F R
D U2 L' U D' F R
D U2 L' U D2 F R
D U2 L' U F R D
D U2 L' U F R D'
D U2 L' U F R D2
D U2 L' U F D R
D U2 L' U F D' R
D U2 L' U F D2 R
D U2 L' D U F R
D U2 L' D' U F R
D U2 L' D2 U F R
D' U2 R L' B U F'
D U2 L' B U F R
D U2 L' B' U F R
D U2 L' B2 U F R
D' U2 R B L' U F'
L D2 R' F L' R' U'
L D2 R' F R' L' U'
D U2 R L' B U F
L D2 R2 F L' U' D
L D2 R2 F L' U' D'
L D2 R2 F L' U' D2
L D2 R2 F L' D U'
L D2 R2 F L' D' U'
L D2 R2 F L' D2 U'
L D2 R2 F D L' U'
L D2 R2 F D' L' U'
L D2 R2 F D2 L' U'
D U2 R B L' U F
L D2 F L' R2 U' D
L D2 F L' R2 U' D'
L D2 F L' R2 U' D2
L D2 F L' R2 D U'
L D2 F L' R2 D' U'
L D2 F L' R2 D2 U'
L D2 F L' U' D B2
L D2 F L' D U' B2
L D2 F R2 L' U' D
L D2 F R2 L' U' D'
L D2 F R2 L' U' D2
L D2 F R2 L' D U'
L D2 F R2 L' D' U'
L D2 F R2 L' D2 U'
L D2 F R2 D L' U'
L D2 F R2 D' L' U'
L D2 F R2 D2 L' U'
L D2 F D L' U' B2
D U2 B L' U F R
F U2 R B L R' U
F U2 R B R' L U
L' D2 B' R2 F' R U
D U2 B' L' U F R
D U2 B2 L' U F R
D' F L F R U' F'
D2 F L F L2 R U'
D2 F L F R L2 U'
D' F U' F R F' B
D' F U' F R B F'
B2 D L' B' R' U L'
L F D' R U' F' B2
L F D' R U' B2 F'
L' F B' U2 L B U'
F2 D' L R F U' F2
F D' L F R U' F'
F2 D' R L F U' F2
F2 D' R U' F R F2
F2 D' R F2 U' F R
L' F' B' U2 L B U'
D' F2 L R F U' F2
F D' U' F R F' B
F D' U' F R B F'
D' F2 R L F U' F2
D' F2 R U' F R F2
D' F2 R F2 U' F R
F2 D2 L R F L' U'
B2 D2 L' F2 B' R' U
B2 D2 L' B' R' F2 U
B2 D2 L' B' F2 R' U
F D2 L F L' R U'
F D2 L F R L' U'
F2 D2 R L F L' U'
L' F2 B' U2 L B U'
U2 B L' R B R2 U
U2 B L' R' U2 F' U'
U B L U L2 R' U
U B L U R' L2 U
U2 B R L' B R2 U
L' B R B2 R2 F' U
L B L2 R' F B' U
L B L2 R' B' F U
U2 B R B L' R2 U
U2 B R B R2 L' U
L B L2 F R' B' U
U2 B R' L' U2 F' U'
L' B R' B2 U2 B U'
L B R' L2 F B' U
L B R' L2 B' F U
B' F L F B R U'
B' F L B F R U'
L' B' R2 F' U2 L U'
F2 B' L B R F U'
F B' L F B R U'
F B' L B F R U'
L' B' U2 L D B U'
L' B' U2 L D' B U'
L' B' U2 L D2 B U'
L' B' U2 L B U' D
L' B' U2 L B U' D'
L' B' U2 L B U' D2
L' B' U2 L B D U'
L' B' U2 L B D' U'
L' B' U2 L B D2 U'
L' B' U2 L' B L2 U'
L' B' U2 L2 B L' U'
L' B' U2 D L B U'
L' B' U2 D' L B U'
L' B' U2 D2 L B U'
L' B' D U2 L B U'
L' B' D' U2 L B U'
L' B' D2 U2 L B U'
L' B' F U2 L B U'
L' B' F' U2 L B U'
L' B' F2 U2 L B U'
B' F2 L B R F U'
