U2 B L U L2
U2 L B L U L
U' L' R D B R'
U' L' U' B L U
U2 L' B L U L'
U L' B' D' R2 F'
U' R L' D B R'
U' R D L' B R'
U' R D B L' R'
U' R D B R' L'
F R2 F' R' U' L'
U2 D B L U L2
U2 D' B L U L2
D' U2 B L U L2
U2 D2 B L U L2
D2 U2 B L U L2
D U2 B L U L2
R F R F' U' L'
U2 B L U L2 D
U2 B L U L2 D'
U2 B L U L2 D2
U2 B L D F2 U
U2 B L F U L2
U2 B L F' U L2
U2 B L F2 U L2
U2 B U L' D' B2
U2 B D L U L2
U2 B D' L U L2
U2 B D2 L U L2
B U' L' R2 B2 R' B
B U' L' U2 L F U2
B U' L' B R B R'
B U' L' B2 R B R2
B' U' R L' D' B R2
B2 U' R L' D' B R'
B' U' R D' L' B R2
B' U' R D' B L' R2
B' U' R D' B R2 L'
B2 U' R B L' D' R2
B' U' R' L' D' R2 B
B2 U' R B D' L' R2
B2 U' R B D' R2 L'
B U' R L' B2 R' B'
B' U' R' D' L' R2 B
B' U' R' D' R2 L' B
B' U' R' D' R2 B L'
B U' R B' L' B2 R'
B U' R' F' U2 F L'
B U' R2 L' B2 R' B
B' U' D' L' R B R
B' U' D' R L' B R
U2 D' B L U L2 D
U2 D' B L U L2 D'
U2 D' B L U L2 D2
U2 D' B L D F2 U
U2 D' B L F U L2
U2 D' B L F' U L2
U2 D' B L F2 U L2
B' U' D' R B L' R
B' U' D' R B R L'
U2 D' B U L' D' B2
U2 D' B D L U L2
U2 D' B D' L U L2
U2 D' B D2 L U L2
D' U2 L B L U L
D2 U2 L B L U L
U' D2 L' R D B R'
U' D2 L' U' B L U
U2 D2 L B L U L
D' U2 L' B L U L'
B U' F' U2 F L' B'
D2 U2 L' B L U L'
D U2 L B L U L
U2 D2 L' B L U L'
B U' F2 R U2 F2 B
B U' F2 R U2 B F2
B U' F2 U2 F2 L' B'
U' D2 R L' D B R'
D U2 L' B L U L'
U' D2 R D L' B R'
U' D2 R D B L' R'
U' D2 R D B R' L'
U D2 L' B' D' R2 F'
F' U2 L' F B U L'
F' U2 L' B F U L'
D' U2 B L U L2 D
D' U2 B L U L2 D'
D' U2 B L U L2 D2
D' U2 B L D F2 U
D' U2 B L F U L2
D' U2 B L F' U L2
D' U2 B L F2 U L2
D2 U2 B L U L2 D
D2 U2 B L U L2 D'
D2 U2 B L U L2 D2
D2 U2 B L D F2 U
D2 U2 B L F U L2
D2 U2 B L F' U L2
D2 U2 B L F2 U L2
D' U2 B U L' D' B2
D2 U2 B U L' D' B2
D' U2 B D L U L2
D' U2 B D' L U L2
D' U2 B D2 L U L2
D2 U2 B D L U L2
U2 D2 B L U L2 D
U2 D2 B L U L2 D'
U2 D2 B L U L2 D2
U2 D2 B L D F2 U
U2 D2 B L F U L2
U2 D2 B L F' U L2
U2 D2 B L F2 U L2
D2 U2 B D' L U L2
D2 U2 B D2 L U L2
U2 D2 B U L' D' B2
D U2 B L U L2 D
D U2 B L U L2 D'
D U2 B L U L2 D2
D U2 B L D F2 U
D U2 B L F U L2
D U2 B L F' U L2
D U2 B L F2 U L2
U2 D2 B D L U L2
U2 D2 B D' L U L2
U2 D2 B D2 L U L2
D U2 B U L' D' B2
D U2 B D L U L2
D U2 B D' L U L2
D U2 B D2 L U L2
F' U2 D' L' F B U
F' U2 D' L' B F U
F' U2 D' B L' F U
F' U2 F B U L' B'
R' F R U2 B U L
B' U2 B L B U L2
R' F R' F' R2 U' L'
F2 U2 F2 B U L' B'
F' U2 B L' F U L'
B2 U2 B L B2 U L2
F U2 F2 L' B U L
R F R D F' U' L'
F' U2 B D' L' F U
R F R D' F' U' L'
R F R D2 F' U' L'
F' U2 B F U L' B'
D' F R2 F' R' U' L'
D2 F R2 F' R' U' L'
R F R F' U' L' D
R F R F' U' L' D'
R F R F' U' L' D2
R F R F' U' D L'
R F R F' U' D' L'
R F R F' U' D2 L'
R F R F' D U' L'
R F R F' D' U' L'
R F R F' D2 U' L'
R F R F' B U' L'
R F R F' B' U' L'
R F R F' B2 U' L'
R F R B F' U' L'
R F R B' F' U' L'
F2 U2 B F2 U L' B'
F U2 F2 B L' U L2
R F R B2 F' U' L'
B2 U2 B' U2 R' U' L'
F U2 B U2 R U' L
D F R2 F' R' U' L'
F U2 B F2 L' U L2
U F U B L F U
U2 F B L F' U L'
B' D U L2 U2 L B'
R F B R F' U' L'
F D R2 F' R' U' L'
R F B' R F' U' L'
R F B2 R F' U' L'
R2 F' U2 L' F U L'
R2 F' U2 D' L' F U
R2 F' U2 F U L' B'
B' D' R U' L' R B
B' D' R U' R L' B
B' D' R U' R B L'
R2 F' D' U2 L' F U
U2 F' B L F U L'
B' D' U L' B' R2 F'
B' D' U' L' R B R
B' D' U' R L' B R
B' D' U' R B L' R
B' D' U' R B R L'
F D' R2 F' R' U' L'
F' D' U2 L' F B U
F' D' U2 L' B F U
F' D' U2 B L' F U
U2 F2 B L U' R U2
U2 F2 B L F2 U L'
F D2 R2 F' R' U' L'
U2 B L U L D L
U2 B L U L D' L
U2 B L U L D2 L
U2 B L U L' D L'
U2 B L U L' D' L'
U2 B L U L' D2 L'
U2 B L U F L2 F'
U2 B L U F2 L2 F2
U2 B L U B' L2 B
U2 B L U B2 L2 B2
U2 B L U' R U2 L2
U2 B L U' R' U2 L2
U2 B L U' R2 U2 L2
U2 B L U' D2 R2 U2
U2 B L U2 D' B2 U'
U2 B L U2 B U' L2
U2 B L U2 B' U' L2
U2 B L U2 B2 U' L2
U2 B L D F2 U D
U2 B L D F2 U D'
U2 B L D F2 U D2
U2 B L D F2 D U
U2 B L D F2 D' U
U2 B L D F2 D2 U
U2 B L D' U2 B2 U'
U2 B L D2 U' R2 U2
U2 B L F U L2 D
U2 B L F U L2 D'
U2 B L F U L2 D2
U2 B L F D F2 U
U2 B L F' U L2 D
U2 B L F' U L2 D'
U2 B L F' U L2 D2
U2 B L F' D F2 U
U2 B L F2 U L2 D
U2 B L F2 U L2 D'
U2 B L F2 U L2 D2
U2 B L F2 D F2 U
U2 B L' F L2 U L2
U2 B L' F' L2 U L2
U2 B L' F2 L2 U L2
U2 B L2 U L D' B2
U2 B L2 D L' U L2
U2 B L2 D' L' U L2
U2 B L2 D2 L' U L2
U B L2 U F L B'
U2 B U L' U' L2 U
U2 B U L' D' B2 D
U2 B U L' D' B2 D'
U2 B U L' D' B2 D2
U2 B U L' B D' B2
U2 B U L' B' D' B2
U2 B U L' B2 D' B2
U2 B U D L' D' B2
U2 B U D' L' D' B2
U2 B U D2 L' D' B2
U2 B U2 B' U' L' B'
U2 B U2 B2 R' U' L'
U2 B D L U L2 D
U2 B D L U L2 D'
U2 B D L U L2 D2
U2 B D L D F2 U
U2 B D L F U L2
U2 B D L F' U L2
U2 B D L F2 U L2
L B U2 L' U' L' B'
U2 B D U L' D' B2
U2 B D' L U L2 D
U2 B D' L U L2 D'
U2 B D' L U L2 D2
U2 B D' L D F2 U
U2 B D' L F U L2
U2 B D' L F' U L2
U2 B D' L F2 U L2
U2 B D' U L' D' B2
U2 B D2 L U L2 D
U2 B D2 L U L2 D'
U2 B D2 L U L2 D2
U2 B D2 L D F2 U
U2 B D2 L F U L2
U2 B D2 L F' U L2
U2 B D2 L F2 U L2
U2 B D2 U L' D' B2
U2 B F L F' U L'
U2 B F' L F U L'
U2 B F2 L U' R U2
U2 B F2 L F2 U L'
R B F R F' U' L'
U' B' L' R D' B R2
U' B' L' R' D' R2 B
U' B' L' D' R B R
U2 B' L B2 L U L
U' B' R L' D' B R2
U2 B' L' B2 L U L'
U' B' R D' L' B R2
U' B' R D' B L' R2
U' B' R D' B R2 L'
U B' L' D' R2 F' B'
U B' L' D' R2 B' F'
U' B' R' L' D' R2 B
U' B' R' D' L' R2 B
U' B' R' D' R2 L' B
U' B' R' D' R2 B L'
U' B' D' L' R B R
U' B' D' R L' B R
U' B' D' R B L' R
U' B' D' R B R L'
U B' D' L' R2 F' B'
U B' D' L' R2 B' F'
U B' D' R2 L' F' B'
U B' D' R2 L' B' F'
R B' F R F' U' L'
U' B2 L' R D' B R'
U' B2 L' D' R B R'
U' B2 R L' D' B R'
U' B2 R B L' D' R2
U' B2 R B D' L' R2
U' B2 R B D' R2 L'
R B2 F R F' U' L'
