L2 U' B L R2 U2
L2 U' B R2 L U2
R2 U2 D' F' R B2
R2 U2 D' F' B2 R
R2 U2 D' B2 F' R
R2 D' U2 F' R B2
R2 D' U2 F' B2 R
R2 D' U2 B2 F' R
R2 D' F' R B2 L
R2 D' U2 F' B' R B'
R2 D' U2 F' B2 R D
R2 D' U2 F' B2 R D'
R2 D' U2 F' B2 R D2
R2 D' U2 F' B2 D R
R2 D' U2 F' B2 D' R
R2 D' U2 F' B2 D2 R
R2 D' U2 B' F' R B'
R2 D' U2 B2 F' R D
R2 D' U2 B2 F' R D'
R2 D' U2 B2 F' R D2
R2 D' U2 B2 F' D R
R2 D' U2 B2 F' D' R
R2 D' U2 B2 F' D2 R
R2 D' F L' U2 F2 B2
R2 D' F L' U2 B2 F2
R2 D' F U2 F2 R B2
R2 D' F U2 F2 B2 R
R2 D' F U2 B2 F2 R
R2 D' F' L R B2 L
R2 D' F' L' R B2 L
R2 D' F' L2 R B2 L
R2 D' F' R L B2 L
R2 D' F' R L' B2 L
R2 D' F' R L2 B2 L
R2 D' F' R B2 L D
R2 D' F' R B2 L D'
R2 D' F' R B2 L D2
R2 D' F' R B2 D L
R2 D' F' R B2 D' L
R2 D' F' R B2 D2 L
L2 D' F2 U' B L U2
R2 D' B U2 F' B R
R2 D' B U2 B F' R
R2 D' B' U2 F' R B'
R2 D' B' U2 F' B' R
R2 D' B' U2 B' F' R
U D' B2 D' L2 F R
L2 D2 U' B L U2 L
L2 D2 B2 U L2 F R
L2 F U' B L R2 U2
L2 F U' B R2 L U2
L2 F' U' B L R2 U2
L2 F' U' B R2 L U2
D' F2 U' B L U2 B
L2 F2 U' B L R2 U2
L2 F2 U' B R2 L U2
U' B L R2 U L U
U' B R2 L U L U
R B L2 U' R U2 F'
U' B R2 U2 D' B2 R'
U' B R2 D L F2 U2
U' B R2 D F2 L U2
U' B R2 D' L U2 B2
U' B R2 D' U2 B2 R'
R2 B U2 D' F' R B2
R2 B U2 D' F' B2 R
R2 B U2 D' B2 F' R
R2 B D' U2 F' R B2
R2 B D' U2 F' B2 R
R2 B D' U2 B2 F' R
R2 B D' F' R B2 L
R2 B' U2 D' F' R B2
R2 B' U2 D' F' B2 R
R2 B' U2 D' B2 F' R
R2 B' D' U2 F' R B2
R2 B' D' U2 F' B2 R
R2 B' D' U2 B2 F' R
R2 B' D' F' R B2 L
L2 B2 U D2 L2 F R
L2 B2 U' R2 B' U2 R'
L2 B2 U' B' R2 U2 R
R2 B2 U2 D' F' R B2
R2 B2 U2 D' F' B2 R
R2 B2 U2 D' B2 F' R
R2 B2 D' U2 F' R B2
R2 B2 D' U2 F' B2 R
R2 B2 D' U2 B2 F' R
R2 B2 D' F' R B2 L
L2 B2 D2 U L2 F R
