F L U F2 D2 R2
F L U' L2 U2 F2
F' L F2 U F2 R
F' L' R D' L2 B2
F' L' R D' B2 L2
F' L' D' L2 R B2
F' L' D' L2 B2 R
F' L' D' R L2 B2
F' L' D' R B2 L2
F' L' D' B2 L2 R
F' L' D' B2 R L2
F' R L' D' L2 B2
F' R L' D' B2 L2
F' R U' L F2 U
F' R U' F2 L U
D' F L B' U F2
B' F U F2 R B
F B' U F2 R B
B' U F' R D' L2 B
B' U F' R D' B L2
B' U F' R B D' L2
B' U F' D' L2 R B
B' U F' D' R L2 B
B' U F' D' R B L2
F U F2 R U' L U
F U F2 U' L U R
F U F2 B2 R D B2
F' U' L U R D' L2
F' U' L U D' L2 R
F' U' L U D' R L2
F' U' L D' U L2 R
F' U' L D' U R L2
F' U' L F2 U' L' U2
F U B2 F2 R D B2
F U' L' U L2 U F2
F U' L' U2 F2 D' B2
D' U' F L B' U F2
U' D' F L B' U F2
U2 D' F L B' U F2
U D' F L B' U F2
F' U' D' L U L R
F' U' D' L U R L
F' U' F2 L U D2 R2
F' U' F2 L U' L2 U2
F' U' F2 L D' B2 U
F' U' F2 L D2 U R2
D' U2 F L B' U F2
D' F L R B' U F2
D' F L R' B' U F2
U' F L U F2 D2 R2
U' F L U' L2 U2 F2
D' F L R2 B' U F2
D' F L D R2 B' U
D' F L D B' R2 U
D' F L B' R U F2
D' F L B' R' U F2
D' F L B' R2 U F2
D' F L B' U F2 D
D' F L B' U F2 D'
D' F L B' U F2 D2
D' F L B' D R2 U
D2 F L B U R' F2
D2 F L B U F2 R'
U2 F L U F2 D2 R2
U2 F L U' L2 U2 F2
R2 F L U D2 R2 F'
R2 F L U' L2 B U2
R2 F L U' B L2 U2
D F L R' B U F2
R2 F L D2 U R2 F'
U F L U F2 D2 R2
U F L U' L2 U2 F2
D' F R L B' U F2
D' F R' L B' U F2
D' F R2 L B' U F2
D F R' L B U F2
D2 F D L R2 B' U
D2 F D L B' R2 U
F D L R2 U D2 R2
F D L R2 U' L2 U2
F D L R2 D' B2 U
F D L R2 D2 U R2
D2 F D R2 L B' U
F D L D' B2 U F2
U' F B' U F2 R B
U2 F B' U F2 R B
L2 F B' U' F2 R B
F D R2 L U D2 R2
F D R2 L U' L2 U2
F D R2 L D' B2 U
F D R2 L D2 U R2
U' F' L F2 U F2 R
U F B' U F2 R B
D' F' L F2 B' U F2
U' F' L' R D' L2 B2
U' F' L' R D' B2 L2
D' F' L B' F2 U F2
U' F' L' D' L2 R B2
U' F' L' D' L2 B2 R
U' F' L' D' R L2 B2
U' F' L' D' R B2 L2
U' F' L' D' B2 L2 R
U' F' L' D' B2 R L2
U2 F' L F2 U F2 R
U2 F' L' R D' L2 B2
U2 F' L' R D' B2 L2
U2 F' L' D' L2 R B2
U2 F' L' D' L2 B2 R
U2 F' L' D' R L2 B2
U2 F' L' D' R B2 L2
U2 F' L' D' B2 L2 R
U2 F' L' D' B2 R L2
U F' L F2 U F2 R
U' F' R L' D' L2 B2
U' F' R L' D' B2 L2
U F' L' R D' L2 B2
U F' L' R D' B2 L2
U' F' R U' L F2 U
U' F' R U' F2 L U
U F' L' D' L2 R B2
U F' L' D' L2 B2 R
U F' L' D' R L2 B2
U F' L' D' R B2 L2
U F' L' D' B2 L2 R
U F' L' D' B2 R L2
U2 F' R L' D' L2 B2
U2 F' R L' D' B2 L2
U2 F' R U' L F2 U
U2 F' R U' F2 L U
U F' R L' D' L2 B2
U F' R L' D' B2 L2
U F' R U' L F2 U
U F' R U' F2 L U
D' F' U' L F2 B' U
D' F' U' L B' F2 U
D' F' U' F2 L B' U
F' D' L' R D' L' B2
F' D' L' R D' B2 L'
F' D' L' D' L' R B2
F' D' L' D' L' B2 R
F' D' L' D' R L' B2
F' D' L' D' R B2 L'
F' D' L' D' B2 L' R
F' D' L' D' B2 R L'
F' D' L2 R U' L' U
F D' L D' B2 R' U
F' D' L2 U' L' U R
F' D' R L' D' L' B2
F' D' R L' D' B2 L'
F' D' R L2 U' L' U
F' D' R U' L U L
D2 F' B D' L2 R' B
D2 F' B D' R' L2 B
D2 F' B D' R' B L2
F' D' U' L U L R
F' D' U' L U R L
F' D' B2 L2 R D B2
F' D' B2 R L2 D B2
F D2 L U D2 R2 F2
F D2 L U D2 F2 R2
F D2 L U' L2 B2 U2
F D2 L U' B2 L2 U2
F D2 L D' R2 B2 U
F D2 L D' B2 R2 U
F D2 L D2 U R2 F2
F D2 L D2 U F2 R2
F' D2 R U B2 R' U'
F' D2 U B2 R' U' R2
B' F R U F2 R B
B' F R' U F2 R B
B' F R2 U F2 R B
F' B R2 D' L2 R' B
F' B R2 D' R' L2 B
F' B R2 D' R' B L2
D2 B F' D' L2 R' B
D2 B F' D' R' L2 B
D2 B F' D' R' B L2
B' F U R F2 B R
B' F U R B F2 R
B' F U F2 R D B
B' F U F2 R D' B
B' F U F2 R D2 B
B' F U F2 R B D
B' F U F2 R B D'
B' F U F2 R B D2
B' F U F2 D R B
B' F U F2 D' R B
B' F U F2 D2 R B
B' F U F2 B R B
B' F U F2 B' R B
B' F U F2 B2 R B
B' F U B F2 R B
B' F U B' F2 R B
B' F U B2 F2 R B
B' F U' L' U2 F2 B'
B' F U' L' U2 B' F2
B2 F U F2 R D B2
B2 F U2 R' U' F2 R
F' B D' L2 R' B R2
F' B D' R' L2 B R2
F' B D' R' B L2 R2
F' B D' R' B R2 L2
L2 B' U2 L' U F' R
B2 F' R D B2 D2 L2
B2 F' R D' L2 D2 B2
F B' R U F2 R B
F B' R' U F2 R B
B F' R2 D' L2 R' B
B F' R2 D' R' L2 B
B F' R2 D' R' B L2
U' B' F U F2 R B
F B' R2 U F2 R B
F B' U R F2 B R
F B' U R B F2 R
U2 B' F U F2 R B
L2 B' F U' F2 R B
F B' U F2 R D B
F B' U F2 R D' B
F B' U F2 R D2 B
F B' U F2 R B D
F B' U F2 R B D'
F B' U F2 R B D2
F B' U F2 D R B
F B' U F2 D' R B
F B' U F2 D2 R B
F B' U F2 B R B
F B' U F2 B' R B
F B' U F2 B2 R B
F B' U B F2 R B
F B' U B' F2 R B
F B' U B2 F2 R B
F B' U' L' U2 F2 B'
F B' U' L' U2 B' F2
U B' F U F2 R B
B2 F' D' L2 R D B2
B2 F' D' R L2 D B2
B F' D' L2 R' B R2
B2 F' D2 R D L2 B2
B2 F' D2 R D B2 L2
B F' D' R' L2 B R2
B F' D' R' B L2 R2
B F' D' R' B R2 L2
F' B2 R D B2 D2 L2
F' B2 R D' L2 D2 B2
F B2 U F2 R D B2
F' B2 D' L2 R D B2
F B2 U2 R' U' F2 R
F' B2 D' R L2 D B2
F' B2 D2 R D L2 B2
F' B2 D2 R D B2 L2
