U' L' U2 L F R
U' R B L U2 L'
F R B U2 B' U'
L U2 L' B' R' U
B' U2 B L F U'
R' F' L' U2 L U
U F' L' B' U2 B
U B U2 B' R' F'
D' R' F' L' U2 L U
U R' F R L F L'
U' R' F' L2 B' L2 R'
U' R' F' L2 B' R' L2
L U2 L' B' R' U D
L U2 L' B' R' U D'
L U2 L' B' R' U D2
L U2 L' B' R' D U
L U2 L' B' R' D' U
L U2 L' B' R' D2 U
L U2 L' B' D R' U
L U2 L' B' D' R' U
L U2 L' B' D2 R' U
B2 R' F' L' B2 R' U'
U' R' F' U2 F U2 R
D R' F' L' U2 L U
L U2 R L' B' R' U
U' R' B L U2 L' F'
L U2 R' L' B' R' U
L U2 R2 L' B' R' U
F R' B' R2 F' B U
F R' B' R2 B F' U
L U2 D L' B' R' U
L U2 D' L' B' R' U
L U2 D2 L' B' R' U
U R2 L D2 F L2 R
U R2 L D2 F R L2
U R2 L F D2 L2 R
U R2 L F D2 R L2
U R2 L' D2 L2 F R
R' U2 F' U2 F R U
L U2 B' L' R' B' U
L U2 B' R' L' B' U
U R2 D2 L F L R
U R2 D2 L F R L
B2 U L D F L2 R
B2 U L D F R L2
B2 U L F R D L2
B2 U L F D L2 R
B2 U L F D R L2
U' D L' U2 L F R
L D U2 L' B' R' U
B2 U L' D L2 F R
R' D F' L' U2 L U
U' D R B L U2 L'
B2 U D L F L R
B2 U D L F R L
D' U F' L' B' U2 B
D2 U F' L' B' U2 B
D U F' L' B' U2 B
U D F' L' B' U2 B
D' U B U2 B' R' F'
D2 U B U2 B' R' F'
D U B U2 B' R' F'
U D B U2 B' R' F'
L2 D' R' F' L' U' B2
U' D' L' U2 L F R
D' U' L' U2 L F R
D2 U' L' U2 L F R
D U' L' U2 L F R
L2 D' U' B' R' F' B'
L2 D' U' B' R' B' F'
U' D' R B L U2 L'
D' U' R B L U2 L'
D2 U' R B L U2 L'
L D' U2 L' B' R' U
R' D' F' L' U2 L U
D U' R B L U2 L'
U D' F' L' B' U2 B
U D' B U2 B' R' F'
U' D2 L' U2 L F R
L2 D2 R' F' L' R' U'
L2 D2 R' F' R' L' U'
U' D2 R B L U2 L'
B' U2 L F B L U'
B' U2 L B F L U'
R' D2 F' L' U2 L U
L D2 U2 L' B' R' U
U D2 F' L' B' U2 B
F U2 R U2 R' F' U'
U D2 B U2 B' R' F'
B' U2 D B L F U'
B' U2 D' B L F U'
R' F L F2 L' R U'
R' F L F2 R L' U'
B' U2 D2 B L F U'
B' U2 F B L F U'
B' U2 F' B L F U'
U F L' B' U2 B R
D' F R B U2 B' U'
D2 F R B U2 B' U'
B' U2 F2 B L F U'
L2 F R B L2 F U
B' U2 B L D F U'
B' U2 B L D' F U'
B' U2 B L D2 F U'
U' F R' F' B' R' B
B' U2 B L F U' D
B' U2 B L F U' D'
B' U2 B L F U' D2
B' U2 B L F D U'
B' U2 B L F D' U'
B' U2 B L F D2 U'
U' F R' B' F' R' B
B2 U2 B L F B U'
B2 U2 B L B F U'
U F R U2 R' U2 F'
D F R B U2 B' U'
B' U2 B D L F U'
B' U2 B D' L F U'
B' U2 B D2 L F U'
B' U2 B F L F U'
B' U2 B F' L F U'
B' U2 B F2 L F U'
U F R B2 L F B2
U F R B2 L B2 F
B U2 B L F B2 U'
B U2 B L B2 F U'
U' F U2 F' L' B' U2
U' F B' R2 B R F'
F D R B U2 B' U'
B2 D U L F L R
B2 D U L F R L
R F B R U2 B' U'
R' F' L' R U2 L U
R' F' L' R' U2 L U
R' F' L' R2 U2 L U
R' F' L' U2 L U D
R' F' L' U2 L U D'
R' F' L' U2 L U D2
R' F' L' U2 L D U
R' F' L' U2 L D' U
R' F' L' U2 L D2 U
B' D U2 B L F U'
R' F' L' U2 D L U
R' F' L' U2 D' L U
R' F' L' U2 D2 L U
U F B2 R B2 L F
R' F' L' D U2 L U
R' F' L' D' U2 L U
R' F' L' D2 U2 L U
R' F' L' B2 R' B2 U'
L2 F' L' U2 L' B' U
B2 D F R B U L2
R' F' L2 D' L U' B2
R' F' L2 D2 L R2 U'
R' F' L2 D2 R2 L U'
U' F' L2 B' L2 R' F'
U' F' L2 B' R' L2 F'
U' F' L2 B' R' F' L2
R' F' R L' U2 L U
L F' L' R' F' R U'
U F' L' D B' U2 B
U F' L' D' B' U2 B
U F' L' D2 B' U2 B
R F' L' U2 L B U
U F' L' F B' U2 B
U F' L' F' B' U2 B
U F' L' F2 B' U2 B
U F' L' B' U2 D B
U F' L' B' U2 D' B
U F' L' B' U2 D2 B
U F' L' B' U2 B D
U F' L' B' U2 B D'
U F' L' B' U2 B D2
U F' L' B' D U2 B
U F' L' B' D' U2 B
U F' L' B' D2 U2 B
U F' L' B' F U2 B
U F' L' B' F' U2 B
U F' L' B' F2 U2 B
R' F' R' L' U2 L U
R' F' R2 L' U2 L U
L F' R' L' F' R U'
R' F' D L' U2 L U
U2 F' U2 F R B U
U F' U2 L' U2 L F
R' F' D' L' U2 L U
R' F' D2 L' U2 L U
U F' D L' B' U2 B
U F' D' L' B' U2 B
U' F' B' R' F' D2 B2
U F' D2 L' B' U2 B
F D' R B U2 B' U'
R' F' B2 L' B2 R' U'
U F' B' L' B' U2 B2
R F' B U2 B' L' U'
U F' B2 L' B' U2 B'
B' D' U2 B L F U'
U' F2 D2 B' R' F' B'
U' F2 D2 B' R' B' F'
U' F2 B D2 B2 R' F'
U' F2 B' R' D2 F' B2
U' F2 B' R' D2 B2 F'
F D2 R B U2 B' U'
U' F2 B' D2 R' F' B2
U' F2 B' D2 R' B2 F'
U' B L R B U2 L'
U' B L R' U2 L' F'
U' B L U2 L F L2
B' D2 U2 B L F U'
U2 B L F U2 F' U
B2 D2 F R F B U
B2 D2 F R B F U
U' B R L B U2 L'
L2 B L2 F R B U
U' B R' L U2 L' F'
R B L2 F L2 R U
R B L2 F R L2 U
U B U2 R' F' B' R'
U B U2 R' B' F' R'
U B U2 D B' R' F'
U B U2 D' B' R' F'
U B U2 D2 B' R' F'
U B U2 F B' R' F'
U B U2 F' B' R' F'
U B U2 F2 B' R' F'
U B U2 B' R' D F'
U B U2 B' R' D' F'
U B U2 B' R' D2 F'
U B U2 B' R' F' D
U B U2 B' R' F' D'
U B U2 B' R' F' D2
U B U2 B' D R' F'
U B U2 B' D' R' F'
U B U2 B' D2 R' F'
U B U2 B' F R' F'
U B U2 B' F' R' F'
U B U2 B' F2 R' F'
B2 F R D B U L2
R B U2 B L B2 U'
B2 F R D2 F2 B U
B2 F R D2 B F2 U
R B U2 B' U2 R' U
U B D U2 B' R' F'
B2 F R B U2 B U'
U B D' U2 B' R' F'
B F R B U D L2
B F R B U2 B2 U'
B F R B D U L2
B F R B D2 F2 U
B' F R2 F' R' B U
F B R B U D L2
F B R B U2 B2 U'
F B R B D U L2
F B R B D2 F2 U
U B D2 U2 B' R' F'
U' B F2 D2 B2 R' F'
R B F R U2 B' U'
U' B' L' U2 L R' F
U' B' L' U2 L F R'
U' B' L' U2 R' L F
R B F' U2 B' L' U'
U' B' L2 R' F' L2 B'
B2 F D R B U L2
U' B' R F R2 F' B
U' B' R F R2 B F'
U' B' R' L2 F' L2 B'
U' B' R' F' L2 B' L2
U' B' R' F' U2 F U2
U' B' R' F2 D2 F B2
U' B' R' F2 D2 B2 F
B2 F D2 R F2 B U
B2 F D2 R B F2 U
B2 F' L' B2 R' F' U'
R' B' U2 F' B L U'
R' B' U2 B L F' U'
D2 B' U2 B L F U'
R' B' U2 B F' L U'
D' B' U2 B L F U'
D B' U2 B L F U'
U B' U2 B' R' F' B2
U B' U2 B' R' B2 F'
U' B' F R2 B R F'
F B' R2 F' R' B U
U' B' F' R' F' D2 B2
U' B' F2 R' D2 F' B2
U' B' F2 R' D2 B2 F'
U' B' F2 D2 R' F' B2
U' B' F2 D2 R' B2 F'
U B' F' L' B' U2 B2
B2 F' D2 F2 R B U
U B2 L F R B2 L
U B2 L' B' U2 B' R'
F' B2 L' B2 R' F' U'
L' B2 R' F' L' B2 U'
L' B2 R' F' B2 L' U'
L' B2 R' B2 F' L' U'
U B2 R B2 L F R
F B2 R D B U L2
F B2 R D2 F2 B U
F B2 R D2 B F2 U
F B2 R B U2 B U'
U B2 U2 B' R' F' B'
U B2 U2 B' R' B' F'
R' B2 F' L' B2 R' U'
F B2 D R B U L2
F' B2 D2 F2 R B U
U B2 F R B2 L F
U B2 F' L' B' U2 B'
F B2 D2 R F2 B U
F B2 D2 R B F2 U
