B2 U L' F2 B' U2
B2 U L' B' F2 U2
F2 U2 D L2 R F'
F2 U2 D R L2 F'
F2 U2 D R F' L2
F2 D R F' L2 B'
F2 D U2 L2 R F'
F2 D U2 R L2 F'
F2 D U2 R F' L2
F2 D' R2 B2 L B' U2
F2 D' U2 R F2 L' F
D F2 L2 D R F' B2
D F2 L2 D R B2 F'
D F2 L2 D B2 R F'
D2 F2 U B2 D R F'
R' F2 U2 D L2 R F'
R' F2 U2 D R L2 F'
R' F2 U2 D R F' L2
D2 F2 D L2 U R F'
R' F2 D R F' L2 B'
L' F2 D R U2 L2 F'
L' F2 D R U2 F' L2
R' F2 D U2 L2 R F'
R' F2 D U2 R L2 F'
R' F2 D U2 R F' L2
L' F2 D R' B U2 L2
R2 F2 U2 D L2 R F'
R2 F2 U2 D R L2 F'
R2 F2 U2 D R F' L2
B2 D2 L2 U' B2 R' F'
R2 F2 D R F' L2 B'
R2 F2 D U2 L2 R F'
R2 F2 D U2 R L2 F'
R2 F2 D U2 R F' L2
L2 F2 D' L R2 B' U2
R F2 U2 D L2 R F'
R F2 U2 D R L2 F'
R F2 U2 D R F' L2
L2 F2 D' L B' R2 U2
L2 F2 D' R2 L B' U2
R F2 D R F' L2 B'
R F2 D U2 L2 R F'
R F2 D U2 R L2 F'
R F2 D U2 R F' L2
U F2 D' R2 U2 R' F'
B2 D2 U L' B' U2 B'
B2 F' L' U F' U2 R
F' B2 L' U F' U2 R
R' B2 U L' F2 B' U2
R' B2 U L' B' F2 U2
R2 B2 U L' F2 B' U2
R2 B2 U L' B' F2 U2
L2 B2 U F2 U2 R' F'
L2 B2 U' R' D2 F' B2
L2 B2 U' R' D2 B2 F'
L2 B2 U' D2 R' F' B2
L2 B2 U' D2 R' B2 F'
R B2 U L' F2 B' U2
R B2 U L' B' F2 U2
L2 B2 D2 U' R' F' B2
L2 B2 D2 U' R' B2 F'
