U' L R' B' U2 R'
U' L R' B' U2 R'
U' L' R' U2 F R
U L' F R D2 L2
U' R' L B' U2 R'
U' R' L' U2 F R
U' R' B L B' U2
B2 U L' F L2 R
B2 U L' F R L2
D2 U' R' B L U2
R D' F2 B R' U
R D' B R' F2 U
R D' B F2 R' U
U' D2 R' B L U2
U' B L B' R' U2
B2 U F R L' F L2
B2 U F D2 L R F'
B2 U F D2 R L F'
B2 U F D2 R F' L
D2 U' L R' B L U2
D2 U' L' R' B L U2
D2 U' L2 R' B L U2
F' U' L R' B' U2 R'
F2 U' L R' B' U2 R'
B' U' L B' U2 L R'
B' U' L B' U2 R' L
F' U' L' R' U2 F R
F2 U' L' R' U2 F R
D2 U' R' L B L U2
F U' L R' B' U2 R'
D2 U' R' L' B L U2
D2 U' R' L2 B L U2
B2 U' L' U2 F L2 R
B2 U' L' U2 F R L2
D2 U' R' D B L U2
D2 U' R' D' B L U2
D2 U' R' D2 B L U2
D2 U' R' B L U2 D
D2 U' R' B L U2 D'
D2 U' R' B L U2 D2
D2 U' R' B L D U2
D2 U' R' B L D' U2
D2 U' R' B L D2 U2
D2 U' R' B D L U2
D2 U' R' B D' L U2
D2 U' R' B D2 L U2
F U' L' R' U2 F R
R D' F B R' F U
F' U' R' L B' U2 R'
F' U' R' L' U2 F R
F2 U' R' L B' U2 R'
F2 U' R' L' U2 F R
F' U' R' B L B' U2
F2 U' R' B L B' U2
R D' F2 B R' U D
R D' F2 B R' U D'
R D' F2 B R' U D2
R D' F2 B R' D U
R D' F2 B R' D' U
R D' F2 B R' D2 U
R D' F2 B D R' U
R D' F2 B D' R' U
R D' F2 B D2 R' U
F U' R' L B' U2 R'
F U' R' L' U2 F R
R D' B R F2 R2 U
R D' B R' U D' L2
R D' B R' D' U L2
R D' B R' F2 U D
R D' B R' F2 U D'
R D' B R' F2 U D2
R D' B R' F2 D U
R D' B R' F2 D' U
R D' B R' F2 D2 U
F U' R' B L B' U2
R D' B D' R' U L2
R D' B F R' F U
R D' B F2 R' U D
R D' B F2 R' U D'
R D' B F2 R' U D2
R D' B F2 R' D U
R D' B F2 R' D' U
R D' B F2 R' D2 U
R D' B F2 D R' U
R D' B F2 D' R' U
R D' B F2 D2 R' U
F' U' D2 R' B L U2
F2 U' D2 R' B L U2
U' D2 L R' B L U2
F U' D2 R' B L U2
U2 D' B2 U' L F R
U' D2 L' R' B L U2
U' D2 L2 R' B L U2
B' U' B L R' B' U2
F' U' B L B' R' U2
B' U' B R' L B' U2
B2 U' B L B' U2 L
F2 U' B L B' R' U2
F U' B L B' R' U2
U' D2 R' L B L U2
U' D2 R' L' B L U2
U' D2 R' L2 B L U2
U' D2 R' D B L U2
U' D2 R' D' B L U2
U' D2 R' D2 B L U2
U' D2 R' B L U2 D
U' D2 R' B L U2 D'
U' D2 R' B L U2 D2
U' D2 R' B L D U2
U' D2 R' B L D' U2
U' D2 R' B L D2 U2
U' D2 R' B D L U2
U' D2 R' B D' L U2
U' D2 R' B D2 L U2
U D2 R F R F2 L'
U D2 R' B U2 B' R'
U D2 F R D2 L2 F'
U D2 F R D2 F' L2
U D2 F R F' D2 L2
R D2 B R U L2 F'
R D2 B R U F' L2
D' U2 B2 U' L F R
U F L R D2 L2 F
U F L' R D2 F L2
U F L' R F D2 L2
B U2 F' U' L' F R
U F R L D2 L2 F
U F R L' D2 F L2
U F R L' F D2 L2
D2 F U' R' B L U2
U F R2 F2 L' R' F
U F R2 F2 L' F R'
U F R2 F2 R' L' F
R F D' F2 B R' U
R F D' B R' F2 U
R F D' B F2 R' U
U F D2 R D2 L2 F'
U F D2 R D2 F' L2
U F D2 R F' D2 L2
B D F' R B U L
B2 D F2 U L F R
D F' R D' F2 B U
D F' R D' B F2 U
D F' R D2 B U L2
D F' R B U D2 L2
D F' R B U' R2 U2
D F' R B D' F2 U
D F' R B D2 U L2
D2 F' U' R' B L U2
U F' R2 F2 L' R F
U F' R2 F2 R L' F
U F' U2 L' R' U2 F
U F' U2 R' L' U2 F
B' D' R F' B R' U
B' D' R B F' R' U
B D' R B R' U L
R F' D' F2 B R' U
R F' D' B R' F2 U
R F' D' B F2 R' U
D F' B R B U L
R2 F2 R' B U L' F
R2 F2 R2 U L' F R
D2 F2 U' R' B L U2
U F2 R2 F2 L' F R
B D2 R B U L F'
B D2 R B U F' L
R F2 D' F2 B R' U
R F2 D' B R' F2 U
R F2 D' B F2 R' U
B' D2 U F L' R F'
B' D2 U F R L' F'
B2 D2 U L F R F'
U' B L R B' R' U2
U' B L R' B' R' U2
U' B L R2 B' R' U2
B2 D2 U F L R F'
B2 D2 U F R L F'
B2 D2 U F R F' L
U' B L D B' R' U2
U' B L D' B' R' U2
U' B L D2 B' R' U2
F' D2 U' R' B L U2
U' B L B' R' U2 D
U' B L B' R' U2 D'
U' B L B' R' U2 D2
U' B L B' R' D U2
U' B L B' R' D' U2
U' B L B' R' D2 U2
U' B L B' D R' U2
U' B L B' D' R' U2
U' B L B' D2 R' U2
F2 D2 U' R' B L U2
D F2 B2 U L F R
F D2 U' R' B L U2
U' B R L B' R' U2
U' B R' L B' R' U2
D2 B R B U L F'
D2 B R B U F' L
D' B R B R2 U L
D' B R' U2 F' U' L'
U' B R2 L B' R' U2
R B R U F2 L' F
R B R F2 U L' F
R B U L D2 L2 F
R B U L' D2 F L2
R B U L' F D2 L2
R B D2 R U L2 F'
R B D2 R U F' L2
B2 F U L' F L2 R
B2 F U L' F R L2
D B F' R B U L
B2 F' U L' F L2 R
B2 F' U L' F R L2
U' B2 L B' L U2 L'
L2 B2 L2 U L' F R
U B2 L' F L2 R B2
U B2 L' F L2 B2 R
U B2 L' F R L2 B2
U B2 L' F R B2 L2
U B2 L' F B2 L2 R
U B2 L' F B2 R L2
U B2 L' B2 F L2 R
U B2 L' B2 F R L2
L' B2 R' F' U' L F2
L' B2 R' F' U' F2 L
D2 B2 U L F R F'
D2 B2 U F L R F'
D2 B2 U F R L F'
D2 B2 U F R F' L
U2 B2 U' L' F L2 R
U2 B2 U' L' F R L2
F' B2 U L' F L2 R
F' B2 U L' F R L2
B2 F2 U L' F L2 R
B2 F2 U L' F R L2
F2 B2 U L' F L2 R
F2 B2 U L' F R L2
F B2 U L' F L2 R
F B2 U L' F R L2
D B2 F2 U L F R
